# taishenIME domain — food
# format: word pinyin
# source: Wikipedia (CC BY-SA 4.0)
包饼	baobing
小牛胸腺	xiaoniuxiongxian
調酒的藝術	diaojiudeyishu
毛豆腐	maodoufu
麵包	mianbao
金玉滿堂	jinyumantang
隔熱手套	gereshoutao
冰肉	bingrou
章丘铁锅	zhangqiutieguo
蛋饺	danjiao
观赏鱼饲料	guanshangyusiliao
義式麵疙瘩	yishimiangeda
葡式甘蓝汤	pushiganlantang
豌豆蛋白	wandoudanbai
南瓜糖	nanguatang
麻茸包	marongbao
擀麵棍	ganmiangun
竹芋粉	zhuyufen
孔雀属	kongqueshu
雞排	jipai
腌菜	yancai
肉骨茶	rougucha
清真	qingzhen
食人樹	shirenshu
吗哪	mana
麒麟菜屬	qilincaishu
刀叉勺	daochashao
小籠包	xiaolongbao
黑半片	heibanpian
餐前開胃菜	canqiankaiweicai
辣醬	lajiang
油菜	youcai
罗惹	luore
大同刀削面	datongdaoxuemian
金宝汤公司	jinbaotanggongsi
無花果	wuhuaguo
黄豆粉	huangdoufen
米爾扎加塞米	mierzhajiasaimi
維也納蘋果卷	weiyenapingguojuan
桶子雞	tongziji
藍花飯	lanhuafan
苦丁茶	kudingcha
采蘑菇	caimogu
僵尸肉	jiangshirou
蟹膏	xiegao
馕坑	nangkeng
咖哩魚蛋	kaliyudan
鹿肉	lurou
丘奇先生	qiuqixiansheng
菲達芝士	feidazhishi
中華廚藝學院	zhonghuachuyixueyuan
藏麵	cangmian
花生捲冰淇淋	huashengjuanbingqilin
做個小廚神	zuogexiaochushen
芝麻酱	zhimajiang
无米粿	wumiguo
東山鴨頭	dongshanyatou
鐵板麵	tiebanmian
怪味豆	guaiweidou
黄油	huangyou
泰式辣醬	taishilajiang
奶油捲製器	naiyoujuanzhiqi
串炸	chuanzha
大酱	dajiang
角色扮演餐廳	jiaosebanyancanting
药菓	yaoguo
馬來魚餅	malaiyubing
椰絲	yesi
餐馆	canguan
西式餡餅	xishixianbing
鱼腥草	yuxingcao
越南乳业	yuenanruye
掉渣饼	diaozhabing
腌泡	yanpao
雪葩	xuepa
甜面酱	tianmianjiang
人蔘	renshen
咖哩麵包	kalimianbao
疫境中的餐桌	yijingzhongdecanzhuo
老北京炸鸡	laobeijingzhaji
龜鹿二仙膠	guiluerxianjiao
馬利餅	malibing
乐事	leshi
林堡芝士	linbaozhishi
京八件	jingbajian
蘿蔔乾	luoboqian
玫瑰果汤	meiguiguotang
凉粉	liangfen
魚罐頭	yuguantou
斗味	douwei
毛血旺	maoxuewang
糊涂面	hutumian
豬胰	zhuyi
番茄醬炒飯	fanjiajiangchaofan
馕坑烤肉	nangkengkaorou
中式牛柳	zhongshiniuliu
菲律賓醬料	feilvbinjiangliao
內臟燒烤	neizangshaokao
苏胡克	suhuke
卡馬格赤米	kamagechimi
花生酱	huashengjiang
港式奶茶	gangshinaicha
乌加利	wujiali
石蜡	shila
蠍子	xiezi
黄汤拉面	huangtanglamian
椰浆	yejiang
猪肘	zhuzhou
麥香魚	maixiangyu
貝毒	beidu
菜系	caixi
芒果乾	mangguoqian
泥炭沼泽黄油	nitanzhaozehuangyou
热奶宝	renaibao
御任	yuren
煎釀三寶	jianniangsanbao
鱔魚凍	shanyudong
糟菜	zaocai
煲仔菜	baozaicai
泰式奶茶	taishinaicha
肉食性動物	roushixingdongwu
亞參魚	yacanyu
菲律賓燒乳豬	feilvbinshaoruzhu
饲料生产	siliaoshengchan
左髀	zuobi
有机食品文化	youjishipinwenhua
笑靥儿	xiaoyeer
金箔	jinbo
蒜蓉包	suanrongbao
食用昆蟲	shiyongkunchong
壽龜	shougui
酸模	suanmo
松鼠鳜鱼	songshuguiyu
蛤蜊蘸醬	halizhanjiang
五辛	wuxin
蠔豉	haoshi
九層糕	jiucenggao
吴山烤鸡	wushankaoji
纽甜	niutian
木薯麵包	mushumianbao
图尚卡	tushangka
蝦多士	xiaduoshi
素麵沙拉	sumianshala
葛子	gezi
蒸藕粉	zhengoufen
蛋黃醬	danhuangjiang
四寶雞扎	sibaojizha
豬排	zhupai
中華鱉	zhonghuabie
滷水蛋	lushuidan
番茄切盤	fanjiaqiepan
蔬菜湯	shucaitang
亚美尼亚酸奶	yameiniyasuannai
味噌	weiceng
炝	qiang
藜蒿炒腊肉	lihaochaolarou
鹼漬魚	jianziyu
寵物店	chongwudian
软罐头	ruanguantou
奶油咖哩雞	naiyoukaliji
玉米巧達濃湯	yumiqiaodanongtang
芬兰鲑鱼汤	fenlanguiyutang
德化黑鸡	dehuaheiji
食谱	shipu
羊方藏鱼	yangfangcangyu
焯	chao
菱角	lingjiao
朗格勒奶酪	langgeleinailao
輕愛爾	qingaier
奶油刀	naiyoudao
马蹄烧饼	matishaobing
綠豆椪	lvdoupeng
核桃油	hetaoyou
西米糕	ximigao
雞粉	jifen
炒年糕	chaoniangao
瑪斯古夫	masigufu
生拌牛肉	shengbanniurou
烤全羊	kaoquanyang
韩式炸酱面	hanshizhajiangmian
造骨牛奶蛋白	zaoguniunaidanbai
怡口健康糖	yikoujiankangtang
微波炉	weibolu
親子丼	qinzijing
纳底	nadi
金錢雞	jinqianji
百胜厨	baishengchu
比斯吉佐肉汁	bisijizuorouzhi
出汁	chuzhi
蔬菜列表	shucailiebiao
豆干	dougan
莎樂美腸	shalemeichang
盖浇薯条	gaijiaoshutiao
叁巴醬	sanbajiang
炸子雞	zhaziji
国王蛋糕	guowangdangao
包伙食	baohuoshi
炒麵麵包	chaomianmianbao
羅勒	luolei
齋扎	zhaizha
火勺	huoshao
大酱汤	dajiangtang
双皮奶	shuangpinai
勾芡	gouqian
擠花袋	jihuadai
蠔鬆生菜包	haosongshengcaibao
新收获	xinshouhuo
雞不可失	jibukeshi
古突	gutu
沙丁鱼罐头	shadingyuguantou
炉	lu
酒糟	jiuzao
牛奶锅	niunaiguo
自由薯條	ziyoushutiao
福建蝦麵	fujianxiamian
菠蘿冰	boluobing
聖誕樹幹蛋糕	shengdanshugandangao
客家菜包	kejiacaibao
章魚香腸	zhangyuxiangchang
馬托克蕉	matuokejiao
调味料	diaoweiliao
草莓冰淇淋	caomeibingqilin
亞參叻沙	yacanlesha
