# taishenIME domain — food
# format: word pinyin
# source: Wikipedia (CC BY-SA 4.0)
包饼	baobing
墨西哥薄饼	moxigebaobing
宁波十大名菜	ningboshidamingcai
手撕雞	shousiji
娘酒鸡	niangjiuji
麻婆豆腐	mapodoufu
紅龜粿	hongguiguo
豉油雞	shiyouji
虾夷盘扇贝	xiayipanshanbei
脫氧劑	tuoyangji
冰淇淋車	bingqilinche
蛋咖啡	dankafei
太极参	taijican
糖三角	tangsanjiao
健康工房	jiankanggongfang
柚皮鴨掌	youpiyazhang
淡水阿給	danshuiagei
麦芽酚	maiyafen
漏斗	loudou
二色可可	ersekeke
炒面	chaomian
原始切块	yuanshiqiekuai
拐杖糖	guaizhangtang
腊普	lapu
超世纪谍杀案	chaoshijidieshaan
石牌大骨头	shipaidagutou
寸棗	cunzao
五花茶	wuhuacha
积雪草	jixuecao
蛋糕女孩	dangaonvhai
灰胡桃南瓜	huihutaonangua
羊肉	yangrou
溫達盧咖哩	wendalukali
洗碗機	xiwanji
恰巴提	qiabati
鍋盔	guokui
西班牙油條	xibanyayoutiao
蛇胆	shedan
美味秘方	meiweimifang
一水柠檬酸	yishuiningmengsuan
芥末醬	jiemojiang
義大利燉飯	yidalidunfan
福建炒飯	fujianchaofan
别什巴尔马克	bieshenbaermake
灌肠	guanchang
黑醋	heicu
西米	ximi
麻花	mahua
羅漢齋	luohanzhai
榨汁	zhazhi
交城酸枣	jiaochengsuanzao
木瓜糖	muguatang
奶皮子	naipizi
陳恩德	chenende
主食	zhushi
皮蛋	pidan
義式脆餅	yishicuibing
酥油	suyou
奶精	naijing
成吉思鸡	chengjisiji
随园食单	suiyuanshidan
馒头	mantou
焩粳	pingjing
澳門菜	aomencai
肝臟和洋蔥	ganzangheyangcong
白菜湯	baicaitang
雪紡切	xuefangqie
波奇	boqi
菲律賓酸湯	feilvbinsuantang
梨膏糖	ligaotang
牛粒	niuli
额定风险物	edingfengxianwu
拍黄瓜	paihuanggua
鍪	mou
卷煎	juanjian
桑巴湯	sangbatang
味道中国	weidaozhongguo
柚子醋	youzicu
小吃店	xiaochidian
秀貴甘蔗	xiuguiganzhe
拼盘	pinpan
薑餅屋	jiangbingwu
羊腩	yangnan
肌醇	jichun
普什圖芝士	pushentuzhishi
葡國雞	puguoji
垃圾食品	lajishipin
椰汁雞麵	yezhijimian
绵羊肉	mianyangrou
鳳梨可樂達	fenglikeleda
蒸包	zhengbao
開胃菜	kaiweicai
米暹	mixian
包饭酱	baofanjiang
感冒茶	ganmaocha
火焰烹调	huoyanpengdiao
檜木醇	guimuchun
法蘭酥	falansu
古瑪雅飲食	gumayayinshi
油渣麵	youzhamian
深夜食堂	shenyeshitang
糖楓	tangfeng
起司的歷史	qisidelishi
向日葵	xiangrikui
穀芽	guya
蜜露甜瓜	milutiangua
紫河车	ziheche
苯甲酸丙酯	benjiasuanbingzhi
沔阳三蒸	mianyangsanzheng
豆腐糕	doufugao
豬耳	zhuer
舌尖上的新年	shejianshangdexinnian
空中廚房	kongzhongchufang
行政主廚	xingzhengzhuchu
食盐	shiyan
彩虹道路	caihongdaolu
法式酸奶油	fashisuannaiyou
阿華田	ahuatian
可樂雞	keleji
芝麻鸡	zhimaji
杜比亞蟑螂	dubiyazhanglang
椒鹽	jiaoyan
拔絲地瓜	basidigua
火腿腸	huotuichang
公认安全	gongrenanquan
奈良漬	nailiangzi
雞翅	jichi
寿司之神	shousizhishen
菊花茶	juhuacha
黄原胶	huangyuanjiao
洛磯山脈蠔	luojishanmaihao
巨人柱	jurenzhu
干煸藕丝	ganbianousi
巴尼布里	banibuli
食物標準局	shiwubiaozhunju
咖啡師	kafeishi
蘇格蘭蛋	sugelandan
巴滕伯格蛋糕	batengbogedangao
薄皮包子	baopibaozi
夸克干酪	kuakeganlao
芝加哥式热狗	zhijiageshiregou
花生糊	huashenghu
烟熏奶酪	yanxunnailao
十三香	shisanxiang
藍貝	lanbei
素菜包	sucaibao
韭花酱	jiuhuajiang
辣椒蟹	lajiaoxie
臘腸	lachang
卡酥萊	kasulai
蟹肉棒	xieroubang
米豆腐	midoufu
搅团	jiaotuan
低聚木糖	dijumutang
韃靼三文魚	dadasanwenyu
路殺	lusha
雙色糯米糕	shuangsenuomigao
稻荷壽司	daoheshousi
有機食品	youjishipin
雞米花	jimihua
燒冷冰	shaolengbing
老少平安	laoshaopingan
掼奶油	guannaiyou
韃靼牛肉	dadaniurou
咖哩	kali
橙花雞	chenghuaji
中国四大名鸡	zhongguosidamingji
鱈魚卵	xueyuluan
黄焖鸡	huangmenji
江蓠属	jianglishu
三色豆	sansedou
櫻桃派	yingtaopai
麵團	miantuan
清真饮食	qingzhenyinshi
德式圣诞蛋糕	deshishengdandangao
茶汤	chatang
海南雞飯	hainanjifan
貝蒂妙廚	beidimiaochu
三净肉	sanjingrou
上海色拉	shanghaisela
粟米魚塊	sumiyukuai
戴安娜牛排	daiannaniupai
荷蘭醬	helanjiang
飯糰	fantuan
芥子油	jieziyou
水蘸汁	shuizhanzhi
南瓜焗飯	nanguajufan
焖烧	menshao
棕櫚糖	zonglvtang
沙茶面	shachamian
洋食	yangshi
蔬菜學	shucaixue
慢燉鍋	mandunguo
甘素	gansu
便攜式電爐	bianxieshidianlu
黄灯笼辣椒	huangdenglonglajiao
水浴锅	shuiyuguo
檸檬布丁	ningmengbuding
代可可脂	daikekezhi
大腸包小腸	dachangbaoxiaochang
狐	hu
面茶	miancha
鳳梨汁	fenglizhi
豆豉鯪魚	doushilingyu
比司吉麵包	bisijimianbao
沙薑雞	shajiangji
马六甲蒲桃	maliujiaputao
拟小螺属	nixiaoluoshu
菜煎饼	caijianbing
楊貫一	yangguanyi
檸檬辣椒	ningmenglajiao
腐皮卷	fupijuan
炸面包	zhamianbao
蒙古奶茶	menggunaicha
芝士通心粉	zhishitongxinfen
大英烤焗大賽	dayingkaojudasai
锅	guo
椰子核	yezihe
冰塊盒	bingkuaihe
炸魚	zhayu
黑蒜	heisuan
荠菜	jicai
茶匙	chachi
驴打滚	lvdagun
外郎餅	wailangbing
阿皮基乌斯	apijiwusi
豬腳薑	zhujiaojiang
米糠油	mikangyou
唐扬	tangyang
番紅花米布丁	fanhonghuamibuding
葫芦头	hulutou
麵包超人	mianbaochaoren
气相二氧化硅	qixiangeryanghuagui
印度香饭	yinduxiangfan
週日烤肉	zhourikaorou
中亚凉粉	zhongyaliangfen
霍列什	huolieshen
詹姆士	zhanmushi
共和餅乾公司	gonghebingqiangongsi
米糠	mikang
蜂窩餅	fengwobing
电陶炉	diantaolu
圣代	shengdai
話梅	huamei
虎鞭	hubian
鸟蛤科	niaohake
煎蛋	jiandan
塔吉鍋	tajiguo
瑞士乾酪	ruishiqianlao
豆豉雞	doushiji
甘蔗	ganzhe
醱酵豆醬	fajiaodoujiang
海帶	haidai
丙氨酸	bingansuan
豆腐酿	doufuniang
里肌肉	lijirou
烩面	huimian
扒原壳鲍鱼	bayuankebaoyu
烙饼	laobing
葛粉	gefen
雞屁股	jipigu
香蕉艇	xiangjiaoting
木勺	mushao
果仁蛋白餅	guorendanbaibing
民主香腸	minzhuxiangchang
炒翅	chaochi
荸荠	biqi
无水黄油	wushuihuangyou
甜菊屬	tianjushu
國際廚藝學院	guojichuyixueyuan
燒賣	shaomai
罐头汤	guantoutang
乐口福	lekoufu
可內樂	keneile
啦喉赫	lahouhe
奥运蔬菜	aoyunshucai
料理之王	liaolizhiwang
雪花肉	xuehuarou
拉斯古拉	lasigula
滾水蛋	gunshuidan
肥肝	feigan
糖霜	tangshuang
螺絲麵	luosimian
烤包子	kaobaozi
皮肚	pidu
麵包師	mianbaoshi
忌廉蘑菇湯	jilianmogutang
鴨仔蛋	yazaidan
芙蓉鸡片	furongjipian
蕎麥冰淇淋	qiaomaibingqilin
筍乾	sunqian
黎永冠	liyongguan
醬汁	jiangzhi
水晶包	shuijingbao
隆東十五暝	longdongshiwuming
夏枯草	xiakucao
魚湯麵	yutangmian
炸馬鈴薯	zhamalingshu
烤鱿鱼	kaoyouyu
雞塊	jikuai
鹼粽	jianzong
青糰	qingtuan
老火湯	laohuotang
糖藕	tangou
糖海带	tanghaidai
漆油	qiyou
月桂	yuegui
小麥草	xiaomaicao
食雕	shidiao
芡	qian
蘭花乾	lanhuaqian
拔丝	basi
卡布奇诺	kabuqinuo
地慾廚房	diyuchufang
阮尹锦云	ruanyinjinyun
缅甸豆腐	miandiandoufu
豬肉	zhurou
平底锅	pingdiguo
狮子头	shizitou
蔬菜	shucai
筷子	kuaizi
藍帶廚師	landaichushi
藜麥	limai
香精	xiangjing
搋子	chuaizi
水果沙拉	shuiguoshala
油網包	youwangbao
海湾扇贝	haiwanshanbei
四十九丸子汤	sishijiuwanzitang
月亮蝦餅	yueliangxiabing
鳳梨酥	fenglisu
流素麵	liusumian
飘香剂	piaoxiangji
廚神當道	chushendangdao
抗坏血酸钠	kanghuaixuesuanna
钵钵鸡	boboji
德國咖哩香腸	deguokalixiangchang
蝦醬	xiajiang
海軍咖哩	haijunkali
煮	zhu
糖醇	tangchun
葵花籽油	kuihuaziyou
粉腸	fenchang
滷水鵝	lushuie
食物	shiwu
翡麦	feimai
酸菜鱼	suancaiyu
菰	gu
金門麵線	jinmenmianxian
馬介休	majiexiu
阿斯巴甜	asibatian
汤丸	tangwan
四君子湯	sijunzitang
时雨煮	shiyuzhu
炒底	chaodi
能多益	nengduoyi
芝士粉	zhishifen
浙醋	zhecu
油墩子	youdunzi
黄油曲奇	huangyouquqi
菓珍	guozhen
阿力甜	alitian
澳洲坚果属	aozhoujianguoshu
沙律海鮮卷	shalvhaixianjuan
林茲蛋糕	linzidangao
塔可饼	takebing
辫子面包	bianzimianbao
软糖熊	ruantangxiong
香草冰淇淋	xiangcaobingqilin
卡莎	kasha
蛇王	shewang
普羅旺斯雜燴	puluowangsizahui
駱駝奶	luotuonai
八寶菜	babaocai
蓮蓉月餅	lianrongyuebing
調料九里香	diaoliaojiulixiang
糯米粉	nuomifen
野戰口糧	yezhankouliang
芥末水果	jiemoshuiguo
牛肉熟成	niuroushucheng
萝卜泡菜	luobopaocai
橘子碳酸饮料	juzitansuanyinliao
香蕉雪碧挑战	xiangjiaoxuebitiaozhan
高果糖浆	gaoguotangjiang
紗窗邂逅	shachuangxiehou
压缩饼干	yasuobinggan
食用果仁列表	shiyongguorenliebiao
猴头菇	houtougu
鹽煮馬鈴薯	yanzhumalingshu
焦糖化	jiaotanghua
真愛留聲	zhenailiusheng
乳制品用盐	ruzhipinyongyan
花生粉	huashengfen
豆	dou
羊霜肠	yangshuangchang
印尼炒麵	yinnichaomian
日本唐扬协会	ribentangyangxiehui
乾炒	qianchao
魷魚絲	youyusi
香餅	xiangbing
番茄炒蛋	fanjiachaodan
欧洲山毛榉	ouzhoushanmaoju
跷脚牛肉	qiaojiaoniurou
米皮	mipi
奶酒	naijiu
银荆花沙拉	yinjinghuashala
鹹豬肉	xianzhurou
湯匙	tangshi
食品模型	shipinmoxing
蛋餅	danbing
巫毒甜甜圈	wudutiantianquan
食品卫生	shipinweisheng
叉叉粿	chachaguo
港式白汁	gangshibaizhi
乙酸四氢糠酯	yisuansiqingkangzhi
抗解澱粉	kangjiedianfen
總舖師	zongpushi
肉凍	roudong
素滷飯	sulufan
粘豆包	zhandoubao
蔗糖	zhetang
刀削起泡酒	daoxueqipaojiu
明炉烧大海螺	minglushaodahailuo
足三兩	zusanliang
磷酸氫鈣	linsuanqinggai
烏斯班腸	wusibanchang
烤饼	kaobing
起司蟎	qisiman
咖央醬	kayangjiang
香飘飘奶茶	xiangpiaopiaonaicha
田鸡腿	tianjitui
马铃薯丸子	malingshuwanzi
木犀肉	muxirou
莜面栲栳栳	youmiankaolaolao
蚊餅	wenbing
摩摩喳喳	momozhazha
粉蒸肉	fenzhengrou
滷麵	lumian
拉普達麵包	lapudamianbao
太阳灶	taiyangzao
英國咖哩	yingguokali
水果盤	shuiguopan
鼠肉	shurou
熱香餅	rexiangbing
德式酸菜	deshisuancai
麥桂培	maiguipei
黑香肠	heixiangchang
加州月桂	jiazhouyuegui
麻油雞	mayouji
实蛋	shidan
海派川菜	haipaichuancai
檸檬冰盒派	ningmengbinghepai
亚琛姜饼	yachenjiangbing
中央廚房	zhongyangchufang
它似蜜	tashimi
豉油皇炒麵	shiyouhuangchaomian
乳脂鬆糕	ruzhisonggao
即溶咖啡	jirongkafei
霸王雞	bawangji
清補涼	qingbuliang
肌苷酸	jigansuan
鸡屎藤稞仔	jishitengkezai
茶葉蛋	chayedan
野薑花粽	yejianghuazong
滷水	lushui
米灌肠	miguanchang
肉醬	roujiang
比賓卡	bibinka
草莓派	caomeipai
饥渴游戏	jikeyouxi
热凝胶多糖	reningjiaoduotang
炒花飯	chaohuafan
椒鹽瀨尿蝦	jiaoyanlainiaoxia
炒烏冬	chaowudong
碘化钾	dianhuajia
黑豆燉肉	heidoudunrou
綠豆沙	lvdousha
網油蒸三鯠	wangyouzhengsanlai
肉糕	rougao
貴妃雞	guifeiji
鱼丸	yuwan
墨西哥小吃	moxigexiaochi
路德漢堡	ludehanbao
索马甜	suomatian
是議全書	shiyiquanshu
苦椒醬	kujiaojiang
奶油酥餅	naiyousubing
鍋料理	guoliaoli
狗肉	gourou
鸡蛋丝	jidansi
梨酯	lizhi
三氯蔗糖	sanlvzhetang
无焰加热器	wuyanjiareqi
思華力腸	sihualichang
上浆	shangjiang
羊蝎子	yangxiezi
卷饼	juanbing
芝加哥披薩	zhijiagepisa
蟹酿橙	xieniangcheng
琣伯莉餅乾	bengbolibingqian
韓式火鍋	hanshihuoguo
凝乳	ningru
桂花	guihua
西式餐具	xishicanju
鬲	ge
针柄勺	zhenbingshao
橄欖油	ganlanyou
紅豆粥	hongdouzhou
大浮藻屬	dafuzaoshu
鲜花饼	xianhuabing
辛巴夏	xinbaxia
料理偶像	liaoliouxiang
普切塔	puqieta
蘭巴斯	lanbasi
上午茶	shangwucha
布朗尼	bulangni
熱葷	rehun
雪米糍	xuemici
瑞士薯餅	ruishishubing
自然发酵乳	ziranfajiaoru
海鮮醬	haixianjiang
拳王開飯館	quanwangkaifanguan
朵爾瑪	duoerma
涼茶舖	liangchapu
乳豬醬	ruzhujiang
芋饅頭	yumantou
海带	haidai
炒	chao
分馏椰子油	fenliuyeziyou
匕	bi
咖啡香腸	kafeixiangchang
炙烤	zhikao
龙圩猪油饼	longweizhuyoubing
瑪莎拉雞肉	mashalajirou
型男大主廚	xingnandazhuchu
長莖葡萄蕨藻	zhangjingputaojuezao
次粉	cifen
紅豆麵包	hongdoumianbao
食品加工助劑	shipinjiagongzhuji
炸肉排	zharoupai
高粱	gaoliang
嘟嘟糕	dudugao
小炒	xiaochao
蝦子紮蹄	xiazizati
麵窩	mianwo
印度式腌菜	yindushiyancai
奇蹟的燒肉店	qijideshaoroudian
椒絲腐乳通菜	jiaosifurutongcai
乳清蛋白	ruqingdanbai
俱乐部三明治	julebusanmingzhi
官府菜	guanfucai
越南香蕉饼	yuenanxiangjiaobing
古罗马饮食	guluomayinshi
喬治五世酒店	qiaozhiwushijiudian
頂級廚師	dingjichushi
廚師	chushi
硬质奶酪	yingzhinailao
炸雞	zhaji
廣式點心	guangshidianxin
盨	xu
紅肉	hongrou
烹飪三角結構	pengrensanjiaojiegou
紫菜	zicai
大阪撻一餐	dabantayican
西班牙冷湯	xibanyalengtang
油炸麵食	youzhamianshi
栗子麵窩頭	lizimianwotou
廚藝學校	chuyixuexiao
雪梨茶	xuelicha
番茄湯	fanjiatang
酸化乳	suanhuaru
蓮茸	lianrong
吹肝	chuigan
豬大腸	zhudachang
竹蔗茅根水	zhuzhemaogenshui
麥工作	maigongzuo
蝦餅	xiabing
石莼属	shichunshu
氣炸鍋	qizhaguo
墨西哥烤肉	moxigekaorou
娘惹糕	niangregao
瑞士雞翼	ruishijiyi
德州吐司	dezhoutusi
板油布丁	banyoubuding
鋁箔紙	lvbozhi
混淆品	hunxiaopin
麵包機	mianbaoji
食物攪拌機	shiwujiaobanji
高粱屬	gaoliangshu
廣州四大酒家	guangzhousidajiujia
鯨魚肉	jingyurou
惠方卷	huifangjuan
炸魚皮	zhayupi
光澤劑	guangzeji
殼菜蛤科	kecaihake
保用證	baoyongzheng
鴛鴦炒飯	yuanyangchaofan
量杯	liangbei
古希臘葡萄酒	guxilaputaojiu
傅培梅	fupeimei
鴿肉	gerou
泰式炒宽粉	taishichaokuanfen
籺	he
羧甲基纖維素	suojiajixianweisu
奶昔	naixi
蓝莓派	lanmeipai
增稠剂	zengchouji
瓜	gua
鹰嘴豆泥	yingzuidouni
辣芒果	lamangguo
正餐	zhengcan
薑餅人	jiangbingren
魔鬼蛋	moguidan
黃牛木	huangniumu
粿条	guotiao
鴨肉	yarou
金錢蟹盒	jinqianxiehe
紅果接骨木	hongguojiegumu
糌粑	zanba
瓜菜代	guacaidai
蛇羹	shegeng
棉花雞	mianhuaji
御握	yuwo
火上锅	huoshangguo
夏里亞賓牛排	xialiyabinniupai
蔡明昊	caiminghao
豆蔻面包	doukoumianbao
帶子	daizi
墨西哥玉米片	moxigeyumipian
披萨	pisa
花环面包	huahuanmianbao
香脂醋	xiangzhicu
胡椒粉	hujiaofen
海藻酸	haizaosuan
沙爹香蕉	shadiexiangjiao
鸡糕	jigao
焗葡國雞飯	jupuguojifan
滑炒	huachao
生薑	shengjiang
黃梨餅	huanglibing
食品配料	shipinpeiliao
拿铁咖啡	natiekafei
泉州捆蹄	quanzhoukunti
魩仔魚	mozaiyu
燉奶	dunnai
芝司樂	zhisile
巧克力豆	qiaokelidou
酥油茶	suyoucha
印度煎饼	yindujianbing
泥	ni
侯皮亞	houpiya
甗	yan
蝦子撈麵	xiazilaomian
红椒酱	hongjiaojiang
泡菜鍋	paocaiguo
卡達伊夫	kadayifu
洗皮奶酪	xipinailao
一串心	yichuanxin
愛的爆彈	aidebaodan
大麻食品	damashipin
卡爾德拉塔	kaerdelata
饵丝	ersi
半乳甘露聚醣	banruganlujutang
糧食粉	liangshifen
甘草糖	gancaotang
牛脂	niuzhi
缅甸米线	miandianmixian
罗宋汤	luosongtang
西西里披薩	xixilipisa
飲食業	yinshiye
兔肉	turou
拉条子	latiaozi
馬里納拉醬	malinalajiang
石狩鍋	shishouguo
酸梅	suanmei
米线	mixian
高湯	gaotang
蘿蔔絲餅	luobosibing
富富	fufu
淀粉	dianfen
营养强化	yingyangqianghua
咖喱卜	kalibo
豆汁	douzhi
洋菜	yangcai
寧化老鼠乾	ninghualaoshuqian
赤藓醇	chixianchun
魚酥	yusu
酿造醋	niangzaocu
旺鸡蛋	wangjidan
萨赫蛋糕	sahedangao
米粒麵	milimian
黍	shu
莜麦	youmai
碗粿	wanguo
清蒸鲥鱼	qingzhengshiyu
索恩帕帕第	suoenpapadi
葡式国王蛋糕	pushiguowangdangao
炕窯	kangyao
波仔	bozai
午晚餐	wuwancan
手指餅乾	shouzhibingqian
雞肉腸	jirouchang
咖椰吐司	kayetusi
乾燒伊麵	qianshaoyimian
德国馄饨	deguohuntun
鱼皮花生	yupihuasheng
秬黍	jushu
老友粉	laoyoufen
豬仔餅	zhuzaibing
肠衣	changyi
龙井虾仁	longjingxiaren
南京板鸭	nanjingbanya
剝皮辣椒	bopilajiao
丘爾奇赫拉	qiuerqihela
烏賊飯	wuzeifan
蚵仔酥	hezaisu
苹果酸	pingguosuan
布尔桑奶酪	buersangnailao
幸福的保护色	xingfudebaohuse
马来粽	malaizong
膠原蛋白	jiaoyuandanbai
塔帕斯	tapasi
雞批	jipi
乳脂	ruzhi
綠咖哩	lvkali
迪南饼干	dinanbinggan
开塞钻	kaisaizuan
粉粿	fenguo
快餐国家	kuaicanguojia
闲聊	xianliao
小吃	xiaochi
炸鸡华夫饼	zhajihuafubing
清粥小菜	qingzhouxiaocai
灌腸	guanchang
葛菜水	gecaishui
禮云子	liyunzi
生粉	shengfen
四物湯	siwutang
红茶菌	hongchajun
國家冰淇淋月	guojiabingqilinyue
虎牌啤酒	hupaipijiu
鸡鸭血汤	jiyaxuetang
果寡糖	guoguatang
猪板油	zhubanyou
玉米片	yumipian
叉勺	chashao
擂茶粥	leichazhou
豆醬雞	doujiangji
芋泥	yuni
卡蘇馬蘇乳酪	kasumasurulao
武唻	wulai
麵包屑	mianbaoxie
牛腦	niunao
印尼菜	yinnicai
甘露煮	ganluzhu
糖醋	tangcu
圆面包	yuanmianbao
棕奶酪	zongnailao
菜籽油	caiziyou
鸡蛋沙拉	jidanshala
五香粉	wuxiangfen
南昌炒粉	nanchangchaofen
冷泉伏特加	lengquanfutejia
龐多米麵包	pangduomimianbao
蒸米漿糕	zhengmijianggao
柠檬虾	ningmengxia
电饭煲	dianfanbao
肉錘	rouchui
满洲菜	manzhoucai
陆记烫面炸糕	lujitangmianzhagao
裸麥	luomai
水煎包	shuijianbao
自热食品	zireshipin
日本甘酒	ribenganjiu
香米	xiangmi
糖果	tangguo
寵物食品	chongwushipin
美式炸雞柳	meishizhajiliu
焦糖牛奶醬	jiaotangniunaijiang
白布丁	baibuding
乾貨	qianhuo
單餅	danbing
辣酒煮花螺	lajiuzhuhualuo
丸子	wanzi
酸辣粉	suanlafen
蘋果西打	pingguoxida
燒水壺	shaoshuihu
吳氏中饋錄	wushizhongkuilu
伯方之鹽	bofangzhiyan
鳄梨油	eliyou
福懋油脂	fumaoyouzhi
焗烤千層茄子	jukaoqiancengjiazi
西班牙大鍋飯	xibanyadaguofan
冰島優格	bingdaoyouge
四神湯	sishentang
蒸籠	zhenglong
肉卷	roujuan
蕉	jiao
清水燒	qingshuishao
竹籤	zhuqian
義式冰淇淋	yishibingqilin
发酵乳制品	fajiaoruzhipin
白汁	baizhi
饼干	binggan
加羅夫飯	jialuofufan
假祭祀飯	jiajisifan
咖哩魷魚	kaliyouyu
鉢	bo
溫滷麵	wenlumian
京料理	jingliaoli
黄金大米	huangjindami
仙人掌茎片	xianrenzhangjingpian
豆腐渣	doufuzha
牛雜	niuza
汤	tang
乌米饭	wumifan
茄盒	jiahe
印尼雞湯	yinnijitang
邁索爾甜點	maisuoertiandian
哈羅米芝士	haluomizhishi
軟雪糕	ruanxuegao
星洲炒米	xingzhouchaomi
海南粉	hainanfen
關華豆膠	guanhuadoujiao
清真菜	qingzhencai
麻痺性貝毒	mabixingbeidu
辣椒仔	lajiaozai
千島醬	qiandaojiang
麴酸	qusuan
白米	baimi
菜包肉	caibaorou
木糖醇	mutangchun
美味關係	meiweiguanxi
月饼	yuebing
骨董麵	gudongmian
均安蒸豬	junanzhengzhu
天菜大廚	tiancaidachu
锅贴	guotie
穀麥	gumai
丹麥燒肉	danmaishaorou
英吉拉	yingjila
米糕	migao
煙熏液	yanxunye
鮮乳	xianru
廣南麵	guangnanmian
凍肉	dongrou
维吉麦	weijimai
德式煎土豆	deshijiantudou
怪味雞	guaiweiji
宇治金時	yuzhijinshi
油酸丁酯	yousuandingzhi
椰子油	yeziyou
手抓蕉叶饭	shouzhuajiaoyefan
料酒	liaojiu
蜜瓜火腿	miguahuotui
韓國麻糬麵包	hanguomashumianbao
外交官蛋糕	waijiaoguandangao
虱目魚肚	shimuyudu
洋糖糕	yangtanggao
松露	songlu
和三盆	hesanpen
烤焦麵包	kaojiaomianbao
食客	shike
烟熏肉	yanxunrou
雞包仔	jibaozai
白酒醋	baijiucu
緬梔花	mianzhihua
蛋类	danlei
蒸肉餅	zhengroubing
龍鳳掛麵	longfengguamian
仿真乾酪	fangzhenqianlao
蒸飯	zhengfan
魚頭米粉	yutoumifen
蒜茸鉗	suanrongqian
披萨奶酪	pisanailao
基貝	jibei
食用油	shiyongyou
味醂	weilan
椰果	yeguo
吉列	jilie
檸檬酸氫二鈉	ningmengsuanqingerna
緬甸奶茶	miandiannaicha
釜	fu
川扬菜	chuanyangcai
菊苣	juju
刺身	cishen
肉类食物	rouleishiwu
錦滷餛飩	jinluhuntun
放題	fangti
鐵板餐	tiebancan
中华蔗糖史	zhonghuazhetangshi
糖油粑粑	tangyoubaba
杉藻目	shanzaomu
茶盞	chazhan
瓦哈卡石頭湯	wahakashitoutang
水果麵包	shuiguomianbao
烤面包机	kaomianbaoji
深坑豆腐	shenkengdoufu
高粱饴	gaoliangyi
麦仁	mairen
凉拌卷心菜	liangbanjuanxincai
豆粕	doupo
砵仔糕	bozaigao
翼蓟	yiji
越瓜菜	yueguacai
方便米飯	fangbianmifan
生鮮食品	shengxianshipin
山梨醇	shanlichun
御穀	yugu
馬豆糕	madougao
柚子胡椒	youzihujiao
吉巴尼察	jibanicha
塔布勒沙拉	tabuleishala
烹	peng
九层粿	jiucengguo
棉籽油	mianziyou
厨房辩论	chufangbianlun
紫菜属	zicaishu
正山小种	zhengshanxiaozhong
雜飯	zafan
柿餅	shibing
意大利辣香肠	yidalilaxiangchang
八珍炒麵	bazhenchaomian
紅燒大網鮑	hongshaodawangbao
蝦子花生	xiazihuasheng
干海产	ganhaichan
義麵和肉丸	yimianherouwan
基塞爾	jisaier
煤油爐	meiyoulu
我愛廚房	woaichufang
烤香腸	kaoxiangchang
保鮮紙	baoxianzhi
沙拉油	shalayou
帕玛拉特	pamalate
無肉日	wurouri
冒煙點	maoyandian
巧克力球	qiaokeliqiu
白花蛇舌草	baihuasheshecao
炮	pao
冬蔭	dongyin
咖啡機	kafeiji
惡魔羊腰	emoyangyao
大白兔奶糖	dabaitunaitang
穀物種植業	guwuzhongzhiye
陶罐燉煮	taoguandunzhu
蛤蜊汁	halizhi
美味大挑戰	meiweidatiaozhan
電磁爐	diancilu
火鸡培根	huojipeigen
乳酪熱狗	rulaoregou
聖誕節麵包	shengdanjiemianbao
庇護五世	bihuwushi
益力多	yiliduo
灶	zao
肉丸	rouwan
中国菜	zhongguocai
仙茅甜蛋白	xianmaotiandanbai
茴香豆	huixiangdou
鞋底烧饼	xiedishaobing
金香貴刁	jinxiangguidiao
苦根	kugen
葡甘露聚醣	puganlujutang
蒸魚	zhengyu
客家黄酒	kejiahuangjiu
澳洲春卷	aozhouchunjuan
杂谷	zagu
牛排飯	niupaifan
鯪魚球	lingyuqiu
西双版纳黄瓜	xishuangbannahuanggua
娘惹淋麵	niangrelinmian
月见草	yuejiancao
紅豆沙	hongdousha
穀子	guzi
廚佛瑞德	chufuruide
蒙古包子	menggubaozi
滷水墨魚	lushuimoyu
压缩干粮	yasuoganliang
意式奶凍	yishinaidong
隔熱墊	geredian
腸仔包	changzaibao
沙卡蔬卡	shakashuka
波倫塔	bolunta
鹅掌菜	ezhangcai
牛肉面	niuroumian
涼果	liangguo
氣爐	qilu
樂家杏仁糖	lejiaxingrentang
滿漢全席	manhanquanxi
葱油拌面	congyoubanmian
頭抽	touchou
阿吉卡	ajika
石磨	shimo
紅石榴糖漿	hongshiliutangjiang
糖漬栗子	tangzilizi
馬鈴薯澱粉	malingshudianfen
茶粄	chaban
萝卜粄	luoboban
医生香肠	yishengxiangchang
潤餅卷	runbingjuan
炖菜	duncai
狂歡節	kuanghuanjie
食用鱼	shiyongyu
炸丸子	zhawanzi
沙田雞粥	shatianjizhou
白云猪手	baiyunzhushou
生菜包	shengcaibao
浮水虱目魚羹	fushuishimuyugeng
牛百叶	niubaiye
辣椒	lajiao
掸族豆腐面	danzudoufumian
薑	jiang
尼斯洋葱塔	nisiyangcongta
蜑家雞	danjiaji
烹飪書	pengrenshu
熏	xun
炒蛋	chaodan
金沙雞	jinshaji
冰山大火	bingshandahuo
燕麦	yanmai
快餐	kuaican
黃綠色蔬菜	huanglvseshucai
素齋	suzhai
梅格茲香腸	meigezixiangchang
皱胃酶	zhouweimei
圆长旋螺	yuanzhangxuanluo
辣肉酱	laroujiang
复活节彩蛋	fuhuojiecaidan
咖啡代用品	kafeidaiyongpin
炸豆腐	zhadoufu
老麵	laomian
