# 泰深输入法专业词库 — 动物
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
不列颠哥伦比亚狼	buliediangelunbiyalang
不列颠猫	buliedianmao
不列颠高手水母	buliediangaoshoushuimu
不孝鸟	buxiaoniao
不对称招潮蟹	buduichengzhaochaoxie
不显口鼻蝇	buxiankoubiying
不等刺毛圆线虫	budengcimaoyuanxianchong
不等叶华溪蟹	budengyehuaxixie
不等齿突猫萤	budengchitumaoying
不老泉鱼	bulaoquanyu
不莱梅乐队	bulaimeiyuedui
不规则古杯类	buguizegubeilei
不规则橄榄虫	buguizeganlanchong
不规则海胆亚纲	buguizehaidanyagang
不规则纺锤螺	buguizefangchuiluo
与动物对话	yudongwuduihua
丑侏鰕虎鱼	chouzhuxiahuyu
丑双棘矛吻海龙	choushuangjimaowenhailong
丑瓢鳍鰕虎鱼	choupiaoqixiahuyu
专性厌气性动物	zhuanxingyanqixingdongwu
专性厌氧型	zhuanxingyanyangxing
专性寄生虫	zhuanxingjishengchong
专性滞育	zhuanxingzhiyu
世界动物地理分区	shijiedongwudilifenqu
世界动物日	shijiedongwuri
世界最小苍蝇	shijiezuixiaocangying
世界海洋水产图谱	shijiehaiyangshuichantupu
世界犬种智商排行	shijiequanzhongzhishangpaihang
世界蝴蝶分类名录	shijiehudiefenleiminglu
丙酸锌	bingsuanxin
丛林八哥	conglinbage
丛林齁	conglinhou
丛毛展须野螟	congmaozhanxuyeming
丛猴	conghou
东丰型梅花鹿	dongfengxingmeihualu
东乡黑羽绿壳蛋鸡	dongxiangheiyulvkedanji
东亚伪花天牛	dongyaweihuatianniu
东亚半酉尺蛾	dongyabanyouchie
东亚壳菜蛤	dongyakecaiha
东亚毛肩长蝽	dongyamaojianzhangchun
东亚江豚	dongyajiangtun
东亚豆粉蝶	dongyadoufendie
东京电鳐圆电鳐	dongjingdianyaoyuandianyao
东加拿大狼	dongjianadalang
东加碧丽宝石	dongjiabilibaoshi
东北梅花鹿	dongbeimeihualu
东北裂鞘叶	dongbeilieqiaoye
东台鮈	dongtaiju
东坡墨鱼	dongpomoyu
东坡长汀拟腹吸鳅	dongpochangtingnifuxiqiu
东大西洋莱苏尔鰕	dongdaxiyanglaisuerxia
东太平洋新后鳍鱼	dongtaipingyangxinhouqiyu
东平湖中华园田螺	dongpinghuzhonghuayuantianluo
东德德牧	dongdedemu
东方全藻钩虾	dongfangquanzaogouxia
东方叽咋柳莺	dongfangjizaliuying
东方墨头鱼	dongfangmotouyu
东方宽吻海豚	dongfangkuanwenhaitun
东方宽帽水母	dongfangkuanmaoshuimu
东方小肉伪蝎	dongfangxiaorouweixie
东方新带鰆	dongfangxindaichun
东方日射贝	dongfangrishebei
东方植食行军蚁	dongfangzhishixingjunyi
东方欧文钖伯鲶	dongfangouwenyangbonian
东方毛圆线虫	dongfangmaoyuanxianchong
东方白背秃鹰	dongfangbaibeituying
东方直脉蝇	dongfangzhimaiying
东方窄体吸虫	dongfangzhaitixichong
东方莹虾	dongfangyingxia
东方裸棘杜父鱼	dongfangluojidufuyu
东方角胫步甲	dongfangjiaojingbujia
东方角额小蜂	dongfangjiaoexiaofeng
东方足刺模裂虫	dongfangzucimoliechong
东欧田鼠	dongoutianshu
东海腔吻鱈	donghaiqiangwenxue
东玫瑰鹦鹉	dongmeiguiyingwu
东菲比霸鹟	dongfeibibaweng
东菲黄肚橙公鱼	dongfeihuangduchenggongyu
东部灰大袋鼠	dongbuhuidadaishu
东部玫瑰鹦鹉	dongbumeiguiyingwu
东部黑冠长臂猿	dongbuheiguanchangbiyuan
东非光唇鲨	dongfeiguangchunsha
东非直角长角羚	dongfeizhijiaozhangjiaoling
东非角巴布	dongfeijiaobabu
东非金织雀	dongfeijinzhique
东非长尾伯劳	dongfeizhangweibolao
东风脊茧蜂	dongfengjijianfeng
东高加索羱羊	donggaojiasuoyuanyang
丝尾凹尾塘鳢	siweiaoweitangli
丝朿蛤属	sicihashu
