# 泰深输入法专业词库 — 计算机/IT
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
串匹配	chuanpipei
串口硬盘	chuankouyingpan
串口编程	chuankoubiancheng
串口调试	chuankoutiaoshi
串口通信	chuankoutongxin
串口通讯	chuankoutongxun
串处理	chuanchuli
串并	chuanbing
串并转换器	chuanbingzhuanhuanqi
串扰	chuanrao
串联匹配	chuanlianpipei
串行任务	chuanxingrenwu
串行传输	chuanxingchuanshu
串行加法器	chuanxingjiafaqi
串行排序	chuanxingpaixu
串行端口	chuanxingduankou
串行计算机	chuanxingjisuanji
串行调度	chuanxingdiaodu
串行通信	chuanxingtongxin
串行队列	chuanxingduilie
临时对象	linshiduixiang
临时表空间	linshibiaokongjian
临界区	linjiequ
临界控制	linjiekongzhi
临界资源	linjieziyuan
主从切换	zhucongqiehuan
主从同步	zhucongtongbu
主从配置	zhucongpeizhi
主体技术	zhutijishu
主元素	zhuyuansu
主函数	zhuhanshu
主副本	zhufuben
主功能函数	zhugongnenghanshu
主动动词	zhudongdongci
主动查询	zhudongchaxun
主动视觉	zhudongshijue
主存数据库	zhucunshujuku
主密钥	zhumiyao
主属性	zhushuxing
主席树	zhuxishu
主成分分析	zhuchengfenfenxi
主数据	zhushuju
主文件	zhuwenjian
主方法	zhufangfa
主时钟	zhushizhong
主机密钥	zhujimiyao
主机操作系统	zhujicaozuoxitong
主流处理器	zhuliuchuliqi
主流框架	zhuliukuangjia
主线程	zhuxiancheng
主语言	zhuyuyan
主键生成策略	zhujianshengchengcelve
主键策略	zhujiancelve
主题切换	zhutiqiehuan
主题模型	zhutimoxing
乐器数字接口	yueqishuzijiekou
乐观锁	leguansuo
乒乓模式	pingpangmoshi
乘商寄存器	chengshangjicunqi
乘方运算	chengfangyunsuan
乘法口诀表	chengfakoujuebiao
乘法逆元	chengfaniyuan
乘积最大	chengjizuida
九九乘法表	jiujiuchengfabiao
九大内置对象	jiudaneizhiduixiang
九章算法	jiuzhangsuanfa
书店系统	shudianxitong
书籍推荐	shujituijian
乱码解决	luanmajiejue
乱码问题	luanmawenti
争用	zhengyong
争用条件	zhengyongtiaojian
事件代理	shijiandaili
事件传递	shijianchuandi
事件传递机制	shijianchuandijizhi
事件冒泡	shijianmaopao
事件冲突	shijianchongtu
事件分发	shijianfenfa
事件分发机制	shijianfenfajizhi
事件响应	shijianxiangying
事件处理机制	shijianchulijizhi
事件委托	shijianweituo
事件对象	shijianduixiang
事件引擎	shijianyinqing
事件总线	shijianzongxian
事件拦截	shijianlanjie
事件捕获	shijianbuhuo
事件控制	shijiankongzhi
事件控制块	shijiankongzhikuai
事件描述	shijianmiaoshu
事件方式	shijianfangshi
事件机制	shijianjizhi
事件查询	shijianchaxun
事件模型	shijianmoxing
事件流	shijianliu
事件源	shijianyuan
事件监听	shijianjianting
事件监听器	shijianjiantingqi
事件系统	shijianxitong
事件绑定	shijianbangding
事件表	shijianbiao
事件触发	shijianchufa
事件转移	shijianzhuanyi
事件过滤器	shijianguolvqi
事件驱动程序	shijianqudongchengxu
事件驱动语言	shijianqudongyuyan
事务分析	shiwufenxi
事务回滚	shiwuhuigun
事务处理系统	shiwuchulixitong
事务控制	shiwukongzhi
事务时间	shiwushijian
事务死锁	shiwusisuo
事务调度	shiwudiaodu
事务隔离	shiwugeli
事务隔离级别	shiwugelijibie
事务驱动	shiwuqudong
事实库	shishiku
事物管理	shiwuguanli
二值化	erzhihua
二值图像	erzhituxiang
二元语法	eryuanyufa
二分三分	erfensanfen
二分判断	erfenpanduan
二分匹配	erfenpipei
二分图	erfentu
二分图判定	erfentupanding
二分图匹配	erfentupipei
二分图染色	erfenturanse
二分思想	erfensixiang
二分插入	erfencharu
二分插入排序	erfencharupaixu
二分搜索	erfensousuo
二分查找	erfenchazhao
二分查找法	erfenchazhaofa
二分查找算法	erfenchazhaosuanfa
二分求幂	erfenqiumi
二分法查找	erfenfachazhao
二分猜答案	erfencaidaan
二分答案	erfendaan
二分类	erfenlei
二叉堆	erchadui
二叉平衡树	erchapinghengshu
二叉排序树	erchapaixushu
二叉搜索树	erchasousuoshu
二叉树各种	erchashugezhong
二叉树深度	erchashushendu
二叉树的遍历	erchashudebianli
二叉树遍历	erchashubianli
二叉索引树	erchasuoyinshu
二叉链表	erchalianbiao
二层交换	ercengjiaohuan
二次剩余	ercishengyu
二次排序	ercipaixu
二次采样	ercicaiyang
二级指针	erjizhizhen
二级索引	erjisuoyin
二级联动	erjiliandong
二级菜单	erjicaidan
二级高速缓存	erjigaosuhuancun
二维几何	erweijihe
二维树状数组	erweishuzhuangshuzu
二维码扫描	erweimasaomiao
二维码生成	erweimashengcheng
二维码签到	erweimaqiandao
二维线段树	erweixianduanshu
二维背包	erweibeibao
二路归并	erluguibing
二进制优化	erjinzhiyouhua
二进制单元	erjinzhidanyuan
二进制大对象	erjinzhidaduixiang
二进制字符	erjinzhizifu
二进制数	erjinzhishu
二进制数字	erjinzhishuzi
二进制文件	erjinzhiwenjian
二进制日志	erjinzhirizhi
二进制枚举	erjinzhimeiju
二进制流	erjinzhiliu
二进制运算	erjinzhiyunsuan
二重指针	erchongzhizhen
云主机	yunzhuji
云告警	yungaojing
云备份	yunbeifen
云存储	yuncunchu
云安全	yunanquan
云平台	yunpingtai
云托管	yuntuoguan
云技术	yunjishu
云操作系统	yuncaozuoxitong
云数据库	yunshujuku
云服务	yunfuwu
云栖社区	yunqishequ
云测试	yunceshi
云环境	yunhuanjing
云监控	yunjiankong
云管理平台	yunguanlipingtai
云视频	yunshipin
云计算	yunjisuan
云计算大数据	yunjisuandashuju
云计算平台	yunjisuanpingtai
云计算应用	yunjisuanyingyong
云计算开发	yunjisuankaifa
云计算服务	yunjisuanfuwu
云课堂	yunketang
云音乐	yunyinyue
互操作程序集	hucaozuochengxuji
互斥对象	huchiduixiang
互斥量	huchiliang
互联网产品	hulianwangchanpin
互联网公司	hulianwanggongsi
互联网创业	hulianwangchuangye
互联网大会	hulianwangdahui
互联网广告	hulianwangguanggao
互联网应用	hulianwangyingyong
互联网开发	hulianwangkaifa
互联网教育	hulianwangjiaoyu
