# 泰深输入法专业词库 — computer
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
火蜂	huofeng
性能优化	xingnengyouhua
海拔	haiba
文档对象模型	wendangduixiangmoxing
週波未定值	zhouboweidingzhi
有声思维法	youshengsiweifa
供应链攻击	gongyingliangongji
逻辑优化	luojiyouhua
药效团	yaoxiaotuan
次超级计算机	cichaojijisuanji
问题管理	wentiguanli
瑞芯微電子	ruixinweidianzi
雲端運算安全	yunduanyunsuananquan
离散偶极近似	lisanoujijinshi
开放蠕虫	kaifangruchong
中间人攻击	zhongjianrengongji
电子飞行包	dianzifeixingbao
灰色軟件	huiseruanjian
语法分析	yufafenxi
假精確	jiajingque
头盔显示器	toukuixianshiqi
别名	bieming
位图	weitu
楊明玄	yangmingxuan
生物识别技术	shengwushibiejishu
句柄	jubing
语法糖	yufatang
推理語言模型	tuiliyuyanmoxing
邵逸夫獎	shaoyifujiang
限制	xianzhi
非對稱多處理	feiduichengduochuli
系統管理	xitongguanli
代码重构	daimazhonggou
货物崇拜编程	huowuchongbaibiancheng
向下兼容	xiangxiajianrong
三位址碼	sanweizhima
蛇形命名法	shexingmingmingfa
環形緩衝區	huanxinghuanchongqu
頭等物件	toudengwujian
醫療用機器人	yiliaoyongjiqiren
漏洞利用	loudongliyong
算法导论	suanfadaolun
樹狀結構	shuzhuangjiegou
黄铭钧	huangmingjun
块	kuai
窗口管理器	chuangkouguanliqi
材質過濾	caizhiguolv
巨像	juxiang
聚斂性思考	julianxingsikao
自指	zizhi
模糊逻辑	mohuluoji
臨界區段	linjiequduan
综合数据库	zongheshujuku
社会工程学	shehuigongchengxue
工作量證明	gongzuoliangzhengming
单片系统	danpianxitong
柏拉圖系統	bailatuxitong
所见即所思	suojianjisuosi
智能恒温器	zhinenghengwenqi
資訊行為	zixunxingwei
反间谍软件	fanjiandieruanjian
机器人法则	jiqirenfaze
黑洞資訊悖論	heidongzixunbeilun
诅咒金字塔	zuzhoujinzita
贝尔定理	beierdingli
掌上遊戲機	zhangshangyouxiji
信源编码定理	xinyuanbianmadingli
核心转储	hexinzhuanchu
极性表面积	jixingbiaomianji
软件部署	ruanjianbushu
一次且仅一次	yiciqiejinyici
密涅瓦	miniewa
机器人学	jiqirenxue
泪滴攻击	leidigongji
动作电位	dongzuodianwei
多元處理	duoyuanchuli
數學函數手冊	shuxuehanshushouce
校验码	xiaoyanma
莫里斯方法	molisifangfa
軟體套裝	ruantitaozhuang
反應坐標	fanyingzuobiao
几何模型	jihemoxing
局部收敛	jubushoulian
光影魔术手	guangyingmoshushou
魔術數字	moshushuzi
系統設計	xitongsheji
卫语句	weiyuju
四軸無人機	sizhouwurenji
集成开发环境	jichengkaifahuanjing
暗剑无人机	anjianwurenji
机器人世界杯	jiqirenshijiebei
线性码	xianxingma
分時系統	fenshixitong
奇异边界法	qiyibianjiefa
命令语言	minglingyuyan
文学编程	wenxuebiancheng
蚂蚁阿福	mayiafu
单一功能原则	danyigongnengyuanze
不可克隆原理	bukekelongyuanli
元胞列表	yuanbaoliebiao
线程	xiancheng
螺旋模型	luoxuanmoxing
哥德尔奖	gedeerjiang
腦力激盪法	naolijidangfa
量子線路	liangzixianlu
万维网	wanweiwang
心流理論	xinliulilun
嵌入式控制器	qianrushikongzhiqi
有疏漏性邏輯	youshulouxingluoji
顺序表	shunxubiao
單用戶模式	danyonghumoshi
意图编程	yitubiancheng
虛擬執行系統	xunizhixingxitong
激活扩散	jihuokuosan
前向声明	qianxiangshengming
凹语言	aoyuyan
工具规律	gongjuguilv
模块化编程	mokuaihuabiancheng
模糊控制	mohukongzhi
统一访问原则	tongyifangwenyuanze
人工意識	rengongyishi
神经振荡	shenjingzhendang
自動駕駛汽車	zidongjiashiqiche
分子納米技術	fenzinamijishu
量子機器學習	liangzijiqixuexi
廣域網路優化	guangyuwangluyouhua
代码复用	daimafuyong
圖形處理器	tuxingchuliqi
重复数据删除	zhongfushujushanchu
计算机系统	jisuanjixitong
纳特	nate
卡片分類法	kapianfenleifa
日志轮替	rizhilunti
分子查询语言	fenzichaxunyuyan
垂直速度表	chuizhisudubiao
感知器	ganzhiqi
计算几何	jisuanjihe
流程图	liuchengtu
莱特希尔报告	laitexierbaogao
自動駕駛	zidongjiashi
人造脑	renzaonao
游標	youbiao
知識圖譜	zhishitupu
阅读机	yueduji
西风号无人机	xifenghaowurenji
计算机图形学	jisuanjituxingxue
电池管理系统	dianchiguanlixitong
整数分解	zhengshufenjie
相位因子	xiangweiyinzi
时序差分学习	shixuchafenxuexi
綁紮	bangza
订阅号助手	dingyuehaozhushou
图灵焦油坑	tulingjiaoyoukeng
苏服办	sufuban
玻璃驾驶舱	bolijiashicang
蘋果開發工具	pingguokaifagongju
无痕浏览	wuhenliulan
自动编程	zidongbiancheng
组装理论	zuzhuanglilun
南相浩	nanxianghao
网络本体语言	wangluobentiyuyan
主板	zhuban
反鋸齒	fanjuchi
译码方法	yimafangfa
李凯	likai
信念修正	xinnianxiuzheng
故障容許度	guzhangrongxudu
劉炯朗	liujionglang
统计流形	tongjiliuxing
埃朗	ailang
布洛赫球面	buluoheqiumian
羅布納獎	luobunajiang
分支	fenzhi
量子位元	liangziweiyuan
活动模板库	huodongmobanku
垫片	dianpian
二维数组	erweishuzu
分子动力学	fenzidonglixue
存储程序	cunchuchengxu
建模语言	jianmoyuyan
跳跃逆转定理	tiaoyuenizhuandingli
陈品山	chenpinshan
伪代码	weidaima
实时计算	shishijisuan
資訊處理語言	zixunchuliyuyan
人工智慧低谷	rengongzhihuidigu
狄拉克符号	dilakefuhao
大型计算机	daxingjisuanji
決定性問題	juedingxingwenti
软件质量	ruanjianzhiliang
第一人稱視角	diyirenchengshijiao
條件	tiaojian
幻影鰩無人機	huanyingyaowurenji
数据库管理员	shujukuguanliyuan
字母表	zimubiao
无人机竞速	wurenjijingsu
链接期	lianjieqi
计算机图形	jisuanjituxing
动态语言	dongtaiyuyan
姿态指引仪	zitaizhiyinyi
网络控制协议	wangluokongzhixieyi
混合智能系統	hunhezhinengxitong
离散数学	lisanshuxue
学习管理系统	xuexiguanlixitong
安全性測試	anquanxingceshi
通用中间语言	tongyongzhongjianyuyan
驾考宝典	jiakaobaodian
可计算函数	kejisuanhanshu
简单匹配系数	jiandanpipeixishu
正算子值测度	zhengsuanzizhicedu
行號	xinghao
多目标优化	duomubiaoyouhua
九點模版	jiudianmoban
色彩深度	secaishendu
结构归纳法	jiegouguinafa
系统时间	xitongshijian
黃岳永	huangyueyong
核心态	hexintai
电子电路设计	dianzidianlusheji
信号检测理论	xinhaojiancelilun
喷泉码	penquanma
时分多路复用	shifenduolufuyong
网页开发者	wangyekaifazhe
视觉处理单元	shijuechulidanyuan
饥饿	jie
數據流量控制	shujuliuliangkongzhi
蛋糕數	dangaoshu
程式語言世代	chengshiyuyanshidai
总线仲裁	zongxianzhongcai
契约式设计	qiyueshisheji
劉維爾函數	liuweierhanshu
化学文件格式	huaxuewenjiangeshi
形式语义学	xingshiyuyixue
編譯器	bianyiqi
量子編程	liangzibiancheng
机器语言	jiqiyuyan
环境权限	huanjingquanxian
梯度下降法	tiduxiajiangfa
可微分编程	keweifenbiancheng
网站无障碍	wangzhanwuzhangai
周志华	zhouzhihua
周二补丁日	zhouerbudingri
游戏编程	youxibiancheng
演员模型	yanyuanmoxing
管道	guandao
鑿壁上網	zaobishangwang
程式理解	chengshilijie
資訊設備	zixunshebei
失效靜默系統	shixiaojingmoxitong
非真实感绘制	feizhenshiganhuizhi
色彩平衡	secaipingheng
嵌入式軟體	qianrushiruanti
理查森外推法	lichasenwaituifa
具身智能	jushenzhineng
数学标记语言	shuxuebiaojiyuyan
電腦科學家	diannaokexuejia
壓縮感知	yasuoganzhi
邱锂力	qiulili
神经结构搜索	shenjingjiegousousuo
快捷指令	kuaijiezhiling
可废止逻辑	kefeizhiluoji
元字符	yuanzifu
心物問題	xinwuwenti
碳循環	tanxunhuan
协作开发环境	xiezuokaifahuanjing
共享库	gongxiangku
动态链接库	dongtailianjieku
三个世界理论	sangeshijielilun
着色器	zheseqi
韌體	renti
计算机硬件	jisuanjiyingjian
概率编程	gailvbiancheng
成人世界	chengrenshijie
错误消息	cuowuxiaoxi
奈米機器人學	naimijiqirenxue
起源	qiyuan
塔珀自指公式	tapozizhigongshi
副作用	fuzuoyong
伊朗无人机	yilangwurenji
互信息	huxinxi
量子演算法	liangziyansuanfa
符号表	fuhaobiao
微调	weidiao
陳縕儂	chenyunnong
資料壓縮比	ziliaoyasuobi
自描述	zimiaoshu
测试驱动开发	ceshiqudongkaifa
寫入時複製	xierushifuzhi
语义网	yuyiwang
即時編譯	jishibianyi
晶體電腦	jingtidiannao
列表構造函數	liebiaogouzaohanshu
斜堆	xiedui
智能鎖	zhinengsuo
广义信息论	guangyixinxilun
普适计算	pushijisuan
开箱即用	kaixiangjiyong
代码重复	daimazhongfu
行为时序逻辑	xingweishixuluoji
代码库	daimaku
模糊電子學	mohudianzixue
可扩展编程	kekuozhanbiancheng
符号积分	fuhaojifen
等候理論	denghoulilun
十字链表	shizilianbiao
模糊數	mohushu
忙碌等待	mangludengdai
付費軟體	fufeiruanti
全动态影像	quandongtaiyingxiang
鄭利明	zhengliming
提喻法	tiyufa
勇者王	yongzhewang
生成树	shengchengshu
基于原型编程	jiyuyuanxingbiancheng
軟件版本週期	ruanjianbanbenzhouqi
数值分析	shuzhifenxi
贝奥武夫机群	beiaowufujiqun
带宽	daikuan
語音產生裝置	yuyinchanshengzhuangzhi
聯發科技曦力	lianfakejixili
软件工程师	ruanjiangongchengshi
软件膨胀	ruanjianpengzhang
乘碼	chengma
開放平臺	kaifangpingtai
集中式計算	jizhongshijisuan
停机问题	tingjiwenti
層	ceng
偉大的人類	weidaderenlei
註解	zhujie
网络编码	wangluobianma
量子密鑰分發	liangzimiyaofenfa
转弯限制路由	zhuanwanxianzhiluyou
保序回归	baoxuhuigui
对偶码	duiouma
交互设计	jiaohusheji
板级支持包	banjizhichibao
重写逻辑	zhongxieluoji
均匀访存模型	junyunfangcunmoxing
香农极限	xiangnongjixian
编程范型	bianchengfanxing
详细模式	xiangximoshi
帧缓冲器	zhenhuanchongqi
郭大維	guodawei
计算机代码	jisuanjidaima
無人水下載具	wurenshuixiazaiju
至强融核	zhiqiangronghe
版本控制	banbenkongzhi
构想	gouxiang
马匡六	makuangliu
显示模式设定	xianshimoshisheding
桩	zhuang
實例變數	shilibianshu
词法分析	cifafenxi
自动认识逻辑	zidongrenshiluoji
體驗設計	tiyansheji
软件腐败	ruanjianfubai
梅特卡夫定律	meitekafudinglv
机器学习	jiqixuexi
相容性測試	xiangrongxingceshi
身心靈	shenxinling
心跳机制	xintiaojizhi
金钟罩	jinzhongzhao
正弦波合成	zhengxianbohecheng
数据冗余	shujurongyu
逆序对	nixudui
维特比算法	weitebisuanfa
貝爾態	beiertai
增量计算	zengliangjisuan
用戶頁	yonghuye
数组	shuzu
可计算性理论	kejisuanxinglilun
计算机安全	jisuanjianquan
機器記者	jiqijizhe
模式匹配	moshipipei
死锁	sisuo
寫死	xiesi
精靈	jingling
强名称	qiangmingcheng
张量处理单元	zhangliangchulidanyuan
计算力学	jisuanlixue
杨立昆	yanglikun
蒙地卡羅方法	mengdikaluofangfa
数据科学家	shujukexuejia
高阶逻辑	gaojieluoji
電子試算表	dianzishisuanbiao
动态电压调节	dongtaidianyadiaojie
不变条件	bubiantiaojian
循环展开	xunhuanzhankai
多重编程范型	duozhongbianchengfanxing
特性切换	texingqiehuan
串流處理	chuanliuchuli
面条式代码	miantiaoshidaima
离散优化	lisanyouhua
目标代码	mubiaodaima
量子隱形傳態	liangziyinxingchuantai
樊文飞	fanwenfei
在線燒錄	zaixianshaolu
向後移植	xianghouyizhi
伪多项式时间	weiduoxiangshishijian
灰色粘质	huisezhanzhi
计算思维	jisuansiwei
自動微分	zidongweifen
矩阵分析	juzhenfenxi
延迟着色	yanchizhese
業務物件	yewuwujian
指令表	zhilingbiao
資料平行	ziliaopingxing
逆运动学	niyundongxue
数据压缩	shujuyasuo
腳本理論	jiaobenlilun
小冰	xiaobing
向量处理器	xiangliangchuliqi
虛擬系統	xunixitong
雷米茲演算法	leimiziyansuanfa
图灵奖	tulingjiang
自由能微扰	ziyounengweirao
图	tu
圖靈完備性	tulingwanbeixing
分割畫面	fengehuamian
自我管理	ziwoguanli
逻辑单元号	luojidanyuanhao
自动推理	zidongtuili
队列	duilie
海龟绘图	haiguihuitu
差分	chafen
編號	bianhao
抗輻射強化	kangfusheqianghua
信息保障	xinxibaozhang
守卫命令语言	shouweiminglingyuyan
弈心	yixin
人工智能史	rengongzhinengshi
不可區分混淆	bukequfenhunxiao
否定为失败	foudingweishibai
氣候變化緩解	qihoubianhuahuanjie
面向特性编程	mianxiangtexingbiancheng
可行域	kexingyu
尼爾森定理	niersendingli
密度矩陣	midujuzhen
智谱清言	zhipuqingyan
霍列沃定理	huoliewodingli
軍用機器人	junyongjiqiren
得墨忒耳定律	demoteerdinglv
熵率	shanglv
郵政局冤案	youzhengjuyuanan
粘土游戏引擎	zhantuyouxiyinqing
調試模式	diaoshimoshi
法諾不等式	fanuobudengshi
集成测试	jichengceshi
类型双关	leixingshuangguan
机器人名人堂	jiqirenmingrentang
編譯程式定向	bianyichengshidingxiang
任务并行	renwubingxing
计算统计学	jisuantongjixue
编程语言	bianchengyuyan
對多	duiduo
基于对象语言	jiyuduixiangyuyan
刺客教條系列	cikejiaotiaoxilie
转发	zhuanfa
敏捷软件开发	minjieruanjiankaifa
随机数生成	suijishushengcheng
工作站机群	gongzuozhanjiqun
天文信息学	tianwenxinxixue
硬件在环	yingjianzaihuan
关注点分离	guanzhudianfenli
受控反閘	shoukongfanzha
归结原理	guijieyuanli
軟體定義邊界	ruantidingyibianjie
秀爾演算法	xiueryansuanfa
程序设计	chengxusheji
无状态计算	wuzhuangtaijisuan
机器遗忘	jiqiyiwang
拉格朗日乘数	lagelangrichengshu
节目专用信息	jiemuzhuanyongxinxi
个人电脑迁移	gerendiannaoqianyi
防御性编程	fangyuxingbiancheng
興趣點	xingqudian
共享内存	gongxiangneicun
電子書閱讀器	dianzishuyueduqi
调试	tiaoshi
数据结构	shujujiegou
瑞晶	ruijing
主动修改	zhudongxiugai
发电机理论	fadianjililun
高级语言	gaojiyuyan
含糊	hanhu
依值类型	yizhileixing
可信计算基	kexinjisuanji
算法信息论	suanfaxinxilun
伪随机性	weisuijixing
流形假设	liuxingjiashe
树堆	shudui
包含指令	baohanzhiling
汇编语言	huibianyuyan
线性代数	xianxingdaishu
库仑算符	kulunsuanfu
李三立	lisanli
吞吐量	tuntuliang
艾比斯之梦	aibisizhimeng
乘法器	chengfaqi
模糊控制語言	mohukongzhiyuyan
统一建模语言	tongyijianmoyuyan
许建新	xujianxin
解析表达文法	jiexibiaodawenfa
騎劫挖礦	qijiewakuang
計算機代數	jisuanjidaishu
计算机程序	jisuanjichengxu
左霆	zuoting
模型在環	moxingzaihuan
瓦尼尔函数	wanierhanshu
索引器	suoyinqi
高低階	gaodijie
都柏林核心	doubailinhexin
精灵图	jinglingtu
电脑瓶颈	diannaopingjing
周霞	zhouxia
事件	shijian
最邻近搜索	zuilinjinsousuo
克隆	kelong
多項式譜系	duoxiangshipuxi
只写语言	zhixieyuyan
去中心化计算	quzhongxinhuajisuan
插值	chazhi
任务管理器	renwuguanliqi
不可判定问题	bukepandingwenti
貝爾曼方程	beiermanfangcheng
知觉难题	zhijuenanti
聚爆	jubao
蓝河操作系统	lanhecaozuoxitong
对象数据库	duixiangshujuku
入口点	rukoudian
加殼壓縮	jiakeyasuo
最小硬件系统	zuixiaoyingjianxitong
在线仿真器	zaixianfangzhenqi
鸭子类型	yazileixing
双向链表	shuangxianglianbiao
栈追踪	zhanzhuizong
銳鳶無人機	ruiyuanwurenji
著色農場	zhusenongchang
全像原理	quanxiangyuanli
抽象句法	chouxiangjufa
残废软件	canfeiruanjian
影像梯度	yingxiangtidu
计算科学家	jisuankexuejia
媒体源扩展	meitiyuankuozhan
恐怖谷理论	kongbugulilun
测试用例	ceshiyongli
逻辑深度	luojishendu
质量矩阵	zhiliangjuzhen
資源描述框架	ziyuanmiaoshukuangjia
小度	xiaodu
逆問題	niwenti
免光盘破解	mianguangpanpojie
长度扩展攻击	zhangdukuozhangongji
次世代防火牆	cishidaifanghuoqiang
軟體框架	ruantikuangjia
虚拟桌面	xunizhuomian
超参数优化	chaocanshuyouhua
企业级软件	qiyejiruanjian
大疆御系列	dajiangyuxilie
计算机集群	jisuanjijiqun
下推自动机	xiatuizidongji
有损数据压缩	yousunshujuyasuo
硬體安全	yingtianquan
控制字符	kongzhizifu
并查集	bingchaji
唐古拉	tanggula
百词斩	baicizhan
送貨無人機	songhuowurenji
超二次曲面体	chaoerciqumianti
软件集成	ruanjianjicheng
存儲控制單元	cunchukongzhidanyuan
狐友	huyou
对称信道	duichengxindao
孤子分布	guzifenbu
片上网络	pianshangwangluo
資訊哲學	zixunzhexue
化学计量学	huaxuejiliangxue
同步屏障	tongbupingzhang
延遲	yanchi
高超音速武器	gaochaoyinsuwuqi
信息瓶颈	xinxipingjing
内存排序	neicunpaixu
并行计算	bingxingjisuan
遠程機器人	yuanchengjiqiren
置标语言	zhibiaoyuyan
引用型	yinyongxing
条件熵	tiaojianshang
啤酒軟體	pijiuruanti
勇者警察	yongzhejingcha
无线电测向	wuxiandiancexiang
雲端情人	yunduanqingren
雙向工程	shuangxianggongcheng
汪滔	wangtao
代码段	daimaduan
涡轮码	wolunma
盲用電腦系統	mangyongdiannaoxitong
脑机接口	naojijiekou
递归定义	diguidingyi
自主访问控制	zizhufangwenkongzhi
模糊翻譯	mohufanyi
刀劍神域	daojianshenyu
生成器	shengchengqi
公理语义学	gongliyuyixue
函数对象	hanshuduixiang
嵌套循环连接	qiantaoxunhuanlianjie
編輯距離	bianjijuli
虚拟参考站	xunicankaozhan
博弈论	boyilun
局部变量	jububianliang
基函數	jihanshu
依附的自由	yifudeziyou
缺省逻辑	queshengluoji
污点检验	wudianjianyan
小型计算机	xiaoxingjisuanji
语法制导翻译	yufazhidaofanyi
网络性能	wangluoxingneng
互動模式	hudongmoshi
金星特快車	jinxingtekuaiche
线路码	xianluma
最大公因式	zuidagongyinshi
黄学东	huangxuedong
流水线停顿	liushuixiantingdun
信息流	xinxiliu
总线竞争	zongxianjingzheng
应用程序接口	yingyongchengxujiekou
實驗室黴漿菌	shiyanshimeijiangjun
链接器	lianjieqi
基于类编程	jiyuleibiancheng
开闭原则	kaibiyuanze
瓦尔拉斯拍卖	waerlasipaimai
纵向冗余校验	zongxiangrongyuxiaoyan
费茨法则	feicifaze
达特茅斯会议	datemaosihuiyi
軟體組建	ruantizujian
卫星导航系统	weixingdaohangxitong
量子技術	liangzijishu
阵列编程	zhenliebiancheng
格里旺克函数	geliwangkehanshu
小诤	xiaozheng
複合型別	fuhexingbie
猴子补丁	houzibuding
攻击表面	gongjibiaomian
更糟就是更好	gengzaojiushigenghao
理想國	lixiangguo
分支表	fenzhibiao
成员变量	chengyuanbianliang
反面模式	fanmianmoshi
技术奇点	jishuqidian
精確對角化法	jingqueduijiaohuafa
卡纸	kazhi
后工作社会	hougongzuoshehui
語法突顯	yufatuxian
面包板	mianbaoban
港話通	ganghuatong
黄建伟	huangjianwei
控制表	kongzhibiao
跳跃性思维	tiaoyuexingsiwei
深藍	shenlan
神经漫游者	shenjingmanyouzhe
灰盒測試	huiheceshi
抽象資料型別	chouxiangziliaoxingbie
李德財	lidecai
随机函数	suijihanshu
龙芯派	longxinpai
數位筆	shuweibi
生成矩阵	shengchengjuzhen
速率限制	sulvxianzhi
单片机	danpianji
埃瓦尔德求和	aiwaerdeqiuhe
数据完整性	shujuwanzhengxing
最优控制	zuiyoukongzhi
桌面比擬	zhuomianbini
量子计算机	liangzijisuanji
嵌入式系统	qianrushixitong
列表推导式	liebiaotuidaoshi
霍尔逻辑	huoerluoji
微博桌面	weibozhuomian
模糊集	mohuji
软计算	ruanjisuan
车载电脑	chezaidiannao
网络套件	wangluotaojian
弱符号	ruofuhao
超媒體	chaomeiti
中文編程語言	zhongwenbianchengyuyan
飞行管理系统	feixingguanlixitong
比特幣	bitebi
性愛機械人	xingaijixieren
解模糊	jiemohu
硬體抽象層	yingtichouxiangceng
所有演示之母	suoyouyanshizhimu
回答集编程	huidajibiancheng
维基百科	weijibaike
邻接矩阵	linjiejuzhen
无头计算机	wutoujisuanji
認知架構	renzhijiagou
入侵预防系统	ruqinyufangxitong
应用框架	yingyongkuangjia
封裝	fengzhuang
同步	tongbu
李明	liming
命名规则	mingmingguize
最近公共祖先	zuijingonggongzuxian
拼接显示	pinjiexianshi
色彩管理	secaiguanli
前向列表	qianxiangliebiao
地图可视化	ditukeshihua
彩云小译	caiyunxiaoyi
分子力场	fenzilichang
主題標籤	zhutibiaoqian
信賴平台模組	xinlaipingtaimozu
数值稳定性	shuzhiwendingxing
生成对抗网络	shengchengduikangwangluo
動態裝載	dongtaizhuangzai
机器人伦理学	jiqirenlunlixue
软件开发过程	ruanjiankaifaguocheng
马尔可夫算法	maerkefusuanfa
人造生命	renzaoshengming
伪距	weiju
集论编程	jilunbiancheng
資訊工程	zixungongcheng
盧比變換碼	lubibianhuanma
截尾誤差	jieweiwucha
智慧数据	zhihuishuju
药物化学	yaowuhuaxue
全面進化	quanmianjinhua
命令替换	minglingtihuan
傳送門	chuansongmen
高彩色	gaocaise
編碼簿	bianmabu
弱测量	ruoceliang
认知語文学	renzhiyuwenxue
柳叶刀无人机	liuyedaowurenji
智能显示器	zhinengxianshiqi
唐鳳	tangfeng
个人信息管理	gerenxinxiguanli
康威定律	kangweidinglv
弱人工智慧	ruorengongzhihui
高通驍龍	gaotongxiaolong
银联钱包	yinlianqianbao
功能區塊圖	gongnengqukuaitu
德布尔算法	debuersuanfa
模块化本体	mokuaihuabenti
豆包	doubao
协程	xiecheng
阿克利函數	akelihanshu
图像自动标注	tuxiangzidongbiaozhu
非线性规划	feixianxingguihua
逻辑理论家	luojililunjia
事件循环	shijianxunhuan
艾娲	aiwa
斯坦福兔子	sitanfutuzi
牛顿分形	niudunfenxing
擬譜法	nipufa
京沪干线	jinghuganxian
模型检测	moxingjiance
递归	digui
查詢語言	chaxunyuyan
汽車網路安全	qichewangluanquan
自產生程式	zichanshengchengshi
计算机动画	jisuanjidonghua
人工智能哲學	rengongzhinengzhexue
頭戴式顯示器	toudaishixianshiqi
沈向洋	shenxiangyang
程式優化	chengshiyouhua
覆盖	fugai
基本塊	jibenkuai
松果澎湃	songguopengpai
廣播風暴	guangbofengbao
人工智能应用	rengongzhinengyingyong
載入器	zairuqi
大教堂和市集	dajiaotangheshiji
函子	hanzi
软件工程	ruanjiangongcheng
实体造型	shitizaoxing
支出最小化	zhichuzuixiaohua
人工智能热潮	rengongzhinengrechao
命令行界面	minglingxingjiemian
编程语言列表	bianchengyuyanliebiao
捨入誤差	sheruwucha
警戒位	jingjiewei
粒度运算	liduyunsuan
变量	bianliang
代码生成	daimashengcheng
属性	shuxing
源代码	yuandaima
範圍蔓延	fanweimanyan
事务内存	shiwuneicun
費林分類法	feilinfenleifa
人工生殖	rengongshengzhi
硬體延遲	yingtiyanchi
代码审计	daimashenji
结构连接	jiegoulianjie
訊息傳遞介面	xunxichuandijiemian
附属复杂度	fushufuzadu
纯函数式编程	chunhanshushibiancheng
模拟计算机	monijisuanji
量子糾纏	liangzijiuchan
计算语言学	jisuanyuyanxue
信任邊界	xinrenbianjie
猪场管理软件	zhuchangguanliruanjian
心智图	xinzhitu
搜尋引擎列表	souxunyinqingliebiao
系統需求規格	xitongxuqiuguige
光子计算机	guangzijisuanji
使用者經驗	shiyongzhejingyan
计算模型	jisuanmoxing
兼容性	jianrongxing
越位规则	yueweiguize
視訊壓縮	shixunyasuo
關鍵格	guanjiange
无声狂啸	wushengkuangxiao
虚引用	xuyinyong
知识交换格式	zhishijiaohuangeshi
數值微分	shuzhiweifen
分素	fensu
自监督学习	zijianduxuexi
文本情感分析	wenbenqingganfenxi
语义网堆栈	yuyiwangduizhan
名字解析	mingzijiexi
人工智能	rengongzhineng
软件架构	ruanjianjiagou
後繼函數	houjihanshu
文献管理软件	wenxianguanliruanjian
反应式编程	fanyingshibiancheng
验证器	yanzhengqi
迪文森佐準則	diwensenzuozhunze
保留字	baoliuzi
交叉編譯器	jiaochabianyiqi
藥倍安心爭議	yaobeianxinzhengyi
零样本学习	lingyangbenxuexi
黃彥男	huangyannan
命名管道	mingmingguandao
迁移学习	qianyixuexi
程序化生成	chengxuhuashengcheng
从头计算法	congtoujisuanfa
布鲁克斯定理	bulukesidingli
騰雲無人機	tengyunwurenji
约束优化问题	yueshuyouhuawenti
精确覆盖问题	jingquefugaiwenti
勒壤得擬譜法	leirangdenipufa
劍翔無人機	jianxiangwurenji
不可传送定理	bukechuansongdingli
每日构建	meirigoujian
单一样本学习	danyiyangbenxuexi
实时操作系统	shishicaozuoxitong
强化学习	qianghuaxuexi
循例學習	xunlixuexi
视觉化	shijuehua
机器人	jiqiren
中間語言	zhongjianyuyan
触宝输入法	chubaoshurufa
棘手問題	jishouwenti
气候模型	qihoumoxing
带宽时延乘积	daikuanshiyanchengji
全球气候模式	quanqiuqihoumoshi
資訊鑑識	zixunjianshi
花漾搜索	huayangsousuo
幽灵网	youlingwang
晶片支援包	jingpianzhiyuanbao
滕尚华	tengshanghua
网络安全	wangluoanquan
類別變數	leibiebianshu
人工生命	rengongshengming
資訊科技稽核	zixunkejijihe
剪映	jianying
奇進偶捨	qijinoushe
函数原型	hanshuyuanxing
多重继承	duozhongjicheng
用户体验设计	yonghutiyansheji
維誠	weicheng
过度工程化	guodugongchenghua
软件危机	ruanjianweiji
保险应用架构	baoxianyingyongjiagou
體化認知	tihuarenzhi
線性多步法	xianxingduobufa
规约语言	guiyueyuyan
软件设计	ruanjiansheji
分享症	fenxiangzheng
周源源	zhouyuanyuan
过采样	guocaiyang
友元函数	youyuanhanshu
形式化方法	xingshihuafangfa
柴廷常數	chaitingchangshu
压缩软件比较	yasuoruanjianbijiao
網頁程式設計	wangyechengshisheji
漢書	hanshu
强函数式编程	qianghanshushibiancheng
入侵检测系统	ruqinjiancexitong
太极码	taijima
万圣节文件	wanshengjiewenjian
卡布里卡	kabulika
星雞	xingji
热修复	rexiufu
移动设备	yidongshebei
径向基函数	jingxiangjihanshu
系统迁移	xitongqianyi
提示工程	tishigongcheng
懒惰删除	landuoshanchu
三維影像	sanweiyingxiang
極簡化	jijianhua
阿尔法通道	aerfatongdao
逻辑错误	luojicuowu
忙碌的海狸	mangludehaili
标准模板库	biaozhunmobanku
扫描鹰无人机	saomiaoyingwurenji
循环码	xunhuanma
條碼掃描器	tiaomasaomiaoqi
反編譯器	fanbianyiqi
比特信	bitexin
認知計算	renzhijisuan
雅卡尔指数	yakaerzhishu
斷言	duanyan
包装库	baozhuangku
三重模塊冗餘	sanzhongmokuairongyu
细分曲面	xifenqumian
非单调逻辑	feidandiaoluoji
线性表	xianxingbiao
传输理论	chuanshulilun
度	du
运行时库	yunxingshiku
硬件描述语言	yingjianmiaoshuyuyan
颜色渐变	yansejianbian
链表	lianbiao
响应曲面法	xiangyingqumianfa
盈方微	yingfangwei
快取一致性	kuaiquyizhixing
色彩帶	secaidai
语法错误	yufacuowu
通道	tongdao
一维线性连接	yiweixianxinglianjie
东方快车	dongfangkuaiche
电子计算机	dianzijisuanji
人造人	renzaoren
線段樹	xianduanshu
计算机协会	jisuanjixiehui
流	liu
模糊数学	mohushuxue
简正坐标	jianzhengzuobiao
系统关系图	xitongguanxitu
描述逻辑	miaoshuluoji
