# 泰深输入法专业词库 — computer
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
火蜂	huofeng
罪行绘图	zuixinghuitu
反射	fanshe
集合	jihe
系統控制臺	xitongkongzhitai
函数级编程	hanshujibiancheng
無人航空載具	wurenhangkongzaiju
思想	sixiang
動態編譯	dongtaibianyi
缩进风格	suojinfengge
容器	rongqi
次导数	cidaoshu
自信息	zixinxi
机器翻译	jiqifanyi
断点	duandian
人工智能代理	rengongzhinengdaili
张正友	zhangzhengyou
擴增實境	kuozengshijing
數值天氣預報	shuzhitianqiyubao
截断	jieduan
小愛同學	xiaoaitongxue
人工智慧冷戰	rengongzhihuilengzhan
媒体播放器	meitibofangqi
機員資源管理	jiyuanziyuanguanli
高可用性	gaokeyongxing
故障分析	guzhangfenxi
吉布斯现象	jibusixianxiang
域前置	yuqianzhi
可重用性	kezhongyongxing
水平思考	shuipingsikao
大腦模擬	danaomoni
仿生机器人学	fangshengjiqirenxue
信道	xindao
現場總線	xianchangzongxian
翻譯記憶	fanyijiyi
奈米獵殺	naimiliesha
軟體系統	ruantixitong
基于流程编程	jiyuliuchengbiancheng
程式語言歷史	chengshiyuyanlishi
模型驱动工程	moxingqudonggongcheng
基础模型	jichumoxing
对剖宽度	duipoukuandu
提示词注入	tishicizhuru
八叉树	bachashu
美图秀秀	meituxiuxiu
持久化	chijiuhua
高斯模糊	gaosimohu
通用解难器	tongyongjienanqi
隸屬函數	lishuhanshu
小數點版本	xiaoshudianbanben
糾纏譜	jiuchanpu
约束编程	yueshubiancheng
零复制	lingfuzhi
顺序优先法	shunxuyouxianfa
朴朴超市	pupuchaoshi
星簇卫星	xingcuweixing
安全控制	anquankongzhi
代码风格	daimafengge
幽灵	youling
模拟对象	moniduixiang
搜索者侦察机	sousuozhezhenchaji
代码异味	daimayiwei
引用透明性	yinyongtoumingxing
线性近似	xianxingjinshi
系统管理员	xitongguanliyuan
腾讯手机管家	tengxunshoujiguanjia
人工智能泡沫	rengongzhinengpaomo
带外管理	daiwaiguanli
王志东	wangzhidong
智能手表	zhinengshoubiao
不可删除原理	bukeshanchuyuanli
多重許可	duozhongxuke
稀疏网格	xishuwangge
没有银弹	meiyouyindan
形式验证	xingshiyanzheng
莫尔斯势	moersishi
陳述式	chenshushi
哈爾小波轉換	haerxiaobozhuanhuan
缩略图	suolvetu
环境智能	huanjingzhineng
关系	guanxi
知识表示	zhishibiaoshi
线框模型	xiankuangmoxing
頻譜效率	pinpuxiaolv
量子雷達	liangzileida
精度衰减因子	jingdushuaijianyinzi
哈比无人机	habiwurenji
快速路徑	kuaisulujing
汉明权重	hanmingquanzhong
科纳斯组织	kenasizuzhi
像素	xiangsu
熵編碼法	shangbianmafa
数据流图	shujuliutu
里氏替换原则	lishitihuanyuanze
拼寫檢查	pinxiejiancha
位置无关代码	weizhiwuguandaima
小波分析	xiaobofenxi
安全錯誤	anquancuowu
卢恩算法	luensuanfa
图睿	turui
软件再工程	ruanjianzaigongcheng
主飞行显示器	zhufeixingxianshiqi
势能面	shinengmian
不完全类型	buwanquanleixing
汽车导航系统	qichedaohangxitong
人文智能	renwenzhineng
電源供應器	dianyuangongyingqi
网络科学	wangluokexue
人工智能对齐	rengongzhinengduiqi
雪山救狐狸	xueshanjiuhuli
元编程	yuanbiancheng
散列函數	sanliehanshu
主题地图	zhutiditu
圖靈實驗	tulingshiyan
花指令	huazhiling
分子挖掘	fenziwajue
情感计算	qingganjisuan
开放世界假定	kaifangshijiejiading
特定域建模	tedingyujianmo
科学可视化	kexuekeshihua
封裝體系	fengzhuangtixi
不可變物件	bukebianwujian
貧血領域模型	pinxuelingyumoxing
壓縮失真	yasuoshizhen
應用層防火牆	yingyongcengfanghuoqiang
資料庫理論	ziliaokulilun
雙邊濾波器	shuangbianlvboqi
线面交点	xianmianjiaodian
虚函数	xuhanshu
卷积码	juanjima
里施算法	lishisuanfa
