# 泰深输入法专业词库 — medical
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
糯米紙	nuomizhi
肋间神经痛	lejianshenjingtong
王存玉	wangcunyu
環境豐富化	huanjingfengfuhua
狼瘡性腎炎	langchuangxingshenyan
草藥醫學	caoyaoyixue
落叶剂	luoyeji
鼻毛	bimao
检眼镜检查	jianyanjingjiancha
緩和照顧	huanhezhaogu
氧化汞	yanghuagong
硝碘酚腈	xiaodianfenjing
金衛醫療	jinweiyiliao
硕腾	shuoteng
抗微生物剂	kangweishengwuji
肝毒性	ganduxing
流式細胞術	liushixibaoshu
測謊機	cehuangji
庚酸雄甾醇酮	gengsuanxiongzaichuntong
檢疫	jianyi
高脯氨酸血症	gaopuansuanxuezheng
虹膜學	hongmoxue
脊神经	jishenjing
黑死病	heisibing
蛆療法	quliaofa
血液灌流	xueyeguanliu
内皮细胞无能	neipixibaowuneng
硬化性苔癬	yinghuaxingtaixuan
土拉熱	tulare
逆向获益法则	nixianghuoyifaze
细胞工程	xibaogongcheng
结石	jieshi
葡萄牙衛生部	putaoyaweishengbu
篩前動脈	shaiqiandongmai
義眼	yiyan
瘟疫危機	wenyiweiji
东莞市中医院	dongguanshizhongyiyuan
染料激光器	ranliaojiguangqi
医学信息学	yixuexinxixue
石胎	shitai
石友三	shiyousan
人类血型系统	renleixuexingxitong
植入物	zhiruwu
反形變運動	fanxingbianyundong
後世派	houshipai
乳頭水泡	rutoushuipao
脂肪鈣化	zhifanggaihua
巴赫花精療法	bahehuajingliaofa
額竇	edou
屍變	shibian
劑量成毒藥	jiliangchengduyao
靜脈注射	jingmaizhushe
羊胎素	yangtaisu
皈依	guiyi
环磷酰胺	huanlinxianan
腦幹死亡	naogansiwang
丙卡巴肼	bingkabajing
疱疹病毒科	paozhenbingduke
運動心像	yundongxinxiang
运动生理学	yundongshenglixue
沙利度胺	shaliduan
旅行者腹瀉	lvxingzhefuxie
高壓氧治療	gaoyayangzhiliao
抗炎	kangyan
不丹衛生部	budanweishengbu
外科学历史	waikexuelishi
入球小動脈	ruqiuxiaodongmai
男性乳腺发育	nanxingruxianfayu
二甲基砜	erjiajifeng
张守仁	zhangshouren
达原饮	dayuanyin
卡立普多	kalipuduo
活化	huohua
醫療衛生科學	yiliaoweishengkexue
遺體保存技術	yitibaocunjishu
竇	dou
膝內翻	xineifan
角膜炎	jiaomoyan
哲學諮商	zhexuezishang
志願性醫院	zhiyuanxingyiyuan
先遣急救員	xianqianjijiuyuan
無名指	wumingzhi
哈瓦那综合征	hawanazonghezheng
溫度測量	wenduceliang
保守治疗	baoshouzhiliao
魂魄	hunpo
安瓿	anbu
胎儿姿势	taierzishi
屍體痙攣	shitijingluan
老友万岁	laoyouwansui
產露	chanlu
韩国的大麻	hanguodedama
羊膜囊破裂	yangmonangpolie
林格氏液	lingeshiye
肥厚型心肌病	feihouxingxinjibing
毛样洪	maoyanghong
睾丸鞘膜積液	gaowanqiaomojiye
椎間盤炎	chuijianpanyan
記錄抹煞	jilumosha
四氧化锇	siyanghuae
楊朵症候群	yangduozhenghouqun
暫停生命	zantingshengming
直閃石	zhishanshi
度妥昔珠单抗	dutuoxizhudankang
法医秦明	fayiqinming
医学	yixue
異手症	yishouzheng
聽診器	tingzhenqi
系統綜述	xitongzongshu
婦科學	fukexue
妊娠试验	renshenshiyan
急性腎損傷	jixingshensunshang
戊酸睾酮	wusuangaotong
美洛昔康	meiluoxikang
泰万菌素	taiwanjunsu
肺炎	feiyan
鹽野義製藥	yanyeyizhiyao
眼睛浮腫	yanjingfuzhong
白衣天使葵	baiyitianshikui
腎病變	shenbingbian
白内障	baineizhang
公共卫生	gonggongweisheng
脉络膜	mailuomo
牙髓	yasui
指示病例	zhishibingli
血管滋養管	xueguanziyangguan
休閒病	xiuxianbing
王琦	wangqi
砷	shen
齿冠	chiguan
診間	zhenjian
穹窿下器	qionglongxiaqi
腎小管液	shenxiaoguanye
节奏医生	jiezouyisheng
竹葉柳蒡湯	zhuyeliubangtang
布夏氏結節	buxiashijiejie
橫貫性脊髓炎	hengguanxingjisuiyan
腰	yao
顳	nie
轉移	zhuanyi
機械通氣	jixietongqi
提升	tisheng
茶苯海明	chabenhaiming
神经成像	shenjingchengxiang
賴迪氏器	laidishiqi
健康數據	jiankangshuju
大腸激躁症	dachangjizaozheng
替代医学	tidaiyixue
瑪那	mana
義肢裝具師	yizhizhuangjushi
磷胺	linan
乳酸性酸中毒	rusuanxingsuanzhongdu
口乾	kouqian
瘀點	yudian
羊膜囊	yangmonang
乳頭	rutou
病毒载体疫苗	bingduzaitiyimiao
窺視症	kuishizheng
绒毛取样术	rongmaoquyangshu
戈瑞	gerui
氰化銀鉀	qinghuayinjia
減害策略	jianhaicelve
囊腫	nangzhong
职业医学	zhiyeyixue
優境學	youjingxue
卡波西肉瘤	kaboxirouliu
精神障碍辩护	jingshenzhangaibianhu
黑尿症	heiniaozheng
埃伯斯纸草卷	aibosizhicaojuan
威廉氏症候群	weilianshizhenghouqun
睾丸扭轉	gaowanniuzhuan
人工心臟	rengongxinzang
隱翅蟲素	yinchichongsu
消風敗毒散	xiaofengbaidusan
氟哌啶醇	fupaidingchun
监控网络	jiankongwangluo
过敏性紫癜	guominxingzidian
牙科材料學	yakecailiaoxue
越南東醫學	yuenandongyixue
神经元调谐	shenjingyuandiaoxie
神经症	shenjingzheng
夏强	xiaqiang
反流性腎病	fanliuxingshenbing
应力屏蔽	yinglipingbi
袋瓣罩甦醒球	daibanzhaosuxingqiu
窺器	kuiqi
醫學倫理學	yixuelunlixue
腹水	fushui
觸診	chuzhen
细胞黏附分子	xibaonianfufenzi
重複性勞損	zhongfuxinglaosun
二甲基汞	erjiajigong
點燃	dianran
血液動力學	xueyedonglixue
有毒重金屬	youduzhongjinshu
代謝疾病	daixiejibing
预射精液	yushejingye
死亡率	siwanglv
替尼达普	tinidapu
匹美西林	pimeixilin
遠距醫療	yuanjuyiliao
福德	fude
謝瑞爾氏現象	xieruiershixianxiang
百浪多息	bailangduoxi
辟穀	pigu
腎病症候群	shenbingzhenghouqun
前列腺按出液	qianliexiananchuye
血栓形成	xueshuanxingcheng
地獄	diyu
寂静的春天	jijingdechuntian
重舌	zhongshe
肿瘤微环境	zhongliuweihuanjing
文明病	wenmingbing
杀人	sharen
氨基青霉素	anjiqingmeisu
生物反应器	shengwufanyingqi
藥物過量	yaowuguoliang
自卑情结	zibeiqingjie
鱗骨	lingu
膿痂疹	nongjiazhen
絕症	juezheng
水痘派對	shuidoupaidui
神經發炎	shenjingfayan
颅内压	luneiya
急腹症	jifuzheng
謝美麗控股	xiemeilikonggu
藥品	yaopin
毒物兴奋效应	duwuxingfenxiaoying
心臟	xinzang
前庭大腺囊肿	qiantingdaxiannangzhong
睫状动脉	jiezhuangdongmai
丝裂原	silieyuan
类骨质	leiguzhi
铁死亡	tiesiwang
面深静脉	mianshenjingmai
滑液囊	huayenang
中医师	zhongyishi
克隆选择	kelongxuanze
妊娠糖尿病	renshentangniaobing
注射	zhushe
苦修主義	kuxiuzhuyi
洛美曲林	luomeiqulin
巨變之後	jubianzhihou
慢性肉芽腫病	manxingrouyazhongbing
內植式輸液塞	neizhishishuyesai
子癇	zixian
經期性行為	jingqixingxingwei
牟比士症候群	moubishizhenghouqun
醫療法	yiliaofa
饮水加氟	yinshuijiafu
蔥豉桔梗湯	congshijugengtang
五羰基铁	wutangjitie
靈修	lingxiu
古埃及醫學	guaijiyixue
硫代硫酸金钠	liudailiusuanjinna
磺胺美曲	huanganmeiqu
瘀伤	yushang
肺胀	feizhang
中风康复	zhongfengkangfu
示亡号	shiwanghao
粪口路径	fenkoulujing
季肋發育不全	jilefayubuquan
關節僵硬	guanjiejiangying
肛拭子	gangshizi
產科三重悲劇	chankesanzhongbeiju
肌肉骨骼系统	jirougugexitong
參蘇飲	cansuyin
曲妥珠单抗	qutuozhudankang
心包積液	xinbaojiye
止血法	zhixuefa
生物反馈	shengwufankui
控制狂	kongzhikuang
提睾反射	tigaofanshe
運動功能減退	yundonggongnengjiantui
时差问题	shichawenti
镭毒颌炎	leiduheyan
输精管	shujingguan
少理阿爸	shaoliaba
最低作用值	zuidizuoyongzhi
肌营养不良	jiyingyangbuliang
產鉗	chanqian
首过效应	shouguoxiaoying
李克强之死	likeqiangzhisi
眼压	yanya
救援生死線	jiuyuanshengsixian
太陽穴	taiyangxue
正子斷層造影	zhengziduancengzaoying
医疗美容	yiliaomeirong
活力論	huolilun
无尿症	wuniaozheng
檢察官愛麗絲	jianchaguanailisi
猫砂	maosha
兩個夠晒數	lianggegoushaishu
淚血症	leixuezheng
郑东发	zhengdongfa
戊酸雌二醇	wusuancierchun
靈樞經	lingshujing
医学社会学	yixueshehuixue
蠅蛆病	yingqubing
藥物假期	yaowujiaqi
精子清洗	jingziqingxi
男科學	nankexue
味精症候群	weijingzhenghouqun
經方	jingfang
磁共振成像	cigongzhenchengxiang
乳酸林格氏液	rusuanlingeshiye
假體	jiati
英西单抗	yingxidankang
張進益	zhangjinyi
锝	de
放射手術	fangsheshoushu
外毒素	waidusu
同致癌物	tongzhiaiwu
玫瑰疹	meiguizhen
视觉调节	shijuediaojie
戀水癖	lianshuipi
丙腈	bingjing
下焦	xiajiao
九讚頭靈感堂	jiuzantoulinggantang
心智年龄	xinzhinianling
脊骨神經醫學	jigushenjingyixue
陰蒂包皮	yindibaopi
理想者	lixiangzhe
泌尿生殖肿瘤	miniaoshengzhizhongliu
療養院	liaoyangyuan
新丙戊酯	xinbingwuzhi
免疫抑制	mianyiyizhi
住友制药	zhuyouzhiyao
精囊	jingnang
急性胆管炎	jixingdanguanyan
管状器官	guanzhuangqiguan
磷丙泊酚	linbingpofen
凱格爾運動	kaigeeryundong
半導體探測器	bandaotitanceqi
阿糖胞苷	atangbaogan
異戊酸血症	yiwusuanxuezheng
抗寄生虫药	kangjishengchongyao
仙鹤草	xianhecao
抗微生物肽	kangweishengwutai
舌苔	shetai
虛談症	xutanzheng
毒性	duxing
水媒傳染病	shuimeichuanranbing
心理物理学	xinliwulixue
病毒载量	bingduzailiang
疾病管理	jibingguanli
內皮	neipi
內頸動脈	neijingdongmai
尿液分析	niaoyefenxi
生物產藥	shengwuchanyao
潘靈卓	panlingzhuo
乾燥症	qianzaozheng
行医	xingyi
連體雙胞胎	liantishuangbaotai
疾病爆发	jibingbaofa
生物累積	shengwuleiji
牙萌出	yamengchu
对乙酰氨基酚	duiyixiananjifen
醫療漫畫	yiliaomanhua
熱療	reliao
乳突状汗腺瘤	rutuzhuanghanxianliu
驚厥	jingjue
产褥热	chanrure
茹贝尔综合征	rubeierzonghezheng
瀕死呼吸	binsihuxi
視野	shiye
上限攝取量	shangxianshequliang
患病率	huanbinglv
慢性胰腺炎	manxingyixianyan
色素失調症	sesushidiaozheng
先兆流产	xianzhaoliuchan
情节记忆	qingjiejiyi
燭影斧聲	zhuyingfusheng
夢妮妲	mengnida
余仲欣	yuzhongxin
模仿言語	mofangyanyu
多拉司瓊	duolasiqiong
銀翹湯	yinqiaotang
悬垂腹	xuanchuifu
腦深部刺激	naoshenbuciji
瀧行	longxing
遺體捐贈	yitijuanzeng
体细胞核移植	tixibaoheyizhi
斯基恩氏腺	sijienshixian
阿基仑赛	ajilunsai
缺牙症	queyazheng
核溶解	herongjie
病变	bingbian
赭曲霉毒素	zhequmeidusu
先天性无阴道	xiantianxingwuyindao
元分析	yuanfenxi
王吉民	wangjimin
两亲性多肽	liangqinxingduotai
細微身	xiweishen
安全注射器	anquanzhusheqi
卡迪小子	kadixiaozi
睡眠日记	shuimianriji
跌打	dieda
拭子	shizi
体外循环机	tiwaixunhuanji
眶额动脉	kuangedongmai
喙突	huitu
爱你	aini
滯留性胎盤	zhiliuxingtaipan
顏色絲帶列表	yansesidailiebiao
法布瑞氏病	faburuishibing
临床流行病学	linchuangliuxingbingxue
柬苏友谊医院	jiansuyouyiyiyuan
犹昧感	youmeigan
乙二醇中毒	yierchunzhongdu
双氢链霉素	shuangqinglianmeisu
脑白质切除术	naobaizhiqiechushu
腫瘤電場治療	zhongliudianchangzhiliao
金属烟热	jinshuyanre
生物利用度	shengwuliyongdu
麻风病疗养地	mafengbingliaoyangdi
神经可塑性	shenjingkesuxing
產後情緒低落	chanhouqingxudiluo
指	zhi
现状偏差	xianzhuangpiancha
贲门癌	benmenai
天池穴	tianchixue
乐镜宇	lejingyu
除爪手術	chuzhaoshoushu
自噬	zishi
组织工程学	zuzhigongchengxue
子宮頸篩查	zigongjingshaicha
牙體技術師	yatijishushi
電擊傷	dianjishang
美托洛尔	meituoluoer
寡關節炎	guaguanjieyan
皮肤溃疡	pifukuiyang
家庭系统排列	jiatingxitongpailie
莫能菌素	monengjunsu
英妥木单抗	yingtuomudankang
乾癬性關節炎	qianxuanxingguanjieyan
移植排斥	yizhipaichi
整合輔助醫療	zhenghefuzhuyiliao
動物福利	dongwufuli
繼承遺孀	jichengyishuang
恩诺沙星	ennuoshaxing
四的禁忌	sidejinji
医生	yisheng
实效临床试验	shixiaolinchuangshiyan
粘连	zhanlian
汗熱病	hanrebing
基本藥物	jibenyaowu
乙硫氨酸	yiliuansuan
不作为偏误	buzuoweipianwu
運動心理學	yundongxinlixue
腕垂症	wanchuizheng
兒童發展階段	ertongfazhanjieduan
否認懷孕	fourenhuaiyun
心	xin
医缘	yiyuan
薩爾瓦多醫院	saerwaduoyiyuan
十一鬍子月	shiyihuziyue
藥物測試	yaowuceshi
去氧孕烯	quyangyunxi
枕骨	zhengu
芭比症候群	babizhenghouqun
军事心理学	junshixinlixue
憂鬱的解剖	youyudejiepou
返魂香	fanhunxiang
混合淋巴反应	hunhelinbafanying
鞏膜環	gongmohuan
冠状病毒	guanzhuangbingdu
梫木毒素	qinmudusu
抗生素滥用	kangshengsulanyong
引產	yinchan
青春期延迟	qingchunqiyanchi
基本传染数	jibenchuanranshu
活人蔥豉湯	huorencongshitang
膽	dan
麻醉學	mazuixue
杜立德醫生	dulideyisheng
药物不良反应	yaowubuliangfanying
精	jing
國家衛生院	guojiaweishengyuan
腰椎	yaozhui
三角巾	sanjiaojin
人之初	renzhichu
三體性	santixing
張俊彥	zhangjunyan
法伯病	fabobing
人口控制	renkoukongzhi
职业病	zhiyebing
肢端肥大症	zhiduanfeidazheng
艾拉普林	ailapulin
輸尿管導管	shuniaoguandaoguan
物理治療	wulizhiliao
热伤风	reshangfeng
臍帶脫垂	qidaituochui
穿透性創傷	chuantouxingchuangshang
庆应医学奖	qingyingyixuejiang
滅絕債務	miejuezhaiwu
补液	buye
付罐疗法	fuguanliaofa
齒列	chilie
包皮環切術	baopihuanqieshu
消滅傳染病	xiaomiechuanranbing
再餵食症候群	zaiweishizhenghouqun
加冠典禮	jiaguandianli
高能可見光	gaonengkejianguang
性挫折	xingcuozhe
屍皮	shipi
二茂铁氯喹	ermaotielvkui
口咽呼吸道	kouyanhuxidao
重瓣胃	zhongbanwei
冠状动脉支架	guanzhuangdongmaizhijia
橙劑	chengji
毀滅天使	huimietianshi
肯尼亚卫生部	kenniyaweishengbu
古希腊卫生	guxilaweisheng
妊娠高血壓	renshengaoxueya
氧化震颤素	yanghuazhenchansu
佛教	fojiao
观察性研究	guanchaxingyanjiu
鼻中膈彎曲	bizhonggewanqu
空腹血糖	kongfuxuetang
腕骨	wangu
卫生假说	weishengjiashuo
亚基拉	yajila
放射性直肠炎	fangshexingzhichangyan
磨損作用	mosunzuoyong
多形性脂肪瘤	duoxingxingzhifangliu
成人死亡率	chengrensiwanglv
耳疮	erchuang
孫越	sunyue
性功能	xinggongneng
昏迷	hunmi
张罗	zhangluo
东莞光华医院	dongguanguanghuayiyuan
横纹肌溶解症	hengwenjirongjiezheng
陽痿血管手術	yangweixueguanshoushu
舒尔曼病	shuermanbing
结核菌素试验	jiehejunsushiyan
軀瞉	qukou
体积描记仪	tijimiaojiyi
人工精子	rengongjingzi
衛生政策	weishengzhengce
口腔医疗器械	kouqiangyiliaoqixie
间发性酒狂	jianfaxingjiukuang
分配系数	fenpeixishu
聖瑪麗醫院	shengmaliyiyuan
窒息	zhixi
催眠治療	cuimianzhiliao
体位性窒息	tiweixingzhixi
醫療保健	yiliaobaojian
減壓症	jianyazheng
雷氏症候群	leishizhenghouqun
抗磷脂症候群	kanglinzhizhenghouqun
梅尼埃病	meiniaibing
尼曼匹克症	nimanpikezheng
细胞凋亡	xibaodiaowang
罗森汉恩实验	luosenhanenshiyan
药物代谢	yaowudaixie
腎毒性	shenduxing
擤鼻涕	xingbiti
宣毒發表湯	xuandufabiaotang
九相圖	jiuxiangtu
硫柳汞和疫苗	liuliugongheyimiao
屁	pi
生存之鏈	shengcunzhilian
食道靜脈曲張	shidaojingmaiquzhang
手移植	shouyizhi
核医学	heyixue
睫状后短动脉	jiezhuanghouduandongmai
強迫行為	qiangpoxingwei
香港醫學雜誌	xianggangyixuezazhi
毒素	dusu
翼状胬肉手术	yizhuangnuroushoushu
宝塔糖	baotatang
肺痿	feiwei
精神病人	jingshenbingren
魔法禁書目錄	mofajinshumulu
角膜塑形術	jiaomosuxingshu
甲酸双氢睾酮	jiasuanshuangqinggaotong
包紮	baoza
人體自燃	rentiziran
人類滅絕	renleimiejue
馬傳染性貧血	machuanranxingpinxue
腫瘤分級	zhongliufenji
滋扰	zirao
砧骨	zhengu
止血带	zhixuedai
跌倒	diedao
癌症替代疗法	aizhengtidailiaofa
原肾	yuanshen
新兴病毒	xinxingbingdu
電解質不平衡	dianjiezhibupingheng
疾病分類學	jibingfenleixue
晶狀體囊膜	jingzhuangtinangmo
羊膜穿刺術	yangmochuancishu
法医毒理学	fayidulixue
鸡胸	jixiong
氫水	qingshui
在宅醫療	zaizhaiyiliao
硫噴妥鈉	liupentuona
十神湯	shishentang
主动脉压	zhudongmaiya
聾	long
乳房切除术	rufangqiechushu
飲	yin
开颅手术	kailushoushu
腎臟科	shenzangke
检验科	jianyanke
醫療氣體	yiliaoqiti
意向性	yixiangxing
迪喬治症候群	diqiaozhizhenghouqun
鄧練賢	denglianxian
乳突气房	rutuqifang
室管膜	shiguanmo
支氣管痙攣	zhiqiguanjingluan
仵作	wuzuo
伊立替康	yilitikang
香港命案列表	xianggangminganliebiao
虹膜错构瘤	hongmocuogouliu
輪椅	lunyi
杀伤力	shashangli
心臟壓力測試	xinzangyaliceshi
對死亡的迷戀	duisiwangdemilian
电脉冲化疗	dianmaichonghualiao
瘟疫公司	wenyigongsi
中华之剑	zhonghuazhijian
筛骨	shaigu
再生醫學	zaishengyixue
孟德爾隨機化	mengdeersuijihua
子宮破裂	zigongpolie
凝血病	ningxuebing
物活论	wuhuolun
椎骨	chuigu
三叉神经	sanchashenjing
基因靶向	jiyinbaxiang
死後分娩	sihoufenmian
小指	xiaozhi
配体效率	peitixiaolv
暴雨燃燒	baoyuranshao
腦震盪	naozhendang
獸醫杜立德	shouyidulide
叠氮化钠	diedanhuana
負面童年經驗	fumiantongnianjingyan
醫學文獻	yixuewenxian
脸部移植	lianbuyizhi
子宫旁组织炎	zigongpangzuzhiyan
雷米普利	leimipuli
整復	zhengfu
心内膜炎	xinneimoyan
髁	ke
胎動	taidong
视觉假体	shijuejiati
死亡驅力	siwangquli
鉛中毒	qianzhongdu
双颌前突	shuangheqiantu
代孕	daiyun
鎮靜劑	zhenjingji
贝诺酯	beinuozhi
滴血認親	dixuerenqin
自我關愛	ziwoguanai
醫療人類學	yiliaorenleixue
餐後嗜睡	canhoushishui
处方	chufang
青蒿素	qinghaosu
海绵窦	haimiandou
孤狼人格	gulangrenge
家庭暴力	jiatingbaoli
透闪石	toushanshi
腦性麻痺	naoxingmabi
震顫	zhenchan
上唇静脉	shangchunjingmai
肩胛骨	jianjiagu
湯婆	tangpo
平和基金	pinghejijin
妊娠線	renshenxian
魔鬼二世	moguiershi
念佛	nianfo
卫生信息技术	weishengxinxijishu
视神经	shishenjing
血管性血友病	xueguanxingxueyoubing
腰椎穿刺	yaochuichuanci
胎位	taiwei
靶向治疗	baxiangzhiliao
听力减退	tinglijiantui
黄澄如	huangchengru
清潔印度運動	qingjieyinduyundong
併趾畸形	bingzhijixing
反应性关节炎	fanyingxingguanjieyan
篩孔	shaikong
正顎手術	zhengeshoushu
牙齒撞脫	yachizhuangtuo
化學腦保存	huaxuenaobaocun
魔药墨角兰	moyaomojiaolan
溫病	wenbing
囊腫性纖維化	nangzhongxingxianweihua
胎兒窘迫	taierjiongpo
临床化学	linchuanghuaxue
亲脂效率	qinzhixiaolv
貪食	tanshi
少陰病	shaoyinbing
排除飲食	paichuyinshi
外阴结核病	waiyinjiehebing
職能治療師	zhinengzhiliaoshi
丁酰苯	dingxianben
中毒	zhongdu
無敵怪醫	wudiguaiyi
胃腸炎	weichangyan
公共卫生博士	gonggongweishengboshi
顶体	dingti
行動學習法	xingdongxuexifa
齒石	chishi
腺样体切除术	xianyangtiqiechushu
邦納症候群	bangnazhenghouqun
蛇先生	shexiansheng
捐卵	juanluan
氟伏沙明	fufushaming
血压计	xueyaji
依西太尔	yixitaier
生物医学工程	shengwuyixuegongcheng
人间世	renjianshi
太陽觀測器	taiyangguanceqi
蓝婴综合症	lanyingzonghezheng
氰化钠	qinghuana
盲視	mangshi
甲周表皮	jiazhoubiaopi
婚检	hunjian
中頻電療	zhongpindianliao
癫痫	dianxian
进化医学	jinhuayixue
革蘭氏染色	gelanshiranse
萘氮芥	naidanjie
检疫站	jianyizhan
牙齒	yachi
協同誘導	xietongyoudao
急救	jijiu
假性延髓情绪	jiaxingyansuiqingxu
牛奶蛋白過敏	niunaidanbaiguomin
性格	xingge
不適	bushi
睾丸切除术	gaowanqiechushu
宋心濂	songxinlian
退行性疾病	tuixingxingjibing
毒剂	duji
眶上動脈	kuangshangdongmai
白色榮光	baiserongguang
脛脊	jingji
膿毒症	nongduzheng
美沙拉妥	meishalatuo
贝茨法	beicifa
蜘蛛樣指	zhizhuyangzhi
梅格斯综合征	meigesizonghezheng
希罗菲卢斯	xiluofeilusi
氯马唑仑	lvmazuolun
意外懷孕	yiwaihuaiyun
化学疗法	huaxueliaofa
精神病学	jingshenbingxue
美狄亚	meidiya
新谷弘實	xinguhongshi
伊莉莎白頸圈	yilishabaijingquan
免疫表型分析	mianyibiaoxingfenxi
健康自主運動	jiankangzizhuyundong
末日孤舰	morigujian
免疫逃避	mianyitaobi
靶点	badian
叠氮化钡	diedanhuabei
湿邪	shixie
靜脈腎盂造影	jingmaishenyuzaoying
氯化钾	lvhuajia
免疫手術	mianyishoushu
太醫院	taiyiyuan
肌衛星細胞	jiweixingxibao
奧比斯	aobisi
美人鱼综合症	meirenyuzonghezheng
隔離病房	gelibingfang
糖皮质激素	tangpizhijisu
冬凌草	donglingcao
人類鐵代謝	renleitiedaixie
著骨點病變	zhugudianbingbian
藥物污染	yaowuwuran
贅生物	zhuishengwu
全面性教育	quanmianxingjiaoyu
尿素降低率	niaosujiangdilv
移情焦点治疗	yiqingjiaodianzhiliao
知慧热	zhihuire
胎中胎	taizhongtai
人工授精	rengongshoujing
醫學指南	yixuezhinan
內視現象	neishixianxiang
頭髮止血帶症	toufazhixuedaizheng
雅典大瘟疫	yadiandawenyi
瓦氏動作	washidongzuo
醋托啡	cutuofei
敏化作用	minhuazuoyong
腱膜纤维瘤	jianmoxianweiliu
眶上裂	kuangshanglie
外科用潤滑劑	waikeyongrunhuaji
耳針	erzhen
黎鴻峰	lihongfeng
腹腔鏡手術	fuqiangjingshoushu
下唇静脉	xiachunjingmai
队列研究	duilieyanjiu
病原學	bingyuanxue
住院医师	zhuyuanyishi
日內瓦宣言	rineiwaxuanyan
穢語症	huiyuzheng
奥卡西平	aokaxiping
熱身運動	reshenyundong
免疫组数据库	mianyizushujuku
构效关系	gouxiaoguanxi
主动脉夹层	zhudongmaijiaceng
麻醉药品	mazuiyaopin
人類屍體處理	renleishitichuli
毒理学	dulixue
癌	ai
高山症	gaoshanzheng
半合成	banhecheng
獸醫學系	shouyixuexi
血管平滑肌	xueguanpinghuaji
昆達里尼	kundalini
造血作用	zaoxuezuoyong
肾皮质	shenpizhi
職業流行病學	zhiyeliuxingbingxue
厚生勞動省	houshenglaodongsheng
化学治疗药	huaxuezhiliaoyao
内分泌疾病	neifenmijibing
自溶	zirong
高压釜	gaoyafu
屈光不正	quguangbuzheng
腐肉	furou
子午流注	ziwuliuzhu
磷化氢	linhuaqing
瘴气	zhangqi
體能鍛煉	tinengduanlian
撕脱傷	situoshang
苏州苏城医院	suzhousuchengyiyuan
社会惯性	shehuiguanxing
布魯氏菌病	bulushijunbing
腎皮質壞死	shenpizhihuaisi
沃森综合征	wosenzonghezheng
性腺形成不全	xingxianxingchengbuquan
阵发性剧痛症	zhenfaxingjutongzheng
脊柱外科	jizhuwaike
血管成形術	xueguanchengxingshu
地芝丸	dizhiwan
關節積血	guanjiejixue
寿衣	shouyi
口服给药	koufugeiyao
休克	xiuke
失控減壓	shikongjianya
精神	jingshen
礼拜	libai
性代理人	xingdailiren
母嬰同室	muyingtongshi
阑尾切除术	lanweiqiechushu
哈希什	haxishen
埃索美拉唑	aisuomeilazuo
硫唑嘌呤	liuzuopiaoling
預防悖論	yufangbeilun
导尿管	daoniaoguan
嗜天青顆粒	shitianqingkeli
西弗	xifu
丧偶	sangou
亞歷山大症	yalishandazheng
腫瘤減積手術	zhongliujianjishoushu
外阴疖病	waiyinjiebing
临床诊断学	linchuangzhenduanxue
淋巴結	linbajie
腦脊液	naojiye
布气	buqi
隔離島	gelidao
克利加巴林	kelijiabalin
藥品專利池	yaopinzhuanlichi
初始人格	chushirenge
胡志明獎	huzhimingjiang
灭绝	miejue
顺铂	shunbo
中二病	zhongerbing
监督人	jianduren
反出生主義	fanchushengzhuyi
年龄规范	nianlingguifan
肺循環	feixunhuan
迅吃	xunchi
韁連合	jianglianhe
毒鏢	dubiao
肺功能测试	feigongnengceshi
唑吡坦	zuobitan
球囊導管	qiunangdaoguan
功能障碍	gongnengzhangai
積極治療	jijizhiliao
鹼性飲食	jianxingyinshi
回光返照	huiguangfanzhao
藥學史	yaoxueshi
子宮內膜增生	zigongneimozengsheng
滋养动脉	ziyangdongmai
心臟驟停	xinzangzhouting
鴨瘟	yawen
水晶棺	shuijingguan
医师执照	yishizhizhao
射頻燒灼術	shepinshaozhuoshu
良知	liangzhi
姜黄素	jianghuangsu
呕血	ouxue
博物志	bowuzhi
嫉妒妄想	jiduwangxiang
花斑癬	huabanxuan
方骨	fanggu
藍鯨的陰莖	lanjingdeyinjing
肝功能測試	gangongnengceshi
牽機藥	qianjiyao
醫匯集團	yihuijituan
人工流产	rengongliuchan
鼻漏	bilou
藥品說明書	yaopinshuomingshu
地球末日戰	diqiumorizhan
閹割	yange
吸收速率常数	xishousulvchangshu
免疫系统疾病	mianyixitongjibing
縮陽症	suoyangzheng
胃炎	weiyan
吴凯伦	wukailun
健康信念模型	jiankangxinnianmoxing
碘西尼	dianxini
精液冷凍貯藏	jingyelengdongzhucang
陰莖吸引器	yinjingxiyinqi
美容冠	meirongguan
八珍湯	bazhentang
尸气	shiqi
腦波分析	naobofenxi
皮下埋植劑	pixiamaizhiji
中国针灸学会	zhongguozhenjiuxuehui
銀質沈著症	yinzhishenzhuzheng
玛仕度肽	mashidutai
右美托咪定	youmeituomiding
殉職	xunzhi
预期社会化	yuqishehuihua
區域反射療法	quyufansheliaofa
肌肉萎縮	jirouweisuo
五大營養素	wudayingyangsu
消瘦	xiaoshou
半自主胞器	banzizhubaoqi
寸關尺	cunguanchi
急救學	jijiuxue
痢疾	liji
瀕死經驗	binsijingyan
再植	zaizhi
人工卵巢	rengongluanchao
临床工程	linchuanggongcheng
预产期	yuchanqi
