# 泰深输入法专业词库 — medical
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
糯米紙	nuomizhi
肺性心脏病	feixingxinzangbing
走火入魔	zouhuorumo
日本昏迷指數	ribenhunmizhishu
一路順風	yilushunfeng
琪寶製藥	qibaozhiyao
扁桃腺切除術	biantaoxianqiechushu
逆行性生長	nixingxingshengzhang
涅槃	niepan
整形外科	zhengxingwaike
灣巒醫院	wanluanyiyuan
比玛卢单抗	bimaludankang
旋转矫形术	xuanzhuanjiaoxingshu
乳头毛	rutoumao
疫苗和自闭症	yimiaohezibizheng
最大密度投影	zuidamidutouying
兽医列表	shouyiliebiao
操作治療學	caozuozhiliaoxue
结节病	jiejiebing
急诊科	jizhenke
無血手術	wuxueshoushu
青盲	qingmang
阴道积血	yindaojixue
科學轉化醫學	kexuezhuanhuayixue
拉撒路現象	lasaluxianxiang
酶抑制剂	meiyizhiji
胺碘酮	andiantong
纤维肌痛	xianweijitong
干阴道性交	ganyindaoxingjiao
大於胎齡兒	dayutailinger
内分泌腺	neifenmixian
傷寒學派	shanghanxuepai
环境医学	huanjingyixue
波士顿科学	boshidunkexue
精神科醫師	jingshenkeyishi
利多卡因	liduokayin
栓塞	shuanse
招名威	zhaomingwei
臨海醫院	linhaiyiyuan
前房積血	qianfangjixue
脈動人心	maidongrenxin
臥床休息	wochuangxiuxi
孤島診療所	gudaozhenliaosuo
周平坤	zhoupingkun
三叉神經痛	sanchashenjingtong
髖臼	kuanjiu
游離輻射	youlifushe
吸入劑	xiruji
扑翼样震颤	puyiyangzhenchan
巴西利斯克	baxilisike
十二指腸腺	shierzhichangxian
弹性蛋白	danxingdanbai
美幾	meiji
同种型	tongzhongxing
疫苗	yimiao
復興黨	fuxingdang
抗米勒管激素	kangmileiguanjisu
雷诺兹五联征	leinuoziwulianzheng
冷颤	lengzhan
诺华	nuohua
泪腺	leixian
牙科恐懼	yakekongju
生物聚合物	shengwujuhewu
希伯登氏結節	xibodengshijiejie
藥物注射	yaowuzhushe
適體	shiti
定量构效关系	dinglianggouxiaoguanxi
體外反搏療法	tiwaifanboliaofa
先天性無齒症	xiantianxingwuchizheng
血管性水肿	xueguanxingshuizhong
夏咸柱	xiaxianzhu
作用方式	zuoyongfangshi
言靈	yanling
腦瘤	naoliu
毛母质	maomuzhi
外阴疼痛	waiyintengtong
足舟骨	zuzhougu
健力控股	jianlikonggu
聚磷酸雌二醇	julinsuancierchun
嗓音医学	sangyinyixue
類風濕因子	leifengshiyinzi
人造皮膚	renzaopifu
放射攝影	fangshesheying
放血	fangxie
脱套伤	tuotaoshang
我不是潘金莲	wobushipanjinlian
精神外科	jingshenwaike
博帕爾事件	bopaershijian
子宮頸癌	zigongjingai
避孕药	biyunyao
接种	jiezhong
阴道闭合术	yindaobiheshu
自體免疫	zitimianyi
水療	shuiliao
芳香療法	fangxiangliaofa
乾眼症	qianyanzheng
聾啞	longya
诺孕美特	nuoyunmeite
膀胱脫垂	bangguangtuochui
絨毛羊膜炎	rongmaoyangmoyan
僵尸世界大战	jiangshishijiedazhan
隅骨	yugu
钡餐	beican
碘化钾	dianhuajia
個體化醫學	getihuayixue
疾病發現年表	jibingfaxiannianbiao
軛骨	egu
世界醫學協會	shijieyixuexiehui
體脂肪率	tizhifanglv
脉搏	maibo
扁桃腺結石	biantaoxianjieshi
電腦導航手術	diannaodaohangshoushu
激动剂	jidongji
骷髅	kulou
三重脑	sanzhongnao
第三方惩罚	disanfangchengfa
细胞因子	xibaoyinzi
