# 泰深输入法专业词库 — philosophy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
元科学	yuankexue
民族自由主義	minzuziyouzhuyi
統合效益主義	tonghexiaoyizhuyi
逻辑形式	luojixingshi
苏格拉底悖论	sugeladibeilun
外丹术	waidanshu
林登鮑姆引理	lindengbaomuyinli
芝诺悖论	zhinuobeilun
反律法論	fanlvfalun
三大批判	sandapipan
非物质劳动	feiwuzhilaodong
美學家列表	meixuejialiebiao
无名怨愤	wumingyuanfen
社会关系	shehuiguanxi
神打	shenda
浮游生物悖論	fuyoushengwubeilun
原因論	yuanyinlun
托里拆利小號	tuolichailixiaohao
双面真理说	shuangmianzhenlishuo
莊子	zhuangzi
極端主義	jiduanzhuyi
人類中心主義	renleizhongxinzhuyi
三一教	sanyijiao
限定不二论	xiandingbuerlun
亞德里亞問題	yadeliyawenti
人類行為學	renleixingweixue
犹太人问题	youtairenwenti
愚民政策	yuminzhengce
猜想	caixiang
能动性	nengdongxing
中立性	zhonglixing
荀子	xunzi
指控	zhikong
模擬實境	monishijing
缸中之脑	gangzhongzhinao
後行為主義	houxingweizhuyi
后实证主义	houshizhengzhuyi
历史法学派	lishifaxuepai
命题逻辑	mingtiluoji
美诺篇	meinuopian
杨宪邦	yangxianbang
概念	gainian
德国唯心主义	deguoweixinzhuyi
善惡的彼岸	shanedebian
證詞	zhengci
劍橋哲學辭典	jianqiaozhexuecidian
韩非	hanfei
内涵	neihan
归纳问题	guinawenti
維羅納會議	weiluonahuiyi
失踪的正方形	shizongdezhengfangxing
米利都学派	milidouxuepai
二分法	erfenfa
臺灣哲學	taiwanzhexue
階級國家	jiejiguojia
詞法定義	cifadingyi
抽象与具体	chouxiangyujuti
哲學史	zhexueshi
含糊	hanhu
伟大会话	weidahuihua
世界末日论	shijiemorilun
正规模态逻辑	zhengguimotailuoji
螢幕判官	yingmupanguan
弓箭手悖论	gongjianshoubeilun
縮地	suodi
接續論	jiexulun
哲學系	zhexuexi
短詩篇	duanshipian
自由意志	ziyouyizhi
典範轉移	dianfanzhuanyi
布尔逻辑	buerluoji
社會理論	shehuililun
至高我	zhigaowo
享樂主義	xianglezhuyi
道德情操論	daodeqingcaolun
德性倫理學	dexinglunlixue
法國悖論	faguobeilun
内在	neizai
自然主義美學	ziranzhuyimeixue
联邦主义	lianbangzhuyi
天下布武	tianxiabuwu
尊重	zunzhong
双重政权	shuangzhongzhengquan
方法的怀疑	fangfadehuaiyi
奶油貓悖論	naiyoumaobeilun
共相	gongxiang
分離女性主義	fenlinvxingzhuyi
金融哲学	jinrongzhexue
本體	benti
克罗地亚问题	keluodiyawenti
玩家困境	wanjiakunjing
议会立法指令	yihuilifazhiling
方克立	fangkeli
意識形態	yishixingtai
事件	shijian
表現主義美學	biaoxianzhuyimeixue
令式	lingshi
永恆論	yonghenglun
西方秘契主義	xifangmiqizhuyi
領土和平论	lingtuhepinglun
知觉难题	zhijuenanti
论产生和毁灭	lunchanshenghehuimie
人格同一性	rengetongyixing
搭便车问题	dabianchewenti
饮者悖论	yinzhebeilun
書信篇	shuxinpian
否命题	foumingti
论永久和平	lunyongjiuheping
黄颂杰	huangsongjie
社会进步	shehuijinbu
恐怖谷理论	kongbugulilun
反思主義	fansizhuyi
控制点	kongzhidian
概念論	gainianlun
后现代主义	houxiandaizhuyi
後馬克思主義	houmakesizhuyi
呂才	lvcai
回归土地	huiguitudi
整合民族主义	zhengheminzuzhuyi
神經科學哲學	shenjingkexuezhexue
結構主義美學	jiegouzhuyimeixue
溯因推理	suyintuili
倫理知識論	lunlizhishilun
證據	zhengju
地图非疆域	ditufeijiangyu
宇宙	yuzhou
超左翼	chaozuoyi
皮浪主义	pilangzhuyi
无穷	wuqiong
選擇	xuanze
反錫安主義	fanxianzhuyi
逻辑词汇表	luojicihuibiao
世界主义	shijiezhuyi
坑人二十二	kengrenershier
自我	ziwo
词与物	ciyuwu
行为主义	xingweizhuyi
留基伯	liujibo
形式追随功能	xingshizhuisuigongneng
半费之讼	banfeizhisong
觀念藝術	guannianyishu
道德哲学学刊	daodezhexuexuekan
性质	xingzhi
人类外貌	renleiwaimao
规范化性质	guifanhuaxingzhi
咒语	zhouyu
三山符箓	sanshanfulu
方立天	fanglitian
不信者	buxinzhe
無支配體制	wuzhipeitizhi
完美	wanmei
豪斯多夫悖論	haosiduofubeilun
个体	geti
乌鸦悖论	wuyabeilun
实是性	shishixing
黑天鵝效應	heitianexiaoying
常理	changli
行動理論	xingdonglilun
方法学	fangfaxue
分析与批评	fenxiyupiping
无相颂	wuxiangsong
分析心理学	fenxixinlixue
社群主義	shequnzhuyi
法蘭克福學派	falankefuxuepai
強權即公理	qiangquanjigongli
政治神学	zhengzhishenxue
社會民主主義	shehuiminzhuzhuyi
创化论	chuanghualun
马克思主义	makesizhuyi
投胎彩票	toutaicaipiao
新真诚	xinzhencheng
擬像和模擬	nixianghemoni
逍遥	xiaoyao
逻辑论证	luojilunzheng
子结构	zijiegou
矛盾论	maodunlun
道德怀疑主义	daodehuaiyizhuyi
逆命题	nimingti
朝鲜半岛统一	chaoxianbandaotongyi
傑克遜民主	jiekexunminzhu
邏各斯	luogesi
哲學殭屍	zhexuejiangshi
經驗	jingyan
智慧文學	zhihuiwenxue
社会哲学	shehuizhexue
概率逻辑	gailvluoji
命運之愛	mingyunzhiai
治理术	zhilishu
信瑜伽	xinyuga
冯友兰	fengyoulan
权术	quanshu
神的存在性	shendecunzaixing
天赋观念论	tianfuguannianlun
謙虛	qianxu
尤里卡效应	youlikaxiaoying
投降主义	toujiangzhuyi
互联网美学	hulianwangmeixue
实践	shijian
精英主义	jingyingzhuyi
论扯淡	lunchedan
正常國家	zhengchangguojia
新自由主義	xinziyouzhuyi
哲学	zhexue
现实政治	xianshizhengzhi
苏格拉底	sugeladi
哲学剃刀	zhexuetidao
可识别语言	keshibieyuyan
审美疲劳	shenmeipilao
反修正主义	fanxiuzhengzhuyi
伦理运动	lunliyundong
克拉底魯篇	keladilupian
道德责任	daodezeren
哲學家列表	zhexuejialiebiao
波斯人信札	bosirenxinzha
神学政治论	shenxuezhengzhilun
决疑论	jueyilun
自由保守主義	ziyoubaoshouzhuyi
论自由	lunziyou
詩論	shilun
情色藝術	qingseyishu
激进民主主义	jijinminzhuzhuyi
哲人言行錄	zherenyanxinglu
皮諾丘悖論	pinuoqiubeilun
百科全书派	baikequanshupai
形上學大綱	xingshangxuedagang
承負論	chengfulun
柴樂諾波	chailenuobo
知觉	zhijue
流氓國家	liumangguojia
山東問題	shandongwenti
事大主義	shidazhuyi
现象主义	xianxiangzhuyi
哲学研究	zhexueyanjiu
还原论	haiyuanlun
西塞罗	xisailuo
物性論	wuxinglun
非直谓性	feizhiweixing
刘纲纪	liugangji
象征主义	xiangzhengzhuyi
元哲学	yuanzhexue
激進側翼效應	jijinceyixiaoying
巴曼尼得斯篇	bamannidesipian
丑陋	choulou
現象學還原	xianxiangxuehaiyuan
德意志問題	deyizhiwenti
罪惡問題	zuiewenti
知識論者列表	zhishilunzheliebiao
八卦	bagua
現象的意識	xianxiangdeyishi
經濟自由	jingjiziyou
学院怀疑主义	xueyuanhuaiyizhuyi
元神	yuanshen
咖啡哲學	kafeizhexue
哲学词汇表	zhexuecihuibiao
同一性	tongyixing
内卷化	neijuanhua
哈斯卡拉运动	hasikalayundong
逻辑史	luojishi
精神焦慮	jingshenjiaolv
刺猬困境	ciweikunjing
六论自发性	liulunzifaxing
後設	houshe
优雅	youya
中立一元論	zhongliyiyuanlun
心理主义	xinlizhuyi
划界问题	huajiewenti
老黑格尔派	laoheigeerpai
平衡	pingheng
积极自由	jijiziyou
決定論	juedinglun
自足算子	zizusuanzi
儒家人物列表	rujiarenwuliebiao
范式	fanshi
钱包悖论	qianbaobeilun
诸子集成	zhuzijicheng
線喻	xianyu
节用	jieyong
主權	zhuquan
壓抑性去昇華	yayixingqushenghua
犬儒主義	quanruzhuyi
文学批评	wenxuepiping
性感	xinggan
五路論證	wululunzheng
机械论	jixielun
罗马问题	luomawenti
希臘化哲學	xilahuazhexue
自利	zili
二十五点纲领	ershiwudiangangling
非決定論	feijuedinglun
悖论	beilun
现代化	xiandaihua
歐陸哲學	ouluzhexue
叢束理論	congshulilun
二諦	erdi
理性利己主义	lixinglijizhuyi
音乐宇宙	yinleyuzhou
论域	lunyu
美男	meinan
超人类主义	chaorenleizhuyi
英國哲學	yingguozhexue
諦	di
阿那克萨图斯	anakesatusi
臺灣問題	taiwanwenti
中庸之道	zhongyongzhidao
商鞅	shangyang
绝对唯心主义	jueduiweixinzhuyi
知识	zhishi
隨筆集	suibiji
傻	sha
合同异	hetongyi
张岱年	zhangdainian
符號奠基問題	fuhaodianjiwenti
以法而治	yifaerzhi
功績制	gongjizhi
历史哲学	lishizhexue
美国开国元勋	meiguokaiguoyuanxun
瓦爾登湖	waerdenghu
生物學哲學	shengwuxuezhexue
郭齐勇	guoqiyong
經驗關係	jingyanguanxi
從言與從實	congyanyucongshi
知識論證	zhishilunzheng
永恆	yongheng
非洲哲学	feizhouzhexue
生态社区主义	shengtaishequzhuyi
大中东地区	dazhongdongdiqu
生物中心主義	shengwuzhongxinzhuyi
福利主義	fulizhuyi
高尚的謊言	gaoshangdehuangyan
摹状词理论	mozhuangcililun
哲学范畴	zhexuefanchou
善惡	shane
語言學轉向	yuyanxuezhuanxiang
批评	piping
气场	qichang
世袭	shixi
托马斯主义	tuomasizhuyi
伦敦经济会议	lundunjingjihuiyi
二值原理	erzhiyuanli
矛盾語	maodunyu
民族形式建筑	minzuxingshijianzhu
客觀性	keguanxing
同本體論	tongbentilun
自然主义	ziranzhuyi
持續論	chixulun
哲學教育	zhexuejiaoyu
本质	benzhi
动物志	dongwuzhi
推理	tuili
客體	keti
逻辑原子论	luojiyuanzilun
反建制	fanjianzhi
女性主義	nvxingzhuyi
权力意志	quanliyizhi
五术	wushu
審議式民主	shenyishiminzhu
本性	benxing
國族問題	guozuwenti
實證哲學教程	shizhengzhexuejiaocheng
反基督	fanjidu
心理利己主義	xinlilijizhuyi
體化認知	tihuarenzhi
国家建构	guojiajiangou
庸俗主義	yongsuzhuyi
自由意志論證	ziyouyizhilunzheng
林素琴	linsuqin
分體虛無主義	fentixuwuzhuyi
嗇色園	seseyuan
理性主義美學	lixingzhuyimeixue
帝权	diquan
人皆生而平等	renjieshengerpingdeng
一元谓词演算	yiyuanweiciyansuan
心灵哲学	xinlingzhexue
抽象殊相	chouxiangshuxiang
第一原理	diyiyuanli
情境功利主義	qingjinggonglizhuyi
人之死	renzhisi
经验主义	jingyanzhuyi
管理主義	guanlizhuyi
少正卯	shaozhengmao
雷法	leifa
不當行為	budangxingwei
物理主义	wulizhuyi
实践智慧	shijianzhihui
边缘学说	bianyuanxueshuo
民胞物与	minbaowuyu
流空间	liukongjian
类推论证	leituilunzheng
多元文化主義	duoyuanwenhuazhuyi
忠信	zhongxin
善	shan
法治国	fazhiguo
风险社会	fengxianshehui
佐伊尔	zuoyier
非单调逻辑	feidandiaoluoji
健康主義	jiankangzhuyi
確定性	quedingxing
臥遊	woyou
優越主義	youyuezhuyi
哲学与文学	zhexueyuwenxue
美國哲學	meiguozhexue
无知	wuzhi
工具理性	gongjulixing
休謨問題	xiumowenti
情境主义国际	qingjingzhuyiguoji
普世主义	pushizhuyi
三民主義	sanminzhuyi
道家悖論	daojiabeilun
法團主義	fatuanzhuyi
爆炸原理	baozhayuanli
外貌吸引力	waimaoxiyinli
因努阿	yinnua
他者	tazhe
轄域	xiayu
三才	sancai
比較	bijiao
普纽玛	puniuma
三瑜伽	sanyuga
無痛	wutong
国际主义	guojizhuyi
哲学的故事	zhexuedegushi
研究纲领	yanjiugangling
價值判斷	jiazhipanduan
传统逻辑	chuantongluoji
悖论列表	beilunliebiao
默觀	moguan
表徵	biaozheng
阈限	yuxian
坎普风	kanpufeng
孙长江	sunzhangjiang
媒介特异性	meijieteyixing
邏輯主義	luojizhuyi
生命的意義	shengmingdeyiyi
社会契约论	shehuiqiyuelun
鸭子测试	yaziceshi
想像的共同體	xiangxiangdegongtongti
意志力薄弱	yizhilibaoruo
北爱尔兰问题	beiaierlanwenti
氣	qi
現象學	xianxiangxue
感质	ganzhi
崇高	chonggao
文化挪用	wenhuanuoyong
迦南主義	jiananzhuyi
墨西哥僵局	moxigejiangju
世俗主义	shisuzhuyi
第三条道路	disantiaodaolu
責務	zewu
布雷斯悖论	buleisibeilun
論人的責任	lunrendezeren
知識回饋	zhishihuikui
华沙学派	huashaxuepai
周易外傳	zhouyiwaichuan
自然狀態	ziranzhuangtai
心身平行論	xinshenpingxinglun
用户错觉	yonghucuojue
長嘯	zhangxiao
政治自由	zhengzhiziyou
古典傳統	gudianchuantong
胡志明思想	huzhimingsixiang
加速主义	jiasuzhuyi
道德绝对主义	daodejueduizhuyi
权利	quanli
谓词逻辑	weiciluoji
玻尔兹曼大脑	boerzimandanao
集體負責制	jitifuzezhi
博物学	bowuxue
辅助生殖技术	fuzhushengzhijishu
智慧圈	zhihuiquan
周延	zhouyan
神经现象学	shenjingxianxiangxue
幸福	xingfu
物質決定論	wuzhijuedinglun
厭世	yanshi
陳曉明	chenxiaoming
假前提	jiaqianti
阿加瑪	ajiama
法拉第弔詭	faladidiaogui
集合论悖论	jihelunbeilun
心智计算理论	xinzhijisuanlilun
文化霸權	wenhuabaquan
目的	mudi
守一	shouyi
斯大林主义	sidalinzhuyi
非暴力	feibaoli
物哀	wuai
占星四書	zhanxingsishu
主奴道德	zhunudaode
狂喜	kuangxi
科学哲学	kexuezhexue
法國啟蒙主義	faguoqimengzhuyi
性善论	xingshanlun
