# 泰深输入法专业词库 — philosophy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
元科学	yuankexue
思辨實在論	sibianshizailun
冲力说	chonglishuo
东方哲学史	dongfangzhexueshi
同理心	tonglixin
財政保守主義	caizhengbaoshouzhuyi
天理	tianli
原初状态	yuanchuzhuangtai
法國世俗主義	faguoshisuzhuyi
法律实证主义	falvshizhengzhuyi
唯物主义	weiwuzhuyi
文化	wenhua
修行	xiuxing
三官手书	sanguanshoushu
国王问题	guowangwenti
批判实在主义	pipanshizaizhuyi
性與性格	xingyuxingge
语义双关	yuyishuangguan
損害	sunhai
哈代悖论	hadaibeilun
公共知识分子	gonggongzhishifenzi
古希腊哲学	guxilazhexue
先驗與後驗	xianyanyuhouyan
生成	shengcheng
柱狀化	zhuzhuanghua
时间逻辑	shijianluoji
伊智提哈德	yizhitihade
实体论	shitilun
養生	yangsheng
失敗	shibai
王道	wangdao
纯粹记忆	chuncuijiyi
自由	ziyou
黑暗启蒙运动	heianqimengyundong
四善端	sishanduan
國家主義	guojiazhuyi
厭惡	yane
内心的宁静	neixindeningjing
道義	daoyi
新無神論	xinwushenlun
自決	zijue
柯里悖论	kelibeilun
真理共識論	zhenligongshilun
相對主義	xiangduizhuyi
娛樂	yule
农业社会主义	nongyeshehuizhuyi
社會正義	shehuizhengyi
階級意識	jiejiyishi
无宇宙论	wuyuzhoulun
新納粹主義	xinnacuizhuyi
外貌歧視	waimaoqishi
社會批判美學	shehuipipanmeixue
心靈模塊性	xinlingmokuaixing
价值批判	jiazhipipan
中项	zhongxiang
美女	meinv
宇宙論證	yuzhoulunzheng
阿勒西亞	aleixiya
无政府主义	wuzhengfuzhuyi
成長小說	chengzhangxiaoshuo
進步主義	jinbuzhuyi
霸道	badao
奪舍	duoshe
向量邏輯	xiangliangluoji
埃利亚学派	ailiyaxuepai
灵魂	linghun
梦境论证	mengjinglunzheng
白人民族主義	bairenminzuzhuyi
范畴	fanchou
現實	xianshi
道德普遍主义	daodepubianzhuyi
运动场问题	yundongchangwenti
五感	wugan
功能主義	gongnengzhuyi
语境主义	yujingzhuyi
伊斯兰哲学	yisilanzhexue
積讀	jidu
理論性定義	lilunxingdingyi
和声	hesheng
礼	li
游斯丁	yousiding
白板	baiban
模因学	moyinxue
