# 泰深输入法专业词库 — 历史名人
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一真	yizhen
付光明	fuguangming
付晓芳	fuxiaofang
付静	fujing
仙石秀久	xianshixiujiu
代勇	daiyong
代郡	daijun
令居	lingju
仪狄	yidi
仲仁	zhongren
仲壬	zhongren
仲子	zhongzi
仲宣	zhongxuan
仲山	zhongshan
仲康	zhongkang
仲翔	zhongxiang
仲远	zhongyuan
仲间由纪惠	zhongjianyoujihui
仲颖	zhongying
任光	renguang
任可澄	renkecheng
任城国	renchengguo
任士林	renshilin
任峻	renjun
任建	renjian
任晓静	renxiaojing
任枫	renfeng
任泉	renquan
任海波	renhaibo
任淇	renqi
任源	renyuan
任溶溶	renrongrong
任玥	renyue
任环	renhuan
任远征	renyuanzheng
任道逊	rendaoxun
任道镕	rendaorong
任陈晋	renchenjin
任颐	renyi
伊万丘克	yiwanqiuke
伊东美咲	yidongmeixiao
伊凡雷帝	yifanleidi
伊利克	yilike
伊势	yishi
伊势谷友介	yishiguyoujie
伊基塔	yijita
伊尹	yiyin
伊月	yiyue
伊海	yihai
伊籍	yiji
伊织	yizhi
伊莎贝拉一世	yishabeilayishi
伊藤	yiteng
伊藤千晃	yitengqianhuang
伊藤步	yitengbu
伊藤淳史	yitengchunshi
伊藤由奈	yitengyounai
伊藤英明	yitengyingming
伊藤诚	yitengcheng
伊藤隆大	yitenglongda
伊藤静	yitengjing
伊贺	yihe
伊达政宗	yidazhengzong
伊达直人	yidazhiren
伍仕贤	wushixian
伍代夏子	wudaixiazi
伍佰	wubai
伍兹	wuzi
伍孚	wufu
伍宪子	wuxianzi
伍延鎏	wuyanliu
伍德彝	wudeyi
伍洪	wuhong
伍洲彤	wuzhoutong
伍琼	wuqiong
伍瑞隆	wuruilong
伍郎	wulang
伍长华	wuzhanghua
伍霞	wuxia
伍飞	wufei
伍骥	wuji
伏完	fuwan
伏胜	fusheng
休徵	xiuzheng
优香	youxiang
会津藩	huijinfan
会考府	huikaofu
伦森布林克	lunsenbulinke
伯仁	boren
伯夷	boyi
伯玉	boyu
伯益	boyi
伯阳	boyang
佐久间	zuojiujian
佐伯日菜子	zuoboricaizi
佐佐木小次郎	zuozuomuxiaocilang
佐佐木希	zuozuomuxi
佐佐木敦子	zuozuomudunzi
佐佐木麻绪	zuozuomumaxu
佐藤健	zuotengjian
佐藤利奈	zuotenglinai
佐藤多佳子	zuotengduojiazi
佐藤宽子	zuotengkuanzi
佐藤春夫	zuotengchunfu
佐藤爱	zuotengai
佐藤直纪	zuotengzhiji
佐藤聪美	zuotengcongmei
佐藤裕美	zuotengyumei
佐藤隆太	zuotenglongtai
佐藤麻衣	zuotengmayi
何东	hedong
何中	hezhong
何亮亮	heliangliang
何元锡	heyuanxi
何全	hequan
何其伟	heqiwei
何冬	hedong
何冰	hebing
何凤	hefeng
何国栋	heguodong
何基	heji
何塞	hesai
何大成	hedacheng
何如宠	heruchong
何子渊	heziyuan
何守志	heshouzhi
何守正	heshouzheng
何宗	hezong
何庆元	heqingyuan
何志锋	hezhifeng
何成濬	hechengjun
何振岱	hezhendai
何敏	hemin
何旃理	hezhanli
何晏	heyan
何晴	heqing
何曼	heman
何栋	hedong
何桂清	heguiqing
何梦瑶	hemengyao
何植	hezhi
何毅	heyi
何永绍	heyongshao
何洁	hejie
何洋	heyang
何海洋	hehaiyang
何深	heshen
何澄	hecheng
何炅	hejiong
何炫	hexuan
何炳棣	hebingdi
何焯	hechao
何玉成	heyucheng
何琢言	hezuoyan
何琳	helin
何璋	hezhang
何祎	heyi
何祐	heyou
何绍周	heshaozhou
何翀	hechong
何苗	hemiao
何辉	hehui
何进	hejin
何连生	heliansheng
何适	heshi
何逊	hexun
何采	hecai
何鑫	hexin
何键	hejian
何镗	hetang
何静	hejing
余三胜	yusansheng
余世维	yushiwei
余乐醒	yulexing
余伯泉	yuboquan
余华	yuhua
余四海	yusihai
余姝	yushu
余安	yuan
余平	yuping
余彤	yutong
余怀	yuhuai
余既成	yujicheng
余日章	yurizhang
余晓平	yuxiaoping
余栋臣	yudongchen
余治	yuzhi
余洪元	yuhongyuan
余程万	yuchengwan
余纲	yugang
余绍宋	yushaosong
余继登	yujideng
余翠芝	yucuizhi
余萧客	yuxiaoke
余觉	yujue
余谈阵	yutanzhen
余贲民	yubenmin
余贵美子	yuguimeizi
余轩朗	yuxuanlang
余阙	yuque
余青	yuqing
余靖	yujing
余韶	yushao
余鹏	yupeng
佟大中	tongdazhong
佟大为	tongdawei
佟岩	tongyan
佟韦	tongwei
佩特洛娃	peiteluowa
依娜	yina
依田纪基	yitianjiji
侯伟	houwei
侯克中	houkezhong
侯卫东	houweidong
侯咏	houyong
侯宁	houning
侯度	houdu
侯成	houcheng
侯振宇	houzhenyu
侯晓军	houxiaojun
侯景	houjing
侯梁	houliang
侯炜	houwei
侯相	houxiang
侯耀文	houyaowen
侯自强	houziqiang
侯览	houlan
侯野	houye
侯鹄	hougu
保巴	baoba
保田圭	baotiangui
保罗艾伦	baoluoailun
保辜	baogu
保阪尚希	baobanshangxi
俞云	yuyun
俞佳	yujia
俞兆晟	yuzhaocheng
俞力工	yuligong
俞和	yuhe
俞培	yupei
俞山	yushan
俞弁	yubian
俞斌	yubin
俞松	yusong
俞樾	yuyue
俞琬	yuwan
俞莹	yuying
俞蛟	yujiao
俞飞鹏	yufeipeng
信世昌	xinshichang
修仪	xiuyi
修华	xiuhua
修媛	xiuyuan
修容	xiurong
修庆	xiuqing
修文馆	xiuwenguan
修昔底德	xiuxidide
倍赏千惠子	beishangqianhuizi
倍赏美津子	beishangmeijinzi
倓虚	tanxu
倪一膺	niyiying
倪华	nihua
倪洪章	nihongzhang
倪田	nitian
倪睿思	niruisi
倪萍	niping
倪蜕	nitui
倪超	nichao
倪鸿	nihong
假相国	jiaxiangguo
傅云龙	fuyunlong
傅亨	fuheng
傅佥	fuqian
傅佩荣	fupeirong
傅光宅	fuguangzhai
傅国栋	fuguodong
傅家俊	fujiajun
傅山	fushan
傅彪	fubiao
傅泾波	fujingbo
傅瀚	fuhan
傅熊湘	fuxiongxiang
傅瑜	fuyu
傅眉	fumei
傅秉常	fubingchang
傅聪	fucong
傅阳	fuyang
傅鹰	fuying
储巏	chuquan
僧肇	sengzhao
僰道	bodao
儒勒斯	ruleisi
兀突骨	wutugu
允常	yunchang
允才	yuncai
允若	yunruo
元作	yuanzuo
元修	yuanxiu
元公	yuangong
元兴	yuanxing
元和	yuanhe
元太祖成吉思汗	yuantaizuchengjisihan
元子攸	yuanziyou
元宏	yuanhong
元宗	yuanzong
元宝炬	yuanbaoju
元廓	yuankuo
元徽	yuanhui
元恪	yuanke
元恭	yuangong
元文宗	yuanwenzong
元文宗图帖睦尔	yuanwenzongtutiemuer
元昊	yuanhao
元明	yuanming
元晔	yuanye
元泰	yuantai
元海	yuanhai
元淮	yuanhuai
元猫	yuanmao
元秋	yuanqiu
元稹	yuanzhen
元结	yuanjie
元脩	yuanxiu
元让	yuanrang
元诩	yuanxu
元钦	yuanqin
光初	guangchu
光宗	guangzong
光定	guangding
克劳斯施瓦布	kelaosishiwabu
克尔凯戈尔	keerkaigeer
克拉姆尼克	kelamunike
克拉普罗特	kelapuluote
克文	kewen
克新	kexin
克里斯托弗哥伦布	kelisituofugelunbu
克里斯汀	kelisiting
党国英	dangguoying
党国蕾	dangguolei
党均	dangjun
党宁	dangning
党成	dangcheng
入山杏奈	rushanxingnai
入江直树	rujiangzhishu
入江纱绫	rujiangshaling
全勇先	quanyongxian
全尚	quanshang
全汉升	quanhansheng
全琮	quancong
全端	quanduan
八乙女光	bayinvguang
八代亚纪	badaiyaji
公刘	gongliu
公台	gongtai
公孙度	gongsundu
公孙恭	gongsungong
公孙轩辕	gongsunxuanyuan
公室告	gongshigao
六卿	liuqing
兰石	lanshi
兰茂	lanmao
关友声	guanyousheng
关口里美	guankoulimei
关宁	guanning
关松房	guansongfang
关槐	guanhuai
关纯	guanchun
典韦	dianwei
冀志罡	jizhigang
冀朝铸	jichaozhu
冀朝鼎	jichaoding
内山完造	neishanwanzao
内斯肯斯	neisikensi
内村光良	neicunguangliang
内田有纪	neitianyouji
内野圣阳	neiyeshengyang
冈本信彦	gangbenxinyan
冈本圭人	gangbenguiren
冈本夏生	gangbenxiasheng
冈本多绪	gangbenduoxu
冈本真夜	gangbenzhenye
冈村孝子	gangcunxiaozi
冈村宁次	gangcunningci
冈田准一	gangtianzhunyi
冈田将生	gangtianjiangsheng
冉平	ranping
冉觐祖	ranjinzu
冉闵	ranmin
冉雄飞	ranxiongfei
冒广生	maoguangsheng
冒襄	maoxiang
冒顿单于	moduchanyu
冢宰	zhongzai
冢本晋也	zhongbenjinye
冬日那	dongrina
冯一刀	fengyidao
冯一萌	fengyimeng
冯保	fengbao
冯光裕	fengguangyu
冯勇强	fengyongqiang
冯国章	fengguozhang
冯坤	fengkun
冯培元	fengpeiyuan
冯大刚	fengdagang
冯大有	fengdayou
冯奕	fengyi
冯如	fengru
冯嫽	fengliao
冯安邦	fenganbang
冯小	fengxiao
冯巩	fenggong
冯庸	fengyong
冯建章	fengjianzhang
冯开	fengkai
冯异	fengyi
冯弘	fenghong
冯德英	fengdeying
冯成修	fengchengxiu
冯承辉	fengchenghui
冯敏昌	fengminchang
冯文炳	fengwenbing
冯文蔚	fengwenwei
冯春晖	fengchunhui
冯晓曦	fengxiaoxi
冯景兰	fengjinglan
冯梦祯	fengmengzhen
冯沅君	fengyuanjun
冯波	fengbo
冯海涛	fenghaitao
冯焌光	fengjunguang
冯煦	fengxu
冯特民	fengtemin
冯礼	fengli
冯简	fengjian
冯至	fengzhi
冯苏	fengsu
冯裕	fengyu
冯诺伊曼	fengnuoyiman
冯跋	fengba
冯钦哉	fengqinzai
冯长春	fengchangchun
冯集梧	fengjiwu
冯雪松	fengxuesong
冯雷	fenglei
冰川清志	bingchuanqingzhi
冷枚	lengmei
冷永成	lengyongcheng
净莲	jinglian
凌一	lingyi
凌云上	lingyunshang
凌勇	lingyong
凌岩	lingyan
凌广	lingguang
凌德	lingde
凌必正	lingbizheng
凌曙	lingshu
凌濛初	lingmengchu
凌统	lingtong
凌震	lingzhen
凌霞	lingxia
凌青	lingqing
凌音	lingyin
凤凰涅	fenghuangnie
凭神	pingshen
凯塞林	kaisailin
凯瑞	kairui
凯莉	kaili
刀郎	daolang
刁包	diaobao
切格瓦拉	qiegewala
列科	lieke
刘一含	liuyihan
刘一斌	liuyibin
刘万春	liuwanchun
刘万永	liuwanyong
刘万芳	liuwanfang
刘世振	liushizhen
刘世珩	liushihang
刘丞	liucheng
刘丽梅	liulimei
刘乃仁	liunairen
刘乾	liuqian
刘云华	liuyunhua
刘云瀚	liuyunhan
刘亚力	liuyali
刘亚婷	liuyating
刘亚平	liuyaping
刘仕伟	liushiwei
刘仪	liuyi
刘仲仁	liuzhongren
刘伟	liuwei
刘体智	liutizhi
刘侗	liudong
刘保	liubao
刘健群	liujianqun
刘元举	liuyuanju
刘兆辉	liuzhaohui
刘先	liuxian
刘光泗	liuguangsi
刘光照	liuguangzhao
刘光远	liuguangyuan
刘冠翔	liuguanxiang
刘冬	liudong
刘准	liuzhun
刘凤诰	liufenggao
刘剑青	liujianqing
刘力	liuli
刘力杨	liuliyang
刘力生	liulisheng
刘劭	liushao
刘勇	liuyong
刘勇祥	liuyongxiang
刘勋	liuxun
刘勰	liuxie
刘协	liuxie
刘博平	liuboping
刘原	liuyuan
刘合	liuhe
刘向	liuxiang
刘君	liujun
刘启	liuqi
刘启光	liuqiguang
刘喜海	liuxihai
刘嗣绾	liusiwan
刘嘉	liujia
刘嘉树	liujiashu
刘嘉颖	liujiaying
刘国用	liuguoyong
刘墉	liuyong
刘士毅	liushiyi
刘声木	liushengmu
刘大钧	liudajun
刘天和	liutianhe
刘天民	liutianmin
刘天真	liutianzhen
刘奭	liushi
刘威	liuwei
刘威葳	liuweiwei
刘娜	liuna
刘婴	liuying
刘孜	liuzi
刘学洵	liuxuexun
刘宁	liuning
刘守卫	liushouwei
刘安祺	liuanqi
刘宏	liuhong
刘宏君	liuhongjun
刘宜良	liuyiliang
刘宝林	liubaolin
刘宝楠	liubaonan
刘实	liushi
刘宠	liuchong
刘家秀	liujiaxiu
刘家麒	liujiaqi
刘容	liurong
刘容嘉	liurongjia
刘寅生	liuyinsheng
刘寔	liushi
刘封	liufeng
刘尔炘	liuerxin
刘尧诲	liuyaohui
刘履	liulv
刘岑	liucen
刘岩	liuyan
刘岱	liudai
刘崧	liusong
刘巴	liuba
刘干	liugan
刘平	liuping
刘庄	liuzhuang
刘庆东	liuqingdong
刘应时	liuyingshi
刘度	liudu
刘延	liuyan
刘廷玑	liutingji
刘建	liujian
刘式训	liushixun
