# 泰深输入法专业词库 — 历史名人
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一真	yizhen
宗元	zongyuan
宗周	zongzhou
宗安	zongan
宗宝	zongbao
宗朗	zonglang
宗杲	zonggao
宗楷	zongkai
宗次郎	zongcilang
宗永生	zongyongsheng
宗泰	zongtai
宗泽	zongze
宗涛	zongtao
宗王	zongwang
宗珊	zongshan
宗璞	zongpu
宗臣	zongchen
宗预	zongyu
官廉	guanlian
定妃	dingfei
宛陵	wanling
宜妃	yifei
宜禄	yilu
实源	shiyuan
审配	shenpei
宣侠父	xuanxiafu
宣华华	xuanhuahua
宣宗	xuanzong
宣帝	xuandi
宣恒	xuanheng
宣昭	xuanzhao
宣武帝	xuanwudi
宣永光	xuanyongguang
室井滋	shijingzi
室町幕府	shitingmufu
宫下	gongxia
宫少朋	gongshaopeng
宫崎吾朗	gongqiwulang
宫崎寅藏	gongqiyincang
宫崎葵	gongqikui
宫本武藏	gongbenwucang
宫本直毅	gongbenzhiyi
宫泽佐江	gongzezuojiang
宫泽理惠	gongzelihui
宰执	zaizhi
家弓家正	jiagongjiazheng
家永三郎	jiayongsanlang
宸妃	chenfei
容华	ronghua
容嫔	rongpin
容庚	ronggeng
容有略	rongyoulve
容闳	ronghong
宾汉姆	binhanmu
寄尘	jichen
密立根	miligen
寇遐	kouxia
富勒	fulei
富春	fuchun
富歇	fuxie
富田	futian
富豪刑事	fuhaoxingshi
寝陵	qinling
寸性奇	cunxingqi
寺岛忍	sidaoren
寺岛进	sidaojin
寿富	shoufu
寿梦	shoumeng
寿里	shouli
封谞	fengxu
尉迟琳嘉	yuchilinjia
小乔	xiaoqiao
小乙	xiaoyi
小仓优子	xiaocangyouzi
小出惠介	xiaochuhuijie
小县真树	xiaoxianzhenshu
小向美奈子	xiaoxiangmeinaizi
小天	xiaotian
小室友里	xiaoshiyouli
小室哲哉	xiaoshizhezai
小山力也	xiaoshanliye
小岛南	xiaodaonan
小岛圣	xiaodaosheng
小川悦司	xiaochuanyuesi
小新	xiaoxin
小早川秀秋	xiaozaochuanxiuqiu
小早川隆景	xiaozaochuanlongjing
小松拓也	xiaosongtuoye
小林优子	xiaolinyouzi
小林优美	xiaolinyoumei
小林惠美	xiaolinhuimei
小林爱	xiaolinai
小林薰	xiaolinxun
小林诚	xiaolincheng
小林隆	xiaolinlong
小林香菜	xiaolinxiangcai
小柯	xiaoke
小桥惠	xiaoqiaohui
小森美果	xiaosenmeiguo
小池荣子	xiaochirongzi
小泉今日子	xiaoquanjinrizi
小泉孝太郎	xiaoquanxiaotailang
小波尔加	xiaoboerjia
小泽圆	xiaozeyuan
小泽征悦	xiaozezhengyue
小泽玛利亚	xiaozemaliya
小清水亚美	xiaoqingshuiyamei
小燕	xiaoyan
小爱	xiaoai
小田切让	xiaotianqierang
小甲	xiaojia
小畑健	xiaotianjian
小西真奈美	xiaoxizhennaimei
小西行长	xiaoxihangzhang
小辛	xiaoxin
小野友树	xiaoyeyoushu
小野大辅	xiaoyedafu
小野贤章	xiaoyexianzhang
小阪由佳	xiaobanyoujia
小鹿纯子	xiaoluchunzi
少正	shaozheng
尚威	shangwei
尚广	shangguang
尚玄	shangxuan
尚进	shangjin
尚雯婕	shangwenjie
尤乘	youcheng
尤侗	youdong
尤利塞斯	youlisaisi
尤勇	youyong
尤太忠	youtaizhong
尤尔根	youergen
尤怡	youyi
尤珍	youzhen
尤良	youliang
尤荫	youyin
尤西比奥	youxibiao
尤颖钦	youyingqin
尹中立	yinzhongli
尹仲容	yinzhongrong
尹会一	yinhuiyi
尹卫红	yinweihong
尹宽	yinkuan
尹旭	yinxu
尹昌衡	yinchangheng
尹桂芳	yinguifang
尹珍	yinzhen
尹礼	yinli
尹继善	yinjishan
尹默	yinmo
尼耳斯	niersi
尾生	weisheng
尾田荣一郎	weitianrongyilang
居廉	julian
居节	jujie
屈万里	quwanli
屈修	quxiu
屈轶	quyi
属龙	shulong
屠娇娇	tujiaojiao
屠寄	tuji
屠滽	tuyong
屠隆	tulong
山下敬吾	shanxiajingwu
山下智久	shanxiazhijiu
山下达郎	shanxiadalang
山内铃兰	shanneilinglan
山县昌景	shanxianchangjing
山口晶	shankoujing
山口理惠	shankoulihui
山口登	shankoudeng
山口胜平	shankoushengping
山口茜	shankouqian
山城宏	shanchenghong
山奇	shanqi
山寺宏一	shansihongyi
山崎一	shanqiyi
山崎和佳奈	shanqihejianai
山崎真由美	shanqizhenyoumei
山本五十六	shanbenwushiliu
山本勘助	shanbenkanzhu
山本圭	shanbengui
山本太郎	shanbentailang
山本润子	shanbenrunzi
山本百合子	shanbenbaihezi
山本裕典	shanbenyudian
山樱	shanying
山涛	shantao
山田优	shantianyou
山田信夫	shantianxinfu
山田凉介	shantianliangjie
山田孝之	shantianxiaozhi
山田美穗	shantianmeisui
山阳郡	shanyangjun
山阴道	shanyindao
岑参	cencan
岑威	cenwei
岑昏	cenhun
岑永康	cenyongkang
岑科	cenke
岛崎遥香	daoqiyaoxiang
岛谷瞳	daogutong
岩下志麻	yanxiazhima
岩井俊二	yanjingjuner
岩代太郎	yandaitailang
岩佐真悠子	yanzuozhenyouzi
岩本薰	yanbenxun
岩松了	yansongle
岩田光央	yantianguangyang
岩田达明	yantiandaming
岳云	yueyun
岳岱	yuedai
岳正	yuezheng
岳美中	yuemeizhong
岳跃	yueyue
岳雷	yuelei
岳高	yuegao
岸本加世子	anbenjiashizi
岸本齐史	anbenqishi
峰不二子	fengbuerzi
崇厚	chonghou
崇宗	chongzong
崇恩	chongen
崔元星	cuiyuanxing
崔勇	cuiyong
崔可夫	cuikefu
崔哲翰	cuizhehan
崔圭丙	cuiguibing
崔奕	cuiyi
崔始源	cuishiyuan
崔子范	cuizifan
崔岩	cuiyan
崔志刚	cuizhigang
崔明	cuiming
崔明勋	cuimingxun
崔晓光	cuixiaoguang
崔林	cuilin
崔毅	cuiyi
崔江熙	cuijiangxi
崔烈	cuilie
崔琦	cuiqi
崔琰	cuiyan
崔纪	cuiji
崔蔚林	cuiweilin
崔陟	cuizhi
嵇含	jihan
嵇文甫	jiwenfu
嵇曾筠	jicengyun
川井宪次	chuanjingxianci
川井郁子	chuanjingyuzi
川口开治	chuankoukaizhi
川岛直美	chuandaozhimei
川岛茉树代	chuandaomoshudai
州泰	zhoutai
巡警部	xunjingbu
工藤新一	gongtengxinyi
工藤静香	gongtengjingxiang
左尹	zuoyin
左慈	zuoci
左晓蕾	zuoxiaolei
左正	zuozheng
左齐	zuoqi
巨平	juping
巩建丰	gongjianfeng
巩志	gongzhi
巫县	wuxian
巫继学	wujixue
巴克礼	bakeli
巴勃鲁	babolu
巴多里奥	baduoliao
巴家伟	bajiawei
巴尔达诺	baerdanuo
巴曙松	bashusong
巴甫洛维奇	bafuluoweiqi
巴蒂斯图塔	badisituta
巴蔓子	bamanzi
巴雷拉	baleila
巴雷西	baleixi
币原坦	biyuantan
市井纱耶香	shijingshayexiang
市原隼人	shiyuansunren
市川昆	shichuankun
市川染五郎	shichuanranwulang
市川由衣	shichuanyouyi
布劳岱尔	bulaodaier
布勒东	buleidong
布尔达	buerda
布德尔	budeer
布施明	bushiming
布洛欣	buluoxin
布特拉格诺	butelagenuo
布罗茨基	buluociji
布莱特纳	bulaitena
布袋寅泰	budaiyintai
帅我	shuaiwo
师婆	shipo
师春玲	shichunling
师洋	shiyang
师纂	shizuan
帕潘	papan
帕罗特	paluote
帕萨雷拉	pasaleila
帝乙	diyi
帝昺	dibing
带方	daifang
席佩兰	xipeilan
常任侠	changrenxia
常伦	changlun
常关	changguan
常大淳	changdachun
常宝	changbao
常宽	changkuan
常彬	changbin
常昊	changhao
常明芳	changmingfang
常红利	changhongli
常颖	changying
干宝	ganbao
平井理央	pingjingliyang
平原绫香	pingyuanlingxiang
平夷	pingyi
平常在	pingchangzai
平春	pingchun
平步青	pingbuqing
平氏	pingshi
平田广明	pingtianguangming
平襄	pingxiang
平野绫	pingyeling
平鑫涛	pingxintao
年王臣	nianwangchen
幸子	xingzi
幸田来未	xingtianlaiwei
幼平	youping
广汉郡	guanghanjun
广田亮平	guangtianliangping
广田弘毅	guangtianhongyi
广禄	guanglu
庄妃	zhuangfei
庄宗	zhuangzong
庄山	zhuangshan
庄恒	zhuangheng
庄昶	zhuangchang
庄有恭	zhuangyougong
庄泳	zhuangyong
庄玉庭	zhuangyuting
庄绶甲	zhuangshoujia
庄羽	zhuangyu
庄肃	zhuangsu
庄臻凤	zhuangzhenfeng
庄蕴宽	zhuangyunkuan
庄长恭	zhuangzhanggong
庆保	qingbao
庆泰	qingtai
庆长	qingzhang
库利克	kulike
库尔提斯	kuertisi
库巴拉	kubala
库里申科	kulishenke
应仁	yingren
应劭	yingshao
应慈	yingci
应采儿	yingcaier
庞义	pangyi
庞人铨	pangrenquan
庞会	panghui
庞元济	pangyuanji
庞卫国	pangweiguo
庞哲	pangzhe
庞统	pangtong
庞舒	pangshu
庞鸿书	panghongshu
庞龙	panglong
庵野秀明	anyexiuming
庶老	shulao
康丁	kangding
康军	kangjun
康国平	kangguoping
康宗	kangzong
康康	kangkang
康建刚	kangjiangang
康恺	kangkai
康王	kangwang
康绍镛	kangshaoyong
康辰	kangchen
廖二平	liaoerping
廖化	liaohua
廖寅	liaoyin
廖平	liaoping
廖政国	liaozhengguo
廖文毅	liaowenyi
廖新波	liaoxinbo
廖桂永	liaoguiyong
廖磊	liaolei
廖立	liaoli
廖纪	liaoji
廪人	linren
延光	yanguang
延初	yanchu
延历寺	yanlisi
延康	yankang
延熹	yanxi
廷玉	tingyu
建公	jiangong
建婷	jianting
建衡	jianheng
弗兰明	fulanming
弗勒尔	fuleier
弗尔迈伊	fuermaiyi
弗朗西斯培根	fulangxisipeigen
弗朗西斯科利	fulangxisikeli
弗格	fuge
弗洛里安	fuluolian
弗罗伦斯	fuluolunsi
弘仁	hongren
弘农	hongnong
弘昌	hongchang
弘景	hongjing
张一一	zhangyiyi
张一奇	zhangyiqi
张丑	zhangchou
张世仁	zhangshiren
张世贤	zhangshixian
张丙	zhangbing
张业	zhangye
张东凯	zhangdongkai
张东臣	zhangdongchen
张临	zhanglin
张丹丹	zhangdandan
张举	zhangju
张乃燕	zhangnaiyan
张乃耆	zhangnaiqi
张之万	zhangzhiwan
张之江	zhangzhijiang
张之翰	zhangzhihan
张之象	zhangzhixiang
张乐	zhangle
张习孔	zhangxikong
张云仙	zhangyunxian
张云锦	zhangyunjin
张云飞	zhangyunfei
张云鹤	zhangyunhe
张五典	zhangwudian
张井	zhangjing
张亚东	zhangyadong
张亮	zhangliang
张介宾	zhangjiebin
张以宁	zhangyining
张任	zhangren
张休	zhangxiu
张会祥	zhanghuixiang
张伟平	zhangweiping
张伯声	zhangbosheng
张位	zhangwei
张作楠	zhangzuonan
张佩芳	zhangpeifang
张俊	zhangjun
张俭	zhangjian
张修	zhangxiu
张健鹏	zhangjianpeng
张允	zhangyun
张元	zhangyuan
张元举	zhangyuanju
张元忭	zhangyuanbian
张元芳	zhangyuanfang
张元贞	zhangyuanzhen
张兆志	zhangzhaozhi
张兆祥	zhangzhaoxiang
张先	zhangxian
张光东	zhangguangdong
张光孝	zhangguangxiao
张光年	zhangguangnian
张兵	zhangbing
张其淦	zhangqigan
张凯	zhangkai
张剑荆	zhangjianjing
张劭	zhangshao
张勇	zhangyong
张勋	zhangxun
张化麒	zhanghuaqi
张千里	zhangqianli
张华	zhanghua
张华立	zhanghuali
张卓	zhangzhuo
张南	zhangnan
张南庄	zhangnanzhuang
张博	zhangbo
张卤	zhanglu
张卫	zhangwei
张卫星	zhangweixing
张即之	zhangjizhi
张历历	zhanglili
张原	zhangyuan
张叔明	zhangshuming
张合	zhanghe
张吉安	zhangjian
张向宁	zhangxiangning
张员	zhangyuan
张和	zhanghe
张咪	zhangmi
张唐英	zhangtangying
张嘉谟	zhangjiamo
张嘎	zhangga
张四维	zhangsiwei
张国凤	zhangguofeng
张国忠	zhangguozhong
张均	zhangjun
张坚	zhangjian
张坤生	zhangkunsheng
张坦	zhangtan
张埙	zhangxun
张培爵	zhangpeijue
张士俊	zhangshijun
张士元	zhangshiyuan
张夔	zhangkui
张大受	zhangdashou
张大煜	zhangdayu
张天复	zhangtianfu
张天德	zhangtiande
张天成	zhangtiancheng
张天英	zhangtianying
张天骏	zhangtianjun
张奔斗	zhangbendou
张如芝	zhangruzhi
张媛媛	zhangyuanyuan
张子俊	zhangzijun
张子清	zhangziqing
张学冬	zhangxuedong
张学曾	zhangxueceng
张宇	zhangyu
张宗	zhangzong
张宗恒	zhangzongheng
张宗法	zhangzongfa
张宗泰	zhangzongtai
张宗海	zhangzonghai
张宗苍	zhangzongcang
张宗逊	zhangzongxun
张定	zhangding
张宝	zhangbao
张宝华	zhangbaohua
张实	zhangshi
张宣	zhangxuan
张宪	zhangxian
张家震	zhangjiazhen
张家驹	zhangjiaju
张家鹏	zhangjiapeng
张宾	zhangbin
张寒晖	zhanghanhui
张寰	zhanghuan
张寿荣	zhangshourong
张寿镛	zhangshouyong
张小倩	zhangxiaoqian
张小爱	zhangxiaoai
张小蓓	zhangxiaobei
张小霞	zhangxiaoxia
张少舫	zhangshaofang
张尔岐	zhangerqi
张尚	zhangshang
张尹	zhangyin
张岱	zhangdai
张岳崧	zhangyuesong
张峻	zhangjun
张崟	zhangyin
张嶷	zhangyi
张巡	zhangxun
张布	zhangbu
张常在	zhangchangzai
张年	zhangnian
张幼仪	zhangyouyi
张广天	zhangguangtian
张庆澍	zhangqingshu
张庆鹏	zhangqingpeng
张应奎	zhangyingkui
张应文	zhangyingwen
张应梅	zhangyingmei
张庚	zhanggeng
张度	zhangdu
张庭	zhangting
张庭伟	zhangtingwei
张廉	zhanglian
张延	zhangyan
张延登	zhangyandeng
张廷桂	zhangtinggui
张廷济	zhangtingji
张建刚	zhangjiangang
张弋	zhangyi
张弥	zhangmi
张弦	zhangxian
张弧	zhanghu
张弨	zhangchao
张强	zhangqiang
张弼	zhangbi
张当	zhangdang
张录	zhanglu
张彤	zhangtong
张德奎	zhangdekui
张德能	zhangdeneng
张德芬	zhangdefen
张德荣	zhangderong
张德馨	zhangdexin
张心悦	zhangxinyue
张志宏	zhangzhihong
张志熙	zhangzhixi
张忻	zhangxin
张思伦	zhangsilun
张思孝	zhangsixiao
张恒	zhangheng
张恕	zhangshu
张恭	zhanggong
张恺	zhangkai
张恺帆	zhangkaifan
张悌	zhangti
张惠民	zhanghuimin
张惠真	zhanghuizhen
张慎	zhangshen
张懿	zhangyi
张戒	zhangjie
张承	zhangcheng
张承烈	zhangchenglie
张拉拉	zhanglala
张振勋	zhangzhenxun
张振宗	zhangzhenzong
张掖郡	zhangyejun
张敦仁	zhangdunren
张敬	zhangjing
张文东	zhangwendong
张文治	zhangwenzhi
张文泉	zhangwenquan
张文灿	zhangwencan
张文瑞	zhangwenrui
张文盛	zhangwensheng
张文虎	zhangwenhu
张文豪	zhangwenhao
张文郁	zhangwenyu
张斌	zhangbin
张斐	zhangfei
张新国	zhangxinguo
张既	zhangji
张时彻	zhangshiche
张旸	zhangyang
张昀	zhangyun
张昂	zhangang
张昆弟	zhangkundi
张明	zhangming
张明先	zhangmingxian
张明忠	zhangmingzhong
张明炜	zhangmingwei
张昭	zhangzhao
张昭汉	zhangzhaohan
张晃	zhanghuang
张晋福	zhangjinfu
张晓平	zhangxiaoping
张晞	zhangxi
张普	zhangpu
张景严	zhangjingyan
张景中	zhangjingzhong
张景山	zhangjingshan
张晴	zhangqing
张曜	zhangyao
张曜孙	zhangyaosun
张曼菱	zhangmanling
张有清	zhangyouqing
张杨	zhangyang
张杰	zhangjie
张松	zhangsong
张枝	zhangzhi
张柠	zhangning
张栋伟	zhangdongwei
张栋梁	zhangdongliang
张栩	zhangxu
张梁	zhangliang
张梅	zhangmei
张梓	zhangzi
张森楷	zhangsenkai
张楫如	zhangjiru
张榕	zhangrong
张横	zhangheng
张正光	zhangzhengguang
张武	zhangwu
张毅	zhangyi
张毅君	zhangyijun
张民革	zhangminge
张永立	zhangyongli
张汉林	zhanghanlin
张汝霖	zhangrulin
张江	zhangjiang
张江裁	zhangjiangcai
张沐	zhangmu
张治安	zhangzhian
张波	zhangbo
张泰青	zhangtaiqing
张泽峰	zhangzefeng
张泽群	zhangzequn
张泽钧	zhangzejun
张洁	zhangjie
张津	zhangjin
张洲	zhangzhou
张洽	zhangqia
张济	zhangji
张涛	zhangtao
张润	zhangrun
张润之	zhangrunzhi
张淦	zhanggan
张淮	zhanghuai
张渥	zhangwo
张温	zhangwen
张湄	zhangmei
张溥	zhangpu
张潜	zhangqian
张澜澜	zhanglanlan
张瀚	zhanghan
张灼	zhangzhuo
张炎	zhangyan
张炜	zhangwei
张炤	zhangzhao
张焱	zhangyan
张照	zhangzhao
张燕	zhangyan
张燮	zhangxie
张爽	zhangshuang
张特	zhangte
张玄靓	zhangxuanjing
张玉娘	zhangyuniang
张现伟	zhangxianwei
张玲玲	zhanglingling
张珏	zhangjue
张珪	zhanggui
张球	zhangqiu
张琏	zhanglian
张琳	zhanglin
张琼文	zhangqiongwen
张瑜平	zhangyuping
张瑶	zhangyao
张璁	zhangcong
张璇	zhangxuan
张璧	zhangbi
张瓒	zhangzan
张申	zhangshen
张申宏	zhangshenhong
张画	zhanghua
张百龄	zhangbailing
张皋	zhanggao
张眉孙	zhangmeisun
张石	zhangshi
张确	zhangque
张祖同	zhangzutong
张祖翼	zhangzuyi
张祖谅	zhangzuliang
张祖辉	zhangzuhui
张祚	zhangzuo
张祥云	zhangxiangyun
张祥河	zhangxianghe
张秀英	zhangxiuying
张秋人	zhangqiuren
张穆	zhangmu
张立松	zhanglisong
张竞生	zhangjingsheng
张笃庆	zhangduqing
张符	zhangfu
张籍	zhangji
张约	zhangyue
张纮	zhanghong
张纯	zhangchun
张纯修	zhangchunxiu
张纶	zhanglun
张绅	zhangshen
张绍	zhangshao
张绍祖	zhangshaozu
张经武	zhangjingwu
张统	zhangtong
张绣	zhangxiu
张继军	zhangjijun
张绳武	zhangshengwu
张维仁	zhangweiren
张维华	zhangweihua
张维屏	zhangweiping
张维翰	zhangweihan
张缉	zhangji
张群	zhangqun
张羽材	zhangyucai
张翥	zhangzhu
张翼	zhangyi
张翼翔	zhangyixiang
张聿光	zhangyuguang
张肃	zhangsu
张肇金	zhangzhaojin
张自德	zhangzide
张致中	zhangzhizhong
张舒涵	zhangshuhan
张良	zhangliang
张节	zhangjie
张芾	zhangfei
张苍	zhangcang
张苞	zhangbao
张若澄	zhangruocheng
张英	zhangying
张茂	zhangmao
张范	zhangfan
张茜	zhangqian
张荣明	zhangrongming
张莉	zhangli
张莘	zhangshen
张蔚华	zhangweihua
张虎	zhanghu
张行孚	zhangxingfu
张行简	zhangxingjian
张裔	zhangyi
张裕钊	zhangyuzhao
张角	zhangjiao
张誉	zhangyu
张謇	zhangjian
张让	zhangrang
张训	zhangxun
张诗	zhangshi
张诩	zhangxu
张说	zhangshuo
张谞行	zhangxuxing
张谨	zhangjin
张象	zhangxiang
张贞观	zhangzhenguan
张贵人	zhangguiren
张超	zhangchao
张轨	zhanggui
张轸	zhangzhen
张辉	zhanghui
张辽	zhangliao
张达	zhangda
张迪哲	zhangdizhe
张适	zhangshi
张逊	zhangxun
张遂	zhangsui
张道中	zhangdaozhong
张道真	zhangdaozhen
张遵	zhangzun
张邈	zhangmiao
张邵刚	zhangshaogang
张金枝	zhangjinzhi
张鉴	zhangjian
张鋆	zhangyun
张钫	zhangfang
张铁英	zhangtieying
张铉	zhangxuan
张锐	zhangrui
张锡兰	zhangxilan
张镜心	zhangjingxin
张长城	zhangchangcheng
张闿	zhangkai
张阳德	zhangyangde
张际亮	zhangjiliang
张际鹏	zhangjipeng
张陵	zhangling
张雄	zhangxiong
张雨森	zhangyusen
张雪中	zhangxuezhong
张雪松	zhangxuesong
张震	zhangzhen
张静	zhangjing
张静东	zhangjingdong
张韬	zhangtao
张音	zhangyin
张须陀	zhangxutuo
张颂文	zhangsongwen
张颌	zhanghe
张颐武	zhangyiwu
张颖	zhangying
张颖洁	zhangyingjie
张飞飞	zhangfeifei
张驰	zhangchi
张骁	zhangxiao
张骏	zhangjun
张鲁	zhanglu
张鲜堂	zhangxiantang
张鸣珂	zhangmingke
张鸿烈	zhanghonglie
张鹏翀	zhangpengchong
张鹏翼	zhangpengyi
张鹤龄	zhangheling
张鼐	zhangnai
张龑	zhangyan
张龙德	zhanglongde
弥海砂	mihaisha
弥生	misheng
弼德院	bideyuan
归庄	guizhuang
彩音	caiyin
彭丹	pengdan
彭于晏	pengyuyan
彭任	pengren
彭伯	pengbo
彭启丰	pengqifeng
彭和	penghe
彭城	pengcheng
彭城国	pengchengguo
彭壁生	pengbisheng
彭孙贻	pengsunyi
彭孙遹	pengsunyu
彭宇	pengyu
彭安	pengan
彭家珍	pengjiazhen
彭帅	pengshuai
彭师度	pengshidu
彭平之	pengpingzhi
彭年	pengnian
彭德清	pengdeqing
彭志强	pengzhiqiang
彭春霞	pengchunxia
彭昱尧	pengyuyao
彭杰如	pengjieru
彭泰来	pengtailai
彭湃	pengpai
彭烈	penglie
彭珑	penglong
彭睿	pengrui
彭立尧	pengliyao
彭端淑	pengduanshu
彭绍升	pengshaosheng
彭羕	pengyang
彭翼仲	pengyizhong
彭荃	pengquan
彭莉	pengli
彭葵	pengkui
彭蕴章	pengyunzhang
彭蠡	pengli
彭进	pengjin
彭遵泗	pengzunsi
彭龟年	pengguinian
影山浩宣	yingshanhaoxuan
影木荣贵	yingmuronggui
彼什科夫	bishenkefu
彼得梅尔	bidemeier
很北	henbei
徐上瀛	xushangying
徐世刚	xushigang
徐中约	xuzhongyue
徐中雄	xuzhongxiong
徐乃昌	xunaichang
徐云志	xuyunzhi
徐令	xuling
徐以升	xuyisheng
徐俐	xuli
徐傅霖	xufulin
徐兢	xujing
徐凯	xukai
徐勋	xuxun
徐卓	xuzhuo
徐县	xuxian
徐友渔	xuyouyu
徐名世	xumingshi
徐君	xujun
徐启明	xuqiming
徐商	xushang
徐国麟	xuguolin
徐士林	xushilin
徐天利	xutianli
徐婷	xuting
徐媛媛	xuyuanyuan
徐子苓	xuziling
徐存	xucun
徐守铭	xushouming
徐宗亮	xuzongliang
徐宗干	xuzonggan
徐宗浩	xuzonghao
徐家驹	xujiaju
徐寿	xushou
徐小平	xuxiaoping
徐尚	xushang
徐峥	xuzheng
徐帆	xufan
徐师曾	xushiceng
徐应明	xuyingming
徐庭瑶	xutingyao
徐庶	xushu
徐康	xukang
徐彪	xubiao
徐彬	xubin
徐必达	xubida
徐志勋	xuzhixun
徐念慈	xunianci
徐恩曾	xuenceng
徐懋庸	xumaoyong
徐承东	xuchengdong
徐文惠	xuwenhui
徐文烈	xuwenlie
徐文靖	xuwenjing
徐方	xufang
徐无	xuwu
徐时栋	xushidong
徐昉	xufang
徐星友	xuxingyou
徐春	xuchun
徐晃	xuhuang
徐景达	xujingda
徐松	xusong
徐枋	xufang
徐枢	xushu
徐枫	xufeng
徐柏龄	xubailing
徐柱	xuzhu
徐柳	xuliu
徐树铮	xushuzheng
徐桐	xutong
徐桢立	xuzhenli
徐楚	xuchu
徐樾	xuyue
徐步云	xubuyun
徐泓	xuhong
徐泰	xutai
徐涵	xuhan
徐源泉	xuyuanquan
徐溶	xurong
徐滇庆	xudianqing
徐澄	xucheng
徐炼	xulian
徐焕升	xuhuansheng
徐焕斗	xuhuandou
徐焕然	xuhuanran
徐焰	xuyan
徐熙	xuxi
徐熙娣	xuxidi
徐熙媛	xuxiyuan
徐猛	xumeng
徐玑	xuji
徐玫	xumei
徐玮	xuwei
徐珊	xushan
徐百卉	xubaihui
徐盛	xusheng
徐秉义	xubingyi
徐筠	xuyun
徐红	xuhong
徐翊	xuyi
徐自明	xuziming
徐舫	xufang
徐艳	xuyan
徐芳	xufang
徐茂公	xumaogong
徐荣	xurong
徐葆光	xubaoguang
徐行可	xuxingke
徐质	xuzhi
徐贲	xuben
徐超	xuchao
徐辉	xuhui
徐达	xuda
徐达源	xudayuan
徐迟	xuchi
徐邦	xubang
徐采	xucai
徐鉴	xujian
徐钰	xuyu
徐问	xuwen
徐陵	xuling
徐隆	xulong
徐震	xuzhen
徐霈	xupei
徐颖	xuying
徐颢菲	xuhaofei
徐骧	xuxiang
徐鹤	xuhe
徐鼎	xuding
徐鼒	xuzi
御猫	yumao
德利马	delima
德容	derong
德川家光	dechuanjiaguang
德川家康	dechuanjiakang
德川家茂	dechuanjiamao
德川庆喜	dechuanqingxi
德川秀忠	dechuanxiuzhong
德川齐昭	dechuanqizhao
德拉克洛瓦	delakeluowa
德拉戈	delage
德操	decao
德止	dezhi
德祐	deyou
德立	deli
德谟克里特	demokelite
德重聪	dezhongcong
德门蒂耶娃	demendiyewa
忌野清志郎	jiyeqingzhilang
志保	zhibao
志和	zhihe
志田未来	zhitianweilai
志贺直哉	zhihezhizai
志锐	zhirui
念常	nianchang
忽必来	hubilai
忽那汐里	hunaxili
忽雷驳	huleibo
怀贤	huaixian
思远	siyuan
恒文	hengwen
恩佐	enzuo
恩锡	enxi
恭小兵	gongxiaobing
恭帝	gongdi
恶作剧之吻	ezuojuzhiwen
恽毓鼎	yunyuding
恽逸群	yunyiqun
恽道生	yundaosheng
悉达多	xidaduo
悠木碧	youmubi
悼公	daogong
惠勒	huilei
惠士奇	huishiqi
惠夫	huifu
惠妃	huifei
惠宗	huizong
惠帝	huidi
惠栋	huidong
惠雯	huiwen
慈明	ciming
慕中华	muzhonghua
慕容儁	murongjun
慕容暐	murongwei
慕容熙	murongxi
慕容皝	muronghuang
慕容部	murongbu
慕容雪村	murongxuecun
慕容麟	muronglin
慧南	huinan
慧能	huineng
慧远	huiyuan
戈尔德施密特	geerdeshimite
戈汕	geshan
戈涛	getao
戈耶切亚	geyeqieya
成乐	chengle
成光	chengguang
成妃	chengfei
成宜	chengyi
成宫宽贵	chenggongkuangui
成岭	chengling
成廉	chenglian
成德	chengde
成无己	chengwuji
成泰燊	chengtaishen
成海璃子	chenghailizi
成濑心美	chenglaixinmei
成田剑	chengtianjian
成皋	chenggao
成纪	chengji
成贵妃	chengguifei
成钧	chengjun
戚海燕	qihaiyan
戚迹	qiji
戴严	daiyan
戴之奇	daizhiqi
戴仁	dairen
戴光洁	daiguangjie
戴军	daijun
戴员	daiyuan
戴均元	daijunyuan
戴夫	daifu
戴学峰	daixuefeng
戴忠仁	daizhongren
戴明说	daimingshuo
戴晓微	daixiaowei
戴浩	daihao
戴潮春	daichaochun
戴熙	daixi
戴睿	dairui
戴礼	daili
戴笠	daili
戴经	daijing
戴维	daiwei
戴维逊	daiweixun
戴聪	daicong
戴艺	daiyi
戴芳澜	daifanglan
戴荣	dairong
戴衢亨	daiquheng
戴表元	daibiaoyuan
戴谦	daiqian
戴进	daijin
戴钧衡	daijunheng
戴震	daizhen
戴鹏飞	daipengfei
户川纯	huchuanchun
户田惠梨香	hutianhuilixiang
房思瑜	fangsiyu
房龙	fanglong
手岛优	shoudaoyou
才溢	caiyi
托尼	tuoni
托帕洛夫	tuopaluofu
托浑布	tuohunbu
托马斯杰佛逊	tuomasijiefuxun
托马斯莫尔	tuomasimoer
执讯	zhixun
扩廓帖木儿	kuokuotiemuer
扬武	yangwu
承圣	chengsheng
承衣	chengyi
折笠富美子	zhelifumeizi
押尾学	yaweixue
拉德布鲁赫	ladebuluhe
拉罗什福科	laluoshenfuke
拉西德	laxide
拓跋余	tuobayu
拓跋嗣	tuobasi
拓跋弘	tuobahong
拓跋濬	tuobajun
拓跋珪	tuobagui
拔都	badou
招子庸	zhaoziyong
拳毛騧	quanmaogua
