# 泰深输入法专业词库 — 财经金融
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一德	yide
主力资金	zhulizijin
主要措施	zhuyaocuoshi
丽悦酒店	liyuejiudian
久立特材	jiulitecai
乐电	ledian
乐视网	leshiwang
九九久	jiujiujiu
九发	jiufa
九州通	jiuzhoutong
九阳股份有限公司	jiuyanggufenyouxiangongsi
九龙仓集团	jiulongcangjituan
买断型	maiduanxing
二纺	erfang
二纺机	erfangji
云南城投	yunnanchengtou
云南盐化	yunnanyanhua
云南锗业	yunnanzheye
云南马龙	yunnanmalong
云海金属	yunhaijinshu
互太纺织	hutaifangzhi
互联网周刊	hulianwangzhoukan
五年期以上	wunianqiyishang
五洲明珠	wuzhoumingzhu
五矿发展	wukuangfazhan
五矿建设	wukuangjianshe
五矿期货	wukuangqihuo
五矿证券	wukuangzhengquan
五粮	wuliang
亚夏汽车	yaxiaqiche
亚星	yaxing
亚星化学	yaxinghuaxue
亚洲货币	yazhouhuobi
亚洲金融	yazhoujinrong
亚玛顿	yamadun
交强险	jiaoqiangxian
交易区	jiaoyiqu
交易厅	jiaoyiting
交易场	jiaoyichang
交易密码	jiaoyimima
交易指南	jiaoyizhinan
交易时间	jiaoyishijian
交易池	jiaoyichi
交货价	jiaohuojia
交钥匙	jiaoyaoshi
交银	jiaoyin
交银施罗德	jiaoyinshiluode
交银添利	jiaoyintianli
交银环球	jiaoyinhuanqiu
产业发展	chanyefazhan
产品介绍	chanpinjieshao
产权导刊	chanquandaokan
亨泰	hengtai
亨通光电	hengtongguangdian
京信通信	jingxintongxin
京投银泰	jingtouyintai
京运通	jingyuntong
亿安	yian
付息日	fuxiri
代领人	dailingren
仲裁规则	zhongcaiguize
价内权证	jianeiquanzheng
价格改革	jiagegaige
价税	jiashui
企业所得税法	qiyesuodeshuifa
企业集团	qiyejituan
伊泰	yitai
伊立浦	yilipu
众业达	zhongyeda
优酷网	youkuwang
伟易达集团	weiyidajituan
伦敦金	lundunjin
低吸	dixi
佳兆业集团	jiazhaoyejituan
佳士科技	jiashikeji
佳纸	jiazhi
供给区	gongjiqu
侨兴环球	qiaoxinghuanqiu
保函	baohan
保利地产	baolidichan
保利达资产	baolidazichan
保增长	baozengzhang
保理商	baolishang
保网	baowang
保荐制	baojianzhi
信德集团	xindejituan
信息披露制度	xinxipiluzhidu
信息早报	xinxizaobao
信托合同	xintuohetong
信托资产	xintuozichan
信用额度	xinyongedu
信立泰	xinlitai
信联	xinlian
信诚四季红	xinchengsijihong
信诺	xinnuo
信贷资产	xindaizichan
信达地产	xindadichan
信达期货	xindaqihuo
信达证券	xindazhengquan
信达资产	xindazichan
修身堂	xiushentang
借报	jiebao
做空	zuokong
停业通知书	tingyetongzhishu
健康元	jiankangyuan
储备头寸	chubeitoucun
储蓄券	chuxuquan
先声药业	xianshengyaoye
先施	xianshi
光亚	guangya
光大保德信	guangdabaodexin
光明乳业	guangmingruye
免代理费	miandailifei
兑付期	duifuqi
入股协议	ruguxieyi
全局观	quanjuguan
全权信托	quanquanxintuo
全球商业	quanqiushangye
全球商业经典	quanqiushangyejingdian
全球资本市场	quanqiuzibenshichang
全面发力	quanmianfali
八一钢铁	bayigangtie
公募	gongmu
公司治理	gongsizhili
公司理财	gongsilicai
公用科技	gongyongkeji
公积金率	gongjijinlv
公营化	gongyinghua
六福集团	liufujituan
兰光	languang
兰铝	lanlv
共合网	gonghewang
关联公司	guanliangongsi
兴业卡	xingyeka
兴利集团	xinglijituan
兴达国际	xingdaguoji
内蒙君正	neimengjunzheng
内蒙宏峰	neimenghongfeng
内部控制	neibukongzhi
再买	zaimai
农商社	nongshangshe
农行卡	nonghangka
冠城大通	guanchengdatong
冷却期	lengqueqi
净现值	jingxianzhi
准贷记卡	zhundaijika
凤凰股	fenghuanggu
凤凰财经	fenghuangcaijing
凤竹纺织	fengzhufangzhi
凯美特气	kaimeiteqi
凯诺科技	kainuokeji
凯迪电力	kaididianli
出千	chuqian
出口人	chukouren
出票人	chupiaoren
分行制	fenhangzhi
分配方案	fenpeifangan
划断	huaduan
创业教育	chuangyejiaoyu
创业计划书	chuangyejihuashu
创兴银行	chuangxingyinhang
创新低	chuangxindi
创新高	chuangxingao
利源铝业	liyuanlvye
利记	liji
到账	daozhang
前手	qianshou
前笔	qianbi
副主席	fuzhuxi
力合股份有限公司	lihegufenyouxiangongsi
办税厅	banshuiting
办税员	banshuiyuan
包头铝业	baotoulvye
化工股	huagonggu
北亚集团	beiyajituan
北京利尔	beijinglier
北京华联	beijinghualian
北京君正	beijingjunzheng
北京国投	beijingguotou
北京天桥	beijingtianqiao
北京旅游	beijinglvyou
北京科锐	beijingkerui
北京银行	beijingyinhang
北新路桥	beixinluqiao
