# 泰深输入法专业词库 — 财经金融
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一德	yide
林州重机	linzhouzhongji
枪客	qiangke
查库	chaku
株冶集团	zhuyejituan
格令	geling
格式合同	geshihetong
桂东电力	guidongdianli
桂林旅游	guilinlvyou
梅花伞	meihuasan
梅雁水电	meiyanshuidian
棱光	lengguang
橡果国际	xiangguoguoji
次贷危机	cidaiweiji
欣龙无纺	xinlongwufang
欧亚集团	ouyajituan
欧比特	oubite
欧洲货币	ouzhouhuobi
正泰电器	zhengtaidianqi
武汉凡谷	wuhanfangu
武钢	wugang
死股	sigu
残余价值	canyujiazhi
残值率	canzhilv
每日经济新闻	meirijingjixinwen
毒笔	dubi
比亚迪股份	biyadigufen
民丰特纸	minfengtezhi
民化	minhua
民生证券	minshengzhengquan
民间借贷	minjianjiedai
永亨银行	yonghengyinhang
永利带业	yonglidaiye
永嘉集团	yongjiajituan
永大	yongda
永大集团	yongdajituan
永辉超市	yonghuichaoshi
汇丰晋信	huifengjinxin
汇丰晋信基金	huifengjinxinjijin
汇丰晋信龙腾	huifengjinxinlongteng
汇丰集团	huifengjituan
汇丽	huili
汇多利	huiduoli
汇宝集团	huibaojituan
汇添富	huitianfu
汇通天下	huitongtianxia
汇通能源	huitongnengyuan
汇通集团	huitongjituan
江中药业	jiangzhongyaoye
江力	jiangli
江海股份	jianghaigufen
江苏吴中	jiangsuwuzhong
江苏宏宝	jiangsuhongbao
江苏旷达	jiangsukuangda
江苏纺织	jiangsufangzhi
江钻	jiangzuan
汤姆逊路透	tangmuxunlutou
汤臣倍健	tangchenbeijian
汤臣集团	tangchenjituan
沧州大化	cangzhoudahua
沪建	hujian
沪指	huzhi
沪科	huke
沪铜	hutong
河化	hehua
河北钢铁	hebeigangtie
法人银行	farenyinhang
法律部	falvbu
法拉电子	faladianzi
法郎区	falangqu
泛海酒店	fanhaijiudian
波段性	boduanxing
注意力经济	zhuyilijingji
注销户	zhuxiaohu
泰京银行	taijingyinhang
泰复	taifu
泰格	taige
泰达宏利	taidahongli
泰达宏利基金	taidahonglijijin
泸州老窖	luzhoulaojiao
洛玻	luobo
津劝业	jinquanye
流动电讯	liudongdianxun
流动资金量	liudongzijinliang
流标	liubiao
济柴	jichai
浙商银行	zheshangyinhang
浙大海纳	zhedahaina
浙江富阳	zhejiangfuyang
浙江永强	zhejiangyongqiang
浙江海亮	zhejianghailiang
浙江海纳	zhejianghaina
浦东建设	pudongjianshe
浦东金桥	pudongjinqiao
浦银	puyin
浦银安盛	puyinansheng
浦银安盛基金	puyinanshengjijin
浦银红利	puyinhongli
浩宁达	haoningda
浪莎	langsha
海伦哲	hailunzhe
海信电器	haixindianqi
海兰信	hailanxin
海南海药	hainanhaiyao
海南航空	hainanhangkong
海外投资法	haiwaitouzifa
海大集团	haidajituan
海宁皮城	hainingpicheng
海德股份	haidegufen
海普瑞	haipurui
海格通信	haigetongxin
海欣	haixin
海泰	haitai
海源机械	haiyuanjixie
海王生物	haiwangshengwu
海王英特龙	haiwangyingtelong
海王集团	haiwangjituan
海立	haili
海立美达	hailimeida
海联讯	hailianxun
海能达	hainengda
海螺型材	hailuoxingcai
海通集团	haitongjituan
淡仓	dancang
深值	shenzhi
深华发	shenhuafa
深华新	shenhuaxin
深原野	shenyuanye
深发	shenfa
深圳国际	shenzhenguoji
深圳方大	shenzhenfangda
深圳智多盈	shenzhenzhiduoying
深圳比克	shenzhenbike
深圳海王星辰	shenzhenhaiwangxingchen
深圳能源	shenzhennengyuan
深圳迈瑞	shenzhenmairui
深大通	shendatong
深天地	shentiandi
深天马	shentianma
深安达	shenanda
深宝安	shenbaoan
深宝恒	shenbaoheng
深泰	shentai
深物业	shenwuye
深特力	shenteli
深能	shenneng
深证成指	shenzhengchengzhi
深证综指	shenzhengzongzhi
深锦兴	shenjinxing
深高	shengao
深高速	shengaosu
混业	hunye
添益宝	tianyibao
清算协议	qingsuanxieyi
渝三峡	yusanxia
渝太地产	yutaidichan
渝钛白	yutaibai
渣打集团	zhadajituan
渤化	bohua
渤海银行	bohaiyinhang
温商网	wenshangwang
温氏集团	wenshijituan
港华燃气	ganghuaranqi
港股通	ganggutong
港铁公司	gangtiegongsi
湖北华新	hubeihuaxin
湖北迈亚	hubeimaiya
湖南有色金属	hunanyousejinshu
湖南海利	hunanhaili
湖山	hushan
源发	yuanfa
溢缴款	yijiaokuan
潍柴重机	weichaizhongji
潞安环能	luanhuanneng
潮宏基	chaohongji
澳优	aoyou
澳新银行	aoxinyinhang
瀚宇博德	hanyubode
炒房	chaofang
炒汇者	chaohuizhe
炒高	chaogao
炬力	juli
点后	dianhou
烽火通信	fenghuotongxin
焦作万方	jiaozuowanfang
焦点话题	jiaodianhuati
焦点问题	jiaodianwenti
煤炭股	meitangu
物物交换	wuwujiaohuan
物贸中心	wumaozhongxin
特别关注	tebieguanzhu
特别措施	tebiecuoshi
特区经济	tequjingji
特变电工	tebiandiangong
特许权税	texuquanshui
环康集团	huankangjituan
环球企业家	huanqiuqiyejia
环球财经	huanqiucaijing
环球集团	huanqiujituan
现代传播	xiandaichuanbo
现代商业银行	xiandaishangyeyinhang
现代教育	xiandaijiaoyu
现手	xianshou
现金流量表	xianjinliuliangbiao
珠江实业	zhujiangshiye
理文集团	liwenjituan
理财周报	licaizhoubao
琼民源	qiongminyuan
瑞和	ruihe
瑞士银行公司	ruishiyinhanggongsi
瑞福进取	ruifujinqu
瑞立集团	ruilijituan
瑞银集团	ruiyinjituan
瑞龙	ruilong
瓦轴	wazhou
甘化	ganhua
生意宝	shengyibao
用卡	yongka
申报率	shenbaolv
申购款	shengoukuan
申赎	shenshu
电力股	dianligu
电广实业	dianguangshiye
畅丰车桥	changfengcheqiao
白银铜城	baiyintongcheng
白页	baiye
百利电气	bailidianqi
百圆裤业	baiyuankuye
百盛集团	baishengjituan
百花村	baihuacun
皇台	huangtai
皇朝家俬	huangchaojiasi
皇朝家私	huangchaojiasi
皖能	wanneng
益民红利	yiminhongli
盐湖集团	yanhujituan
监管政策	jianguanzhengce
盗刷	daoshua
盘后	panhou
盘感	pangan
盘活资产	panhuozichan
目标公司	mubiaogongsi
看涨者	kanzhangzhe
看跌者	kandiezhe
知名银行	zhimingyinhang
短仓	duancang
短的	duande
短融券	duanrongquan
石劝业	shiquanye
石化债	shihuazhai
石岘	shixian
石炼	shilian
研究报告	yanjiubaogao
研究简报	yanjiujianbao
砸盘	zapan
硅宝科技	guibaokeji
碧生源	bishengyuan
礼品税	lipinshui
社会团体	shehuituanti
社保基金	shebaojijin
祥龙	xianglong
福建工商时报	fujiangongshangshibao
福彩中心	fucaizhongxin
福星晓程	fuxingxiaocheng
福特赛	futesai
私人银行	sirenyinhang
私营公司	siyinggongsi
秋林	qiulin
科伦药业	kelunyaoye
科华恒盛	kehuahengsheng
科斯伍德	kesiwude
科新机电	kexinjidian
科诺威德	kenuoweide
科达机电	kedajidian
租购	zugou
秦丰	qinfeng
积成电子	jichengdianzi
移仓	yicang
税收完税证	shuishouwanshuizheng
税收缴款书	shuishoujiaokuanshu
税点	shuidian
空头头寸	kongtoutoucun
空头换手	kongtouhuanshou
空开	kongkai
空换	konghuan
第一财经	diyicaijing
第一财经日报	diyicaijingribao
第一食品	diyishipin
第三波	disanbo
筑信	zhuxin
筑底	zhudi
策略研究	celveyanjiu
管理公司	guanligongsi
管理办法	guanlibanfa
管理有限公司	guanliyouxiangongsi
粤丽珠	yuelizhu
粤宏远	yuehongyuan
粤水电	yueshuidian
精伦	jinglun
精工钢构	jinggongganggou
精工集团	jinggongjituan
精诚铜业	jingchengtongye
紫光华宇	ziguanghuayu
红利通知书	honglitongzhishu
红发集团	hongfajituan
红宝丽	hongbaoli
红杉资本	hongshanziben
红阳能源	hongyangnengyuan
红鲱鱼	hongfeiyu
纪念钞	jinianchao
纳税申报	nashuishenbao
组合投资	zuhetouzi
组织图	zuzhitu
组织机构代码证	zuzhijigoudaimazheng
组选	zuxuan
经办员	jingbanyuan
经济参考报	jingjicankaobao
经济发展	jingjifazhan
经济基本面	jingjijibenmian
经济学术	jingjixueshu
经济导刊	jingjidaokan
经济技术开发区	jingjijishukaifaqu
经济杂志	jingjizazhi
经济统计	jingjitongji
经济观察网	jingjiguanchawang
经理费	jinglifei
经纬纺机	jingweifangji
经营理念	jingyinglinian
结算凭证	jiesuanpingzheng
统计报告	tongjibaogao
统计系	tongjixi
绩差	jicha
绩差公司	jichagongsi
维科精华	weikejinghua
维达国际	weidaguoji
综合税	zongheshui
绿景	lvjing
绿景地产	lvjingdichan
缴足	jiaozu
网付	wangfu
网商	wangshang
网购	wanggou
网银	wangyin
罗平锌电	luopingxindian
罗普斯金	luopusijin
罗莱家纺	luolaijiafang
罚款率	fakuanlv
美丽华酒店	meilihuajiudian
美元区	meiyuanqu
美元危机	meiyuanweiji
美国国际	meiguoguoji
美罗药业	meiluoyaoye
美联银行	meilianyinhang
美联集团	meilianjituan
美菱股份	meilinggufen
美雅	meiya
翻三番	fansanfan
考核指标	kaohezhibiao
联信永益	lianxinyongyi
联华合纤	lianhuahexian
联华超市	lianhuachaoshi
联油	lianyou
联电	liandian
联邦存款保险公司	lianbangcunkuanbaoxiangongsi
联邦破产法	lianbangpochanfa
聚友	juyou
聚富	jufu
股东大会决议	gudongdahuijueyi
股城网	guchengwang
股市动态分析	gushidongtaifenxi
股市快讯	gushikuaixun
股权分置改革方案	guquanfenzhigaigefangan
股权转让协议	guquanzhuanrangxieyi
股歌	guge
股票市价	gupiaoshijia
股票界	gupiaojie
背书人	beishuren
胜景山河	shengjingshanhe
腹空	fukong
腾邦国际	tengbangguoji
自主创新	zizhuchuangxin
自买	zimai
自偿性	zichangxing
自助银行	zizhuyinhang
自然人股	ziranrengu
自留额	ziliue
至高点	zhigaodian
航天机电	hangtianjidian
航天科技	hangtiankeji
航天长峰	hangtianzhangfeng
航民	hangmin
良运	liangyun
艺术品投资	yishupintouzi
艺龙	yilong
艾略特波浪理论	ailvetebolanglilun
艾迪西	aidixi
节能减排	jienengjianpai
芜湖港	wuhugang
苏宁环球	suninghuanqiu
苏宁电器	suningdianqi
苏州固锝	suzhougude
苏州恒久	suzhouhengjiu
苏常远东	suchangyuandong
苏物	suwu
苏物贸	suwumao
苏福马	sufuma
英化	yinghua
英唐智控	yingtangzhikong
英国金融时报	yingguojinrongshibao
英威腾	yingweiteng
英特集团	yingtejituan
英飞拓	yingfeituo
荷兰万贝银行	helanwanbeiyinhang
莎拉李	shalali
莫高股份	mogaogufen
莱钢	laigang
获批	huopi
葛州坝	gezhouba
蒙发利	mengfali
蒙牛乳业	mengniuruye
虚拟卡	xunika
虚涨	xuzhang
融信达	rongxinda
融资协议	rongzixieyi
融资性	rongzixing
融资方案	rongzifangan
融资款	rongzikuan
融资租赁合同	rongzizulinhetong
融资网	rongziwang
融通领先	rongtonglingxian
衍生产品	yanshengchanpin
衍生权证	yanshengquanzheng
补价	bujia
表首	biaoshou
裸币	luobi
西南合成	xinanhecheng
西安旅游	xianlvyou
西昌电	xichangdian
西王糖业	xiwangtangye
西祠胡同	xicihutong
西藏旅游	xizanglvyou
西陇化工	xilonghuagong
观音币	guanyinbi
解盘	jiepan
詹姆斯邦德	zhanmusibangde
警示教育	jingshijiaoyu
认同卡	rentongka
认定标准	rendingbiaozhun
认沽期权	renguqiquan
认购协议	rengouxieyi
认购权证	rengouquanzheng
许继电气	xujidianqi
证券周刊	zhengquanzhoukan
证券导刊	zhengquandaokan
证券导报	zhengquandaobao
证券市场周刊	zhengquanshichangzhoukan
证券市场红周刊	zhengquanshichanghongzhoukan
证券投资分析	zhengquantouzifenxi
证券溢价	zhengquanyijia
证券资讯	zhengquanzixun
评价中心	pingjiazhongxin
评价体系	pingjiatixi
评价指标	pingjiazhibiao
评估办法	pinggubanfa
评估方案	pinggufangan
评估标准	pinggubiaozhun
试点办法	shidianbanfa
试点方案	shidianfangan
试盘	shipan
试行标准	shixingbiaozhun
诚聘英才	chengpinyingcai
诱空	youkong
诺安平衡	nuoanpingheng
谭木匠	tanmujiang
豪盛	haosheng
豫能	yuneng
负利率	fulilv
财产安全	caichananquan
财会信报	caikuaixinbao
财信通	caixintong
财务状况表	caiwuzhuangkuangbiao
财华网	caihuawang
财富时报	caifushibao
财经周刊	caijingzhoukan
财经时报	caijingshibao
财经论坛	caijingluntan
账户表	zhanghubiao
货币银行学	huobiyinhangxue
质押品	zhiyapin
质押物	zhiyawu
购买区	goumaiqu
购买美国	goumaimeiguo
购票员	goupiaoyuan
贵州百灵	guizhoubailing
贵研铂业	guiyanboye
贵绳	guisheng
贷款协议	daikuanxieyi
贷款难	daikuannan
资产公司	zichangongsi
资产评估	zichanpinggu
资产评估报告	zichanpinggubaogao
资产负债表	zichanfuzhaibiao
资信证明	zixinzhengming
资本化率	zibenhualv
资本品	zibenpin
资本预算	zibenyusuan
赛格三星	saigesanxing
赛格股份	saigegufen
赛格达声	saigedasheng
赣锋锂业	ganfengliye
超图软件	chaoturuanjian
超声电子	chaoshengdianzi
超标者	chaobiaozhe
超级大乐透	chaojidaletou
越秀投资	yuexiutouzi
跌至	diezhi
跨国银行	kuaguoyinhang
跳动点	tiaodongdian
转押	zhuanya
转换价值	zhuanhuanjiazhi
转换价格	zhuanhuanjiage
转换费	zhuanhuanfei
转期	zhuanqi
软控股份	ruankonggufen
软通货	ruantonghuo
辅导期	fudaoqi
达创	dachuang
达力集团	dalijituan
运盛	yunsheng
运通公司	yuntonggongsi
还本	huanben
还款计划	haikuanjihua
远东经济评论	yuandongjingjipinglun
远望谷	yuanwanggu
违约率	weiyuelv
迟付	chifu
追加保证金	zhuijiabaozhengjin
追收	zhuishou
送配	songpei
通威股份	tongweigufen
通知期	tongzhiqi
通科	tongke
通程控股	tongchengkonggu
通达卡	tongdaka
通道制	tongdaozhi
速贷通	sudaitong
邀会	yaohui
邵氏	shaoshi
郑州燃气	zhengzhouranqi
鄂绒	erong
酒鬼酒	jiuguijiu
重仪	zhongyi
重估	zhonggu
重单	zhongdan
重庆中药	chongqingzhongyao
重庆华亚	chongqinghuaya
重庆川仪	chongqingchuanyi
重庆机电	chongqingjidian
重庆港九	chongqinggangjiu
重庆银行	chongqingyinhang
重新转向	chongxinzhuanxiang
重点关注	zhongdianguanzhu
重要公告	zhongyaogonggao
金业公司	jinyegongsi
金交所	jinjiaosuo
金健米业	jinjianmiye
金利华电	jinlihuadian
金利来集团	jinlilaijituan
金利科技	jinlikeji
金利通	jinlitong
金卡	jinka
金固股份	jingugufen
金地集团	jindijituan
金城股份	jinchenggufen
金宇车城	jinyuchecheng
金宇集团	jinyujituan
金宝通	jinbaotong
金山工业	jinshangongye
金山软件	jinshanruanjian
金岭	jinling
金帝	jindi
金普	jinpu
金普卡	jinpuka
金智科技	jinzhikeji
金朝阳集团	jinzhaoyangjituan
金枫酒业	jinfengjiuye
金桥	jinqiao
金榜集团	jinbangjituan
金海股份	jinhaigufen
金源米业	jinyuanmiye
金瑞	jinrui
金瑞矿业	jinruikuangye
金瑞科技	jinruikeji
金盘	jinpan
金种子	jinzhongzi
金融世界	jinrongshijie
金融办	jinrongban
金融史	jinrongshi
金融大街	jinrongdajie
金融市	jinrongshi
金融投资	jinrongtouzi
金融投资报	jinrongtouzibao
金融许可证	jinrongxukezheng
金融部	jinrongbu
金路集团	jinlujituan
金辉集团	jinhuijituan
金通灵	jintongling
金陵饭店	jinlingfandian
金隅股份	jinyugufen
金风科技	jinfengkeji
金飞达	jinfeida
金马投票	jinmatoupiao
金马股份	jinmagufen
金马集团	jinmajituan
金鹰	jinying
金鼎	jinding
金龙机电	jinlongjidian
鑫光	xinguang
鑫富药业	xinfuyaoye
鑫新	xinxin
针线街	zhenxianjie
钛金	taijin
钛金卡	taijinka
钢研高纳	gangyangaona
钢镚儿	gangbenger
钱经	qianjing
钱袋网	qiandaiwang
银之杰	yinzhijie
银债	yinzhai
银华	yinhua
银基集团	yinjijituan
银广厦	yinguangsha
银建	yinjian
银承	yincheng
银期	yinqi
银河银泰	yinheyintai
银泰百货	yintaibaihuo
银率网	yinlvwang
银行卡号	yinhangkahao
银行承兑汇票	yinhangchengduihuipiao
银行管理	yinhangguanli
银行部	yinhangbu
销卡	xiaoka
销售代理协议	xiaoshoudailixieyi
销售合同	xiaoshouhetong
销货清单	xiaohuoqingdan
锌业	xinye
锦化	jinhua
锦州石化	jinzhoushihua
锦江酒店	jinjiangjiudian
锦港	jingang
长城特钢	changchengtegang
长城集团	changchengjituan
长控	zhangkong
长电	zhangdian
长百集团	zhangbaijituan
长盛中证	zhangshengzhongzheng
长盛同德	zhangshengtongde
长盛同智	zhangshengtongzhi
长盛同瑞	zhangshengtongrui
长盛同禧	zhangshengtongxi
长盛基金	zhangshengjijin
长盛环球	zhangshenghuanqiu
长航凤凰	zhanghangfenghuang
闽信集团	minxinjituan
闽福发	minfufa
阜丰集团	fufengjituan
阳谷华泰	yangguhuatai
阿比银行	abiyinhang
附单	fudan
际华集团	jihuajituan
陇达	longda
限售期	xianshouqi
限售股	xianshougu
陕西金叶	shanxijinye
陕西长安	shanxichangan
除净	chujing
隆基机械	longjijixie
雄震	xiongzhen
雅天妮	yatianni
雅居乐地产	yajuledichan
雅虎财经	yahucaijing
雪莱特	xuelaite
零七股份	lingqigufen
零售银行	lingshouyinhang
零息	lingxi
零手	lingshou
雷伊	leiyi
雷柏科技	leibaikeji
雷鸣科化	leimingkehua
霸王条款	bawangtiaokuan
青山纸业	qingshanzhiye
青岛海信	qingdaohaixin
青鸟华光	qingniaohuaguang
青龙管业	qinglongguanye
非正常户	feizhengchanghu
非融资性	feirongzixing
韵达	yunda
项目融资	xiangmurongzi
顺发恒业	shunfahengye
顺诚	shuncheng
领票	lingpiao
领购簿	linggoubu
领跌	lingdie
颈线	jingxian
风神股份	fengshengufen
风险投资商	fengxiantouzishang
风险提示	fengxiantishi
风险提示函	fengxiantishihan
飚升	biaosheng
飞力达	feilida
飞行者	feixingzhe
飞马国际	feimaguoji
首创置业	shouchuangzhiye
首席执行官	shouxizhixingguan
首席财务官	shouxicaiwuguan
香梨	xiangli
香港交易所	xianggangjiaoyisuo
验审	yanshen
验旧	yanjiu
高度关注	gaoduguanzhu
高息揽存	gaoxilancun
高斯达	gaosida
高新兴	gaoxinxing
高新发展	gaoxinfazhan
高新张铜	gaoxinzhangtong
高溢价	gaoyijia
高特利	gaoteli
高金食品	gaojinshipin
高银地产	gaoyindichan
魏桥纺织	weiqiaofangzhi
鲁商置业	lushangzhiye
鲁政委	luzhengwei
鲁泰	lutai
鲁润	lurun
鲁石化	lushihua
鲁置业	luzhiye
鲁证	luzheng
鲁银	luyin
鹏博士	pengboshi
鹰美	yingmei
麦考林	maikaolin
麦达斯	maidasi
黄金储备	huangjinchubei
黄金投资	huangjintouzi
黄金网	huangjinwang
黄金集团	huangjinjituan
黑卡	heika
黑白菜	heibaicai
黑色星期五	heisexingqiwu
黑龙股份	heilonggufen
黔中天	qianzhongtian
黔凯涤	qiankaidi
鼎天	dingtian
鼎泰新材	dingtaixincai
鼎盛天工	dingshengtiangong
齐星铁塔	qixingtieta
齐翔腾达	qixiangtengda
龙卡	longka
龙双	longshuang
龙建	longjian
龙星化工	longxinghuagong
龙涤股份	longdigufen
龙源电力	longyuandianli
