# 泰深输入法专业词库 — meteorology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
塵捲風	chenjuanfeng
日長波動	rizhangbodong
水蒸气压	shuizhengqiya
紅外窗口	hongwaichuangkou
甲醇经济	jiachunjingji
大气物理学	daqiwulixue
风伯	fengbo
地面天气图	dimiantianqitu
火山雷	huoshanlei
天空漫射	tiankongmanshe
颱風薇拉	taifengweila
日冕巨量噴發	rimianjuliangpenfa
德國氣象局	deguoqixiangju
暴洪	baohong
季风槽	jifengcao
雜波	zabo
歷史氣候學	lishiqihouxue
温度传感器	wenduchuanganqi
毛卷云	maojuanyun
華	hua
電漿層	dianjiangceng
空气	kongqi
百葉箱	baiyexiang
體溫	tiwen
季候泥	jihouni
颱風妮娜	taifengnina
埃克曼层	aikemanceng
大氣對流	daqiduiliu
气象站	qixiangzhan
除雪	chuxue
臭氧破壞潛勢	chouyangpohuaiqianshi
波状云	bozhuangyun
風向	fengxiang
标准大气压	biaozhundaqiya
冰珠	bingzhu
位溫	weiwen
魔術光	moshuguang
春汛	chunxun
密史脱拉风	mishituolafeng
焚燒秸稈	fenshaojiegan
米氏散射	mishisanshe
斐濟氣象局	feijiqixiangju
顯熱	xianre
太陽圈物理學	taiyangquanwulixue
濕度計	shiduji
蚱蜢效應	zhamengxiaoying
氣輝	qihui
氣旋貢貝	qixuangongbei
熱力學圖	relixuetu
七彩	qicai
闪电	shandian
中间层	zhongjianceng
彩雲	caiyun
马赫环	mahehuan
晝夜循環	zhouyexunhuan
四大天王	sidatianwang
冰锥	bingzhui
天震	tianzhen
临近预报	linjinyubao
废热	feire
霧虹	wuhong
准两年振荡	zhunliangnianzhendang
无线电探空仪	wuxiandiantankongyi
輻射冷卻	fushelengque
高空槽	gaokongcao
塔曼温度	tamanwendu
回南	huinan
维纳斯带	weinasidai
荚状卷积云	jiazhuangjuanjiyun
颱風芙蘿	taifengfuluo
欧洲气象网	ouzhouqixiangwang
雨瀑	yupu
寒潮	hanchao
下沉流	xiachenliu
成层状卷积云	chengcengzhuangjuanjiyun
虛溫	xuwen
西南氣流	xinanqiliu
紫外线指数	ziwaixianzhishu
绝对零度	jueduilingdu
阿西亚齐	axiyaqi
空气质量法	kongqizhiliangfa
改良藤田级数	gailiangtengtianjishu
散逸层	sanyiceng
假潮	jiachao
表面能量通量	biaomiannengliangtongliang
等壓線	dengyaxian
气候学	qihouxue
华西	huaxi
地冕	dimian
等温线	dengwenxian
無夏之年	wuxiazhinian
微氣候	weiqihou
钠层	naceng
濕靜能	shijingneng
雨幡洞云	yufandongyun
圣卢西亚洪水	shengluxiyahongshui
回南天	huinantian
陣風	zhenfeng
大氣標高	daqibiaogao
冰閃現象	bingshanxianxiang
香港天文台	xianggangtianwentai
通用制图工具	tongyongzhitugongju
天氣現象	tianqixianxiang
冰湖溃决洪水	binghukuijuehongshui
碎积云	suijiyun
居里点	julidian
風速	fengsu
颱風羅伊	taifengluoyi
跑道視程	paodaoshicheng
氣候變化情景	qihoubianhuaqingjing
热穹	reqiong
月虹	yuehong
反溫室效應	fanwenshixiaoying
极地平流层云	jidipingliucengyun
北极烟霞	beijiyanxia
絮状高积云	xuzhuanggaojiyun
龍之風暴	longzhifengbao
气候分类	qihoufenlei
倫敦氣候	lundunqihou
雨凇	yusong
波形線狀回波	boxingxianzhuanghuibo
雷	lei
溫度直減率	wenduzhijianlv
火力發電廠	huolifadianchang
莱纳德效应	lainadexiaoying
焚化爐	fenhualu
山谷风	shangufeng
下沉气流	xiachenqiliu
數值天氣預報	shuzhitianqiyubao
太空颶風	taikongjufeng
开尔文波	kaierwenbo
热层	receng
失控溫室效應	shikongwenshixiaoying
淡积云	danjiyun
