# 泰深输入法专业词库 — 诗词
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一点沧洲白鹭飞	yidiancangzhoubailufei
一点浩然气	yidianhaoranqi
一点芳心在娇眼	yidianfangxinzaijiaoyan
一片伤心画不成	yipianshangxinhuabucheng
一片冰心在玉壶	yipianbingxinzaiyuhu
一片孤城万仞山	yipianguchengwanrenshan
一片春岚映半环	yipianchunlanyingbanhuan
一片汪洋都不见	yipianwangyangdoubujian
一片神鸦社鼓	yipianshenyashegu
一片西飞一片东	yipianxifeiyipiandong
一片降幡出石头	yipianjiangfanchushitou
一瓯资舌本	yiouzisheben
一生一代一双人	yishengyidaiyishuangren
一生大笑能几回	yishengdaxiaonengjihui
一生好入名山游	yishenghaorumingshanyou
一生抱恨堪咨嗟	yishengbaohenkanzijie
一生真伪复谁知	yishengzhenweifushuizhi
一男附书至	yinanfushuzhi
一番洗清秋	yifanxiqingqiu
一番过雨来幽径	yifanguoyulaiyoujing
一病讫不痊	yibingqibuquan
一盏秋灯夜读书	yizhanqiudengyedushu
一盘笼饼是豌巢	yipanlongbingshiwanchao
一破夫差国	yipofuchaguo
一种清孤不等闲	yizhongqinggubudengxian
一种爱鱼心各异	yizhongaiyuxingeyi
一章三遍读	yizhangsanbiandu
一笑失百忧	yixiaoshibaiyou
一笑相倾国便亡	yixiaoxiangqingguobianwang
一笑谁似痴虎头	yixiaoshuishichihutou
一笛闻吹出塞愁	yidiwenchuichusaichou
一篇读罢头飞雪	yipiandubatoufeixue
一腔热血勤珍重	yiqiangrexueqinzhenzhong
一舸逐鸱夷	yigezhuchiyi
一茎竹篙剔船尾	yijingzhugaotichuanwei
一蓑烟雨任平生	yisuoyanyurenpingsheng
一行复一行	yixingfuyixing
一行白鹭上青天	yixingbailushangqingtian
一见知君即断肠	yijianzhijunjiduanchang
一览众山小	yilanzhongshanxiao
一言为重百金轻	yiyanweizhongbaijinqing
一言而丧邦	yiyanersangbang
一言而可以兴邦	yiyanerkeyixingbang
一诗千改始心安	yishiqiangaishixinan
一诗换得两尖团	yishihuandeliangjiantuan
一语天然万古新	yiyutianranwanguxin
一诺千金重	yinuoqianjinzhong
一谈一笑俗相看	yitanyixiaosuxiangkan
一路凉风十八里	yiluliangfengshibali
一路繁花相送	yilufanhuaxiangsong
一路经行处	yilujingxingchu
一身无所求	yishenwusuoqiu
一身独暖亦何情	yishendunuanyiheqing
一身都是愁	yishendoushichou
一轮秋影转金波	yilunqiuyingzhuanjinbo
一遍洗寰瀛	yibianxihuanying
一道残阳铺水中	yidaocanyangpushuizhong
一钩残月向西流	yigoucanyuexiangxiliu
一钵千家饭	yiboqianjiafan
一闲对百忙	yixianduibaimang
一阵黄昏雨	yizhenhuanghunyu
一陂春水绕花身	yibeichunshuiraohuashen
一雷惊蛰始	yileijingzheshi
一霎清明雨	yishaqingmingyu
一顾倾人城	yiguqingrencheng
一飞由来无定所	yifeiyoulaiwudingsuo
一食或尽粟一石	yishihuojinsuyishi
一饭胡麻度几春	yifanhumadujichun
一饱尚如此	yibaoshangruci
一马二仆夫	yimaerpufu
一驿过一驿	yiyiguoyiyi
一骑红尘妃子笑	yiqihongchenfeizixiao
一鸟不鸣山更幽	yiniaobumingshangengyou
丁兰少失母	dinglanshaoshimu
丁壮在南冈	dingzhuangzainangang
丁香空结雨中愁	dingxiangkongjieyuzhongchou
七八个星天外	qibagexingtianwai
七十古来稀	qishigulaixi
七十紫鸳鸯	qishiziyuanyang
七十老翁何所求	qishilaowenghesuoqiu
七十者可以食肉矣	qishizhekeyishirouyi
七十者衣帛食肉	qishizheyiboshirou
七十而致仕	qishierzhishi
七夕谁见同	qixishuijiantong
七尺从天乞活埋	qichicongtianqihuomai
七年元日对酒五首	qinianyuanriduijiuwushou
七弦为益友	qixianweiyiyou
七律到韶山	qilvdaoshaoshan
七日而浑沌死	qirierhundunsi
七月七日长生殿	qiyueqirichangshengdian
七月中气后	qiyuezhongqihou
七百里驱十五日	qibailiqushiwuri
七龄思即壮	qilingsijizhuang
万万女贞林	wanwannvzhenlin
万丈丹梯尚可攀	wanzhangdantishangkepan
万事不关心	wanshibuguanxin
万事从今足	wanshicongjinzu
万事成蹉跎	wanshichengcuotuo
万事浮云过太虚	wanshifuyunguotaixu
万事称好司马公	wanshichenghaosimagong
万事翻覆如浮云	wanshifanfurufuyun
万事随转烛	wanshisuizhuanzhu
万事须己运	wanshixujiyun
万事风雨散	wanshifengyusan
万人如海一身藏	wanrenruhaiyishencang
万人空巷斗新妆	wanrenkongxiangdouxinzhuang
万卷藏书宜子弟	wanjuancangshuyizidi
万古一长嗟	wanguyizhangjie
万古云霄一羽毛	wanguyunxiaoyiyumao
万古到今同此恨	wangudaojintongcihen
万古惟留楚客悲	wanguweiliuchukebei
万古文章有坦途	wanguwenzhangyoutantu
万古永相望	wanguyongxiangwang
万古遗水滨	wanguyishuibin
万古青蒙蒙	wanguqingmengmeng
万国尽征戍	wanguojinzhengshu
万国衣冠拜冕旒	wanguoyiguanbaimianliu
万壑有声含晚籁	wanheyoushenghanwanlai
万壑树参天	wanheshucantian
万姓以死亡	wanxingyisiwang
万姓疮痍合	wanxingchuangyihe
万家灯火暖春风	wanjiadenghuonuanchunfeng
万径人踪灭	wanjingrenzongmie
万心春熙熙	wanxinchunxixi
万户侯何足道哉	wanhuhouhezudaozai
万户千门入画图	wanhuqianmenruhuatu
万户千门成野草	wanhuqianmenchengyecao
万户捣衣声	wanhudaoyisheng
万户萧疏鬼唱歌	wanhuxiaoshuguichangge
万斛之舟行若风	wanhuzhizhouxingruofeng
万方乐奏有于阗	wanfanglezouyouyutian
万木皆怒号	wanmujienuhao
万木霜天红烂漫	wanmushuangtianhonglanman
万朵互低昂	wanduohudiang
万条垂下绿丝绦	wantiaochuixialvsitao
万树江边杏	wanshujiangbianxing
万株松树青山上	wanzhusongshuqingshanshang
万水千山只等闲	wanshuiqianshanzhidengxian
万点蜀山尖	wandianshushanjian
万点雪峰晴	wandianxuefengqing
万物一马也	wanwuyimaye
万物不得不昌	wanwubudebuchang
万物之本也	wanwuzhibenye
万物之父母也	wanwuzhifumuye
万物之镜也	wanwuzhijingye
万物兴歇皆自然	wanwuxingxiejieziran
万物将自化	wanwujiangzihua
万物并作吾观复	wanwubingzuowuguanfu
万物有成理而不说	wanwuyouchenglierbushuo
万物生光辉	wanwushengguanghui
万物皆一也	wanwujieyiye
万物皆出于机	wanwujiechuyuji
万物皆妩媚	wanwujiewumei
万物负阴而抱阳	wanwufuyinerbaoyang
万物静观皆自得	wanwujingguanjiezide
万籁此俱寂	wanlaicijuji
万类霜天竞自由	wanleishuangtianjingziyou
万紫千红总是春	wanziqianhongzongshichun
万花纷谢一时稀	wanhuafenxieyishixi
万言万当不如一默	wanyanwandangburuyimo
万谷酣笙钟	wanguhanshengzhong
万象为宾客	wanxiangweibinke
万转千回思想过	wanzhuanqianhuisixiangguo
万里不惜死	wanlibuxisi
万里共清辉	wanligongqinghui
万里写入胸怀间	wanlixieruxionghuaijian
万里卷潮来	wanlijuanchaolai
万里可横行	wanlikehengxing
万里夕阳垂地	wanlixiyangchuidi
万里家在岷峨	wanlijiazaimine
万里寒光生积雪	wanlihanguangshengjixue
万里尚为邻	wanlishangweilin
万里归心对月明	wanliguixinduiyueming
万里归来年愈少	wanliguilainianyushao
万里归来颜愈少	wanliguilaiyanyushao
万里念将归	wanlinianjianggui
万里悲秋常作客	wanlibeiqiuchangzuoke
万里故乡情	wanliguxiangqing
万里故园心	wanliguyuanxin
万里方看汗流血	wanlifangkanhanliuxie
万里桥西一草堂	wanliqiaoxiyicaotang
万里横烟浪	wanlihengyanlang
万里汉家使	wanlihanjiashi
万里清光不可思	wanliqingguangbukesi
万里清风来	wanliqingfenglai
万里犹比邻	wanliyoubilin
万里秋千习俗同	wanliqiuqianxisutong
万里经年别	wanlijingnianbie
万里衡阳雁	wanlihengyangyan
万里谁能驯	wanlishuinengxun
万里赴戎机	wanlifurongji
万里长城今犹在	wanlichangchengjinyouzai
万里长征人未还	wanlichangzhengrenweihai
万里长江一酒杯	wanlizhangjiangyijiubei
万里长江横渡	wanlizhangjianghengdu
万里长江水	wanlizhangjiangshui
万里长江边	wanlizhangjiangbian
万里风樯看贾船	wanlifengqiangkanjiachuan
万里黄河绕黑山	wanlihuangheraoheishan
万钟于我何加焉	wanzhongyuwohejiayan
万面鼓声中	wanmiangushengzhong
万颗匀圆讶许同	wankeyunyuanyaxutong
万马战犹酣	wanmazhanyouhan
万马齐喑究可哀	wanmaqiyinjiukeai
丈夫何事足萦怀	zhangfuheshizuyinghuai
丈夫志四海	zhangfuzhisihai
丈夫未可轻年少	zhangfuweikeqingnianshao
丈夫贵兼济	zhangfuguijianji
丈夫非无泪	zhangfufeiwulei
三万六千场	sanwanliuqianchang
三万里河东入海	sanwanlihedongruhai
三五夜中新月色	sanwuyezhongxinyuese
三以天下让	sanyitianxiarang
三伏似清秋	sanfushiqingqiu
三军可夺帅也	sanjunkeduoshuaiye
三军过后尽开颜	sanjunguohoujinkaiyan
三分割据纡筹策	sanfengejuyuchouce
三十一年还旧国	sanshiyinianhaijiuguo
三十二莲峰	sanshierlianfeng
三十六万人	sanshiliuwanren
三十六宫土花碧	sanshiliugongtuhuabi
三十六策中	sanshiliucezhong
三十功名尘与土	sanshigongmingchenyutu
三十年来梦一场	sanshinianlaimengyichang
三十日不还	sanshiribuhai
三千宠爱在一身	sanqianchongaizaiyishen
三千毛瑟精兵	sanqianmaosejingbing
三千里地山河	sanqianlidishanhe
三国周郎赤壁	sanguozhoulangchibi
三声欲断疑肠断	sanshengyuduanyichangduan
三夜频梦君	sanyepinmengjun
三嫌老丑换蛾眉	sanxianlaochouhuanemei
三山半落青天外	sanshanbanluoqingtianwai
三峰意出群	sanfengyichuqun
三年不为乐	sannianbuweile
三年为刺史	sannianweicishi
三年之丧毕	sannianzhisangbi
三年奔走空皮骨	sannianbenzoukongpigu
三年无改于父之道	sannianwugaiyufuzhidao
三年流落巴山道	sannianliuluobashandao
三年谪宦此栖迟	sannianzhehuanciqichi
三愿如同梁上燕	sanyuanrutongliangshangyan
三日入厨下	sanriruchuxia
三日开瓮香满城	sanrikaiwengxiangmancheng
三日断五匹	sanriduanwupi
三日饮不散	sanriyinbusan
三旬两入省	sanxunliangrusheng
三春三月忆三巴	sanchunsanyueyisanba
三春已暮花从风	sanchunyimuhuacongfeng
三春湿黄精	sanchunshihuangjing
三春白雪归青冢	sanchunbaixueguiqingzhong
三春行乐在谁边	sanchunxinglezaishuibian
三春车马客	sanchunchemake
三曰不敢为天下先	sanyuebuganweitianxiaxian
三月三日天气新	sanyuesanritianqixin
三月下瞿塘	sanyuexiaqutang
三月尽是头白日	sanyuejinshitoubairi
三月草萋萋	sanyuecaoqiqi
三杯两盏淡酒	sanbeiliangzhandanjiu
三杯吐然诺	sanbeiturannuo
三杯弄宝刀	sanbeinongbaodao
三杯通大道	sanbeitongdadao
三湘衰鬓逢秋色	sanxiangshuaibinfengqiuse
三男邺城戍	sannanyechengshu
三节还乡兮挂锦衣	sanjiehuanxiangxiguajinyi
三边曙色动危旌	sanbianshusedongweijing
三过其门而不入	sanguoqimenerburu
三顾臣于草庐之中	sanguchenyucaoluzhizhong
三顾频烦天下计	sangupinfantianxiaji
上下两天竺	shangxialiangtianzhu
上下交征利	shangxiajiaozhengli
上下平则国强	shangxiapingzeguoqiang
上与浮云齐	shangyufuyunqi
上佐近来多五考	shangzuojinlaiduowukao
上古有大椿者	shangguyoudachunzhe
上品功能甘露味	shangpingongnengganluwei
上善若水任方圆	shangshanruoshuirenfangyuan
上帝钧天会众灵	shangdijuntianhuizhongling
上感九庙焚	shangganjiumiaofen
上方重阁晚	shangfangzhonggewan
上无道揆也	shangwudaokuiye
上有万仞山	shangyouwanrenshan
上有弦歌声	shangyouxiangesheng
上有青冥之长天	shangyouqingmingzhichangtian
上有黄鹂深树鸣	shangyouhuanglishenshuming
上林繁花照眼新	shanglinfanhuazhaoyanxin
上枢密韩太尉书	shangshumihantaiweishu
上疆场彼此弯弓月	shangjiangchangbiciwangongyue
上穷碧落下黄泉	shangqiongbilaxiahuangquan
上言长相思	shangyanzhangxiangsi
上阳白发人	shangyangbaifaren
下下复高高	xiaxiafugaogao
下令减征赋	xialingjianzhengfu
下台相顾一相思	xiataixiangguyixiangsi
下学而上达	xiaxueershangda
下床畏蛇食畏药	xiachuangweisheshiweiyao
下德不失德	xiadebushide
下必有甚焉者矣	xiabiyoushenyanzheyi
下悯万民疮	xiaminwanminchuang
下无法守也	xiawufashouye
下有千丈水	xiayouqianzhangshui
下有渌水之波澜	xiayoulushuizhibolan
下此便翛然	xiacibianxiaoran
下笑世上士	xiaxiaoshishangshi
下笔如有神	xiabiruyoushen
下言久离别	xiayanjiulibie
下邽田地平如掌	xiaguitiandipingruzhang
下马饮君酒	xiamayinjunjiu
下驿穷交日	xiayiqiongjiaori
不与徐凝洗恶诗	buyuxuningxieshi
不与我言兮	buyuwoyanxi
不与我食兮	buyuwoshixi
不与梨花同梦	buyulihuatongmeng
不与秦塞通人烟	buyuqinsaitongrenyan
不为刘家贤圣物	buweiliujiaxianshengwu
不为商贾不耕田	buweishanggubugengtian
不为困穷宁有此	buweikunqiongningyouci
不为穷约趋俗	buweiqiongyuequsu
不为长叹息	buweichangtanxi
不乃为大盗积者也	bunaiweidadaojizheye
不义而富且贵	buyierfuqiegui
不亦君子乎	buyijunzihu
不仁者远矣	burenzheyuanyi
不仁而在高位	burenerzaigaowei
不以万物易蜩之翼	buyiwanwuyitiaozhiyi
不以三隅反	buyisanyufan
不以人废言	buyirenfeiyan
不以兵强天下	buyibingqiangtianxia
不以其道得之	buyiqidaodezhi
不以千里称也	buyiqianlichengye
不以文害辞	buyiwenhaici
不以知穷天下	buyizhiqiongtianxia
不以知穷德	buyizhiqiongde
不以礼节之	buyilijiezhi
不以辩饰知	buyibianshizhi
不会得青青如此	buhuideqingqingruci
不似少年时节	bushishaonianshijie
不似此池边	bushicichibian
不使人间造孽钱	bushirenjianzaonieqian
不使胜食气	bushishengshiqi
不信君看弈棋者	buxinjunkanyiqizhe
不信比来长下泪	buxinbilaizhangxialei
不值一文钱	buzhiyiwenqian
不出三十年	buchusanshinian
不出门来又数旬	buchumenlaiyoushuxun
不击元无烟	bujiyuanwuyan
不及卢家有莫愁	bujilujiayoumochou
不及在家贫	bujizaijiapin
不及林间自在啼	bujilinjianzizaiti
不及汪伦送我情	bujiwanglunsongwoqing
不可一日无此君	bukeyiriwucijun
不可不察也	bukebuchaye
不可不知也	bukebuzhiye
不可与言而与之言	bukeyuyaneryuzhiyan
不可以为人	bukeyiweiren
不可以为子	bukeyiweizi
不可以久处约	bukeyijiuchuyue
不可以作巫医	bukeyizuowuyi
不可以言传也	bukeyiyanchuanye
不可以语上也	bukeyiyushangye
不可以长处乐	bukeyichangchule
不可使知之	bukeshizhizhi
不可居无竹	bukejuwuzhu
不可徒行也	buketuxingye
不可得而利	bukedeerli
不可得而害	bukedeerhai
不可得而疏	bukedeershu
不可得而贱	bukedeerjian
不可得而贵	bukedeergui
不可得而闻也	bukedeerwenye
不可沽名学霸王	bukegumingxuebawang
不可知者也	bukezhizheye
不可胜用也	bukeshengyongye
不吾知其亦已兮	buwuzhiqiyiyixi
不周山下红旗乱	buzhoushanxiahongqiluan
不哭亦足矣	bukuyizuyi
不善不能改	bushanbunenggai
不善人之师	bushanrenzhishi
不喜亦不惧	buxiyibuju
不嗜杀人者能一之	bushisharenzhenengyizhi
不坠青云之志	buzhuiqingyunzhizhi
不堪幽梦太匆匆	bukanyoumengtaicongcong
不堪盈手赠	bukanyingshouzeng
不堪逢苦热	bukanfengkure
不处嫌疑间	buchuxianyijian
不复卧南阳	bufuwonanyang
不多饮酒懒吟诗	buduoyinjiulanyinshi
不夜月临关	buyeyuelinguan
不失其所者久	bushiqisuozhejiu
不如一盘粟	buruyipansu
不如不相见	burubuxiangjian
不如不遇倾城色	burubuyuqingchengse
不如丘之好学也	buruqiuzhihaoxueye
不如向帘儿底下	buruxianglianerdixia
不如因善遇之	buruyinshanyuzhi
不如应是欠西施	buruyingshiqianxishi
不如当身自簪缨	burudangshenzizanying
不如怜取眼前人	burulianquyanqianren
不如扫地法	burusaodifa
不如早还家	buruzaohaijia
不如是之甚也	burushizhishenye
不如登高之博见也	burudenggaozhibojianye
不如相忘于江湖	buruxiangwangyujianghu
不如硕鼠解藏身	burushuoshujiecangshen
不如退而结网	burutuierjiewang
不如闻早还却愿	buruwenzaohaiqueyuan
不如须臾之所学也	buruxuyuzhisuoxueye
不如饮美酒	buruyinmeijiu
不学头陀法	buxuetoutuofa
不学非自然	buxuefeiziran
不宜妄自菲薄	buyiwangzifeibo
不寐百忧生	bumeibaiyousheng
不寝听金钥	buqintingjinyao
不对芳春酒	buduifangchunjiu
不将颜色托春风	bujiangyansetuochunfeng
不尽长江滚滚来	bujinchangjianggungunlai
不尽长江滚滚流	bujinchangjianggungunliu
不带走一片云彩	budaizouyipianyuncai
不幸短命死矣	buxingduanmingsiyi
不应墩姓尚随公	buyingdunxingshangsuigong
不废江河万古流	bufeijianghewanguliu
不开口笑是痴人	bukaikouxiaoshichiren
不强人所难	buqiangrensuonan
不归杨则归墨	buguiyangzeguimo
不待致书求	budaizhishuqiu
不得中行而与之	budezhonghangeryuzhi
不得中顾私	budezhonggusi
不得其职则去	budeqizhizequ
不得其言则去	budeqiyanzequ
不得其门而入	budeqimenerru
不得到辽西	budedaoliaoxi
不得已而用之	budeyieryongzhi
不得志独行其道	budezhiduxingqidao
不得春风花不开	budechunfenghuabukai
不得通其道	budetongqidao
不得顾采薇	budegucaiwei
不必取长途	bubiquchangtu
不必若余之手录	bubiruoyuzhishoulu
不忍为之下	burenweizhixia
不忍便永诀	burenbianyongjue
不忍见其死	burenjianqisi
不忍食其肉	burenshiqirou
不忧社稷倾	buyoushejiqing
不念居安思危	bunianjuansiwei
不念携手好	bunianxieshouhao
不思得岸各休去	busideangexiuqu
不怨胜己者	buyuanshengjizhe
不恨古人吾不见	buhengurenwubujian
不恨此花飞尽	buhencihuafeijin
不患人之不己知	buhuanrenzhibujizhi
不患寡而患不均	buhuanguaerhuanbujun
不患莫己知	buhuanmojizhi
不患贫而患不安	buhuanpinerhuanbuan
不悲口无食	bubeikouwushi
不悲身无衣	bubeishenwuyi
不惜千金买宝刀	buxiqianjinmaibaodao
不惜歌者苦	buxigezheku
不惭世上英	bucanshishangying
不惯起来听	buguanqilaiting
不愁明月尽	buchoumingyuejin
不愿论簪笏	buyuanlunzanhu
不愿鞠躬车马前	buyuanjugongchemaqian
不成人之恶	buchengrenzhie
不戒视成谓之暴	bujieshichengweizhibao
不戚戚于贫贱	buqiqiyupinjian
不才明主弃	bucaimingzhuqi
不把双眉斗画长	bubashuangmeidouhuazhang
不抚壮而弃秽兮	bufuzhuangerqihuixi
不拘一格降人才	bujuyigejiangrencai
不拘一格降人材	bujuyigejiangrencai
不指南方不肯休	buzhinanfangbukenxiu
不教而杀谓之虐	bujiaoershaweizhinve
不教胡马度阴山	bujiaohumaduyinshan
不敢为天下先	buganweitianxiaxian
不敢低头看	buganditoukan
不敢叹风尘	bugantanfengchen
不敢怀非誉巧拙	buganhuaifeiyuqiaozhuo
不敢恨长沙	buganhenchangsha
不敢攀贵德	buganpanguide
不敢稍逾约	buganshaoyuyue
不敢言而敢怒	buganyanergannu
不敢问来人	buganwenlairen
不敬其君者也	bujingqijunzheye
不是一番寒彻骨	bushiyifanhanchegu
不是人间偏我老	bushirenjianpianwolao
不是人间富贵花	bushirenjianfuguihua
不是爱风尘	bushiaifengchen
不是花中偏爱菊	bushihuazhongpianaiju
不是闻思所及	bushiwensisuoji
不曾富贵不曾穷	bucengfuguibucengqiong
不有博弈者乎	buyouboyizhehu
不有雨兼风	buyouyujianfeng
不期精粗焉	buqijingcuyan
不期而会重欢宴	buqierhuizhonghuanyan
不欲与廉颇争列	buyuyulianpozhenglie
不求闻达于诸侯	buqiuwendayuzhuhou
不汲汲于富贵	bujijiyufugui
不洒离别间	busalibiejian
不炼金丹不坐禅	bulianjindanbuzuochan
不爱红装爱武装	buaihongzhuangaiwuzhuang
不独明朝为子推	budumingchaoweizitui
不用清明兼上巳	buyongqingmingjianshangsi
不用诉离觞	buyongsulishang
不用钻龟与祝蓍	buyongzuanguiyuzhushi
不畏浮云遮望眼	buweifuyunzhewangyan
不眠忧战伐	bumianyouzhanfa
不知东方之既白	buzhidongfangzhijibai
不知乘月几人归	buzhichengyuejirengui
不知云与我俱东	buzhiyunyuwojudong
不知云雨散	buzhiyunyusan
不知今夕是何年	buzhijinxishihenian
不知何处吊湘君	buzhihechudiaoxiangjun
不知何处是他乡	buzhihechushitaxiang
不知何处是西天	buzhihechushixitian
不知何处葬	buzhihechuzang
不知何处醉	buzhihechuzui
不知何时已而不虚	buzhiheshiyierbuxu
不知何用归	buzhiheyonggui
不知修何行	buzhixiuhexing
不知其不胜任也	buzhiqibushengrenye
