# 泰深输入法专业词库 — 成语
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
取之不尽用之不竭	quzhibujinyongzhibujie
取其精华去其糟粕	quqijinghuaquqizaopo
只可意会不可言传	zhikeyihuibukeyanchuan
只此一家别无分店	zhiciyijiabiewufendian
只知其一不知其二	zhizhiqiyibuzhiqier
只见树木不见森林	zhijianshumubujiansenlin
可望不可即	kewangbukeji
名不正言不顺	mingbuzhengyanbushun
名利兼收	minglijianshou
名闻天下	mingwentianxia
听其言而观其行	tingqiyanerguanqixing
吹皱一池春水	chuizhouyichichunshui
吹面不寒杨柳风	chuimianbuhanyangliufeng
命丧黄泉	mingsanghuangquan
哀莫大于心死	aimodayuxinsi
啃硬骨头	kenyinggutou
喜怒不形于色	xinubuxingyuse
囊中取物	nangzhongquwu
四体不勤五谷不分	sitibuqinwugubufen
国家兴亡匹夫有责	guojiaxingwangpifuyouze
图穷匕首见	tuqiongbishouxian
圣殿骑士	shengdianqishi
地利不如人和	dilibururenhe
坐收渔人之利	zuoshouyurenzhili
坚定意志	jiandingyizhi
城门失火殃及池鱼	chengmenshihuoyangjichiyu
墙里开花墙外香	qianglikaihuaqiangwaixiang
士可杀不可辱	shikeshabukeru
壮志豪情	zhuangzhihaoqing
夏日炎炎	xiariyanyan
夏虫不可语冰	xiachongbukeyubing
夙夜匪懈	suyefeixie
多不胜数	duobushengshu
多费口舌	duofeikoushe
大事化小小事化了	dashihuaxiaoxiaoshihuale
大嚷大叫	darangdajiao
大放光明	dafangguangming
大有其人	dayouqiren
大有所为	dayousuowei
大树底下好乘凉	dashudixiahaochengliang
大水冲了龙王庙	dashuichonglelongwangmiao
大费周折	dafeizhouzhe
大门不出二门不迈	damenbuchuermenbumai
天下兴亡匹夫有责	tianxiaxingwangpifuyouze
天下本无事	tianxiabenwushi
天不怕地不怕	tianbupadibupa
天时不如地利	tianshiburudili
天机不可泄露	tianjibukexielou
天网恢恢疏而不漏	tianwanghuihuishuerbulou
天若有情天亦老	tianruoyouqingtianyilao
失之东隅收之桑榆	shizhidongyushouzhisangyu
失败为成功之母	shibaiweichenggongzhimu
失败是成功之母	shibaishichenggongzhimu
头悬梁锥刺股	touxuanliangzhuicigu
头痛医头脚痛医脚	toutongyitoujiaotongyijiao
夹道欢呼	jiadaohuanhu
奔波劳碌	benbolaolu
奔流不息	benliubuxi
