# 泰深输入法专业词库 — literature
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
金田一耕助	jintianyigengzhu
洛布古典丛书	luobugudiancongshu
海燕之歌	haiyanzhige
霸道总裁文	badaozongcaiwen
放屁師	fangpishi
誇飾	kuashi
准风月谈	zhunfengyuetan
新人文主义	xinrenwenzhuyi
家訓	jiaxun
三十六劇	sanshiliuju
死靈族	silingzu
碧粳米	bijingmi
批判法律研究	pipanfalvyanjiu
孟姜女	mengjiangnv
元代文學	yuandaiwenxue
南唐書	nantangshu
好警察坏警察	haojingchahuaijingcha
漫才	mancai
祝福	zhufu
紐約客	niuyueke
玛斯纳维	masinawei
世界文學	shijiewenxue
伍人報	wurenbao
中说	zhongshuo
續唐書	xutangshu
卡达西	kadaxi
日省錄	rishenglu
孫仲旭	sunzhongxu
紅樺莊探案	honghuazhuangtanan
亚弗戈蒙	yafugemeng
祭十二郎文	jishierlangwen
押韻	yayun
朝花夕拾	chaohuaxishi
馬內塞古抄本	maneisaiguchaoben
田竇二師	tiandouershi
安多利人	anduoliren
工作與時日	gongzuoyushiri
時禱書	shidaoshu
心理陰影	xinliyinying
奥塞梯文学	aosaitiwenxue
勇者	yongzhe
刺客系列	cikexilie
间离效果	jianlixiaoguo
科幻小说	kehuanxiaoshuo
愤怒的青年	fennudeqingnian
石遺室詩話	shiyishishihua
鬼趣图	guiqutu
群狐	qunhu
五人墓	wurenmu
康輶纪行	kangyoujixing
插畫家	chahuajia
八洞神仙	badongshenxian
石頭湯	shitoutang
汉宫春色	hangongchunse
赋	fu
跨语言	kuayuyan
無聊外望	wuliaowaiwang
移動城市系列	yidongchengshixilie
黑暗轻小说	heianqingxiaoshuo
竞选州长	jingxuanzhouzhang
川之光	chuanzhiguang
数字恶魔物语	shuziemowuyu
蒸汽朋克	zhengqipengke
枪手	qiangshou
且介亭杂文	qiejietingzawen
靖藏本	jingcangben
青龙会	qinglonghui
冤家成双对	yuanjiachengshuangdui
偵探冰室	zhentanbingshi
上海大观园	shanghaidaguanyuan
西方正典	xifangzhengdian
迹象文学社	jixiangwenxueshe
史記會注考證	shijihuizhukaozheng
家書	jiashu
後設作品	houshezuopin
王開運	wangkaiyun
錯綜	cuozong
日巡者	rixunzhe
契诃夫之枪	qihefuzhiqiang
沙玛什	shamashen
遺書	yishu
最长的旅行	zuizhangdelvxing
李云龙	liyunlong
摩托日记	motuoriji
七殺手	qishashou
關鍵報告	guanjianbaogao
描寫文	miaoxiewen
黑山诗人	heishanshiren
越界小說	yuejiexiaoshuo
热夜之梦	reyezhimeng
原	yuan
愛花的男人	aihuadenanren
新青年	xinqingnian
荷塘御厨	hetangyuchu
英社	yingshe
武夷派	wuyipai
微型小说	weixingxiaoshuo
赵敏俐	zhaominli
严监生	yanjiansheng
小兔班傑明	xiaotubanjieming
荒山泪	huangshanlei
短劇	duanju
我的简史	wodejianshi
時髦術語	shimaoshuyu
围炉夜话	weiluyehua
雅各密傳	yagemichuan
网络人权宣言	wangluorenquanxuanyan
路德版聖經	ludebanshengjing
聲優公主	shengyougongzhu
影视小说	yingshixiaoshuo
南德意志报	nandeyizhibao
賣香屁	maixiangpi
復樂園	fuleyuan
虎式直升机	hushizhishengji
遊唱詩人	youchangshiren
詩體埃達	shitiaida
猿蟹合戰	yuanxiehezhan
聖騎士	shengqishi
高擎洲	gaoqingzhou
黑暗的左手	heiandezuoshou
卡多蘭	kaduolan
后记	houji
黑雁	heiyan
猎鲨记	lieshaji
冰霜杰克	bingshuangjieke
斯洛伐克文學	siluofakewenxue
繪本	huiben
斐济文学	feijiwenxue
搭档	dadang
解構主義建築	jiegouzhuyijianzhu
眼鏡角色	yanjingjiaose
青铜时代	qingtongshidai
芬兰文学	fenlanwenxue
英雄	yingxiong
步步驚情	bubujingqing
我手寫我口	woshouxiewokou
冰岛编年史	bingdaobiannianshi
現在詩	xianzaishi
南腔北调集	nanqiangbeidiaoji
燕雙飛	yanshuangfei
克蘇魯	kesulu
第一次接触	diyicijiechu
域外小說集	yuwaixiaoshuoji
中国	zhongguo
角色弧线	jiaosehuxian
水道	shuidao
塔杜施先生	tadushixiansheng
冯唐	fengtang
冰雨的风暴	bingyudefengbao
差異	chayi
穆斯林的葬礼	musilindezangli
画墁集	huamanji
酷日本	kuriben
约瑟之书	yuesezhishu
爝火錄	juehuolu
漫畫圖書館	manhuatushuguan
我的留学生活	wodeliuxueshenghuo
宋稗類鈔	songbaileichao
孙伽塔	sungata
藏族神话	cangzushenhua
時間終結	shijianzhongjie
報任安書	baorenanshu
君士坦丁七世	junshitandingqishi
鱼藻宫	yuzaogong
勸導	quandao
北京大观园	beijingdaguanyuan
单声歌曲	danshenggequ
當代奇幻	dangdaiqihuan
閩中詩派	minzhongshipai
終巡者	zhongxunzhe
世界诗歌日	shijieshigeri
物语	wuyu
包身工	baoshengong
如果一切重来	ruguoyiqiezhonglai
九天風雲	jiutianfengyun
杨延嗣	yangyansi
粵語白話文	yueyubaihuawen
吴努	wunu
帶來洞主	dailaidongzhu
圣诞树星球	shengdanshuxingqiu
怠惰頌	daiduosong
戲中戲	xizhongxi
卢卡诺尔伯爵	lukanuoerbojue
批判实在主义	pipanshizaizhuyi
小腆紀傳	xiaotianjichuan
东北作家群	dongbeizuojiaqun
陈查理	chenchali
科幻小说列表	kehuanxiaoshuoliebiao
中土大陸	zhongtudalu
童话故事游戏	tonghuagushiyouxi
蕉风	jiaofeng
福尔图娜	fuertuna
流放者的归来	liufangzhedeguilai
唐詩紀事	tangshijishi
辛氏墨台	xinshimotai
遼詩紀事	liaoshijishi
歷史奇幻	lishiqihuan
四鏡	sijing
双河彎	shuanghewan
阿方索七世	afangsuoqishi
翩翩	pianpian
伏尼契手稿	funiqishougao
議論文	yilunwen
地獄來的貓	diyulaidemao
灰姑娘	huiguniang
歷年圖	liniantu
白蛇传	baishechuan
上林颂	shanglinsong
獸人	shouren
臨安集	linanji
卡门	kamen
三圣母	sanshengmu
飛燕外傳	feiyanwaichuan
深潜者	shenqianzhe
三国食货志	sanguoshihuozhi
集英社文庫	jiyingshewenku
三国志平话	sanguozhipinghua
希伯来图书周	xibolaitushuzhou
趙氏孤兒	zhaoshiguer
七仙女正传	qixiannvzhengchuan
魅影	meiying
亚里士多德	yalishiduode
嬌紅記	jiaohongji
公案小说	gonganxiaoshuo
茄鯗	jiaxiang
異世界	yishijie
歡樂頌	huanlesong
劍與魔法	jianyumofa
打工文学	dagongwenxue
王冠豪	wangguanhao
孟子	mengzi
傅雷	fulei
號誌員	haozhiyuan
三表法	sanbiaofa
信長公記	xinzhanggongji
西西里晚禱	xixiliwandao
价值批判	jiazhipipan
未来主义文学	weilaizhuyiwenxue
童話奇幻	tonghuaqihuan
蓝星诗社	lanxingshishe
张秀眉颂	zhangxiumeisong
陶德臻	taodezhen
天蠶變	tiancanbian
萊拉的牛津	lailadeniujin
西潮	xichao
成長小說	chengzhangxiaoshuo
聊齋圖說	liaozhaitushuo
畢業午後	biyewuhou
沙丘世界	shaqiushijie
黄祸	huanghuo
的卢救主	delujiuzhu
榮蘇號	rongsuhao
破天神記	potianshenji
頭目	toumu
銀斑駒	yinbanju
謝曉峰	xiexiaofeng
虞初新志	yuchuxinzhi
理赔函	lipeihan
綠玉冠探案	lvyuguantanan
壮士歌	zhuangshige
吴越文学	wuyuewenxue
武功歌	wugongge
舊書店街	jiushudianjie
博兹札记	bozizhaji
籤文	qianwen
中国文学	zhongguowenxue
約旦學院	yuedanxueyuan
眾香詞	zhongxiangci
庭长夫人	tingzhangfuren
陶宗旺	taozongwang
全金诗	quanjinshi
甘棠遗爱	gantangyiai
高蹈派	gaodaopai
严贡生	yangongsheng
清朝野史大觀	qingchaoyeshidaguan
紛擾不息	fenraobuxi
狹邪小說	xiaxiexiaoshuo
胡云翼	huyunyi
徐海	xuhai
离形得似	lixingdeshi
特攝	teshe
