# 泰深输入法专业词库 — law
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
自然人	ziranren
南海泡沫事件	nanhaipaomoshijian
水權	shuiquan
大象测试	daxiangceshi
强奸	qiangjian
公民自由	gongminziyou
判例引註	panliyinzhu
關聯公司	guanliangongsi
消滅時效	xiaomieshixiao
赤卫队	chiweidui
從物	congwu
苏俄对华宣言	sueduihuaxuanyan
工業所有權	gongyesuoyouquan
官方律政專員	guanfanglvzhengzhuanyuan
组织法	zuzhifa
預防原則	yufangyuanze
修理权	xiuliquan
校董會	xiaodonghui
新闻自由	xinwenziyou
祭祀公業	jisigongye
視為	shiwei
認領	renling
邊境管制	bianjingguanzhi
空白刑法	kongbaixingfa
受教育权	shoujiaoyuquan
聖訓派	shengxunpai
苦刑梨	kuxingli
法学家	faxuejia
實際統治	shijitongzhi
動物園	dongwuyuan
關西二十日會	guanxiershirihui
李氏決議文	lishijueyiwen
冤獄	yuanyu
寻衅滋事罪	xunxinzishizui
關係人	guanxiren
劳动合同制	laodonghetongzhi
農業法	nongyefa
競爭法的歷史	jingzhengfadelishi
破產管理署	pochanguanlishu
司铎咨议会	siduoziyihui
司法人員	sifarenyuan
受胎期間	shoutaiqijian
行政程序法	xingzhengchengxufa
国家责任	guojiazeren
柯史莫	keshimo
法律不問瑣事	falvbuwensuoshi
法院	fayuan
政治法學	zhengzhifaxue
互不侵犯條約	hubuqinfantiaoyue
汤刑	tangxing
十七条宪法	shiqitiaoxianfa
平反	pingfan
施慧玲	shihuiling
穆塔韦	mutawei
私掠許可證	silvexukezheng
平克尼條約	pingkenitiaoyue
全景自由	quanjingziyou
防暴警察	fangbaojingcha
著作權	zhuzuoquan
霸王餐	bawangcan
联合决议案	lianhejueyian
共和航空控股	gonghehangkongkonggu
专利池	zhuanlichi
成文法	chengwenfa
生態滅絕	shengtaimiejue
貨物	huowu
體育基本法	tiyujibenfa
布雷达宣言	buleidaxuanyan
或有權益	huoyouquanyi
黑山死刑制度	heishansixingzhidu
公權利	gongquanli
暴走族	baozouzu
法提瑪	fatima
循环弹窗事件	xunhuandanchuangshijian
费里法	feilifa
债权人	zhaiquanren
留置權	liuzhiquan
胡匪	hufei
审判	shenpan
法庭	fating
法律价值	falvjiazhi
鹿特丹規則	lutedanguize
司法常務官	sifachangwuguan
性勒索	xingleisuo
提案	tian
议会豁免权	yihuihuomianquan
法律	falv
疑狱集	yiyuji
领海	linghai
吳曉蕙命案	wuxiaohuimingan
原產國	yuanchanguo
工會法	gonghuifa
近因	jinyin
偽證罪	weizhengzui
法律诊所	falvzhensuo
制宪议会	zhixianyihui
反電腦鑑證	fandiannaojianzheng
主物	zhuwu
不可分物	bukefenwu
謀殺	mousha
學習權	xuexiquan
电话法律	dianhuafalv
性短訊	xingduanxun
互助會	huzhuhui
神明裁判	shenmingcaipan
汉谟拉比法典	hanmolabifadian
集合物	jihewu
更高法律规则	genggaofalvguize
行政法	xingzhengfa
義絕	yijue
法庭判令	fatingpanling
影子的士	yingzideshi
行政法规	xingzhengfagui
密令信件	milingxinjian
一子繼承	yizijicheng
同乳禁婚令	tongrujinhunling
遊行示威	youxingshiwei
裁判法院	caipanfayuan
国内税收法	guoneishuishoufa
拘捕令	jubuling
静默游行	jingmoyouxing
公共衛生法	gonggongweishengfa
国家豁免	guojiahuomian
宪法司法化	xianfasifahua
土地法	tudifa
社會權	shehuiquan
祈福黨	qifudang
山寨社團	shanzhaishetuan
数字继承	shuzijicheng
政治权利	zhengzhiquanli
万维网联盟	wanweiwanglianmeng
条约必须遵守	tiaoyuebixuzunshou
廢除	feichu
公物	gongwu
法基赫	fajihe
超大型企業	chaodaxingqiye
江相派	jiangxiangpai
畠山鈴香	tianshanlingxiang
里程碑	lichengbei
环球法律评论	huanqiufalvpinglun
消费者保护	xiaofeizhebaohu
五百人會議	wubairenhuiyi
苏格兰公司	sugelangongsi
人和動物婚姻	renhedongwuhunyin
百度专利搜索	baiduzhuanlisousuo
山姆之子法	shanmuzhizifa
商法	shangfa
烏克蘭司法部	wukelansifabu
牛头示威	niutoushiwei
过错责任	guocuozeren
青空文庫	qingkongwenku
律師公會	lvshigonghui
图基教	tujijiao
白廳之謎	baitingzhimi
不當得利	budangdeli
南端出版社	nanduanchubanshe
前座議員	qianzuoyiyuan
同意	tongyi
宪政主义	xianzhengzhuyi
马吉安	majian
坐冰塊	zuobingkuai
空位時代	kongweishidai
重罪私和罪	zhongzuisihezui
弑君	shijun
軍備控制	junbeikongzhi
数据主权	shujuzhuquan
无因管理	wuyinguanli
詐騙園區	zhapianyuanqu
寒蟬效應	hanchanxiaoying
臺灣教育令	taiwanjiaoyuling
法律事实	falvshishi
人體冷凍機構	rentilengdongjigou
刑法典	xingfadian
資訊系統協會	zixunxitongxiehui
借貸契約	jiedaiqiyue
陳平	chenping
同步替换	tongbutihuan
宗教自由	zongjiaoziyou
北一辉	beiyihui
退货授权	tuihuoshouquan
纯粹言论	chuncuiyanlun
政府约法	zhengfuyuefa
地球学术	diqiuxueshu
姜嘉偉	jiangjiawei
昆吞乌	kuntunwu
文化廳	wenhuating
複邊協定	fubianxieding
跌錢黨	dieqiandang
国家安全机关	guojiaanquanjiguan
主要意見書	zhuyaoyijianshu
守规	shougui
非營利組織	feiyinglizuzhi
工合	gonghe
恶意补足年龄	eyibuzunianling
偽造文書	weizaowenshu
刑法	xingfa
店舖盜竊	dianpudaoqie
倫敦特委法官	lundunteweifaguan
營養標籤	yingyangbiaoqian
国际法院规约	guojifayuanguiyue
吉茲亞	jiziya
債務人	zhaiwuren
復仇式色情	fuchoushiseqing
刑事法典	xingshifadian
有條件釋放	youtiaojianshifang
海牙和平会议	haiyahepinghuiyi
美國黑手黨	meiguoheishoudang
国民议会	guominyihui
法人	faren
规范性	guifanxing
種類物	zhongleiwu
準國家	zhunguojia
萊比錫注釋書	laibixizhushishu
一事不再理	yishibuzaili
催淚彈	cuileidan
相對權	xiangduiquan
胁迫	xiepo
激怒	jinu
刑事责任能力	xingshizerennengli
万国律例	wanguolvli
比較法	bijiaofa
行為能力	xingweinengli
警隊	jingdui
多边条约	duobiantiaoyue
剎車痕	shachehen
贊助活動	zanzhuhuodong
实验动物	shiyandongwu
正義	zhengyi
侵权行为	qinquanxingwei
指导巡逻队	zhidaoxunluodui
伯明翰運動	bominghanyundong
拜占庭法律	baizhantingfalv
人民议会	renminyihui
何蔚	hewei
法律规范	falvguifan
法庭之友	fatingzhiyou
复制	fuzhi
罗萨里敕令	luosalichiling
哗变	huabian
牵连犯	qianlianfan
空中愤怒	kongzhongfennu
终战诏书	zhongzhanzhaoshu
上訴	shangsu
战俘	zhanfu
原物	yuanwu
国家司法考试	guojiasifakaoshi
特別探員	tebietanyuan
受託人	shoutuoren
国际经济法	guojijingjifa
髡刑	kunxing
衝突模式	chongtumoshi
属地	shudi
宣告	xuangao
峇里九人組	balijiurenzu
强制程序条款	qiangzhichengxutiaokuan
森林宪章	senlinxianzhang
水上警察	shuishangjingcha
自然公正	zirangongzheng
稅務顧問	shuiwuguwen
國家自衛權	guojiaziweiquan
平民	pingmin
剛性條款	gangxingtiaokuan
法人實在說	farenshizaishuo
退回证券	tuihuizhengquan
彭鳳至	pengfengzhi
共产党宣言	gongchandangxuanyan
文遜家族	wenxunjiazu
行政命令	xingzhengmingling
重罪不告罪	zhongzuibugaozui
合法飲酒年齡	hefayinjiunianling
禁锢	jingu
動物認知	dongwurenzhi
反叛亂法	fanpanluanfa
中国法律史	zhongguofalvshi
吉達條約	jidatiaoyue
中国法学	zhongguofaxue
女本位主义	nvbenweizhuyi
定型化契約	dingxinghuaqiyue
簡易判決	jianyipanjue
背書	beishu
不率先使用	bulvxianshiyong
文化权利	wenhuaquanli
伊斯蘭教法學	yisilanjiaofaxue
郵政局冤案	youzhengjuyuanan
不眠之夜	bumianzhiye
無被害人犯罪	wubeihairenfanzui
三院制	sanyuanzhi
判释	panshi
讓與擔保	rangyudanbao
四院制	siyuanzhi
家事事件	jiashishijian
遷都詔	qiandouzhao
洞穴奇案	dongxueqian
願	yuan
農田水利法	nongtianshuilifa
海尔布隆幽灵	haierbulongyouling
余振东	yuzhendong
伊斯兰葬礼	yisilanzangli
比賽造假	bisaizaojia
指控	zhikong
法律代辦	falvdaiban
泽达嘉	zedajia
北部灣決議案	beibuwanjueyian
罪刑法定原則	zuixingfadingyuanze
政令	zhengling
法学阶梯	faxuejieti
廉政公署	lianzhenggongshu
五月花号公约	wuyuehuahaogongyue
历史法学派	lishifaxuepai
六一二大限	liuyierdaxian
預防性拘留	yufangxingjuliu
警察軍事化	jingchajunshihua
桃園三結義	taoyuansanjieyi
犯罪意識	fanzuiyishi
烏爾納姆法典	wuernamufadian
實體法	shitifa
基本法	jibenfa
捕快	bukuai
监护	jianhu
万民法	wanminfa
傳票	chuanpiao
罪疑惟轻	zuiyiweiqing
法律保留原則	falvbaoliuyuanze
法律政策專員	falvzhengcezhuanyuan
法律淵源	falvyuanyuan
主權決斷	zhuquanjueduan
準正	zhunzheng
培植肉	peizhirou
市值	shizhi
法官法	faguanfa
無約束力決議	wuyueshulijueyi
曼島警察	mandaojingcha
律師學院	lvshixueyuan
違法性	weifaxing
大律師	dalvshi
质权	zhiquan
電視授權	dianshishouquan
战争与和平法	zhanzhengyuhepingfa
遵循先例	zunxunxianli
動物祭	dongwuji
票據法	piaojufa
風險承擔	fengxianchengdan
马里纳莱达	malinalaida
翻录	fanlu
可反驳的推定	kefanbodetuiding
象刑	xiangxing
孳息	zixi
強制處分	qiangzhichufen
核定	heding
黑幫博物館	heibangbowuguan
母體保護法	mutibaohufa
民族委員會	minzuweiyuanhui
法定代理	fadingdaili
逕為判決	jingweipanjue
官方文字	guanfangwenzi
抵押权	diyaquan
奪回夜晚	duohuiyewan
保稅倉庫	baoshuicangku
月球协定	yueqiuxieding
棄市	qishi
法定傳染病	fadingchuanranbing
东盟宣言	dongmengxuanyan
判例法	panlifa
嚴重身體傷害	yanzhongshentishanghai
七月宣言	qiyuexuanyan
诉讼代理人	susongdailiren
特別法原則	tebiefayuanze
人格權	rengequan
第二十条	diershitiao
缓刑	huanxing
李光輝	liguanghui
哈茨方案	hacifangan
禁訴令	jinsuling
血腥钱	xuexingqian
德國航空稅	deguohangkongshui
警察暴力	jingchabaoli
阿罕布拉法令	ahanbulafaling
勞工法	laogongfa
海事青年團	haishiqingniantuan
優婆塞	youposai
加盟連鎖	jiamengliansuo
代位權	daiweiquan
工賊	gongzei
污點證人	wudianzhengren
智能燈柱	zhinengdengzhu
林剑华	linjianhua
論法的精神	lunfadejingshen
伊斯提哈桑	yisitihasang
仓单	cangdan
梅川昭美	meichuanzhaomei
原创性门槛	yuanchuangxingmenkan
憲法慣例	xianfaguanli
狄奧多西一世	diaoduoxiyishi
房屋产权	fangwuchanquan
惡意檢控	eyijiankong
保釋	baoshi
挂靠	guakao
條頓法	tiaodunfa
网络中立性	wangluozhonglixing
證據	zhengju
債權行為	zhaiquanxingwei
清白專案	qingbaizhuanan
詐騙	zhapian
砍手党	kanshoudang
辩护	bianhu
派出所	paichusuo
求刑	qiuxing
城堡准则	chengbaozhunze
公設辯護人	gongshebianhuren
去管制化	quguanzhihua
叛教	panjiao
拶刑	zaxing
紧急状态	jinjizhuangtai
累犯	leifan
相互保險公司	xianghubaoxiangongsi
纽伦堡审判	niulunbaoshenpan
追訴權	zhuisuquan
夜间安睡时间	yejiananshuishijian
親系親等	qinxiqindeng
民間團體	minjiantuanti
语词矛盾	yucimaodun
企業的本質	qiyedebenzhi
行政法院	xingzhengfayuan
越南司法部	yuenansifabu
巴西万岁运动	baxiwansuiyundong
宵禁	xiaojin
印尼死刑制度	yinnisixingzhidu
被告	beigao
律政書記	lvzhengshuji
隐私	yinsi
零八宪章	lingbaxianzhang
女性權利	nvxingquanli
無限公司	wuxiangongsi
妨礙司法公正	fangaisifagongzheng
行為人刑法	xingweirenxingfa
信托受益人	xintuoshouyiren
法国司法体制	faguosifatizhi
搜索中立性	sousuozhonglixing
欧盟宪法	oumengxianfa
失职行为	shizhixingwei
条约	tiaoyue
國民代表大會	guomindaibiaodahui
預懷惡意	yuhuaieyi
保留所有权利	baoliusuoyouquanli
準備程序	zhunbeichengxu
人民监督员	renminjianduyuan
法家	fajia
旁證	pangzheng
租借	zujie
世界警察	shijiejingcha
居住權	juzhuquan
不融通物	burongtongwu
辅助性原则	fuzhuxingyuanze
世界政府	shijiezhengfu
未遂犯	weisuifan
广播法	guangbofa
海关	haiguan
濫殺	lansha
非消費物	feixiaofeiwu
代理成本	dailichengben
版稅	banshui
選擇性執法	xuanzexingzhifa
金玺诏书	jinxizhaoshu
應繼分	yingjifen
公司市鎮	gongsishizhen
不動產信託	budongchanxintuo
老虎凳	laohudeng
联合国决议	lianheguojueyi
宗教团体	zongjiaotuanti
伊赫提拉弗	yihetilafu
聆讯	lingxun
競爭法	jingzhengfa
國際佛光會	guojifuguanghui
法学院	faxueyuan
司法能動主義	sifanengdongzhuyi
保安處分	baoanchufen
律師	lvshi
专利代理人	zhuanlidailiren
一般處分	yibanchufen
備忘意見書	beiwangyijianshu
法律特權	falvtequan
詐病	zhabing
生存	shengcun
亚格达斯经	yagedasijing
法院人員	fayuanrenyuan
犯罪客体	fanzuiketi
雷爾頓報告	leierdunbaogao
太平紳士	taipingshenshi
性奴隸	xingnuli
合議庭	heyiting
圈養大象	quanyangdaxiang
三级会议	sanjihuiyi
额头出汗原则	etouchuhanyuanze
情事變更原則	qingshibiangengyuanze
失物	shiwu
萨菲耶苏丹	safeiyesudan
决疑论	jueyilun
無因性原則	wuyinxingyuanze
法律语言	falvyuyan
纽伦堡原则	niulunbaoyuanze
贓物	zangwu
詐騙集團	zhapianjituan
自由否決權	ziyoufoujuequan
危險犯	weixianfan
地方法院	difangfayuan
資訊不對等	zixunbuduideng
謹慎責任	jinshenzeren
紅線制度	hongxianzhidu
投机倒把罪	toujidaobazui
中國兒童銀行	zhongguoertongyinxing
動物意識	dongwuyishi
威尼斯委员会	weinisiweiyuanhui
法经	fajing
上訴不可分	shangsubukefen
航行自由	hangxingziyou
知會備忘	zhihuibeiwang
特别使团公约	tebieshituangongyue
罪案現場	zuianxianchang
個人破產	gerenpochan
親權	qinquan
作秀公审	zuoxiugongshen
知床財團	zhichuangcaituan
俄羅斯黑手黨	eluosiheishoudang
皇室著作權	huangshizhuzuoquan
律師事務所	lvshishiwusuo
法律主體	falvzhuti
青少年犯罪	qingshaonianfanzui
训诫书	xunjieshu
马来西亚协定	malaixiyaxieding
人民代表大會	renmindaibiaodahui
合理懷疑	helihuaiyi
无主地	wuzhudi
法定死亡	fadingsiwang
塞内加尔公司	saineijiaergongsi
兩小無猜條款	liangxiaowucaitiaokuan
性悖軌法	xingbeiguifa
博物館宣言	bowuguanxuanyan
烙印	laoyin
賽柏格宣言	saibaigexuanyan
何永芳	heyongfang
不完全給付	buwanquangeifu
阿拉木图宣言	alamutuxuanyan
多院制	duoyuanzhi
国际法的渊源	guojifadeyuanyuan
單獨行為	danduxingwei
自白法則	zibaifaze
海洋環保計劃	haiyanghuanbaojihua
軍事司法	junshisifa
大眾捷運法	dazhongjieyunfa
踏刑	taxing
示威	shiwei
后注释法学派	houzhushifaxuepai
假释	jiashi
法国行政法院	faguoxingzhengfayuan
大陆法系	dalufaxi
緊急治療	jinjizhiliao
資深大律師	zishendalvshi
併吞	bingtun
空气质量法	kongqizhiliangfa
巴克訴貝爾案	bakesubeieran
強迫吸毒	qiangpoxidu
居魯士文書	julushiwenshu
人民院	renminyuan
积极自由	jijiziyou
兒童人權	ertongrenquan
推定	tuiding
粉红豹	fenhongbao
主權	zhuquan
著作權蟑螂	zhuzuoquanzhanglang
利益申報	liyishenbao
二等公民	erdenggongmin
尘世腐败罪	chenshifubaizui
隐私权政策	yinsiquanzhengce
恶法	efa
中立聲明	zhonglishengming
共管	gongguan
定罪	dingzui
越南土地改革	yuenantudigaige
重建家庭联系	zhongjianjiatinglianxi
平吳大誥	pingwudagao
特定物	tedingwu
人造稀缺	renzaoxique
訟師秘本	songshimiben
竹刑	zhuxing
重罪	zhongzui
賄賂	huilu
一次處分	yicichufen
班轮公会	banlungonghui
碳税	tanshui
監管俘虜	jianguanfulu
瓊斯夫人	qiongsifuren
治安权	zhianquan
非常規引渡	feichangguiyindu
分家	fenjia
無效	wuxiao
盖索法	gaisuofa
政治迫害	zhengzhipohai
塞克斯法案	saikesifaan
人权标志	renquanbiaozhi
特種警察列表	tezhongjingchaliebiao
青少年权利	qingshaonianquanli
毗连区	pilianqu
合同相对性	hetongxiangduixing
商界環保協會	shangjiehuanbaoxiehui
侵佔	qinzhan
法哲学原理	fazhexueyuanli
不能犯	bunengfan
恶逆	eni
以法而治	yifaerzhi
奧林匹克誓詞	aolinpikeshici
事实婚姻	shishihunyin
民事法律关系	minshifalvguanxi
利益衝突	liyichongtu
共和國議會	gongheguoyihui
保護管束	baohuguanshu
建築規範	jianzhuguifan
北大西洋公约	beidaxiyanggongyue
數位證據	shuweizhengju
既判力	jipanli
底特律破產	ditelvpochan
法律名称	falvmingcheng
法律缺位	falvquewei
平叛公告	pingpangonggao
国际法发展史	guojifafazhanshi
懲罰性賠償	chengfaxingpeichang
刽子手	guizishou
正义法规	zhengyifagui
橙絲帶	chengsidai
红色通缉令	hongsetongjiling
美国法律文库	meiguofalvwenku
加拿大侵權法	jianadaqinquanfa
阻街	zujie
破產	pochan
囚車	qiuche
法定代理人	fadingdailiren
纯素主义	chunsuzhuyi
法人擬制說	farennizhishuo
拿细耳人	naxierren
强奸色情	qiangjianseqing
准据法	zhunjufa
赛扶	saifu
謹慎標準	jinshenbiaozhun
国家行动计划	guojiaxingdongjihua
博斯曼法案	bosimanfaan
互联互通	hulianhutong
分公司制	fengongsizhi
企业旗帜	qiyeqizhi
瀆職	duzhi
薩洛尼卡敕令	saluonikachiling
見證人	jianzhengren
行政立法	xingzhenglifa
罗奇代尔原则	luoqidaieryuanze
全民医保	quanminyibao
除斥期間	chuchiqijian
蜀科	shuke
女性主義	nvxingzhuyi
宰殺雛鳥	zaishachuniao
雅加達憲章	yajiadaxianzhang
禮儀性決議	liyixingjueyi
对话基金会	duihuajijinhui
独立中文笔会	dulizhongwenbihui
木叉	mucha
追溯法令	zhuisufaling
反君權運動	fanjunquanyundong
普遍管辖权	pubianguanxiaquan
莫斯科公司	mosikegongsi
支付命令	zhifumingling
專利師	zhuanlishi
有罪不罰	youzuibufa
蒂圖什基	ditushenji
強加條約	qiangjiatiaoyue
重庆宣言	zhongqingxuanyan
馬賊	mazei
律师函	lvshihan
版权欺诈	banquanqizha
知識基礎理論	zhishijichulilun
沃尔夫条款	woerfutiaokuan
船舶登记	chuanbodengji
保密协议	baomixieyi
刑事學	xingshixue
國際公約	guojigongyue
獲助權	huozhuquan
陽光法案	yangguangfaan
引渡法	yindufa
法定代表人	fadingdaibiaoren
版权符号	banquanfuhao
底土	ditu
法外之徒	fawaizhitu
契约	qiyue
客观法	keguanfa
帝权	diquan
偷獵	toulie
詔令文書	zhaolingwenshu
制度性保障	zhiduxingbaozhang
诉权	suquan
行政處分	xingzhengchufen
原產地規則	yuanchandiguize
德意志城鎮法	deyizhichengzhenfa
航空运输协定	hangkongyunshuxieding
集體	jiti
模范刑法典	mofanxingfadian
書記官	shujiguan
环境影响评价	huanjingyingxiangpingjia
不當行為	budangxingwei
七七憲章	qiqixianzhang
合成物	hechengwu
各国宪法列表	geguoxianfaliebiao
认知自由	renzhiziyou
数据泄露	shujuxielu
遗产	yichan
政府間主義	zhengfujianzhuyi
诺福克四人	nuofukesiren
犯罪記錄	fanzuijilu
合作備忘錄	hezuobeiwanglu
皇家委員會	huangjiaweiyuanhui
法治国	fazhiguo
負債人監獄	fuzhairenjianyu
瑞士枪枝政策	ruishiqiangzhizhengce
國內法	guoneifa
混合政体	hunhezhengti
海商法	haishangfa
建構法學	jiangoufaxue
兇殺案	xiongshaan
海事法	haishifa
公序良俗	gongxuliangsu
衍生作品	yanshengzuopin
全國犯罪集團	quanguofanzuijituan
服務保證	fuwubaozheng
米蘭敕令	milanchiling
大赦	dashe
海盜黨	haidaodang
民事诉讼	minshisusong
律師會	lvshihui
勾小指	gouxiaozhi
新基本法令	xinjibenfaling
宗主权	zongzhuquan
为人权辩护	weirenquanbianhu
個人警報器	gerenjingbaoqi
法令	faling
咒罵	zhouma
伊斯蘭教法	yisilanjiaofa
立法机关	lifajiguan
童軍諾言	tongjunnuoyan
法律与文学	falvyuwenxue
國際刑事法	guojixingshifa
助成過失	zhuchengguoshi
衡平法	hengpingfa
禁制令	jinzhiling
法律事务	falvshiwu
赫爾辛基宣言	heerxinjixuanyan
古巴五人组	gubawurenzu
素食主義	sushizhuyi
当事人	dangshiren
公海自由原則	gonghaiziyouyuanze
烏帽子親	wumaoziqin
国际习惯法	guojixiguanfa
五大家族	wudajiazu
刑訊逼供	xingxunbigong
主权国家	zhuquanguojia
人權運動	renquanyundong
钓鱼执法	diaoyuzhifa
思想自由	sixiangziyou
實質影響力說	shizhiyingxianglishuo
社会契约论	shehuiqiyuelun
赏金猎人	shangjinlieren
羅馬元老院	luomayuanlaoyuan
高等法院	gaodengfayuan
法理型权威	falixingquanwei
人民團體	renmintuanti
新加坡条约	xinjiapotiaoyue
人造蛋	renzaodan
不受歡迎人物	bushouhuanyingrenwu
休曼法案	xiumanfaan
尼禄法令	nilufaling
对等原则	duidengyuanze
重要性理論	zhongyaoxinglilun
直接行动	zhijiexingdong
传闻证据	chuanwenzhengju
文化挪用	wenhuanuoyong
假處份	jiachufen
國際危機組織	guojiweijizuzhi
跳舞熊	tiaowuxiong
禁止反言	jinzhifanyan
双边条约	shuangbiantiaoyue
法基赫的監護	fajihedejianhu
人权	renquan
責務	zewu
比较法研究	bijiaofayanjiu
聯邦司法部	lianbangsifabu
肉食主義	roushizhuyi
战前状态	zhanqianzhuangtai
形成權	xingchengquan
汇票	huipiao
法案	faan
恕道	shudao
兩合公司	lianghegongsi
亞太旅行協會	yatailvxingxiehui
子女撫養權	zinvfuyangquan
华记	huaji
業主	yezhu
巴西宪法	baxixianfa
领海基线	linghaijixian
行為準則	xingweizhunze
居所	jusuo
正當法律程序	zhengdangfalvchengxu
权利	quanli
星室法庭	xingshifating
死因裁判官	siyincaipanguan
李瑞峰	liruifeng
法律出版社	falvchubanshe
電子簽名	dianziqianming
合宪性	hexianxing
婚姻自由	hunyinziyou
宪法学	xianfaxue
权利法案	quanlifaan
停止并终止	tingzhibingzhongzhi
特别警察	tebiejingcha
病歷隱私權	bingliyinsiquan
数据库权利	shujukuquanli
反诉	fansu
選擇法庭	xuanzefating
法律概述	falvgaishu
国际社会	guojishehui
鄰組	linzu
財產扣押	caichankouya
卡拉斯事件	kalasishijian
非法拘禁	feifajujin
见义勇为	jianyiyongwei
備忘錄	beiwanglu
五戒	wujie
身分行為	shenfenxingwei
賦權	fuquan
法律制度	falvzhidu
立法学	lifaxue
地球上的生靈	diqiushangdeshengling
縱慾殺手	zongyushashou
間性者人權	jianxingzherenquan
相同方式共享	xiangtongfangshigongxiang
絕對權	jueduiquan
善斌卖身契	shanbinmaishenqi
