# 泰深输入法专业词库 — law
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
自然人	ziranren
志愿警察	zhiyuanjingcha
刑法学	xingfaxue
担保	danbao
网络人权宣言	wangluorenquanxuanyan
詐騙即服務	zhapianjifuwu
死亡威胁	siwangweixie
獵巫	liewu
準備程序庭	zhunbeichengxuting
虛假陳述	xujiachenshu
反致	fanzhi
中旨	zhongzhi
犯罪对象	fanzuiduixiang
自動手諭	zidongshouyu
戰時猛獸處分	zhanshimengshouchufen
李師科	lishike
英国立法机关	yingguolifajiguan
檢控官	jiankongguan
法学研究	faxueyanjiu
鐵列平敕令	tieliepingchiling
緊急避難	jinjibinan
诉讼担当	susongdandang
德萊茲測試	delaiziceshi
開放政府	kaifangzhengfu
虿盆	chaipen
政治献金	zhengzhixianjin
土匪	tufei
教育法学	jiaoyufaxue
犯罪構成要素	fanzuigouchengyaosu
耶若婆佉法论	yeruopoqufalun
无条件投降	wutiaojiantoujiang
公布	gongbu
世界廁所組織	shijiecesuozuzhi
榮格訴戴利案	ronggesudailian
治外法权	zhiwaifaquan
网络隐私	wangluoyinsi
證據排除法則	zhengjupaichufaze
權利客體	quanliketi
黎剎	lisha
舆论安全	yulunanquan
刑事侵佔	xingshiqinzhan
贪污	tanwu
無罪	wuzui
蓮花號案	lianhuahaoan
退出欧洲联盟	tuichuouzhoulianmeng
意圖	yitu
田律	tianlv
單一物	danyiwu
马法	mafa
中國合眾國	zhongguohezhongguo
法学评论	faxuepinglun
訴訟標的	susongbiaode
批示	pishi
戒严	jieyan
新刑法評論	xinxingfapinglun
就地正法	jiudizhengfa
答辯	dabian
簡易程序罪行	jianyichengxuzuixing
陳世榮	chenshirong
归因	guiyin
国际私法	guojisifa
條約列表	tiaoyueliebiao
车匪路霸	chefeiluba
数字版权管理	shuzibanquanguanli
損害	sunhai
帮会	banghui
春秋决狱	chunqiujueyu
隐私权	yinsiquan
皇家非洲公司	huangjiafeizhougongsi
有斐閣	youfeige
回避制度	huibizhidu
算法激进化	suanfajijinhua
公眾人物	gongzhongrenwu
少年法	shaonianfa
律师执业准入	lvshizhiyezhunru
教会法	jiaohuifa
領事裁判權	lingshicaipanquan
強制令	qiangzhiling
伊智提哈德	yizhitihade
法規	fagui
终身禁业	zhongshenjinye
私法	sifa
关联交易	guanlianjiaoyi
美國隱私權法	meiguoyinsiquanfa
加图研究所	jiatuyanjiusuo
不合法被殺	buhefabeisha
聯立契約	lianliqiyue
自由	ziyou
法定文書	fadingwenshu
盗版	daoban
亚里士多德	yalishiduode
毒品	dupin
自決	zijue
当孝敬父母	dangxiaojingfumu
過錯推定責任	guocuotuidingzeren
庭長	tingzhang
指挥紧急避险	zhihuijinjibixian
圓房	yuanfang
新西蘭公司	xinxilangongsi
故意缄默	guyijianmo
青少年法律	qingshaonianfalv
纽伦堡守则	niulunbaoshouze
法定声明	fadingshengming
受害者	shouhaizhe
不法行為	bufaxingwei
举牌	jupai
拋棄繼承	paoqijicheng
警用厢型车	jingyongxiangxingche
跨国文书认证	kuaguowenshurenzheng
不作为	buzuowei
人道主义	rendaozhuyi
担保物权	danbaowuquan
慈善组织	cishanzuzhi
用益物权	yongyiwuquan
猫屎咖啡	maoshikafei
統一商法典	tongyishangfadian
御用大律師	yuyongdalvshi
服務商標	fuwushangbiao
構成要件	gouchengyaojian
性罪犯	xingzuifan
食品法典	shipinfadian
女警	nvjing
刑事责任年龄	xingshizerennianling
議會	yihui
國民待遇	guomindaiyu
香港仇警文宣	xianggangchoujingwenxuan
新法兰西公司	xinfalanxigongsi
食品容器	shipinrongqi
事实认定	shishirending
生效日期	shengxiaoriqi
信息政策	xinxizhengce
律师过剩	lvshiguosheng
割让	gerang
简明语言	jianmingyuyan
程序能力	chengxunengli
胡迪票據	hudipiaoju
依萊	yilai
婚姻财产制度	hunyincaichanzhidu
仿真毛皮	fangzhenmaopi
過失致死罪	guoshizhisizui
从物权	congwuquan
物之所在地法	wuzhisuozaidifa
点天灯	diantiandeng
社会治安法	shehuizhianfa
诽谤	feibang
白澳政策	baiaozhengce
战争罪犯	zhanzhengzuifan
外国人侵权法	waiguorenqinquanfa
勸善懲惡協會	quanshanchengexiehui
性工作者權利	xinggongzuozhequanli
外层空间条约	waicengkongjiantiaoyue
恶魔的证明	emodezhengming
美国排华法案	meiguopaihuafaan
反警情緒	fanjingqingxu
敲屋顶战术	qiaowudingzhanshu
研究著作法案	yanjiuzhuzuofaan
楓丹白露敕令	fengdanbailuchiling
英皇按察使	yinghuanganchashi
官方语言法令	guanfangyuyanfaling
