# 泰深输入法专业词库 — art
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
判断力批判	panduanlipipan
北管樂	beiguanle
时空幻境	shikonghuanjing
龍與變色龍	longyubianselong
無人機表演	wurenjibiaoyan
灰白牛仔布色	huibainiuzaibuse
史学元虚构	shixueyuanxugou
乐记	leji
维纳斯的诞生	weinasidedansheng
畫框	huakuang
波斯细密画	bosiximihua
用稅款買的書	yongshuikuanmaideshu
料理偶像	liaoliouxiang
贝宁青铜器	beiningqingtongqi
启蒙文学	qimengwenxue
背叛师门	beipanshimen
色键	sejian
爱的药	aideyao
诺特定理	nuotedingli
今虞琴刊	jinyuqinkan
建築師巴布	jianzhushibabu
普卡奧	pukaao
榮光歸烏克蘭	rongguangguiwukelan
數位匯流	shuweihuiliu
涂色书	tuseshu
葡萄酒舞	putaojiuwu
急救超人兵團	jijiuchaorenbingtuan
海阔天空	haikuotiankong
颜色理论	yanselilun
綜合主義	zonghezhuyi
库里肖夫效应	kulixiaofuxiaoying
飆風老爹	biaofenglaodie
邊城刀聲	bianchengdaosheng
曲速引擎	qusuyinqing
犯罪小說	fanzuixiaoshuo
三兄妹	sanxiongmei
鸭嘴笔	yazuibi
晴天娃娃	qingtianwawa
靚妹正傳	jingmeizhengchuan
梵塔黑	fantahei
限定版	xiandingban
裝訂	zhuangding
盜墓	daomu
文武生	wenwusheng
澳門綠	aomenlv
上海	shanghai
神秘五金行	shenmiwujinxing
開卷周報	kaijuanzhoubao
科學幻想	kexuehuanxiang
孤獨死又怎樣	gudusiyouzenyang
价值	jiazhi
地海奇風	dihaiqifeng
視覺詩	shijueshi
素服	sufu
變身	bianshen
墨竹畫	mozhuhua
讀者反應批評	duzhefanyingpiping
制桶	zhitong
漫畫原作	manhuayuanzuo
河边的错误	hebiandecuowu
咸水歌	xianshuige
浪人劍客	langrenjianke
自殺島	zishadao
特技人	tejiren
甜點轉生	tiandianzhuansheng
海边的卡夫卡	haibiandekafuka
石雕	shidiao
基塔卜	jitabo
江湖十二脚色	jianghushierjiaose
頹廢藝術	tuifeiyishu
数字电影包	shuzidianyingbao
日内瓦学派	rineiwaxuepai
伊甸之子	yidianzhizi
電影少女	dianyingshaonv
語言藝術	yuyanyishu
巴比松派	babisongpai
皆大歡喜	jiedahuanxi
作文	zuowen
全音音階	quanyinyinjie
替身	tishen
沾水筆	zhanshuibi
圣体光	shengtiguang
黑白	heibai
製圖工具	zhitugongju
白夜行	baiyexing
拉科齐进行曲	lakeqijinxingqu
使徒保祿	shitubaolu
八佾舞	bayiwu
建筑史	jianzhushi
超越	chaoyue
音序器	yinxuqi
微暗的火	weiandehuo
原子的達利	yuanzidedali
我是一個人	woshiyigeren
鏨胎琺琅	zantaifalang
守護貓娘緋鞠	shouhumaoniangfeiju
替身演員	tishenyanyuan
字幕机	zimuji
拉美西斯一世	lameixisiyishi
法律惊险	falvjingxian
文艺评论	wenyipinglun
新科学	xinkexue
張羽煮海	zhangyuzhuhai
企鵝找麻煩	qiezhaomafan
母亲大地	muqindadi
東京外星人	dongjingwaixingren
命運的倒帶士	mingyundedaodaishi
龍蝦電話	longxiadianhua
电子游戏	dianziyouxi
随州市博物馆	suizhoushibowuguan
尋神的旅途	xunshendelvtu
獨占我的英雄	duzhanwodeyingxiong
浪漫主义文学	langmanzhuyiwenxue
軍持	junchi
哈德逊河派	hadexunhepai
魚形金屬編物	yuxingjinshubianwu
男男女女男	nannannvnvnan
國民樂派	guominlepai
快門速度	kuaimensudu
素描簿	sumiaobu
松山文創園區	songshanwenchuangyuanqu
庚斯博羅灰	gengsiboluohui
两浴女	liangyunv
穹廬下的魔女	qiongluxiademonv
武道狂之詩	wudaokuangzhishi
变身战士阿龙	bianshenzhanshialong
贝叶挂毯	beiyeguatan
美色殺人狂	meisesharenkuang
制服少女	zhifushaonv
倒下的士兵	daoxiadeshibing
丁香紫	dingxiangzi
顫慄	chanli
建築學詞彙表	jianzhuxuecihuibiao
重启	chongqi
川崎正藏	chuanqizhengcang
超现实幽默	chaoxianshiyoumo
建築結構	jianzhujiegou
終曲	zhongqu
淡定狗	dandinggou
散板	sanban
科拉翁村宝藏	kelawengcunbaocang
四季	siji
淺蔥色	qiancongse
德黑蘭坦克人	deheilantankeren
多情環	duoqinghuan
维也纳分离派	weiyenafenlipai
小羊和狼	xiaoyanghelang
棉紙	mianzhi
四大文学体裁	sidawenxueticai
爱神进行时	aishenjinxingshi
圖像化閱讀法	tuxianghuayuedufa
妙廚老爹	miaochulaodie
向陽素描	xiangyangsumiao
模仿作品	mofangzuopin
安琪拉之歌	anqilazhige
希格斯机制	xigesijizhi
迴光報告	huiguangbaogao
万加塔	wanjiata
泥膠	nijiao
泛音唱法	fanyinchangfa
格萨尔王传	gesaerwangchuan
蝶古巴特	diegubate
聖幛	shengzhang
强力三重奏	qianglisanzhongzou
四大景	sidajing
拉瑪真相	lamazhenxiang
安全壽命設計	anquanshoumingsheji
紙模型	zhimoxing
水袖功	shuixiugong
王家的紋章	wangjiadewenzhang
訂書針	dingshuzhen
埃及風格建築	aijifenggejianzhu
東京公園	dongjinggongyuan
海燕之歌	haiyanzhige
剔紅	tihong
像素画	xiangsuhua
四大天王	sidatianwang
新人文主义	xinrenwenzhuyi
禁忌秘事	jinjimishi
世俗音樂	shisuyinle
二维空间	erweikongjian
現代芭蕾舞	xiandaibaleiwu
空间群	kongjianqun
羊毛氈	yangmaozhan
金鸡舞	jinjiwu
基本音级	jibenyinji
潘普林音樂	panpulinyinle
合輯	heji
节奏组	jiezouzu
明宣宗行乐图	mingxuanzongxingletu
青铜大面具	qingtongdamianju
青岛动漫学院	qingdaodongmanxueyuan
既有线	jiyouxian
波斯藍	bosilan
街頭爵士舞	jietoujueshiwu
魔法使的約定	mofashideyueding
狂草	kuangcao
蠟畫	lahua
名畫圖典	minghuatudian
世界文學	shijiewenxue
伍人報	wurenbao
西方美术史	xifangmeishushi
壁畫	bihua
電腦合成影像	diannaohechengyingxiang
叫我對大哥	jiaowoduidage
硬木	yingmu
恐懼管理理論	kongjuguanlililun
風雞	fengji
数风流人物	shufengliurenwu
由土里醬	youtulijiang
織體	zhiti
旗袍	qipao
素人藝術	surenyishu
工作與時日	gongzuoyushiri
漂流到北京	piaoliudaobeijing
舞蹈科学	wudaokexue
穿越火线	chuanyuehuoxian
时间飞船	shijianfeichuan
木卡姆	mukamu
構圖	goutu
異域風情	yiyufengqing
小房东	xiaofangdong
德国表现主义	deguobiaoxianzhuyi
法兰西艺术院	falanxiyishuyuan
伊達口罩	yidakouzhao
反战歌曲	fanzhangequ
间离效果	jianlixiaoguo
空气透视	kongqitoushi
紫水晶色	zishuijingse
梁吉泳	liangjiyong
火星人	huoxingren
南家三姊妹	nanjiasanzimei
草场地	caochangdi
岩雕建筑	yandiaojianzhu
骨木镶嵌	gumuxiangqian
愤怒的青年	fennudeqingnian
背景音乐	beijingyinle
鬼趣图	guiqutu
汉尼拔	hanniba
群狐	qunhu
不道德公會	budaodegonghui
萬壑松風圖	wanhesongfengtu
色調分離	sediaofenli
康輶纪行	kangyoujixing
超級樂團	chaojiletuan
戀曲寫真	lianquxiezhen
竞技场	jingjichang
诗意现实主义	shiyixianshizhuyi
田子坊	tianzifang
奏鸣曲式	zoumingqushi
珍妮德爾曼	zhennideerman
相纸	xiangzhi
螺钿	luodian
無聊外望	wuliaowaiwang
莫蘭	molan
黑暗轻小说	heianqingxiaoshuo
頭身	toushen
外星人博物館	waixingrenbowuguan
結髮裸婦	jiefaluofu
微距攝影	weijusheying
基本要素主义	jibenyaosuzhuyi
川之光	chuanzhiguang
鑽頭大小	zuantoudaxiao
武生	wusheng
对口相声	duikouxiangsheng
鲁邦三世	lubangsanshi
漂流郵便局	piaoliuyoubianju
發條橘子	fatiaojuzi
米塑	misu
奥托克罗姆	aotuokeluomu
八宝备仁	babaobeiren
當代流行電台	dangdailiuxingdiantai
鳥人	niaoren
冰箱磁鐵	bingxiangcitie
抱鼓石	baogushi
直笛與背包	zhidiyubeibao
阿拔斯一世	abasiyishi
曲繪	quhui
佛朗明哥倫巴	fulangminggelunba
青龙会	qinglonghui
菌和鐵	junhetie
索尼经典电影	suonijingdiandianying
设计心理学	shejixinlixue
甲马	jiama
黄金分割率	huangjinfengelv
惡偶	eou
暴食狂戰士	baoshikuangzhanshi
淮剧	huaiju
哭泣的女人	kuqidenvren
蜈蚣舞	wugongwu
路易十四風格	luyishisifengge
移轴镜头	yizhoujingtou
蘇菲的世界	sufeideshijie
偵探冰室	zhentanbingshi
參考設計	cankaosheji
通奏低音	tongzoudiyin
古珀行	gupoxing
西方正典	xifangzhengdian
草莓棉花糖	caomeimianhuatang
百寶嵌	baibaoqian
遠景俱樂部	yuanjingjulebu
乃木坂工事中	naimubangongshizhong
法庭女王	fatingnvwang
後設作品	houshezuopin
狼棕色	langzongse
照片集	zhaopianji
甜蜜之家	tianmizhijia
傷口與繃帶	shangkouyubengdai
狂人日记	kuangrenriji
烙印勇士	laoyinyongshi
中華色彩學會	zhonghuasecaixuehui
五色	wuse
契诃夫之枪	qihefuzhiqiang
色彩調和原理	secaidiaoheyuanli
腰平取景器	yaopingqujingqi
缠枝莲纹	chanzhilianwen
三色	sanse
信樂團	xinletuan
遺書	yishu
木材	mucai
畫師	huashi
电影公司列表	dianyinggongsiliebiao
杉原千畝	shanyuanqianmu
怗缚祾芭比	tiefulingbabi
環境設計	huanjingsheji
七殺手	qishashou
琴史	qinshi
數位音樂產業	shuweiyinlechanye
解剖	jiepou
餓馬搖鈴	emayaoling
黑山诗人	heishanshiren
女王蜂	nvwangfeng
世紀末婚禮	shijimohunli
明度	mingdu
國土安全	guotuanquan
长安画派	zhanganhuapai
设计哲学	shejizhexue
蘇小小	suxiaoxiao
