# 泰深输入法专业词库 — military
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
復員	fuyuan
楚謙號炮艦	chuqianhaopaojian
機械化登陸艇	jixiehuadengluting
集团军	jituanjun
农村包围城市	nongcunbaoweichengshi
魚雷	yulei
軍事社會學	junshishehuixue
龙伯透镜	longbotoujing
解放赫爾松	jiefangheersong
戰鬥車輛	zhandoucheliang
供给制	gongjizhi
大艦巨砲主義	dajianjupaozhuyi
马其顿方阵	maqidunfangzhen
拿騷的毛里茨	nasaodemaolici
攻勢	gongshi
军事化	junshihua
軍事術語	junshishuyu
兵团	bingtuan
黑色宣传	heisexuanchuan
黑火药	heihuoyao
指揮艦	zhihuijian
掃蕩	saodang
偵爆犬	zhenbaoquan
战略村	zhanlvecun
轻盾兵	qingdunbing
海軍漂網船	haijunpiaowangchuan
一清專案	yiqingzhuanan
智利軍事獨裁	zhilijunshiducai
反叛亂	fanpanluan
内河重炮舰	neihezhongpaojian
法式離場	fashilichang
军舰	junjian
铲	chan
军用卫星	junyongweixing
核伦理学	helunlixue
八阵合变图说	bazhenhebiantushuo
纪效新书	jixiaoxinshu
敌后	dihou
腹卷	fujuan
海禁	haijin
特种侦察	tezhongzhencha
鲨鱼	shayu
軍事獨裁	junshiducai
藤杖	tengzhang
革命博物館	gemingbowuguan
八月四日政權	bayuesirizhengquan
军品	junpin
密接空中支援	mijiekongzhongzhiyuan
副油箱	fuyouxiang
旗艦	qijian
緒斯同騎槍	xusitongqiqiang
干扰箔	ganraobo
發射後鎖定	fashehousuoding
心理战	xinlizhan
可折疊機翼	kezhediejiyi
悍馬	hanma
木华黎	muhuali
义军府	yijunfu
新型军国主义	xinxingjunguozhuyi
旅	lv
文人領軍	wenrenlingjun
兵家	bingjia
軍種對立	junzhongduili
鰩魚無人機	yaoyuwurenji
骆驼计划	luotuojihua
罩甲	zhaojia
张云逸	zhangyunyi
西蒙	ximeng
柳叶刀无人机	liuyedaowurenji
预警雷达	yujingleida
钂鈀	tangba
魚雷快艇	yuleikuaiting
佐佐木禎子	zuozuomuzhenzi
美国军用标准	meiguojunyongbiaozhun
黑色交响乐队	heisejiaoxiangledui
軍靴	junxue
騎行劫掠	qixingjielve
二次打击	ercidaji
暴行宣傳	baoxingxuanchuan
兰彻斯特方程	lanchesitefangcheng
群	qun
線式作戰	xianshizuozhan
重巡洋舰	zhongxunyangjian
慰安妇	weianfu
彈藥庫	danyaoku
火船	huochuan
全艦飾	quanjianshi
羅賢哲	luoxianzhe
友军误伤	youjunwushang
主動措施	zhudongcuoshi
杀伤力	shashangli
闖入者出擊	chuangruzhechuji
军事反情报局	junshifanqingbaoju
弓騎兵	gongqibing
斩首行动	zhanshouxingdong
環甲	huanjia
敵對的外國人	diduidewaiguoren
軍事組織	junshizuzhi
中國娃娃	zhongguowawa
反步兵地雷	fanbubingdilei
孙子兵法	sunzibingfa
幸存者内疚	xingcunzheneijiu
制海權	zhihaiquan
义务兵	yiwubing
夜視鏡	yeshijing
舊英軍醫院	jiuyingjunyiyuan
郭化若	guohuaruo
正义府	zhengyifu
拉冯事件	lafengshijian
洴澼百金方	pingpibaijinfang
回声定位	huishengdingwei
战术	zhanshu
北京行動	beijingxingdong
军区	junqu
前哨騎兵	qianshaoqibing
恩德培行动	endepeixingdong
水下聽音器	shuixiatingyinqi
德昂邦	deangbang
吉利服	jilifu
生命之泉	shengmingzhiquan
刘广智	liuguangzhi
司马法	simafa
冷战史学	lengzhanshixue
构造武器	gouzaowuqi
夥友騎兵	huoyouqibing
疾行縱隊	jixingzongdui
遺產行動	yichanxingdong
偵察	zhencha
政治宣传	zhengzhixuanchuan
施承志	shichengzhi
鳞甲	linjia
夜間戰鬥機	yejianzhandouji
本部連	benbulian
軍政	junzheng
燧象	suixiang
林旺	linwang
小型风帆战船	xiaoxingfengfanzhanchuan
最後手段之信	zuihoushouduanzhixin
主動雷達導引	zhudongleidadaoyin
誇大	kuada
蜈蚣船	wugongchuan
三眼火铳	sanyanhuochong
三略	sanlve
多臂赌博机	duobiduboji
飛行服	feixingfu
失效致禍	shixiaozhihuo
空中遮斷	kongzhongzheduan
防禦方陣	fangyufangzhen
冷啟動	lengqidong
焦土政策	jiaotuzhengce
中型機槍	zhongxingjiqiang
法律战	falvzhan
跳島戰術	tiaodaozhanshu
分心	fenxin
三朝遼事實錄	sanchaoliaoshishilu
米蒂亞號	midiyahao
怎樣打飛機	zenyangdafeiji
防毒面具	fangdumianju
底比斯圣队	dibisishengdui
死亡之手	siwangzhishou
七二一方針	qieryifangzhen
密码学历史	mimaxuelishi
指责受害人	zhizeshouhairen
逆變器	nibianqi
軋壓均質裝甲	yayajunzhizhuangjia
武器系統	wuqixitong
目标获得	mubiaohuode
自動火器	zidonghuoqi
反坦克武器	fantankewuqi
布雷顿报告	buleidunbaogao
信息污染	xinxiwuran
聲學貓	shengxuemao
指挥链	zhihuilian
武经七书	wujingqishu
科孚海峽事件	kefuhaixiashijian
咽喉點	yanhoudian
补给线	bujixian
风暴突击队	fengbaotujidui
哨所	shaosuo
漢尼拔指令	hannibazhiling
热诱饵弹	reyouerdan
第五縱隊	diwuzongdui
政治委員	zhengzhiweiyuan
招兵	zhaobing
運鈔車	yunchaoche
捷克刺猬	jiekeciwei
火控系统	huokongxitong
恐懼的總和	kongjudezonghe
金小札色色威	jinxiaozhasesewei
倒刺	daoci
加沙隧道	jiashasuidao
釣野伏	diaoyefu
多腔磁控管	duoqiangcikongguan
不沉的山姆	buchendeshanmu
武備志	wubeizhi
无人机作战	wurenjizuozhan
巡邏	xunluo
網絡中心戰	wangluozhongxinzhan
火器说略	huoqishuolve
联合作战	lianhezuozhan
何博士备论	heboshibeilun
刺槍術	ciqiangshu
火山布雷系統	huoshanbuleixitong
陳興道	chenxingdao
教育班長	jiaoyubanzhang
包围	baowei
肌肉胸甲	jirouxiongjia
福達缺口	fudaquekou
颈甲	jingjia
支前	zhiqian
非常規引渡	feichangguiyindu
挂甲	guajia
指揮官	zhihuiguan
機械騾	jixieluo
近迫武器系統	jinpowuqixitong
刀輪戰車	daolunzhanche
護城河	huchenghe
非對稱作戰	feiduichengzuozhan
板鏈甲	banlianjia
無聲信息	wushengxinxi
釘條	dingtiao
魯格雷達	lugeleida
雪兒阿米	xueerami
殭屍網絡	jiangshiwangluo
三三制战术	sansanzhizhanshu
五角大楼	wujiaodalou
準軍事組織	zhunjunshizuzhi
暗器	anqi
戰術單位	zhanshudanwei
空位時代	kongweishidai
天绘系列卫星	tianhuixilieweixing
打了就跑战术	dalejiupaozhanshu
縱深防禦	zongshenfangyu
銅盾兵	tongdunbing
装甲车	zhuangjiache
