# 泰深输入法专业词库 — geography
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
下雨地震說	xiayudizhenshuo
深時	shenshi
惠蓀溫泉	huisunwenquan
地质考古学	dizhikaoguxue
日本火山	ribenhuoshan
業務核都市	yewuhedoushi
陸半球	lubanqiu
泥质结构	nizhijiegou
白女羊盘组	bainvyangpanzu
鋸齒狀紋理	juchizhuangwenli
辉铋矿	huibikuang
少子化	shaozihua
平流层	pingliuceng
城镇体系	chengzhentixi
距离摩擦	julimoca
普通球粒隕石	putongqiuliyunshi
湯加火山列表	tangjiahuoshanliebiao
地球地质历史	diqiudizhilishi
鹽田	yantian
地震地層學	dizhendicengxue
孤山	gushan
死海斷層	sihaiduanceng
鮑馬序列	baomaxulie
泡鹼	paojian
複式火山	fushihuoshan
加蘭火山	jialanhuoshan
芃芃溫泉	pengpengwenquan
再結晶	zaijiejing
地表	dibiao
地質剖面	dizhipoumian
河道遷移	hedaoqianyi
輻射變晶	fushebianjing
薩雷茲湖	saleizihu
澜沧江断层带	lancangjiangduancengdai
小普林尼	xiaopulinni
成雙變質帶	chengshuangbianzhidai
燕山构造期	yanshangouzaoqi
画像石	huaxiangshi
稀有元素	xiyouyuansu
夫婦岩	fufuyan
海退	haitui
庙沟组	miaogouzu
剥蚀作用	boshizuoyong
地形地层学	dixingdicengxue
发展中国家	fazhanzhongguojia
季風雨林	jifengyulin
五城	wucheng
銥異常	yiyichang
易贡错	yigongcuo
巴拿馬板塊	banamabankuai
縱深防禦	zongshenfangyu
粪化石	fenhuashi
狗洞	goudong
变嵌晶	bianqianjing
李太楓	litaifeng
馬札馬火山	mazhamahuoshan
綫理	xianli
東太平洋海隆	dongtaipingyanghailong
胶结作用	jiaojiezuoyong
沙西尼陨石	shaxiniyunshi
维尔姆冰期	weiermubingqi
碲银矿	diyinkuang
钠长石	nazhangshi
地球構造	diqiugouzao
北俾斯麥板塊	beibisimaibankuai
界	jie
钙钛矿	gaitaikuang
大洋地殼	dayangdike
慶伯利岩	qingboliyan
海沟	haigou
周家湾组	zhoujiawanzu
三叠纪	sandieji
緩衝區	huanchongqu
有機地球化學	youjidiqiuhuaxue
永久冻土	yongjiudongtu
熱液系統	reyexitong
水星地質	shuixingdizhi
地幔对流	dimanduiliu
咸水	xianshui
地中海灌木林	dizhonghaiguanmulin
陸連島	luliandao
商业地理学	shangyedilixue
农业地理学	nongyedilixue
沙漠岩漆	shamoyanqi
滑脱构造	huatuogouzao
斷層	duanceng
堆積作用	duijizuoyong
海底火山	haidihuoshan
上地幔	shangdiman
边缘城市	bianyuanchengshi
印度洋重力洞	yinduyangzhonglidong
淡红银矿	danhongyinkuang
角閃石岩	jiaoshanshiyan
生長斷層	shengzhangduanceng
馬努斯板塊	manusibankuai
压溶	yarong
地震层析成像	dizhencengxichengxiang
超級海洋	chaojihaiyang
落石	luoshi
砷鈷鈣石	shengugaishi
湿地鳄属	shidieshu
震源層	zhenyuanceng
伏尔加阶	fuerjiajie
复合城市	fuhechengshi
岩石紋理	yanshiwenli
硫砷铊铅矿	liushentaqiankuang
古水流	gushuiliu
地形学	dixingxue
員山溫泉	yuanshanwenquan
冰川	bingchuan
鈦輝無粒隕石	taihuiwuliyunshi
原岡瓦那大陸	yuangangwanadalu
礫岩	liyan
