# 泰深输入法专业词库 — agriculture
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
豆类	doulei
俄罗斯农业党	eluosinongyedang
孵蛋器	fudanqi
茶金	chajin
硅橡胶	guixiangjiao
蜜蜂養殖	mifengyangzhi
帕特卡特尔	patekateer
牛生长激素	niushengzhangjisu
芦竹属	luzhushu
美国大豆协会	meiguodadouxiehui
豚鼠	tunshu
农业工程师	nongyegongchengshi
農作樹造紙	nongzuoshuzaozhi
百姓貴族	baixingguizu
发芽	faya
农药	nongyao
播种	bozhong
燻蒸	xunzheng
水产种质资源	shuichanzhongzhiziyuan
鹿煎餅	lujianbing
爆笑校园	baoxiaoxiaoyuan
牧场	muchang
氟塑膜	fusumo
向牛許願	xiangniuxuyuan
芒屬	mangshu
架田	jiatian
謝司叛亂	xiesipanluan
仙居鸡	xianjuji
大韩统义府	dahantongyifu
桑托斯	sangtuosi
小森林	xiaosenlin
朗氏標準框	langshibiaozhunkuang
后稷	houji
净水器	jingshuiqi
垂直農法	chuizhinongfa
建築隔熱	jianzhugere
農大菌物語	nongdajunwuyu
古希臘農業	guxilanongye
荼吉尼	tujini
绿色农业	lvsenongye
乾壁	qianbi
作物学报	zuowuxuebao
桃花心木	taohuaxinmu
国际马铃薯年	guojimalingshunian
經濟表	jingjibiao
凌德麟	lingdelin
坎土曼	kantuman
抗逆性	kangnixing
村镇	cunzhen
桐油树	tongyoushu
白米千枚田	baimiqianmeitian
兽医学	shouyixue
先农	xiannong
度日	duri
水泥	shuini
氣候韌性	qihourenxing
水磨	shuimo
鳄梨	eli
菲律賓農業	feilvbinnongye
土地整理	tudizhengli
返情	fanqing
拉康姆猪	lakangmuzhu
参议府	canyifu
自然農法	zirannongfa
波蘭人民黨	bolanrenmindang
伊甸園計畫	yidianyuanjihua
花木兰	huamulan
和籴法	hedifa
伊朗農業	yilangnongye
印尼森林砍伐	yinnisenlinkanfa
羅馬尼亞農業	luomaniyanongye
土地婆	tudipo
黑小麥	heixiaomai
耬	lou
小农	xiaonong
氟乙酸钠	fuyisuanna
比米什博物館	bimishenbowuguan
寂静的春天	jijingdechuntian
