# 泰深输入法专业词库 — math
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
余核	yuhe
双射	shuangshe
计数符号	jishufuhao
射影	sheying
良擬序	liangnixu
集合	jihe
反射	fanshe
数学巧合	shuxueqiaohe
欧拉函数	oulahanshu
同心	tongxin
示意地圖	shiyiditu
球諧函數表	qiuxiehanshubiao
直紋曲面	zhiwenqumian
韦达定理	weidadingli
向量分析	xiangliangfenxi
上闭集合	shangbijihe
拟共形映射	nigongxingyingshe
连分数	lianfenshu
非交换拓扑	feijiaohuantuopu
进位	jinwei
鬼祟謬誤	guisuimiuwu
正定函數	zhengdinghanshu
統計師	tongjishi
數值天氣預報	shuzhitianqiyubao
状态方程	zhuangtaifangcheng
卡邁克爾函數	kamaikeerhanshu
野弧	yehu
传递函数	chuandihanshu
线性逻辑	xianxingluoji
中国剩余定理	zhongguoshengyudingli
賦值	fuzhi
克鲁尔维数	keluerweishu
线性同余方程	xianxingtongyufangcheng
同胚	tongpei
塞瓦定理	saiwadingli
偏差值	pianchazhi
德古阿定理	deguadingli
對勾函数	duigouhanshu
黄金分割率	huangjinfengelv
獨裁者賽局	ducaizhesaiju
生命表	shengmingbiao
空間	kongjian
结构群的约化	jiegouqundeyuehua
森重文	senzhongwen
超复数	chaofushu
弃九数	qijiushu
喷丛	pencong
廣義協變性	guangyixiebianxing
子序列极限	zixuliejixian
缺失数据	queshishuju
五邊形數定理	wubianxingshudingli
极限空间	jixiankongjian
五胞體數	wubaotishu
類函數	leihanshu
散布矩阵	sanbujuzhen
非自治系统	feizizhixitong
十六边形	shiliubianxing
單變數	danbianshu
量子拓扑	liangzituopu
数学教育	shuxuejiaoyu
有限主義	youxianzhuyi
乡村人口	xiangcunrenkou
形式文法	xingshiwenfa
构型空间	gouxingkongjian
凹函数	aohanshu
概率	gailv
立方	lifang
对称博弈	duichengboyi
中心四面體數	zhongxinsimiantishu
曲线的挠率	quxiandenaolv
样本方差	yangbenfangcha
婚約數	hunyueshu
逻辑等价	luojidengjia
索馬立方	suomalifang
叉點	chadian
帶圈字母數字	daiquanzimushuzi
数论	shulun
無限邊形鑲嵌	wuxianbianxingxiangqian
正交配置法	zhengjiaopeizhifa
獨立性	dulixing
最大似然估计	zuidashiranguji
偽球面	weiqiumian
弗莱纳公式	fulainagongshi
严格决定博弈	yangejuedingboyi
算术拓扑	suanshutuopu
隨機化回答	suijihuahuida
雜散振盪	zasanzhendang
呂利耶定理	lvliyedingli
幸福結局問題	xingfujiejuwenti
逻辑断言	luojiduanyan
朗蘭茲綱領	langlanzigangling
绝热指数	juerezhishu
节丛	jiecong
时标微积分	shibiaoweijifen
透帘细草	toulianxicao
混合系統	hunhexitong
陈增敬	chenzengjing
罗斯定理	luosidingli
平方根	pingfanggen
投射分解	toushefenjie
公理化集合论	gonglihuajihelun
拟赋范空间	nifufankongjian
几何拓扑学	jihetuopuxue
除法符号	chufafuhao
差立方	chalifang
分率	fenlv
超現實數	chaoxianshishu
排序最佳化	paixuzuijiahua
局部分析	jubufenxi
泊松流形	posongliuxing
倒数	daoshu
範圍解	fanweijie
性別比	xingbiebi
隨機积分	suijijifen
多维空间	duoweikongjian
周长	zhouchang
数学归纳法	shuxueguinafa
无限小数	wuxianxiaoshu
开世定理	kaishidingli
全機率定理	quanjilvdingli
尖點	jiandian
几何化猜想	jihehuacaixiang
柯爾獎	keerjiang
交點	jiaodian
环绕空间	huanraokongjian
希尔伯特符号	xierbotefuhao
數造天才	shuzaotiancai
正負號	zhengfuhao
邏輯矩陣	luojijuzhen
应用题	yingyongti
孤立点	gulidian
奇葩證明	qipazhengming
贝亚蒂定理	beiyadidingli
连续集	lianxuji
威爾遜質數	weierxunzhishu
百分比	baifenbi
天才無限家	tiancaiwuxianjia
柯西问题	kexiwenti
濾子化範疇	lvzihuafanchou
累積量表	leijiliangbiao
五色定理	wusedingli
分形维数	fenxingweishu
垂径定理	chuijingdingli
理想	lixiang
黄金分割法	huangjinfengefa
正八邊形鑲嵌	zhengbabianxingxiangqian
辛空间	xinkongjian
餘維數	yuweishu
方程组	fangchengzu
非線性系統	feixianxingxitong
哈米特方程	hamitefangcheng
计数率	jishulv
斯托納姆數	situonamushu
推力重量比	tuilizhongliangbi
比例論	bililun
谢泼德引理	xiepodeyinli
数学笑话	shuxuexiaohua
怀特海问题	huaitehaiwenti
拉回	lahui
除号	chuhao
拐点	guaidian
擬正多面體	nizhengduomianti
子商	zishang
时间逻辑	shijianluoji
相关均衡	xiangguanjunheng
質數列表	zhishuliebiao
阿貝爾多項式	abeierduoxiangshi
圣彼得堡悖论	shengbidebaobeilun
元因數	yuanyinshu
峰值因數	fengzhiyinshu
笛卡儿闭范畴	dikaerbifanchou
和平方	hepingfang
標記	biaoji
柯里悖论	kelibeilun
线性映射	xianxingyingshe
超限归纳法	chaoxianguinafa
白雜訊	baizaxun
張美珠	zhangmeizhu
陈永财	chenyongcai
零玩家遊戲	lingwanjiayouxi
可數鏈條件	keshuliantiaojian
悉尼歌剧院	xinigejuyuan
負一維空間	fuyiweikongjian
最大下界	zuidaxiajie
随机逼近	suijibijin
德拉姆上同调	delamushangtongdiao
协变经典场论	xiebianjingdianchanglun
真夏方程式	zhenxiafangchengshi
伽利略的苦惱	galilvedekunao
伯努利过程	bonuliguocheng
施莱夫利符号	shilaifulifuhao
黎曼测度	limancedu
度量张量	duliangzhangliang
法图引理	fatuyinli
三角恒等式	sanjiaohengdengshi
周期函数	zhouqihanshu
外尔引理	waieryinli
維度	weidu
重抽样	zhongchouyang
七次方程	qicifangcheng
证明论	zhengminglun
中项	zhongxiang
调和平均数	diaohepingjunshu
天花板效应	tianhuabanxiaoying
布羅卡猜想	buluokacaixiang
祖暅之	zugengzhi
驻点	zhudian
延伸原理	yanshenyuanli
集中不等式	jizhongbudengshi
封閉形式	fengbixingshi
众数	zhongshu
里奇流	liqiliu
愛的萬物論	aidewanwulun
刘维尔数	liuweiershu
流形的命运	liuxingdemingyun
任意抽样	renyichouyang
伯基尔積分	bojierjifen
内旋轮线	neixuanlunxian
抽象废话	chouxiangfeihua
贝叶斯定理	beiyesidingli
乘法	chengfa
谐波	xiebo
蜂窝猜想	fengwocaixiang
等時降線	dengshijiangxian
外微分	waiweifen
随机数	suijishu
四次函數	sicihanshu
综合几何学	zonghejihexue
葛力明	geliming
細胞自動機	xibaozidongji
用餐者困境	yongcanzhekunjing
定理	dingli
庫恩定理	kuendingli
可度量化	kedulianghua
包含映射	baohanyingshe
崔錫鼎	cuixiding
合同	hetong
結構穩定性	jiegouwendingxing
焦點	jiaodian
環圈	huanquan
現實	xianshi
振荡	zhendang
罗斯猜想	luosicaixiang
计算解剖学	jisuanjiepouxue
球面度	qiumiandu
雙代數	shuangdaishu
母函数	muhanshu
多項式	duoxiangshi
楔和	xiehe
估计理论	gujililun
数学基础	shuxuejichu
角平分線定理	jiaopingfenxiandingli
海涅定理	hainiedingli
数学家列表	shuxuejialiebiao
上半平面	shangbanpingmian
哥隆尺问题	gelongchiwenti
线性方程组	xianxingfangchengzu
高斯函数	gaosihanshu
閉流形	biliuxing
英石	yingshi
欧拉定理	ouladingli
競賽樹	jingsaishu
列举法	liejufa
超交换代数	chaojiaohuandaishu
黑森贝格矩阵	heisenbeigejuzhen
代数几何	daishujihe
王氏砖	wangshizhuan
金融風險管理	jinrongfengxianguanli
貝氏機率	beishijilv
沉默的遊行	chenmodeyouxing
中線定理	zhongxiandingli
矩阵的谱	juzhendepu
数学猜想列表	shuxuecaixiangliebiao
中立者函数	zhonglizhehanshu
解析流形	jiexiliuxing
實值函數	shizhihanshu
焦散线	jiaosanxian
伽利略系列	galilvexilie
降维	jiangwei
映射	yingshe
佩尔方程	peierfangcheng
墓碑符号	mubeifuhao
圖運算	tuyunsuan
輔助函數	fuzhuhanshu
遍历理论	bianlililun
尼科马库斯	nikemakusi
演绎推理	yanyituili
审敛法	shenlianfa
軸對稱	zhouduicheng
隔板法	gebanfa
数学用表	shuxueyongbiao
十億分比	shiyifenbi
数学物理	shuxuewuli
接绳结	jieshengjie
三难困境	sannankunjing
埃尔布朗定理	aierbulangdingli
箭號表示法	jianhaobiaoshifa
闭	bi
代數數論	daishushulun
考拉兹猜想	kaolazicaixiang
无穷降链	wuqiongjianglian
逆元素	niyuansu
余切丛	yuqiecong
美麗青年心靈	meiliqingnianxinling
斯科特连续性	siketelianxuxing
哈尔测度	haercedu
车辆路径问题	chelianglujingwenti
布尔代数	buerdaishu
采样定理	caiyangdingli
重图	zhongtu
群论	qunlun
相关函数	xiangguanhanshu
有效数字	youxiaoshuzi
卡漢常數	kahanchangshu
離散微積分	lisanweijifen
古爾丁定理	guerdingdingli
九点圆定理	jiudianyuandingli
