# 泰深输入法专业词库 — biology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：搜狗细胞词库（官方推荐分类），scel2txt 转换

单亲性状遗传	danqinxingzhuangyichuan
单亲生殖	danqinshengzhi
单价体	danjiati
单价抗体	danjiakangti
单价染色体	danjiaranseti
单价特异性抗血清	danjiateyixingkangxueqing
单价血清	danjiaxueqing
单优种群丛	danyouzhongquncong
单优种群落	danyouzhongqunluo
单伞形花序	dansanxinghuaxu
单位压力	danweiyali
单位性状	danweixingzhuang
单位晶格	danweijingge
单位标记含量	danweibiaojihanliang
单位生产量	danweishengchanliang
单位膜	danweimo
单体两性生殖	dantiliangxingshengzhi
单体型	dantixing
单体染色体生物	dantiransetishengwu
单体花柱	dantihuazhu
单体酶	dantimei
单侧唇裂	dancechunlie
单侧平衡	dancepingheng
单侧痣	dancezhi
单侧肥大畸形	dancefeidajixing
单侧腭裂	danceelie
单侧膈肌瘫痪	dancegejitanhuan
单侧膈肌麻痹	dancegejimabi
单侧膈膨升	dancegepengsheng
单倍二倍体	danbeierbeiti
单倍二倍体染色体性决定	danbeierbeitiransetixingjueding
单倍二倍性	danbeierbeixing
单倍体	danbeiti
单倍体化	danbeitihua
单倍体数	danbeitishu
单倍体植物	danbeitizhiwu
单倍体相同的供者	danbeitixiangtongdegongzhe
单倍体组	danbeitizu
单倍单性	danbeidanxing
单倍型	danbeixing
单倍孢子体	danbeibaoziti
单倍孤雌生殖	danbeigucishengzhi
单倍性	danbeixing
单倍性生物	danbeixingshengwu
单倍无配生殖	danbeiwupeishengzhi
单倍有丝分裂	danbeiyousifenlie
单倍期	danbeiqi
单倍杂种	danbeizazhong
单倍染色体	danbeiranseti
单倍染色体数	danbeiransetishu
单倍核	danbeihe
单倍菌丝体	danbeijunsiti
单元单倍体	danyuandanbeiti
单元发生	danyuanfasheng
单元发生论	danyuanfashenglun
单元发生说	danyuanfashengshuo
单元型	danyuanxing
单元演替顶极	danyuanyantidingji
单元电池	danyuandianchi
单克隆抗体	dankelongkangti
单出羽状复叶	danchuyuzhuangfuye
单分体	danfenti
单分子层	danfenziceng
单分子膜	danfenzimo
单分散性	danfensanxing
单分裂	danfenlie
单功能反馈	dangongnengfankui
单加氧酶	danjiayangmei
单半乳糖甘油二酯	danbanrutangganyouerzhi
单卵双生	danluanshuangsheng
单原子螯合配体	danyuanziaohepeiti
单受体	danshouti
单向型口咽通气管	danxiangxingkouyantongqiguan
单向复制	danxiangfuzhi
单向扩散	danxiangkuosan
单向扩散试验	danxiangkuosanshiyan
单向转变	danxiangzhuanbian
单向转变现象	danxiangzhuanbianxianxiang
单向转运	danxiangzhuanyun
单向辐射扩散试验	danxiangfushekuosanshiyan
单唾液酸神经节四糖	dantuoyesuanshenjingjiesitang
单唾液酸神经节苷脂	dantuoyesuanshenjingjieganzhi
单因子式遗传	danyinzishiyichuan
单型	danxing
单型世代植物	danxingshidaizhiwu
单型培养	danxingpeiyang
单型现象	danxingxianxiang
单基因	danjiyin
单基因杂种	danjiyinzazhong
单基因病	danjiyinbing
单子叶植物	danziyezhiwu
单孔类动物	dankongleidongwu
单字母密码	danzimumima
单字母符号	danzimufuhao
单孢体	danbaoti
单孢子	danbaozi
单孢子囊	danbaozinang
单孢担子	danbaodanzi
单孢担子菌类	danbaodanzijunlei
单孢生分生孢子器	danbaoshengfenshengbaoziqi
单孢生物	danbaoshengwu
单宁酸酶	danningsuanmei
单层上皮	dancengshangpi
单层培养	dancengpeiyang
单层培养技术	dancengpeiyangjishu
单层嵌合体	dancengqianheti
单应性抗血清	danyingxingkangxueqing
单式显微镜	danshixianweijing
单弓型颅	dangongxinglu
单弓类	dangonglei
单形性腺瘤	danxingxingxianliu
单形牙	danxingya
单形现象	danxingxianxiang
单心室性房室连接	danxinshixingfangshilianjie
单态现象	dantaixianxiang
单性受精生殖	danxingshoujingshengzhi
单性合子	danxinghezi
单性接合孢子	danxingjiehebaozi
单性核配	danxinghepei
单性生殖	danxingshengzhi
单性生殖体	danxingshengzhiti
单性生殖卵	danxingshengzhiluan
单性生殖的卵孢子	danxingshengzhideluanbaozi
单性细胞结合	danxingxibaojiehe
单性结实	danxingjieshi
单性花	danxinghua
单拷贝	dankaobei
单收缩	danshousuo
单放体	danfangti
单星体	danxingti
单显性组合	danxianxingzuhe
单极分裂	danjifenlie
单极电凝	danjidianning
单极电灼术	danjidianzhuoshu
单株混植	danzhuhunzhi
单核分生孢子	danhefenshengbaozi
单核吞噬细胞系统	danhetunshixibaoxitong
单核因子	danheyinzi
单核巨噬细胞系统	danhejushixibaoxitong
单核白细胞	danhebaixibao
单核糖体	danhetangti
单核糖核蛋白体	danhetanghedanbaiti
单核细胞	danhexibao
单核苷酸	danhegansuan
单核苷酸多态性	danhegansuanduotaixing
单模标本	danmobiaoben
单歧式	danqishi
单歧聚伞花序	danqijusanhuaxu
单毛轮幼虫	danmaolunyouchong
单氧酶	danyangmei
单油酰甘油酯	danyouxianganyouzhi
单活菌素	danhuojunsu
单游现象	danyouxianxiang
单源种	danyuanzhong
单烯脂肪酸	danxizhifangsuan
单烯酸	danxisuan
单特异抗血清	danteyikangxueqing
单盘尾蚴	danpanweiyou
单相世代植物	danxiangshidaizhiwu
单眼凹	danyanao
单着丝粒染色体	danzhuosiliranseti
单睑	danjian
单睾症	dangaozheng
单种子植物	danzhongzizhiwu
单种植物集团	danzhongzhiwujituan
单端固定桥	danduangudingqiao
单端孢菌素	danduanbaojunsu
单等位基因	dandengweijiyin
单筒显微镜	dantongxianweijing
单精入卵	danjingruluan
单精受精	danjingshoujing
单精受精卵	danjingshoujingluan
单糖	dantang
单纯性回状红斑	danchunxinghuizhuanghongban
单纯性甲状腺肿	danchunxingjiazhuangxianzhong
单纯性肾囊肿	danchunxingshennangzhong
单纯性雀斑痣	danchunxingquebanzhi
单纯杆菌素	danchunganjunsu
单纯毒素	danchundusu
单纯甲状腺肿	danchunjiazhuangxianzhong
单纯疱疹	danchunpaozhen
单纯癌	danchunai
单纯糠疹	danchunkangzhen
单纯纤维	danchunxianwei
单纯群落	danchunqunluo
单纯脂质	danchunzhizhi
单纯蛋白质	danchundanbaizhi
单纹孔	danwenkong
单线态	danxiantai
单线遗传	danxianyichuan
单组染色体	danzuranseti
单细胞分离	danxibaofenli
单细胞变异体	danxibaobianyiti
单细胞培养	danxibaopeiyang
单细胞层	danxibaoceng
单细胞期	danxibaoqi
单细胞藻类	danxibaozaolei
单细胞蛋白	danxibaodanbai
单细胞蛋白质	danxibaodanbaizhi
单群囊	danqunnang
单肺移植	danfeiyizhi
单胚生殖	danpeishengzhi
单胞	danbao
单胞原虫	danbaoyuanchong
单胞型	danbaoxing
单胞孢子	danbaobaozi
单胞球菌	danbaoqiujun
单胺	danan
单胺尿	dananniao
单胺氧化酶	dananyanghuamei
单能性	dannengxing
单脱噬菌体	dantuoshijunti
单腔支气管导管	danqiangzhiqiguandaoguan
单臂卡环	danbikahuan
单花粉	danhuafen
单花被性	danhuabeixing
单菌落	danjunluo
单菌裂解实验	danjunliejieshiyan
单菌释放数量	danjunshifangshuliang
单萌发孔	danmengfakong
单萜	dantie
单藻类	danzaolei
单蹄兽	dantishou
单轴型	danzhouxing
单轴型海绵骨针	danzhouxinghaimianguzhen
单轴生长	danzhoushengzhang
单轴骨针	danzhouguzhen
单配偶	danpeiou
单配性	danpeixing
单酚氧化酶	danfenyanghuamei
单酯酶	danzhimei
单酰基甘油	danxianjiganyou
单酰胺	danxianan
单酸甘油酯	dansuanganyouzhi
单链	danlian
单链尿激酶样	danlianniaojimeiyang
单链构型多态性	danliangouxingduotaixing
单链突出端	danliantuchuduan
单雄生殖	danxiongshengzhi
单雄蕊植物	danxiongruizhiwu
单雄蕊纲	danxiongruigang
单雌蕊	dancirui
单雌蕊植物	danciruizhiwu
单面洞	danmiandong
单鞭毛亚纲	danbianmaoyagang
单鞭毛菌	danbianmaojun
单项目标发酵器	danxiangmubiaofajiaoqi
单顺反子	danshunfanzi
单颌全口义齿	danhequankouyichi
单食性	danshixing
单饱和甘油酯	danbaoheganyouzhi
南丁宁碱	nandingningjian
南丁竹碱	nandingzhujian
南大西洋间断分布	nandaxiyangjianduanfenbu
南天竹种碱	nantianzhuzhongjian
南天青碱	nantianqingjian
南太平洋间断分布	nantaipingyangjianduanfenbu
南斯剩余间隙	nansishengyujianxi
南方古猿亚科	nanfangguyuanyake
南方生物带	nanfangshengwudai
南欧夏绿灌木群落	nanouxialvguanmuqunluo
南瓜子氨酸	nanguaziansuan
南美有蹄类动物	nanmeiyoutileidongwu
南美蟾蜍皮肽	nanmeichanchupitai
南非亚区	nanfeiyaqu
南非部	nanfeibu
博来霉素	bolaimeisu
博氏线	boshixian
博落回碱	boluohuijian
卟吩	bufen
卟啉	bulin
卟啉亚铁螯合酶	bulinyatieaohemei
卟啉原	bulinyuan
卟啉尿	bulinniao
卟啉环系	bulinhuanxi
卟啉病	bulinbing
卟啉症	bulinzheng
卟啉血	bulinxue
占据理论	zhanjulilun
卡他性炎	kataxingyan
卡塔格纳三联征	katagenasanlianzheng
卡宾体	kabinti
卡尔庞捷环	kaerpangjiehuan
卡尔文循环	kaerwenxunhuan
卡尔文氏循环	kaerwenshixunhuan
卡尔群落	kaerqunluo
卡巴粒	kabali
卡拉霉素	kalameisu
卡擦任碱	kacarenjian
卡文迪什实验室	kawendishishiyanshi
卡方检验	kafangjianyan
卡氏枝孢霉	kashizhibaomei
卡波西水痘样疹	kaboxishuidouyangzhen
卡波西肉瘤	kaboxirouliu
卡环体	kahuanti
卡环固位	kahuanguwei
卡环臂	kahuanbi
卡索尼试验	kasuonishiyan
卡芬太尼	kafentaini
卡萨巴赫	kasabahe
卡那霉素	kanameisu
卡隆噬菌体	kalongshijunti
卡隆载体	kalongzaiti
卢克手术	lukeshoushu
卢梭小体	lusuoxiaoti
卤烷酶	luwanmei
卫星病毒	weixingbingdu
卫生桥	weishengqiao
卫生桥体	weishengqiaoti
卫矛科生物碱	weimaokeshengwujian
卫矛醇	weimaochun
印度大麻	yindudama
印戒细胞癌	yinjiexibaoai
印模托盘	yinmotuopan
印模材料	yinmocailiao
印模石膏	yinmoshigao
印模糊剂	yinmohuji
印模膏	yinmogao
印模面	yinmomian
印车前明碱	yincheqianmingjian
印迹和杂交	yinjihezajiao
印迹技术	yinjijishu
印迹杂交	yinjizajiao
印迹法	yinjifa
印迹转移	yinjizhuanyi
印迹转移装置	yinjizhuanyizhuangzhi
危害起伏	weihaiqifu
危重症医学	weizhongzhengyixue
即信使	jixinshi
即发型超敏反应	jifaxingchaominfanying
即同源多倍体	jitongyuanduobeiti
即四倍体	jisibeiti
即四倍体种	jisibeitizhong
即基肢	jijizhi
即效应物	jixiaoyingwu
即时修复	jishixiufu
即时转移	jishizhuanyi
即时软组织扩张术	jishiruanzuzhikuozhangshu
即正态分布曲线	jizhengtaifenbuquxian
即转移	jizhuanyi
卵丘	luanqiu
卵丝霉褐素	luansimeihesu
卵中心体	luanzhongxinti
卵体有性世代	luantiyouxingshidai
卵原细胞	luanyuanxibao
卵原论者	luanyuanlunzhe
卵发生	luanfasheng
卵吸收	luanxishou
卵周质	luanzhouzhi
卵器	luanqi
卵器中央体	luanqizhongyangti
卵囊	luannang
卵囊中壳	luannangzhongke
卵囊球	luannangqiu
卵圆孔	luanyuankong
卵圆孔注射法	luanyuankongzhushefa
卵圆窝	luanyuanwo
卵块发育	luankuaifayu
卵壳	luanke
卵壳蛋白	luankedanbai
卵子发生	luanzifasheng
卵子受精	luanzishoujing
卵孔	luankong
卵孢子	luanbaozi
卵室	luanshi
卵小体	luanxiaoti
卵巢下降	luanchaoxiajiang
卵巢内泌素	luanchaoneimisu
卵巢冠	luanchaoguan
卵巢切开术	luanchaoqiekaishu
卵巢切除术	luanchaoqiechushu
卵巢周期	luanchaozhouqi
卵巢子宫切除术	luanchaozigongqiechushu
卵巢旁体	luanchaopangti
卵巢激素	luanchaojisu
卵巢炎	luanchaoyan
卵巢环状瘤	luanchaohuanzhuangliu
卵巢生长因子	luanchaoshengzhangyinzi
卵巢移植	luanchaoyizhi
卵巢管	luanchaoguan
卵巢系膜	luanchaoximo
卵巢素	luanchaosu
卵巢索	luanchaosuo
卵巢输卵管炎	luanchaoshuluanguanyan
卵巢静脉	luanchaojingmai
卵巢静脉综合征	luanchaojingmaizonghezheng
卵巨球蛋白	luanjuqiudanbai
卵带膜	luandaimo
卵式生殖	luanshishengzhi
卵形体	luanxingti
卵形成	luanxingcheng
卵杆体	luanganti
卵果	luanguo
卵核	luanhe
卵核仁	luanheren
卵核分裂	luanhefenlie
卵模	luanmo
卵模腔	luanmoqiang
卵母细胞	luanmuxibao
卵泡内	luanpaonei
卵泡激素	luanpaojisu
卵泡腔	luanpaoqiang
卵浆	luanjiang
卵清	luanqing
卵清蛋白	luanqingdanbai
卵片发育	luanpianfayu
卵片受精	luanpianshoujing
卵状小体	luanzhuangxiaoti
卵球蛋白	luanqiudanbai
卵生体	luanshengti
卵生动物	luanshengdongwu
卵白沉淀素	luanbaichendiansu
卵白蛋白	luanbaidanbai
卵的适应	luandeshiying
卵皮层	luanpiceng
卵睾	luangao
卵磷脂白蛋白	luanlinzhibaidanbai
卵磷脂酶	luanlinzhimei
卵磷脂酶试验	luanlinzhimeishiyan
卵磷蛋白	luanlindanbai
卵突杯	luantubei
卵类粘蛋白	luanleizhandanbai
卵粘蛋白	luanzhandanbai
卵精巢	luanjingchao
卵红蛋白	luanhongdanbai
卵绿蛋白	luanlvdanbai
卵胎生	luantaisheng
卵胎生动物	luantaishengdongwu
卵胞	luanbao
卵胶	luanjiao
卵胶膜	luanjiaomo
卵膜	luanmo
卵菌纲	luanjungang
卵袋	luandai
卵被膜	luanbeimo
卵裂	luanlie
卵裂双星	luanlieshuangxing
卵裂图	luanlietu
卵裂核	luanliehe
卵裂沟	luanliegou
卵裂球	luanlieqiu
卵裂细胞	luanliexibao
卵裂腔	luanlieqiang
卵角蛋白	luanjiaodanbai
卵解	luanjie
卵解作用	luanjiezuoyong
卵质	luanzhi
卵质团	luanzhituan
卵运铁传递蛋白	luanyuntiechuandidanbai
卵配	luanpei
卵配子	luanpeizi
卵青素	luanqingsu
卵鞍	luanan
卵鞘	luanqiao
卵鞘板	luanqiaoban
卵鞘脊	luanqiaoji
卵黄	luanhuang
卵黄上皮	luanhuangshangpi
卵黄分裂	luanhuangfenlie
卵黄卵裂	luanhuangluanlie
卵黄合胞体	luanhuanghebaoti
卵黄囊	luanhuangnang
卵黄囊癌	luanhuangnangai
卵黄囊蒂	luanhuangnangdi
卵黄小板	luanhuangxiaoban
卵黄形成期	luanhuangxingchengqi
卵黄心	luanhuangxin
卵黄悬胶液反应	luanhuangxuanjiaoyefanying
卵黄栓	luanhuangshuan
卵黄核	luanhuanghe
卵黄泡	luanhuangpao
卵黄液泡	luanhuangyepao
卵黄激素	luanhuangjisu
卵黄球	luanhuangqiu
卵黄生成	luanhuangshengcheng
卵黄生成素	luanhuangshengchengsu
卵黄磷肽	luanhuanglintai
卵黄磷蛋白	luanhuanglindanbai
卵黄管	luanhuangguan
卵黄管囊肿	luanhuangguannangzhong
卵黄类粘蛋白	luanhuangleizhandanbai
卵黄系带	luanhuangjidai
卵黄脂磷蛋白	luanhuangzhilindanbai
卵黄脂蛋白	luanhuangzhidanbai
卵黄腔	luanhuangqiang
卵黄腺	luanhuangxian
卵黄膜	luanhuangmo
卵黄蛋白	luanhuangdanbai
卵黄蛋白原	luanhuangdanbaiyuan
卵黄贮存激素	luanhuangzhucunjisu
卵黄配基	luanhuangpeiji
卵黄锥体	luanhuangzhuiti
卵黄高磷蛋白	luanhuanggaolindanbai
卷叠式	juandieshi
卷带孢子	juandaibaozi
卷挟	juanxie
卷旋孢子	juanxuanbaozi
卷曲值	juanquzhi
卷曲系数	juanquxishu
卷曲螺旋	juanquluoxuan
卷曲霉素缠霉素	juanqumeisuchanmeisu
卷枝	juanzhi
卷枝吸胞	juanzhixibao
卷柏目	juanbaimu
卷柏石松碱	juanbaishisongjian
卷线形	juanxianxing
卷缠刺丝囊	juanchancisinang
卷荚	juanjia
卷蛾科	juaneke
卷鞘	juanqiao
卷须霉素	juanxumeisu
厄尔布麻痹	eerbumabi
厄米霉素	emimeisu
压丝器	yasiqi
压凹性水肿	yaaoxingshuizhong
压出器	yachuqi
压制效应	yazhixiaoying
压力包扎	yalibaoza
压力性尿失禁	yalixingniaoshijin
压力性尿失禁悬吊术	yalixingniaoshijinxuandiaoshu
压力感受器	yaliganshouqi
压力敷料	yalifuliao
压力灭菌	yalimiejun
压滤饼	yalvbing
压片标本	yapianbiaoben
压片点杂交	yapiandianzajiao
压眼闪光	yayanshanguang
压碎法	yasuifa
压缩室效应	yasuoshixiaoying
压缩性肺容积丧失	yasuoxingfeirongjisangshi
压缩骨折	yasuoguzhe
压肌	yaji
压觉	yajue
压迫性荨麻疹	yapoxingxunmazhen
压迫性萎缩	yapoxingweisuo
压迫疗法	yapoliaofa
压迫绷带法	yapobengdaifa
压迹	yaji
厌旱性	yanhanxing
厌气呼吸	yanqihuxi
厌氧光细菌	yanyangguangxijun
厌氧分解代谢	yanyangfenjiedaixie
厌氧培养	yanyangpeiyang
厌氧培养室	yanyangpeiyangshi
厌氧微生物	yanyangweishengwu
厌氧接触型消化器	yanyangjiechuxingxiaohuaqi
厌氧条件	yanyangtiaojian
厌氧消化器	yanyangxiaohuaqi
厌氧生活	yanyangshenghuo
厌氧生物	yanyangshengwu
厌氧细菌	yanyangxijun
厌氧膜生物反应器	yanyangmoshengwufanyingqi
厌氧菌	yanyangjun
厌氧过滤系统	yanyangguolvxitong
厌氧酵解	yanyangjiaojie
厘摩	limo
厘米波疗法	limiboliaofa
厚唇隆头鱼精蛋白	houchunlongtouyujingdanbai
厚囊蕨	hounangjue
厚垣	houyuan
厚垣孢子	houyuanbaozi
厚垣担子	houyuandanzi
厚壁分生孢子器	houbifenshengbaoziqi
厚壁孢囊	houbibaonang
厚壁孢子	houbibaozi
厚壁孢子属	houbibaozishu
厚壁组织	houbizuzhi
厚壳烯酮内酯	houkexitongneizhi
厚果槐碱	houguohuaijian
厚皮动物	houpidongwu
厚皮性骨膜病	houpixinggumobing
厚角组织	houjiaozuzhi
原中心粒	yuanzhongxinli
原代培养	yuandaipeiyang
原代细胞培养	yuandaixibaopeiyang
原位多器官灌注	yuanweiduoqiguanguanzhu
原位小肠移植	yuanweixiaochangyizhi
原位心脏移植	yuanweixinzangyizhi
原位旁肝移植	yuanweipangganyizhi
原位旁胰腺移植	yuanweipangyixianyizhi
原位杂交	yuanweizajiao
原位激活作用	yuanweijihuozuoyong
原位灌注	yuanweiguanzhu
原位癌	yuanweiai
原位移植	yuanweiyizhi
原位肝移植	yuanweiganyizhi
原体细胞	yuantixibao
原体腔动物	yuantiqiangdongwu
原养	yuanyang
原养型	yuanyangxing
原养型细菌	yuanyangxingxijun
原兽	yuanshou
原内胚层	yuanneipeiceng
原分生孢子半孢子	yuanfenshengbaozibanbaozi
原分生组织	yuanfenshengzuzhi
原初细胞	yuanchuxibao
原千金藤碱	yuanqianjintengjian
原卟啉	yuanbulin
原卟啉区	yuanbulinqu
原卵	yuanluan
原卵区	yuanluanqu
原卵母细胞	yuanluanmuxibao
原原种	yuanyuanzhong
原发	yuanfa
原发伤道	yuanfashangdao
原发变应原	yuanfabianyingyuan
原发变态反应素	yuanfabiantaifanyingsu
原发复合征	yuanfafuhezheng
原发性单纯疱疹	yuanfaxingdanchunpaozhen
原发性抗性	yuanfaxingkangxing
原发性淋巴水肿	yuanfaxinglinbashuizhong
原发性牙本质	yuanfaxingyabenzhi
原发性瘢痕挛缩	yuanfaxingbanhenluansuo
原发性皮肤结核	yuanfaxingpifujiehe
原发性移植肝无功能	yuanfaxingyizhiganwugongneng
原发性移植肾无功能	yuanfaxingyizhishenwugongneng
原发性胃食管反流	yuanfaxingweishiguanfanliu
原发性醛固酮	yuanfaxingquangutong
原发接种性结核	yuanfajiezhongxingjiehe
原发畸形	yuanfajixing
原发病	yuanfabing
原发过敏产物	yuanfaguominchanwu
原口	yuankou
原口动物	yuankoudongwu
原口囊胚	yuankounangpei
原叶体	yuanyeti
原叶体孢子	yuanyetibaozi
原叶细胞	yuanyexibao
原叶绿素	yuanyelvsu
原合子	yuanhezi
原吸器	yuanxiqi
原周包膜	yuanzhoubaomo
原哺乳动物	yuanburudongwu
原噬菌体	yuanshijunti
原囊胚	yuannangpei
原基	yuanji
原基叶体	yuanjiyeti
原基因	yuanjiyin
原基子	yuanjizi
原墓分布图	yuanmufenbutu
原头	yuantou
原头区	yuantouqu
原头叶	yuantouye
原套原体学说	yuantaoyuantixueshuo
原始丝状体	yuanshisizhuangti
原始中心	yuanshizhongxin
原始体	yuanshiti
原始体腔	yuanshitiqiang
原始内胚层	yuanshineipeiceng
原始发生	yuanshifasheng
原始口腔	yuanshikouqiang
原始叶	yuanshiye
原始叶根植物	yuanshiyegenzhiwu
原始川东虚骨龙	yuanshichuandongxugulong
原始生命起源	yuanshishengmingqiyuan
原始生态系统	yuanshishengtaixitong
原始生殖细胞	yuanshishengzhixibao
原始生物	yuanshishengwu
原始生物化学	yuanshishengwuhuaxue
原始皿	yuanshimin
原始种	yuanshizhong
原始细胞	yuanshixibao
原始羽毛	yuanshiyumao
原始胚膜	yuanshipeimo
原始菌体	yuanshijunti
原始薄壁组织	yuanshibaobizuzhi
原始蛋白	yuanshidanbai
原始血细胞	yuanshixuexibao
原始酶	yuanshimei
原子吸收分光光度计	yuanzixishoufenguangguangduji
原子囊壳	yuanzinangke
原子囊果	yuanzinangguo
原子囊菌亚纲	yuanzinangjunyagang
原子态氧	yuanzitaiyang
原子核断面单位	yuanziheduanmiandanwei
原子核裂变	yuanziheliebian
原子百分超	yuanzibaifenchao
原孢子	yuanbaozi
原孢子囊	yuanbaozinang
原孢子堆	yuanbaozidui
原孢子梗	yuanbaozigeng
原小尖	yuanxiaojian
原小梗	yuanxiaogeng
原尾幼虫	yuanweiyouchong
原尾目	yuanweimu
原巨	yuanju
原巨成红细胞	yuanjuchenghongxibao
原巨核细胞	yuanjuhexibao
原巨红细胞	yuanjuhongxibao
原弹性蛋白	yuantanxingdanbai
原形成层	yuanxingchengceng
原形成层束	yuanxingchengcengshu
原手性中心	yuanshouxingzhongxin
原担子	yuandanzi
原放线菌素	yuanfangxianjunsu
原春孢器	yuanchunbaoqi
原有丝分裂	yuanyousifenlie
原有酶	yuanyoumei
原本卟啉	yuanbenbulin
原杂种	yuanzazhong
原板	yuanban
原果胶	yuanguojiao
原果胶酶	yuanguojiaomei
原核	yuanhe
原核生物	yuanheshengwu
原核生物界	yuanheshengwujie
原核糖体	yuanhetangti
原核细胞	yuanhexibao
原核蛋白体	yuanhedanbaiti
原植体	yuanzhiti
原植体植物	yuanzhitizhiwu
原椎	yuanzhui
原椎体	yuanzhuiti
原椎骨	yuanzhuigu
原模式	yuanmoshi
原模式标本	yuanmoshibiaoben
原氏结	yuanshijie
原浆粒	yuanjiangli
原淋巴细胞	yuanlinbaxibao
原溶酶体	yuanrongmeiti
原环虫纲	yuanhuanchonggang
原球茎	yuanqiujing
原球蛋白	yuanqiudanbai
原生中柱	yuanshengzhongzhu
原生动物	yuanshengdongwu
原生动物学	yuanshengdongwuxue
原生动物期	yuanshengdongwuqi
原生动物病	yuanshengdongwubing
原生动物门	yuanshengdongwumen
原生叶	yuanshengye
原生命	yuanshengming
原生木质部	yuanshengmuzhibu
原生林	yuanshenglin
原生植物	yuanshengzhiwu
原生殖细胞	yuanshengzhixibao
原生演替	yuanshengyanti
原生演替系列	yuanshengyantixilie
原生生殖	yuanshengshengzhi
原生生物	yuanshengshengwu
原生生物学	yuanshengshengwuxue
原生生物界	yuanshengshengwujie
原生粒	yuanshengli
原生质	yuanshengzhi
原生质体	yuanshengzhiti
原生质体分离	yuanshengzhitifenli
原生质体培养	yuanshengzhitipeiyang
原生质体融合	yuanshengzhitironghe
原生质凝胶	yuanshengzhiningjiao
原生质桥	yuanshengzhiqiao
原生质泡状学说	yuanshengzhipaozhuangxueshuo
原生质流动	yuanshengzhiliudong
原生质测定法	yuanshengzhicedingfa
原生质溶胶	yuanshengzhirongjiao
原生质球	yuanshengzhiqiu
原生质球状体	yuanshengzhiqiuzhuangti
原生质素	yuanshengzhisu
原生质网	yuanshengzhiwang
原生质膜	yuanshengzhimo
原生质膨裂	yuanshengzhipenglie
原生韧皮部	yuanshengrenpibu
原生鼠	yuanshengshu
原病毒	yuanbingdu
原癌基因	yuanaijiyin
原白头翁素	yuanbaitouwengsu
原百部碱	yuanbaibujian
原眼点	yuanyandian
原示	yuanshi
原种圃	yuanzhongpu
原种植物	yuanzhongzhiwu
原簇虫	yuancuchong
原索动物门	yuansuodongwumen
原红细胞	yuanhongxibao
原纤维	yuanxianwei
原纤维形成	yuanxianweixingcheng
原纤维溶解	yuanxianweirongjie
原纹状体	yuanwenzhuangti
原线粒体	yuanxianliti
原细丝	yuanxisi
原绒毛膜	yuanrongmaomo
原结	yuanjie
原聚体	yuanjuti
原肌球	yuanjiqiu
原肌球蛋白	yuanjiqiudanbai
原肛激素	yuangangjisu
原肠	yuanchang
原肠中胚层	yuanchangzhongpeiceng
原肠口	yuanchangkou
原肠幼虫	yuanchangyouchong
原肠祖	yuanchangzu
原肠胚	yuanchangpei
原肠胚内陷	yuanchangpeineixian
原肠胚形成	yuanchangpeixingcheng
原肠胚期	yuanchangpeiqi
原肠腔	yuanchangqiang
原肢	yuanzhi
原肢节	yuanzhijie
原肾	yuanshen
原肾管	yuanshenguan
原肾节	yuanshenjie
原胆色烷	yuandansewan
原胆酸	yuandansuan
原胚	yuanpei
原胚体	yuanpeiti
原胚柄	yuanpeibing
原胚状体	yuanpeizhuangti
原胚胞	yuanpeibao
原胶原	yuanjiaoyuan
原胶原蛋白	yuanjiaoyuandanbai
原胸骨	yuanxionggu
原脉网	yuanmaiwang
原脊椎	yuanjizhui
原脑	yuannao
原脑皮	yuannaopi
原脑皮质	yuannaopizhi
原节肢动物	yuanjiezhidongwu
原芽	yuanya
原芽体	yuanyati
原荷叶碱	yuanheyejian
原菌幕	yuanjunmu
原藜芦碱	yuanlilujian
原藻病	yuanzaobing
原虫外胞浆内层	yuanchongwaibaojiangneiceng
原虫外胞浆的中层	yuanchongwaibaojiangdezhongceng
原虫病	yuanchongbing
原蟒蛇	yuanmangshe
原血细胞	yuanxuexibao
原表皮层	yuanbiaopiceng
原被子植物类	yuanbeizizhiwulei
原质体	yuanzhiti
原质体系	yuanzhitixi
原质团	yuanzhituan
原质团分割	yuanzhituanfenge
原足	yuanzu
原躯	yuanqu
原配子	yuanpeizi
原配子囊	yuanpeizinang
原酶原	yuanmeiyuan
原锈	yuanxiu
原锈孢子器	yuanxiubaoziqi
原间千金藤碱	yuanjianqianjintengjian
原顶体	yuandingti
原顶极	yuandingji
原顶极植物群落	yuandingjizhiwuqunluo
原鳍	yuanqi
原黄素	yuanhuangsu
去上皮	qushangpi
去上皮皮瓣	qushangpipiban
去偏振作用	qupianzhenzuoyong
去六肽卵清蛋白	quliutailuanqingdanbai
去冠器	quguanqi
去分化	qufenhua
去利通	qulitong
去半乳糖	qubanrutang
去原子	quyuanzi
去同步化	qutongbuhua
去同步化作用	qutongbuhuazuoyong
去唾液酸	qutuoyesuan
去唾液酸作用	qutuoyesuanzuoyong
去唾液酸卵粘蛋白	qutuoyesuanluanzhandanbai
去唾液酸糖苷	qutuoyesuantanggan
去唾液酸糖蛋白	qutuoyesuantangdanbai
去唾液酸胎球蛋白	qutuoyesuantaiqiudanbai
去唾液酸血型糖蛋白	qutuoyesuanxuexingtangdanbai
去唾液酸运铁蛋白	qutuoyesuanyuntiedanbai
