# 泰深输入法专业词库 — biology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：搜狗细胞词库（官方推荐分类），scel2txt 转换

三度烧伤	sandushaoshang
三异丙	sanyibing
三态性	santaixing
三态现象	santaixianxiang
三戊酸甘油酯	sanwusuanganyouzhi
三指节畸形	sanzhijiejixing
三放体	sanfangti
三日疟	sanrinue
三星光卵	sanxingguangluan
三显性组合	sanxianxingzuhe
三月桂酸甘油酯	sanyueguisuanganyouzhi
三期梅毒	sanqimeidu
三核苷酸	sanhegansuan
三根分叉部	sangenfenchabu
三棕榈酸甘油酯	sanzonglvsuanganyouzhi
三次分裂	sancifenlie
三次肝移植	sanciganyizhi
三歧肠类	sanqichanglei
三段排尿	sanduanpainiao
三氟乙酐	sanfuyigan
三氟乙酰解	sanfuyixianjie
三氟胸苷	sanfuxionggan
三氧嘌呤	sanyangpiaoling
三氨基癸酸	sananjiguisuan
三氯乙酸	sanlvyisuan
三氯苯氧乙酸	sanlvbenyangyisuan
三油酸甘油酯	sanyousuanganyouzhi
三点测验	sandianceyan
三点试验	sandianshiyan
三烯脂肪酸	sanxizhifangsuan
三烯酸	sanxisuan
三爪蚴	sanzhaoyou
三甘露糖	sanganlutang
三生儿	sanshenger
三用喷枪	sanyongpenqiang
三甲叉亚胺甲酸	sanjiachayaanjiasuan
三甲基	sanjiaji
三甲基异咯嗪	sanjiajiyigeqin
三甲基甘氨醛	sanjiajigananquan
三甲基硬脂酸	sanjiajiyingzhisuan
三甲基赖氨酸内盐	sanjiajilaiansuanneiyan
三甲川胆色素	sanjiachuandansesu
三甲氧苄二氨嘧啶	sanjiayangbianeranmiding
三甲羟替乙烯胺	sanjiaqiangtiyixian
三甲花翠素	sanjiahuacuisu
三甲花翠苷	sanjiahuacuigan
三甲黄嘌呤	sanjiahuangpiaoling
三相交换体	sanxiangjiaohuanti
三硝基甘油	sanxiaojiganyou
三硝基苯酚	sanxiaojibenfen
三硝酸甘油脂	sanxiaosuanganyouzhi
三硝酸甘油酯	sanxiaosuanganyouzhi
三硬脂酸甘油酯	sanyingzhisuanganyouzhi
三碘甲烷	sandianjiawan
三碘甲腺丙酮酸	sandianjiaxianbingtongsuan
三碘甲腺原氨酸	sandianjiaxianyuanansuan
三磷酸吡啶核苷酸	sanlinsuanbidinghegansuan
三磷酸肌醇	sanlinsuanjichun
三磷酸腺	sanlinsuanxian
三磷酸腺苷	sanlinsuanxiangan
三磷酸腺苷酶	sanlinsuanxianganmei
三磷酸酶	sanlinsuanmei
三磷酸鸟嘌呤核苷	sanlinsuanniaopiaolinghegan
三磷酸鸟苷	sanlinsuanniaogan
三糖	santang
三系杂交	sanxizajiao
三系杂种	sanxizazhong
三级结构	sanjijiegou
三级飞羽	sanjifeiyu
三维形象显示	sanweixingxiangxianshi
三维结构	sanweijiegou
三维象	sanweixiang
三羟十二烷酮酸	sanqiangshierwantongsuan
三羟基	sanqiangji
三羟基十八烷酸	sanqiangjishibawansuan
三羟基十六	sanqiangjishiliu
三羟基十六烷酸	sanqiangjishiliuwansuan
三羟基吲哚	sanqiangjiyinduo
三羟基异黄酮	sanqiangjiyihuangtong
三羟基甲基蒽醌	sanqiangjijiajienkun
三羟基芪	sanqiangjiqi
三羟基蒽醌	sanqiangjienkun
三羟甲	sanqiangjia
三羟莨菪烷	sanqianglangdangwan
三羟蒽醌羧酸	sanqiangenkunsuosuan
三羟黄烷酮	sanqianghuangwantong
三羟黄烷醇	sanqianghuangwanchun
三羟黄酮醇	sanqianghuangtongchun
三羧酸循环	sansuosuanxunhuan
三联体	sanlianti
三联体密码	sanliantimima
三联体密码子抑制基因	sanliantimimaziyizhijiyin
三联体密码子突变	sanliantimimazitubian
三联免疫抑制治疗	sanlianmianyiyizhizhiliao
三联密码	sanlianmima
三聚氰酰胺	sanjuqingxianan
三股螺旋	sanguluoxuan
三肽	santai
三肽酶	santaimei
三脂酰甘油	sanzhixianganyou
三脚架种植体	sanjiaojiazhongzhiti
三脚蛋白复合体	sanjiaodanbaifuheti
三腔双囊管	sanqiangshuangnangguan
三臂卡环	sanbikahuan
三苔色酸	santaisesuan
三苯甲	sanbenjia
三苯甲基	sanbenjiaji
三苯甲基纤维素	sanbenjiajixianweisu
三菱形皮瓣	sanlingxingpiban
三萜	santie
三蒂皮瓣	sandipiban
三螺旋结构	sanluoxuanjiegou
三角区脑膜瘤	sanjiaoqunaomoliu
三角双板	sanjiaoshuangban
三角嵴	sanjiaoji
三角形顶	sanjiaoxingding
三角突	sanjiaotu
三角绷带	sanjiaobengdai
三软脂酸甘油酯	sanruanzhisuanganyouzhi
三轴骨针	sanzhouguzhen
三辐体	sanfuti
三道体区	sandaotiqu
三酰甘油	sanxianganyou
三酰甘油酯	sanxianganyouzhi
三酸甘油醋	sansuanganyoucu
三醇	sanchun
三重寄生	sanchongjisheng
三重线态	sanchongxiantai
三链螺旋	sanlianluoxuan
三锥牙	sanzhuiya
三锥齿	sanzhuichi
三鞭毛细胞	sanbianmaoxibao
上三角室	shangsanjiaoshi
上三角室横脉	shangsanjiaoshihengmai
上丘	shangqiu
上丘肋	shangqiulei
上丘脑	shangqiunao
上主静脉	shangzhujingmai
上伞	shangsan
上位参量	shangweicanliang
上位基因	shangweijiyin
上位子房	shangweizifang
上位式	shangweishi
上位性	shangweixing
上位显性	shangweixianxing
上位相互作用	shangweixianghuzuoyong
上位离差	shangweilicha
上位花	shangweihua
上位菌环	shangweijunhuan
上侧片	shangcepian
上内尖	shangneijian
上前侧片	shangqiancepian
上后侧片	shanghoucepian
上后尖	shanghoujian
上向运输	shangxiangyunshu
上咽头	shangyantou
上唇侧片	shangchuncepian
上唇前片	shangchunqianpian
上唇根	shangchungen
上唇正中裂	shangchunzhengzhonglie
上唇线	shangchunxian
上唇腺	shangchunxian
上喙骨	shanghuigu
上嘴鞘	shangzuiqiao
上基细胞	shangjixibao
上壳面	shangkemian
上子实层	shangzishiceng
上尖牙	shangjianya
上层发酵	shangcengfajiao
上层发酵酵母	shangcengfajiaojiaomu
上层浮游生物	shangcengfuyoushengwu
上层清液	shangcengqingye
上层自游生物	shangcengziyoushengwu
上担子	shangdanzi
上枕骨	shangzhengu
上殖板	shangzhiban
上清液	shangqingye
上游加工	shangyoujiagong
上游启动子	shangyouqidongzi
上游启动子元件	shangyouqidongziyuanjian
上游序列	shangyouxulie
上游激活位点	shangyoujihuoweidian
上游激活因子序列	shangyoujihuoyinzixulie
上游激活序列	shangyoujihuoxulie
上游表达序列	shangyoubiaodaxulie
上游诱导序列	shangyouyoudaoxulie
上游阻抑序列	shangyouzuyixulie
上游阻遏序列	shangyouzuexulie
上犬齿	shangquanchi
上皮	shangpi
上皮体	shangpiti
上皮化	shangpihua
上皮床	shangpichuang
上皮形成	shangpixingcheng
上皮样细胞	shangpiyangxibao
上皮根鞘	shangpigenqiao
上皮片移植	shangpipianyizhi
上皮珠	shangpizhu
上皮生长因子	shangpishengzhangyinzi
上皮移植	shangpiyizhi
上皮细胞	shangpixibao
上皮腺	shangpixian
