# 泰深输入法专业词库 — chemistry
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
核糖體分型	hetangtifenxing
六氟丙烷	liufubingwan
五碘化磷	wudianhualin
全氟丁磺酸盐	quanfudinghuangsuanyan
胺菊酯	anjuzhi
三氯萘	sanlvnai
光热效应	guangrexiaoying
二氟苯胺	erfubenan
季先科反应	jixiankefanying
二十碳五烯酸	ershitanwuxisuan
甲氧基雌二醇	jiayangjicierchun
乳酸钴	rusuangu
脱氧核糖核苷	tuoyanghetanghegan
铯钟	sezhong
苏糖	sutang
釷燃料循環	turanliaoxunhuan
氟铃脲	fulingniao
青黴烷	qingmeiwan
三聚磷酸	sanjulinsuan
生物化学杂志	shengwuhuaxuezazhi
湿化学	shihuaxue
乙酰丙酮钆	yixianbingtongga
德国化学会	deguohuaxuehui
铝试剂	lvshiji
描述符	miaoshufu
氟化氯	fuhualv
保守性替换	baoshouxingtihuan
七锑化三铯	qitihuasanse
甲磺隆	jiahuanglong
环糊精	huanhujing
高泛酸	gaofansuan
串级反应	chuanjifanying
电子排布	dianzipaibu
氟化氙	fuhuaxian
范海福	fanhaifu
皮尔逊符号	pierxunfuhao
硫酸锑	liusuanti
赖利氧化反应	lailiyanghuafanying
氟苯磺酸	fubenhuangsuan
氯甲苯	lvjiaben
分析化学	fenxihuaxue
定量构效关系	dinglianggouxiaoguanxi
溶胶	rongjiao
氮化硫	danhualiu
三聚氰氯	sanjuqinglv
江桂斌	jiangguibin
道尔顿	daoerdun
化學星空	huaxuexingkong
不饱和度	bubaohedu
辐射化学	fushehuaxue
黏蛋白	niandanbai
双原子碳	shuangyuanzitan
單步驟反應	danbuzhoufanying
收斂性合成	shoulianxinghecheng
甲酸铵	jiasuanan
氧化镨	yanghuapu
碘酸铅	diansuanqian
砷化铝	shenhualv
唐本忠	tangbenzhong
多結晶	duojiejing
黄乃正	huangnaizheng
分提	fenti
吲哚乙酸	yinduoyisuan
二氯戊烷	erlvwuwan
氯苯甲醇	lvbenjiachun
诺孕美特	nuoyunmeite
原子轨道	yuanziguidao
甲基血清素	jiajixueqingsu
四氟乙烷	sifuyiwan
生物物理化学	shengwuwulihuaxue
氯化锫	lvhuapei
反式脂肪	fanshizhifang
二氯靛酚鈉	erlvdianfenna
扁枝衣二酸	bianzhiyiersuan
甲酸氯	jiasuanlv
甲氧基苯磺酸	jiayangjibenhuangsuan
二十碳三烯酸	ershitansanxisuan
白鲜碱	baixianjian
生命印迹	shengmingyinji
三甲苯	sanjiaben
二苯基丙胺	erbenjibingan
薛子陵	xueziling
大风子油酸	dafengziyousuan
橋接配體	qiaojiepeiti
二氯乙烷	erlvyiwan
镄	fei
氯苯乙烯	lvbenyixi
硫氰酸钙	liuqingsuangai
材料硬度	cailiaoyingdu
高钴酸盐	gaogusuanyan
变旋	bianxuan
异戊酸苯乙酯	yiwusuanbenyizhi
磷酸二氢铝	linsuanerqinglv
闪烁体探测器	shanshuotitanceqi
环己烷构象	huanjiwangouxiang
甲醇经济	jiachunjingji
甲基苯甲醛	jiajibenjiaquan
同质异形体	tongzhiyixingti
镉	ge
丁酸异丁酯	dingsuanyidingzhi
化學相似性	huaxuexiangshixing
钇	yi
中介效应	zhongjiexiaoying
氯酸铋	lvsuanbi
三氟甲磺酰基	sanfujiahuangxianji
去氢木香内酯	quqingmuxiangneizhi
四碘合铋酸钾	sidianhebisuanjia
硒酸钆	xisuanga
位向关系	weixiangguanxi
质子化	zhizihua
原子序数	yuanzixushu
化学性质	huaxuexingzhi
铈异常	shiyichang
三硝基苯酚	sanxiaojibenfen
丙硫醇	bingliuchun
四碘化铌	sidianhuani
环烷酸	huanwansuan
毛壳菌素	maokejunsu
半乳糖二酸	banrutangersuan
碳化钍	tanhuatu
组合化学	zuhehuaxue
戊二烯	wuerxi
陈文兴	chenwenxing
離子交換	lizijiaohuan
丁腈	dingjing
锔	ju
原液	yuanye
皇家化学学院	huangjiahuaxuexueyuan
己氨酸	jiansuan
丙酸叔丁酯	bingsuanshudingzhi
非键轨道	feijianguidao
各向异性	gexiangyixing
乙硫酰丙喹	yiliuxianbingkui
山梨糖	shanlitang
空间群	kongjianqun
鲨烯	shaxi
高锰酸银	gaomengsuanyin
科罗索酸	keluosuosuan
引导核糖核酸	yindaohetanghesuan
坎尼扎罗反应	kannizhaluofanying
三聚体	sanjuti
免疫組織化學	mianyizuzhihuaxue
钙循环	gaixunhuan
镎	na
去甲伪麻黄碱	qujiaweimahuangjian
十八烯酸	shibaxisuan
戴维森校正	daiweisenxiaozheng
自由基加成	ziyoujijiacheng
静电除尘	jingdianchuchen
博登施泰数	bodengshitaishu
主客体化学	zhuketihuaxue
化学实验箱	huaxueshiyanxiang
胶束	jiaoshu
双氟配合物	shuangfupeihewu
元素收藏	yuansushoucang
银量法	yinliangfa
对苯二甲醇	duibenerjiachun
氫化脂肪	qinghuazhifang
巴耳末公式	baermogongshi
焦亚硫酸	jiaoyaliusuan
高铼酸铵	gaolaisuanan
卢佩章	lupeizhang
化學恐懼症	huaxuekongjuzheng
元素列表	yuansuliebiao
王夔	wangkui
低聚半乳糖	dijubanrutang
糖苷生物碱	tangganshengwujian
龍沙集團股份	longshajituangufen
雨石蒜木脂素	yushisuanmuzhisu
钛酸乙酯	taisuanyizhi
芥子酸	jiezisuan
氫氧化錫	qingyanghuaxi
氮化锆	danhuagao
一碘化镓	yidianhuajia
键离解能	jianlijieneng
羟基萘甲酸	qiangjinaijiasuan
碳酸铍	tansuanpi
氢解	qingjie
蝙蝠葛鹼	bianfugejian
托林	tuolin
異丙苯法	yibingbenfa
溴间苯三酚	xiujianbensanfen
黄夹次苷	huangjiacigan
郑集	zhengji
康普頓波長	kangpudunbozhang
二氯化氙	erlvhuaxian
溴化去氧尿苷	xiuhuaquyangniaogan
三氮烷	sandanwan
体积黏度	tijiniandu
不对称诱导	buduichengyoudao
杨伟涛	yangweitao
杀扑磷	shapulin
双频哪醇二硼	shuangpinnachunerpeng
石灰窑	shihuiyao
肽	tai
氯色胺	lvsean
非金属性	feijinshuxing
可燃性	keranxing
藥物設計	yaowusheji
有机钋化学	youjipohuaxue
平纳反应	pingnafanying
二硝基萘	erxiaojinai
鋁熱反應	lvrefanying
辛酸亚铊	xinsuanyata
甲基蒽醌	jiajienkun
干燥剂	ganzaoji
磷酸三丁酯	linsuansandingzhi
自配位反应	zipeiweifanying
溴化镉铯	xiuhuagese
缩硫醛	suoliuquan
输运现象	shuyunxianxiang
镅	mei
水溶液	shuirongye
