# 泰深输入法专业词库 — 法律
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一上班	yishangban
刑事诉讼前沿研究	xingshisusongqianyanyanjiu
刑事诉讼参与人	xingshisusongcanyuren
刑事诉讼程序	xingshisusongchengxu
刑事诉讼程序价值	xingshisusongchengxujiazhi
刑事诉讼程序全书	xingshisusongchengxuquanshu
刑事调解书	xingshitiaojieshu
刑事责任解读	xingshizerenjiedu
刑事辩护	xingshibianhu
刑事辩护制度	xingshibianhuzhidu
刑事辩护学	xingshibianhuxue
刑事辩护技巧	xingshibianhujiqiao
刑事辩护指南	xingshibianhuzhinan
刑事违法性	xingshiweifaxing
刑事附带民事诉讼	xingshifudaiminshisusong
刑复	xingfu
刑奴	xingnu
刑法一本通	xingfayibentong
刑法中错误论	xingfazhongcuowulun
刑法关联法规精选	xingfaguanlianfaguijingxuan
刑法总论专题研究	xingfazonglunzhuantiyanjiu
刑法指导原则草案	xingfazhidaoyuanzecaoan
刑法效力范围	xingfaxiaolifanwei
刑法新解读	xingfaxinjiedu
刑法时效制度	xingfashixiaozhidu
刑法界定	xingfajieding
刑法适用范围	xingfashiyongfanwei
刑罚执行犹豫	xingfazhixingyouyu
刑罚执行监督	xingfazhixingjiandu
刑罚适应性	xingfashiyingxing
刑部比照加减成案	xingbubizhaojiajianchengan
列席人	liexiren
创业板上市实战	chuangyebanshangshishizhan
创新发展之路	chuangxinfazhanzhilu
初始土地登记	chushitudidengji
判例解读中韩法律	panlijieduzhonghanfalv
判决婚姻无效	panjuehunyinwuxiao
判决定罪准确	panjuedingzuizhunque
判决执行	panjuezhixing
判决权	panjuequan
判决理据	panjueliju
判决生效	panjueshengxiao
判后答疑	panhoudayi
判工行为	pangonghangwei
利息之债	lixizhizhai
利息回收率	lixihuishoulv
利息金	lixijin
利用职务之便	liyongzhiwuzhibian
利益返还请求权	liyifanhuanqingqiuquan
到岸价格	daoanjiage
制作声讯节目	zhizuoshengxunjiemu
制信息权	zhixinxiquan
制创新权	zhichuangxinquan
制定法	zhidingfa
制度变迁	zhidubianqian
制度规范	zhiduguifan
制度设计与变迁	zhidushejiyubianqian
制裁规则	zhicaiguize
刻骨挚爱	keguzhiai
前手	qianshou
前期物业服务合同	qianqiwuyefuwuhetong
前期物业管理	qianqiwuyeguanli
前父母	qianfumu
前科报告制度	qiankebaogaozhidu
前置许可证	qianzhixukezheng
前苏联检察制度	qiansulianjianchazhidu
前郭县财政局	qianguoxiancaizhengju
前门牌	qianmenpai
剥夺政治权利	boduozhengzhiquanli
副主任科员	fuzhurenkeyuan
副主席若干人	fuzhuxiruoganren
力拓案	lituoan
办公法律好帮手	bangongfalvhaobangshou
办理存款业务	banlicunkuanyewu
功利主义法学	gonglizhuyifaxue
功利主义法学派	gonglizhuyifaxuepai
加大结构调整力度	jiadajiegoutiaozhenglidu
加工合同	jiagonghetong
加工承揽合同	jiagongchenglanhetong
加工承揽合同条例	jiagongchenglanhetongtiaoli
加工贸易	jiagongmaoyi
加强劳动保护	jiaqianglaodongbaohu
加强税收征管稽查	jiaqiangshuishouzhengguanjicha
加强证据	jiaqiangzhengju
加拿大刑事法典	jianadaxingshifadian
加拿大家庭法汇编	jianadajiatingfahuibian
加拿大最高法院	jianadazuigaofayuan
加拿大法律	jianadafalv
加拿大环境法	jianadahuanjingfa
加权平均值	jiaquanpingjunzhi
动产抵押登记办法	dongchandiyadengjibanfa
动植物检疫失职罪	dongzhiwujianyishizhizui
动物致害责任	dongwuzhihaizeren
助理审判员	zhulishenpanyuan
助理执业医师	zhulizhiyeyishi
劫持交通工具罪	jiechijiaotonggongjuzui
劫持船只	jiechichuanzhi
劳保医疗制度	laobaoyiliaozhidu
劳务分包合同	laowufenbaohetong
劳务派遣	laowupaiqian
劳动争议仲裁时效	laodongzhengyizhongcaishixiao
劳动争议仲裁程序	laodongzhengyizhongcaichengxu
劳动争议处理	laodongzhengyichuli
劳动争议处理实务	laodongzhengyichulishiwu
劳动仲裁程序	laodongzhongcaichengxu
劳动保险金	laodongbaoxianjin
劳动合同权益维护	laodonghetongquanyiweihu
劳动合同违约	laodonghetongweiyue
劳动就业制度	laodongjiuyezhidu
劳动教养试行办法	laodongjiaoyangshixingbanfa
劳动新法	laodongxinfa
劳动派遣合同	laodongpaiqianhetong
劳动用工	laodongyonggong
劳动用工权	laodongyonggongquan
劳动者权益法律通	laodongzhequanyifalvtong
劳改场	laogaichang
劳教人员习艺劳动	laojiaorenyuanxiyilaodong
劳资矛盾	laozimaodun
募股文件	muguwenjian
募集设立	mujisheli
化妆品标识	huazhuangpinbiaoshi
化妆品监管法规	huazhuangpinjianguanfagui
化学危险物品	huaxueweixianwupin
化州市公路局	huazhoushigongluju
化验室管理制度	huayanshiguanlizhidu
北京居住证制	beijingjuzhuzhengzhi
北京市公路条例	beijingshigonglutiaoli
北京法院指导案例	beijingfayuanzhidaoanli
北约自由统一法案	beiyueziyoutongyifaan
区公安分局	qugonganfenju
区域产业转移	quyuchanyezhuanyi
区域性国际组织	quyuxingguojizuzhi
医事法律	yishifalv
医事法研究	yishifayanjiu
医女制度	yinvzhidu
医患协商	yihuanxieshang
医患权益与保护	yihuanquanyiyubaohu
医生干涉权	yishengganshequan
医疗事故处理条例	yiliaoshiguchulitiaoli
医疗事故赔	yiliaoshigupei
医疗事故赔偿法	yiliaoshigupeichangfa
医疗事故鉴定	yiliaoshigujianding
医疗产品责任	yiliaochanpinzeren
医疗侵权	yiliaoqinquan
医疗保健福利制度	yiliaobaojianfulizhidu
医疗保险合同	yiliaobaoxianhetong
医疗保险法	yiliaobaoxianfa
医疗告知手册	yiliaogaozhishouce
医疗器械注册证	yiliaoqixiezhucezheng
医疗器械管理条例	yiliaoqixieguanlitiaoli
医疗广告管理办法	yiliaoguanggaoguanlibanfa
医疗废物管理条例	yiliaofeiwuguanlitiaoli
医疗待遇	yiliaodaiyu
医疗技术事故	yiliaojishushigu
医疗改革	yiliaogaige
医疗服务合同	yiliaofuwuhetong
医疗机构执业资格	yiliaojigouzhiyezige
医疗法律学	yiliaofalvxue
医疗药费	yiliaoyaofei
医疗过失行为	yiliaoguoshixingwei
医药卫生法	yiyaoweishengfa
医药卫生法律手册	yiyaoweishengfalvshouce
医诉	yisu
医院分级管理办法	yiyuanfenjiguanlibanfa
医院感染管理办法	yiyuanganranguanlibanfa
医院评审	yiyuanpingshen
十堰市卫生监督局	shiyanshiweishengjianduju
十字架刑	shizijiaxing
十年观察	shinianguancha
十指指纹登记	shizhizhiwendengji
千年回合	qiannianhuihe
千户制	qianhuzhi
华人风俗习惯法典	huarenfengsuxiguanfadian
华盛顿公约	huashengdungongyue
协会罢工险条款	xiehuibagongxiantiaokuan
协作型联营	xiezuoxinglianying
协力义务	xieliyiwu
协商一致原则	xieshangyizhiyuanze
协商定价法	xieshangdingjiafa
协商性司法	xieshangxingsifa
协定贸易	xiedingmaoyi
协议一方	xieyiyifang
协议交割	xieyijiaoge
协议仲裁制度研究	xieyizhongcaizhiduyanjiu
协议全损	xieyiquansun
协议外资金额	xieyiwaizijine
协议收购	xieyishougou
协议无效	xieyiwuxiao
协议离婚制度	xieyilihunzhidu
协议转让	xieyizhuanrang
单一之债	danyizhizhai
单一客体	danyiketi
单一来源采购	danyilaiyuancaigou
单一欧洲法	danyiouzhoufa
单一风险合同	danyifengxianhetong
单位产权	danweichanquan
单位产权房	danweichanquanfang
单位住房	danweizhufang
单位犯罪主体	danweifanzuizhuti
单位犯罪诉讼程序	danweifanzuisusongchengxu
单位经营资金	danweijingyingzijin
单位行贿罪	danweixinghuizui
单位被害人	danweibeihairen
单位违法违纪	danweiweifaweiji
单层次的选择构成	dancengcidexuanzegoucheng
单方允诺	danfangyunnuo
单方民事法律行为	danfangminshifalvxingwei
单方终止合同	danfangzhongzhihetong
单独定价药品	dandudingjiayaopin
单病种医保	danbingzhongyibao
单纯形成权	danchunxingchengquan
卖出回购证券	maichuhuigouzhengquan
南京市档案条例	nanjingshidangantiaoli
南北榜案	nanbeibangan
南安市金桥中学	nananshijinqiaozhongxue
南通市城管局	nantongshichengguanju
南部县卫生局	nanbuxianweishengju
南锥体共同市场	nanzhuitigongtongshichang
南非共和国宪法	nanfeigongheguoxianfa
博帕尔事件	bopaershijian
博彩专营合约	bocaizhuanyingheyue
博登海默	bodenghaimo
博纳姆医生案	bonamuyishengan
占有人	zhanyouren
占有保护请求权	zhanyoubaohuqingqiuquan
占有制度	zhanyouzhidu
占有回复请求权	zhanyouhuifuqingqiuquan
占有改定	zhanyougaiding
占有时效	zhanyoushixiao
占有权能	zhanyouquanneng
占用公物	zhanyonggongwu
占用资金	zhanyongzijin
占编不入编	zhanbianburubian
占道经营	zhandaojingying
卡尔多补偿	kaerduobuchang
卡尔斯巴德决议	kaersibadejueyi
卢一凡	luyifan
卢森堡议会	lusenbaoyihui
卫生信访工作办法	weishengxinfanggongzuobanfa
印刷业管理	yinshuayeguanli
印刷业管理条例	yinshuayeguanlitiaoli
印度共和国宪法	yindugongheguoxianfa
印度古代法	yindugudaifa
印度国防大学	yinduguofangdaxue
印第安人迁移法	yindianrenqianyifa
印花税法	yinhuashuifa
印花税法案	yinhuashuifaan
危害公共安全	weihaigonggonganquan
危害公共安全罪	weihaigonggonganquanzui
危害种族罪公约	weihaizhongzuzuigongyue
危害税收征管罪	weihaishuishouzhengguanzui
危机与未来	weijiyuweilai
危险作业	weixianzuoye
危险刑法	weixianxingfa
危险单位	weixiandanwei
危险品场站	weixianpinchangzhan
危险故意	weixianguyi
危险物品运输法	weixianwupinyunshufa
危险犯	weixianfan
危险犯研究	weixianfanyanjiu
危险责任原则	weixianzerenyuanze
危险驾驶罪	weixianjiashizui
原产地规则协议	yuanchandiguizexieyi
原告人事毕不放回	yuangaorenshibibufanghui
原来你并不快乐	yuanlainibingbukuaile
原裁定	yuancaiding
厦门大学法学院	xiamendaxuefaxueyuan
厦门科宏眼科医院	xiamenkehongyankeyiyuan
厩苑律	jiuyuanlv
县长考试条例	xianzhangkaoshitiaoli
参加付款人	canjiafukuanren
参加优先股	canjiayouxiangu
参加公司债	canjiagongsizhai
参加承兑	canjiachengdui
参加承兑人	canjiachengduiren
参加民兵组织	canjiaminbingzuzhi
参汉酌金	canhanzhuojin
参照公务员法	canzhaogongwuyuanfa
参照单位	canzhaodanwei
参见罪状	canjianzuizhuang
参观访问法	canguanfangwenfa
双层船壳	shuangcengchuanke
双方自愿离婚	shuangfangziyuanlihun
双本位制	shuangbenweizhi
双边冲突规范	shuangbianchongtuguifan
双边货币互换协议	shuangbianhuobihuhuanxieyi
双重否决权	shuangchongfoujuequan
双重标准理论	shuangchongbiaozhunlilun
双重犯罪原则	shuangchongfanzuiyuanze
双面打印	shuangmiandayin
反价格垄断规定	fanjiagelongduanguiding
反倾销初步裁定	fanqingxiaochubucaiding
反倾销应对一点通	fanqingxiaoyingduiyidiantong
反倾销日落复审	fanqingxiaoriluofushen
反倾销最终裁定	fanqingxiaozuizhongcaiding
反分裂国家法	fanfenlieguojiafa
反商业贿赂	fanshangyehuilu
反垄断公益诉讼	fanlongduangongyisusong
反垄断政策	fanlongduanzhengce
反垄断法与经济学	fanlongduanfayujingjixue
反垄断法研究	fanlongduanfayanjiu
反基因歧视法	fanjiyinqishifa
反对官僚主义	fanduiguanliaozhuyi
反对解释	fanduijieshi
反对邪教保障人权	fanduixiejiaobaozhangrenquan
反应性精神病	fanyingxingjingshenbing
反渎局	fanduju
反渎职侵权	fanduzhiqinquan
反渎职侵权局	fanduzhiqinquanju
反社会党人非常法	fanshehuidangrenfeichangfa
反虐待动物法	fannvedaidongwufa
反要约	fanyaoyue
反贪污贿赂局	fantanwuhuiluju
发包与承包	fabaoyuchengbao
发展与稳定	fazhanyuwending
发展中八国集团	fazhanzhongbaguojituan
发展及其影响	fazhanjiqiyingxiang
发展权利宣言	fazhanquanlixuanyan
发展权论	fazhanquanlun
发展研究中心	fazhanyanjiuzhongxin
发展规划	fazhanguihua
发展计划委员会	fazhanjihuaweiyuanhui
发明专利权	famingzhuanliquan
发明专利权人	famingzhuanliquanren
发生法律效力	fashengfalvxiaoli
发行中介机构	faxingzhongjiejigou
发行放映权	faxingfangyingquan
发行货币	faxinghuobi
发言表决免究权	fayanbiaojuemianjiuquan
发还相关被害人	fahuanxiangguanbeihairen
发遣	faqian
取得后	qudehou
取消性惩罚	quxiaoxingchengfa
取缔教育歧视公约	qudijiaoyuqishigongyue
受人民监督	shourenminjiandu
受供养子女	shougongyangzinv
受托保管人	shoutuobaoguanren
受益方	shouyifang
受让股权	shourangguquan
受贿罪研究新动向	shouhuizuiyanjiuxindongxiang
受贿罪辩护	shouhuizuibianhu
变劣发明	bianliefaming
变卖试行办法	bianmaishixingbanfa
变更产权	biangengchanquan
变更企业性质	biangengqiyexingzhi
变更注册商标公告	biangengzhuceshangbiaogonggao
变更登记	biangengdengji
变造国家货币	bianzaoguojiahuobi
口供补强规则	kougongbuqiangguize
口头委托协议	koutouweituoxieyi
古典自然法学派	gudianziranfaxuepai
古埃及法	guaijifa
古城派出所	guchengpaichusuo
古希腊军事法	guxilajunshifa
古希腊法	guxilafa
古籍数字化	gujishuzihua
古籍普查	gujipucha
古董法规	gudongfagui
另一种和谐	lingyizhonghexie
另行委托辩护	lingxingweituobianhu
可作多种解释	kezuoduozhongjieshi
可再生能源法	kezaishengnengyuanfa
可分之债	kefenzhizhai
可待因中毒	kedaiyinzhongdu
可得利益损失	kedeliyisunshi
可执行财产	kezhixingcaichan
可比非受控价格法	kebifeishoukongjiagefa
可流转票据	keliuzhuanpiaoju
可自由兑换货币	keziyouduihuanhuobi
可行性报告	kexingxingbaogao
可调价格合同	ketiaojiagehetong
可转债回售	kezhuanzhaihuishou
可转换债券	kezhuanhuanzhaiquan
可转让单证	kezhuanrangdanzheng
可转让票据	kezhuanrangpiaoju
可转让许可证	kezhuanrangxukezheng
台商故事	taishanggushi
台湾事务办公室	taiwanshiwubangongshi
台湾南投地方法院	taiwannantoudifangfayuan
台湾台北地方法院	taiwantaibeidifangfayuan
台湾基隆地方法院	taiwanjilongdifangfayuan
台湾鸦片令	taiwanyapianling
台规	taigui
台谏合一	taijianheyi
台谏官	taijianguan
台院	taiyuan
叶亚飞	yeyafei
叶波	yebo
司户参军	sihucanjun
司法体制改革	sifatizhigaige
司法信息技术	sifaxinxijishu
司法制度新论	sifazhiduxinlun
司法制度比较	sifazhidubijiao
司法协助制度	sifaxiezhuzhidu
司法协助条约	sifaxiezhutiaoyue
司法参军事	sifacanjunshi
司法实用文写作	sifashiyongwenxiezuo
司法局副局长	sifajufujuzhang
司法局局长	sifajujuzhang
司法工作人员	sifagongzuorenyuan
司法改革	sifagaige
司法改革研究	sifagaigeyanjiu
司法笔录训练	sifabiluxunlian
司法考试大纲	sifakaoshidagang
司法考试教材	sifakaoshijiaocai
司法考试记忆通	sifakaoshijiyitong
司法院校	sifayuanxiao
司法黄牛	sifahuangniu
司法黄牛案	sifahuangniuan
吃好好	chihaohao
各委员会主任	geweiyuanhuizhuren
各级地方政府	gejidifangzhengfu
合众为一	hezhongweiyi
合伙企业法	hehuoqiyefa
合伙企业法辞解	hehuoqiyefacijie
合伙共有财产	hehuogongyoucaichan
合作社法	hezuoshefa
合作社章程	hezuoshezhangcheng
合同保险金额	hetongbaoxianjine
合同债权质押	hetongzhaiquanzhiya
合同台帐	hetongtaizhang
合同小签	hetongxiaoqian
合同履行不能	hetonglvxingbuneng
合同履行地	hetonglvxingdi
合同履行瑕疵	hetonglvxingxiaci
合同战术	hetongzhanshu
合同承担	hetongchengdan
合同效力制度	hetongxiaolizhidu
合同煤	hetongmei
合同生效要件	hetongshengxiaoyaojian
合同示范文本	hetongshifanwenben
合同约定	hetongyueding
合同缔约过失责任	hetongdiyueguoshizeren
合同能源管理模式	hetongnengyuanguanlimoshi
合同自体法	hetongzitifa
合同诈骗罪研究	hetongzhapianzuiyanjiu
合并审理	hebingshenli
合法稳定住所	hefawendingzhusuo
合理性要求	helixingyaoqiu
合理注意义务	helizhuyiyiwu
合约一方	heyueyifang
合约期权	heyueqiquan
合营企业协议	heyingqiyexieyi
合营企业章程	heyingqiyezhangcheng
合谋诈骗	hemouzhapian
同业拆借市场利率	tongyechaijieshichanglilv
同业竞争关系	tongyejingzhengguanxi
同住人	tongzhuren
同害报应	tonghaibaoying
同居财产	tongjucaichan
同志研究	tongzhiyanjiu
同时履行抗辩	tongshilvxingkangbian
同时履行抗辩权	tongshilvxingkangbianquan
名为联营实为借贷	mingweilianyingshiweijiedai
名义税收负担	mingyishuishoufudan
名优标志	mingyoubiaozhi
名家杂志社	mingjiazazhishe
名律师谈名案	minglvshitanmingan
后契约责任	houqiyuezeren
后悔权制度	houhuiquanzhidu
后法优于前法	houfayouyuqianfa
后现代法学	houxiandaifaxue
后现代法学思潮	houxiandaifaxuesichao
后魏律	houweilv
向公众招标	xianggongzhongzhaobiao
向单位行贿罪	xiangdanweixinghuizui
吞吐基础货币	tuntujichuhuobi
吸收合并	xishouhebing
告知义务范围	gaozhiyiwufanwei
告诉才处理	gaosucaichuli
员工培训制度	yuangongpeixunzhidu
员工维权实战兵法	yuangongweiquanshizhanbingfa
周林彬	zhoulinbin
呵护权利	hehuquanli
呼和浩特第二监狱	huhehaotedierjianyu
和谐与法治	hexieyufazhi
和谐发展	hexiefazhan
和谐奥运	hexieaoyun
和谐权	hexiequan
咨询业经营诀窍	zixunyejingyingjueqiao
品官占田荫客制	pinguanzhantianyinkezhi
品牌安全	pinpaianquan
品牌独特性	pinpaidutexing
品牌诉求	pinpaisuqiu
品种保护权	pinzhongbaohuquan
品种权代理	pinzhongquandaili
品质增减价条款	pinzhizengjianjiatiaokuan
品质机动幅度	pinzhijidongfudu
哈尔滨新建监狱	haerbinxinjianjianyu
哑吧英语	yabayingyu
唐明律合编	tangminglvhebian
唐朝官制	tangchaoguanzhi
售定	shouding
唯一代表	weiyidaibiao
商业企业	shangyeqiye
商业会计法	shangyekuaijifa
商业保险纠纷诉讼	shangyebaoxianjiufensusong
商业信贷风险	shangyexindaifengxian
商业判断原则	shangyepanduanyuanze
商业医疗保险合同	shangyeyiliaobaoxianhetong
商业承兑汇票	shangyechengduihuipiao
商业标志法	shangyebiaozhifa
商业欺诈	shangyeqizha
商业欺诈行为	shangyeqizhaxingwei
商业犯罪研究	shangyefanzuiyanjiu
商业登记法	shangyedengjifa
商业综合责任保险	shangyezonghezerenbaoxian
商业诽谤行为	shangyefeibangxingwei
商业贿赂	shangyehuilu
商业贿赂犯罪研究	shangyehuilufanzuiyanjiu
商业贿赂罪	shangyehuiluzui
商业贿赂行为	shangyehuiluxingwei
商业银行信贷文化	shangyeyinhangxindaiwenhua
商业银行法	shangyeyinhangfa
商业银行贷款政策	shangyeyinhangdaikuanzhengce
商业银行风险管理	shangyeyinhangfengxianguanli
商业风险担保	shangyefengxiandanbao
商事代理	shangshidaili
商事代理法	shangshidailifa
商事关系	shangshiguanxi
商事合伙	shangshihehuo
商事登记效力	shangshidengjixiaoli
商品化权	shangpinhuaquan
商品房协议书	shangpinfangxieyishu
商品条码管理办法	shangpintiaomaguanlibanfa
商品认证标志	shangpinrenzhengbiaozhi
商学院生存指南	shangxueyuanshengcunzhinan
商改住	shanggaizhu
商标专利版权	shangbiaozhuanlibanquan
商标专用权转让	shangbiaozhuanyongquanzhuanrang
商标仿冒	shangbiaofangmao
商标优先注册权	shangbiaoyouxianzhucequan
商标使用不当	shangbiaoshiyongbudang
商标使用许可协议	shangbiaoshiyongxukexieyi
商标印制管理制度	shangbiaoyinzhiguanlizhidu
商标印制管理办法	shangbiaoyinzhiguanlibanfa
商标反向假冒	shangbiaofanxiangjiamao
商标平台	shangbiaopingtai
商标抢注	shangbiaoqiangzhu
商标权使用权	shangbiaoquanshiyongquan
商标权利范围	shangbiaoquanlifanwei
商标权续展	shangbiaoquanxuzhan
商标权转让	shangbiaoquanzhuanrang
商标禁止权	shangbiaojinzhiquan
商用房开发贷款	shangyongfangkaifadaikuan
商贸企业文化	shangmaoqiyewenhua
商贸法律与案例	shangmaofalvyuanli
啬夫	sefu
喜临门牌	xilinmenpai
喜欢不是罪	xihuanbushizui
喜马拉雅条款	ximalayatiaokuan
嗣后不能	sihoubuneng
器官移植与脑死亡	qiguanyizhiyunaosiwang
器官移植法研究	qiguanyizhifayanjiu
器材管理制度	qicaiguanlizhidu
四不原则	sibuyuanze
四个一批	sigeyipi
四个坚定不移	sigejiandingbuyi
四个服从	sigefucong
四固定	siguding
四定法	sidingfa
四库全书术数初集	sikuquanshushushuchuji
四强公约	siqianggongyue
四级三审制	sijisanshenzhi
四级两审终审制	sijiliangshenzhongshenzhi
四警合一	sijingheyi
回归价值	huiguijiazhi
回购协议	huigouxieyi
回避决定	huibijueding
因特网服务提供者	yintewangfuwutigongzhe
团体保险合同	tuantibaoxianhetong
团体协约法	tuantixieyuefa
团队为赢	tuanduiweiying
园冶	yuanye
围堵政策	weiduzhengce
固定价格法	gudingjiagefa
固定再保险合同	gudingzaibaoxianhetong
国事犯罪	guoshifanzui
国债一级自营商	guozhaiyijiziyingshang
国债专项资金	guozhaizhuanxiangzijin
国债发行价格	guozhaifaxingjiage
国债回购	guozhaihuigou
国债法	guozhaifa
国共两党庐山谈判	guogongliangdanglushantanpan
国共停战协定	guogongtingzhanxieding
国内优先分保	guoneiyouxianfenbao
国内经济公证	guoneijingjigongzheng
国内运营权	guoneiyunyingquan
国军抗战连坐法	guojunkangzhanlianzuofa
国务院信访条例	guowuyuanxinfangtiaoli
国务院外事办	guowuyuanwaishiban
国务院审计长	guowuyuanshenjizhang
国务院扶贫开发办	guowuyuanfupinkaifaban
国务院港澳办	guowuyuangangaoban
国务院科技干部局	guowuyuankejiganbuju
国务院组织法	guowuyuanzuzhifa
国务院证券委员会	guowuyuanzhengquanweiyuanhui
国土资源听证规定	guotuziyuantingzhengguiding
国土资源监察员	guotuziyuanjianchayuan
国家专营企业	guojiazhuanyingqiye
国家主席	guojiazhuxi
国家主席制度	guojiazhuxizhidu
国家产业技术政策	guojiachanyejishuzhengce
国家产业政策	guojiachanyezhengce
国家人事局	guojiarenshiju
国家保密法	guojiabaomifa
国家公务员	guojiagongwuyuan
国家公务员法	guojiagongwuyuanfa
国家公职人员犯罪	guojiagongzhirenyuanfanzui
国家公证	guojiagongzheng
国家公诉人	guojiagongsuren
国家农业委员会	guojianongyeweiyuanhui
国家冶金工业局	guojiayejingongyeju
国家出版局	guojiachubanju
国家卫生城市标准	guojiaweishengchengshibiaozhun
国家危险废物名录	guojiaweixianfeiwuminglu
国家厉行节约	guojialixingjieyue
国家司法考试大纲	guojiasifakaoshidagang
国家国内贸易局	guojiaguoneimaoyiju
国家土地督察制度	guojiatudiduchazhidu
国家土地管理局	guojiatudiguanliju
国家地震应急预案	guojiadizhenyingjiyuan
国家城市建设总局	guojiachengshijianshezongju
国家基本养老保险	guojiajibenyanglaobaoxian
国家基本药物制度	guojiajibenyaowuzhidu
国家基本药物目录	guojiajibenyaowumulu
国家安全	guojiaanquan
国家安全工作	guojiaanquangongzuo
国家审判机关	guojiashenpanjiguan
国家工作人员	guojiagongzuorenyuan
国家干预	guojiaganyu
国家建设用地	guojiajiansheyongdi
国家总动员法	guojiazongdongyuanfa
国家恐怖主义	guojiakongbuzhuyi
国家房管局	guojiafangguanju
国家新闻出版署	guojiaxinwenchubanshu
国家机关工作人员	guojiajiguangongzuorenyuan
国家机构	guojiajigou
国家机械工业局	guojiajixiegongyeju
国家核安全局	guojiaheanquanju
国家核应急预案	guojiaheyingjiyuan
国家法律	guojiafalv
国家煤炭工业局	guojiameitangongyeju
国家现金管理制度	guojiaxianjinguanlizhidu
国家电力公司	guojiadianligongsi
国家监督	guojiajiandu
国家直接投资	guojiazhijietouzi
国家税收执法权	guojiashuishouzhifaquan
国家管辖权	guojiaguanxiaquan
国家级专项规划	guojiajizhuanxiangguihua
国家纺织工业局	guojiafangzhigongyeju
国家经济主权原则	guojiajingjizhuquanyuanze
国家经济委员会	guojiajingjiweiyuanhui
国家经济安全	guojiajingjianquan
国家经济政策	guojiajingjizhengce
国家结构	guojiajiegou
国家结构形式	guojiajiegouxingshi
国家统一司法考试	guojiatongyisifakaoshi
国家编制委员会	guojiabianzhiweiyuanhui
国家职权主义	guojiazhiquanzhuyi
国家能源投资公司	guojianengyuantouzigongsi
国家补偿	guojiabuchang
国家计量局	guojiajiliangju
国家豁免权	guojiahuomianquan
国家财产豁免权	guojiacaichanhuomianquan
国家财政政策	guojiacaizhengzhengce
国家货币政策	guojiahuobizhengce
国家轻工业局	guojiaqinggongyeju
国家边界	guojiabianjie
国家进出口银行	guojiajinchukouyinhang
国家金库制度	guojiajinkuzhidu
国家黄金管理局	guojiahuangjinguanliju
国有产权转让	guoyouchanquanzhuanrang
国有企业经营权	guoyouqiyejingyingquan
国有农场税费改革	guoyounongchangshuifeigaige
国有化政策	guoyouhuazhengce
国有独资企业	guoyouduziqiye
国有独资公司	guoyouduzigongsi
国有独资商业银行	guoyouduzishangyeyinhang
国有股减持	guoyougujianchi
国有财产法	guoyoucaichanfa
国有资产产权界定	guoyouzichanchanquanjieding
国民住宅条例	guominzhuzhaitiaoli
国籍抵触	guojidichu
国籍税收管辖权	guojishuishouguanxiaquan
国营企业调节税	guoyingqiyetiaojieshui
国营公司	guoyinggongsi
国营贸易制度	guoyingmaoyizhidu
国防专利代理机构	guofangzhuanlidailijigou
国防专利条例	guofangzhuanlitiaoli
国防动员委员会	guofangdongyuanweiyuanhui
国际习惯	guojixiguan
国际习惯做法	guojixiguanzuofa
国际产品责任法	guojichanpinzerenfa
国际人权条约	guojirenquantiaoyue
国际信用担保	guojixinyongdanbao
国际刑事法院	guojixingshifayuan
国际刑事法院规约	guojixingshifayuanguiyue
国际发展援助	guojifazhanyuanzhu
国际发展法	guojifazhanfa
国际商事仲裁法	guojishangshizhongcaifa
国际商事合同法	guojishangshihetongfa
国际商法学习指导	guojishangfaxuexizhidao
国际奶制品协议	guojinaizhipinxieyi
国际工程承包	guojigongchengchengbao
国际强行法	guojiqiangxingfa
国际恐怖主义犯罪	guojikongbuzhuyifanzui
国际托管制度	guojituoguanzhidu
国际技术转让合同	guojijishuzhuanranghetong
国际支付手段	guojizhifushouduan
国际服务贸易	guojifuwumaoyi
国际条约	guojitiaoyue
国际植物保护公约	guojizhiwubaohugongyue
国际植物命名法规	guojizhiwumingmingfagui
国际武器贸易条例	guojiwuqimaoyitiaoli
国际民事管辖权	guojiminshiguanxiaquan
国际法专题研究	guojifazhuantiyanjiu
国际法律服务贸易	guojifalvfuwumaoyi
国际法渊源	guojifayuanyuan
国际法研究院	guojifayanjiuyuan
国际海事欺诈	guojihaishiqizha
国际湿地公约	guojishidigongyue
国际热带木材协定	guojiredaimucaixieding
国际牛肉协议	guojiniurouxieyi
国际特许经营指南	guojitexujingyingzhinan
国际电信公约	guojidianxingongyue
国际知识产权制度	guojizhishichanquanzhidu
国际知识产权法	guojizhishichanquanfa
国际经济合作实务	guojijingjihezuoshiwu
国际经济法习题集	guojijingjifaxitiji
国际经济法教程	guojijingjifajiaocheng
国际航空法	guojihangkongfa
国际许可证协议	guojixukezhengxieyi
国际货币法	guojihuobifa
国际货币金融法	guojihuobijinrongfa
国际货物运输保险	guojihuowuyunshubaoxian
国际贸易条约	guojimaoyitiaoyue
国际贸易法专论	guojimaoyifazhuanlun
国际重复征税	guojichongfuzhengshui
图解刑法适用大全	tujiexingfashiyongdaquan
圆审	yuanshen
土地二轮延包	tudierlunyanbao
土地交易价格	tudijiaoyijiage
土地产权	tudichanquan
土地产权制度	tudichanquanzhidu
