# 泰深输入法专业词库 — physics
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
声的散失	shengdesanshi
经验温标	jingyanwenbiao
世界面	shijiemian
多维空间	duoweikongjian
粒子數	lizishu
真空磁导率	zhenkongcidaolv
时间旅行	shijianlvxing
传递矩阵法	chuandijuzhenfa
負頻率	fupinlv
农历五月	nongliwuyue
数学宇宙假说	shuxueyuzhoujiashuo
蒸汽锥	zhengqizhui
每分钟计数	meifenzhongjishu
平年	pingnian
偏振片	pianzhenpian
力学平衡	lixuepingheng
光學倍率	guangxuebeilv
亮度溫度	liangduwendu
定位尺	dingweichi
單演系統	danyanxitong
恢复系数	huifuxishu
過程函數	guochenghanshu
辐射计	fusheji
陰極射線	yinjishexian
双光子物理学	shuangguangziwulixue
经典极限	jingdianjixian
体积	tiji
赫士定律	heshidinglv
蓝移	lanyi
活塞效應	huosaixiaoying
表面扩散	biaomiankuosan
同位旋	tongweixuan
吉布斯相律	jibusixianglv
温熵图	wenshangtu
负温度	fuwendu
非線性系統	feixianxingxitong
雙縫實驗	shuangfengshiyan
电中微子	dianzhongweizi
全反射	quanfanshe
光的微粒理论	guangdeweilililun
甲	jia
光圈优先	guangquanyouxian
物理符號表	wulifuhaobiao
電荷	dianhe
超决定论	chaojuedinglun
熱力學狀態	relixuezhuangtai
熱漲落	rezhangluo
介观体系	jieguantixi
暖通空調	nuantongkongdiao
頻率	pinlv
索末菲展开	suomofeizhankai
贗快度	yankuaidu
奇异粒子	qiyilizi
渗流理论	shenliulilun
线面交点	xianmianjiaodian
三相点	sanxiangdian
多孔介質	duokongjiezhi
絕緣體	jueyuanti
日曆年度	riliniandu
衰减	shuaijian
准正规模式	zhunzhengguimoshi
莱顿瓶	laidunping
电热膜	dianremo
右手定則	youshoudingze
凝华	ninghua
测地线效应	cedixianxiaoying
時間膨脹	shijianpengzhang
磁通量量子	citongliangliangzi
度量张量	duliangzhangliang
辐射	fushe
物理學分支	wulixuefenzhi
奈培	naipei
弹簧秤	danhuangcheng
電功率	diangonglv
隔離體圖	gelititu
费米常数	feimichangshu
逆時針方向	nishizhenfangxiang
数值相对论	shuzhixiangduilun
球状闪电	qiuzhuangshandian
鏡像法	jingxiangfa
八爪博士	bazhaoboshi
約費研究院	yuefeiyanjiuyuan
谐波	xiebo
飽和蒸氣曲線	baohezhengqiquxian
居量反轉	juliangfanzhuan
伐里农定理	falinongdingli
旋轉式溫度計	xuanzhuanshiwenduji
常春藤麥克	changchuntengmaike
揮發性	huifaxing
蒲式耳	pushier
物理教育	wulijiaoyu
费米凝聚	feiminingju
电磁波导	diancibodao
馬克士威	makeshiwei
因果结构	yinguojiegou
中国光学学会	zhongguoguangxuexuehui
熱電效應	redianxiaoying
瀉流	xieliu
电离度	dianlidu
悬链线光学	xuanlianxianguangxue
拉曼雷射	lamanleishe
碼錶時間研究	mabiaoshijianyanjiu
線性熵	xianxingshang
南部定理	nanbudingli
黏附	nianfu
热通量	retongliang
任中洲	renzhongzhou
穿透深度	chuantoushendu
