# 泰深输入法专业词库 — economics
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
共享	gongxiang
全球金融体系	quanqiujinrongtixi
财务自由	caiwuziyou
焦点小组	jiaodianxiaozu
代田法	daitianfa
强制收回	qiangzhishouhui
大唐投資國際	datangtouziguoji
評分者間信度	pingfenzhejianxindu
全球存託憑證	quanqiucuntuopingzheng
聖憐山	shenglianshan
影像骑师	yingxiangqishi
批式生產	pishishengchan
自由選擇	ziyouxuanze
瑞银收购瑞信	ruiyinshougouruixin
家族辦公室	jiazubangongshi
后资本主义	houzibenzhuyi
助学贷款	zhuxuedaikuan
个人预算	gerenyusuan
东亚模式	dongyamoshi
食品加工业	shipinjiagongye
指数基金	zhishujijin
自然財富	zirancaifu
隐形冠军企业	yinxingguanjunqiye
無架構的暴政	wujiagoudebaozheng
期酒	qijiu
有效需求	youxiaoxuqiu
公共预算	gonggongyusuan
勞資事務師	laozishiwushi
投资回收期	touzihuishouqi
相關資產	xiangguanzichan
甲醇经济	jiachunjingji
中等收入陷阱	zhongdengshouruxianjing
数理经济学	shulijingjixue
贸易保护主义	maoyibaohuzhuyi
內包	neibao
捆绑销售	kunbangxiaoshou
工商皆本	gongshangjieben
晋华纺织	jinhuafangzhi
倾向评分匹配	qingxiangpingfenpipei
企業社會責任	qiyeshehuizeren
初创企业	chuchuangqiye
阿莱悖论	alaibeilun
特許狀	texuzhuang
生態服務給付	shengtaifuwugeifu
油元循環	youyuanxunhuan
現金是王	xianjinshiwang
微收費	weishoufei
反貼補稅	fantiebushui
网络外部性	wangluowaibuxing
工業行動	gongyexingdong
纪念币	jinianbi
世代飞船	shidaifeichuan
城镇人口	chengzhenrenkou
韓進交通	hanjinjiaotong
炒作房地產	chaozuofangdichan
勞動音	laodongyin
後工業社會	hougongyeshehui
革命社會主義	gemingshehuizhuyi
公权私化	gongquansihua
实体经济	shitijingji
无差异曲线	wuchayiquxian
沃利游艇	woliyouting
国有企业改制	guoyouqiyegaizhi
巴黎条约	balitiaoyue
農業合作社	nongyehezuoshe
公地放領	gongdifangling
杜拜世界	dubaishijie
马培德	mapeide
巴剎	basha
青年失業	qingnianshiye
老化防護	laohuafanghu
經濟奇蹟	jingjiqiji
外汇	waihui
黃葉病	huangyebing
政府预算	zhengfuyusuan
博弈复杂度	boyifuzadu
可竞争市场	kejingzhengshichang
美度	meidu
檸檬社會主義	ningmengshehuizhuyi
單位需求	danweixuqiu
人力派遣	renlipaiqian
国际贸易理论	guojimaoyililun
街口支付	jiekouzhifu
金融资产	jinrongzichan
所有制分割	suoyouzhifenge
搜索论	sousuolun
老化恐惧症	laohuakongjuzheng
新工投資	xingongtouzi
重債窮國	zhongzhaiqiongguo
薄荷四國	baohesiguo
票据	piaoju
团队效率	tuanduixiaolv
嘉利美商	jialimeishang
內線交易	neixianjiaoyi
联合分析	lianhefenxi
劣幣驅逐良幣	liebiquzhuliangbi
小额贷款	xiaoedaikuan
指数化	zhishuhua
单位根	danweigen
资源战	ziyuanzhan
第一世界	diyishijie
资金	zijin
波羅的之虎	boluodezhihu
葛兰西主义	gelanxizhuyi
應急可轉債	yingjikezhuanzhai
證券服務	zhengquanfuwu
三巨头	sanjutou
波克耐希特	bokenaixite
關稅同盟	guanshuitongmeng
资本主义	zibenzhuyi
个人理财	gerenlicai
賀維	hewei
煉鋼廠	liangangchang
長期停滯	zhangqitingzhi
點茶	diancha
泰格医药	taigeyiyao
股票估价	gupiaogujia
生态矿业	shengtaikuangye
一次摊销法	yicitanxiaofa
私人公司	sirengongsi
示意地圖	shiyiditu
生产社会化	shengchanshehuihua
通貨	tonghuo
实践派	shijianpai
投资估算	touzigusuan
库存现金	kucunxianjin
口袋書店	koudaishudian
凯莱英	kailaiying
戎殿新	rongdianxin
庇古税	bigushui
凯米拉	kaimila
會計分析師	huijifenxishi
昭和农业恐慌	zhaohenongyekonghuang
均田制	juntianzhi
通济隆	tongjilong
资产类别	zichanleibie
产品	chanpin
沈太福	shentaifu
存货单位	cunhuodanwei
宏觀調控	hongguandiaokong
星控股	xingkonggu
业务流程管理	yewuliuchengguanli
杰文斯悖论	jiewensibeilun
明斯基时刻	mingsijishike
洛伦兹曲线	luolunziquxian
認知慣性	renzhiguanxing
辛迪加	xindijia
獨裁者賽局	ducaizhesaiju
离散事件仿真	lisanshijianfangzhen
前店后厂	qiandianhouchang
生命表	shengmingbiao
從眾效應	congzhongxiaoying
精耕细作	jinggengxizuo
百年靈	bainianling
人民民主	renminminzhu
供應鏈金融	gongyinglianjinrong
金融市场	jinrongshichang
供给冲击	gonggeichongji
产权比率	chanquanbilv
理财规划师	licaiguihuashi
余额宝	yuebao
土雞	tuji
通栏式广告	tonglanshiguanggao
分類廣告	fenleiguanggao
分产主义	fenchanzhuyi
餉碼制度	xiangmazhidu
问题证券	wentizhengquan
資本支出	zibenzhichu
国民幸福总值	guominxingfuzongzhi
經濟均衡	jingjijunheng
